Cell_name	Zvalue	Color	Cluster	HDAC2	IGF1
MGH53_P4_A12	0.362932809661	blue	3	0.38073	0.12168
MGH36_P9_F01	NA	black	0	4.1458	0
MGH36_P3_H10	-6.03129319827	black	0	0.08134	5.0707
MGH36_P3_H02	-5.83567186524	black	0	0.2916	6.1408
MGH36_P5_C10	-0.322129232501	green3	2	4.7786	0.12697
MGH54_P2_B05	-0.0471695502208	green3	2	2.4683	0.079975
MGH36_P2_F09	-1.96850111829	black	0	0.29514	1.7407
MGH53_P4_A05	0.0339912008158	green3	2	0.18396	0.34483
MGH54_P2_H10	0.521992634335	blue	3	0.029983	0.07861
MGH53_P4_E06	0.345705748314	blue	3	0.46676	0.12035
MGH53_P4_D12	NA	black	0	0	0.67265
MGH54_P2_H07	0.162566900919	green3	2	0.084064	0.27381
MGH53_P2_E03	0.33697270865	blue	3	0.52306	0.1177
MGH53_P1_A05	0.524139995679	blue	3	0.049631	0.074505
MGH36_P7_D12	0.734342945283	blue	3	2.9731	1.33
MGH53_P4_H03	NA	black	0	0	0.53007
MGH53_P2_E05	NA	black	0	0	0.16221
MGH36_P4_H11	3.60001920407	black	0	5.2191	1.6636
MGH53_P1_B01	0.321935390758	blue	3	0.1003	0.18142
MGH54_P2_G03	NA	black	0	3.3294	0
MGH53_P2_F12	2.94464629057	black	0	2.6542	4.3331
MGH36_P4_C09	0.379046816979	blue	3	0.30918	0.12168
MGH36_P5_C08	-5.1878486737	black	0	0.29396	5.0108
MGH36_P4_H06	0.397861062782	blue	3	0.34596	0.10434
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	1.60102154114	black	0	3.0784	2.1273
MGH53_P2_C10	-4.85154619422	black	0	0.075875	3.8108
MGH36_P4_H08	0.428991094788	blue	3	0.29748	0.092207
MGH36_P7_F07	-4.28907044921	black	0	0.12565	3.4154
MGH54_P2_A09	-4.32016640762	black	0	0.19535	3.6105
MGH36_P6_H11	0.537946522478	blue	3	0.11503	0.056584
MGH53_P2_E12	-4.964339933	black	0	0.27381	4.5988
MGH53_P1_F08	0.47050724645	blue	3	0.16993	0.086784
MGH36_P6_D12	0.527655019254	blue	3	0.19283	0.049631
MGH36_P2_H09	-1.95273735908	black	0	0.14796	1.6168
MGH53_P1_C01	NA	black	0	0.15575	0
MGH53_P2_F11	NA	black	0	0	0.24732
MGH36_P6_H04	-1.33976278102	black	0	0.16736	1.2116
MGH36_P5_G05	0.522123832862	blue	3	0.16221	0.05797
MGH53_P4_B04	-0.103786361021	green3	2	0.10568	0.42761
MGH53_P1_E05	NA	black	0	0.76977	0
MGH36_P10_A08	NA	black	0	0	0.41684
MGH36_P9_G01	0.625583045527	blue	3	3.2461	0.99277
MGH53_P4_A06	0.0807974312663	green3	2	0.49262	0.30217
MGH36_P6_B09	NA	black	0	0	6.3672
MGH54_P2_D09	-2.82321688194	black	0	0.9381	5.4002
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	0.315536431159	blue	3	3.6803	0.55778
MGH36_P6_B02	NA	black	0	0.27501	0
MGH53_P4_G06	-0.356258740609	green3	2	4.2893	0.07861
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	-3.83149651668	black	0	0.16221	3.0854
MGH36_P5_H04	-0.345291105267	green3	2	0.34028	0.59264
MGH53_P1_B03	NA	black	0	0	0.073135
MGH53_P2_D05	NA	black	0	0	4.5755
MGH36_P4_G12	2.2251927891	black	0	4.0189	1.6772
MGH53_P2_D11	-0.191387998712	green3	2	3.4849	0.11902
MGH53_P4_C02	NA	black	0	0	2.6299
MGH53_P4_F04	0.182781381311	blue	3	0.12565	0.25942
MGH36_P3_D10	-0.15614522913	green3	2	3.9039	0.18396
MGH54_P2_F04	NA	black	0	0	0.15316
MGH36_P6_A03	NA	black	0	0	0.10836
MGH53_P1_F07	-4.90789857053	black	0	0.36065	4.9614
MGH36_P5_H08	NA	black	0	0.055196	0
MGH54_P2_A04	NA	black	0	3.6625	0
MGH53_P4_E11	-6.0031054801	black	0	0.07861	5.0245
MGH53_P2_G03	-0.143843588746	green3	2	3.5021	0.16736
MGH36_P3_F04	NA	black	0	0.1865	0
MGH54_P2_B02	NA	black	0	3.9661	0
MGH36_P5_C07	-0.424538846572	green3	2	0.14274	0.62199
MGH53_P2_E02	NA	black	0	4.2287	0
MGH54_P2_F09	0.43910175928	blue	3	0.07861	0.1177
MGH36_P3_D05	0.279939002435	blue	3	0.26424	0.18903
MGH36_P5_F12	0.571494709572	blue	3	0.14274	0.032806
MGH53_P2_H09	-6.13813740077	black	0	0.090853	5.2487
MGH54_P2_F07	NA	black	0	0	0.071763
MGH36_P5_D10	NA	black	0	0.26183	0
MGH54_P2_F11	0.217541808905	blue	3	0.24975	0.22897
MGH53_P2_H04	NA	black	0	0.18523	0
MGH36_P6_F09	0.417132867344	blue	3	0.21039	0.11237
MGH36_P9_F05	NA	black	0	0	3.0993
MGH36_P8_G11	NA	black	0	0	3.2743
MGH54_P2_A07	-0.188151241176	green3	2	1.8734	2.0604
MGH36_P7_H06	-3.26452381583	black	0	0.15575	2.6007
MGH53_P1_A01	4.62866414083	black	0	3.6727	3.4238
MGH53_P1_A02	-3.5400114549	black	0	0.31962	3.1382
MGH54_P2_E07	0.468258125147	blue	3	2.5753	1.4641
MGH53_P4_F07	NA	black	0	0	0.10702
MGH53_P2_C05	NA	black	0	0	0.18015
MGH53_P4_H07	0.452555846038	blue	3	0.15834	0.098958
MGH53_P2_C06	-0.935690133999	black	0	0.10969	0.9313
MGH36_P3_F03	0.414066010774	blue	3	0.18523	0.1177
MGH36_P2_A10	0.158794272838	green3	2	0.31615	0.26063
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0.29631
MGH54_P2_H03	NA	black	0	0	0.10299
MGH36_P4_D06	-4.12417739166	black	0	0.17505	3.3749
MGH53_P2_B03	-5.10469910051	black	0	0.059355	4.0047
MGH53_P4_F03	NA	black	0	0	0.14926
MGH36_P10_E09	NA	black	0	0	0.52507
MGH53_P1_G02	0.296565694313	blue	3	0.19283	0.1865
MGH54_P2_A02	NA	black	0	0.41468	0
MGH36_P3_A07	-5.81567765575	black	0	0.073135	4.7842
MGH53_P4_E12	NA	black	0	0	0.063503
MGH54_P2_A03	-0.23636889852	green3	2	3.8506	0.12035
MGH53_P4_E10	NA	black	0	0	0.24853
MGH54_P2_D08	0.359523046848	blue	3	0.092207	0.16092
MGH36_P8_A02	-0.288328618208	green3	2	1.7084	1.2363
MGH54_P2_B07	0.486161348298	blue	3	0.23266	0.067639
MGH53_P1_B10	NA	black	0	0.123	0
MGH53_P2_F08	NA	black	0	0	3.3868
MGH36_P10_A01	NA	black	0	0	0
MGH36_P10_F01	-4.83141290358	black	0	0.09356	3.8381
MGH53_P4_G03	-1.37037188522	black	0	0.26903	1.281
MGH53_P1_F12	5.81692200645	black	0	3.9527	3.6579
MGH36_P4_B03	-4.84341636343	black	0	0.12961	3.9491
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	3.7104	0
MGH54_P2_D05	0.487261414853	blue	3	0.096262	0.088142
MGH53_P2_C08	NA	black	0	3.9926	0
MGH53_P4_H09	0.236727524863	blue	3	3.451	0.53306
MGH36_P8_H02	NA	black	0	3.8735	0
MGH36_P10_H10	-5.01660373735	black	0	0.21164	4.4071
MGH53_P1_A12	NA	black	0	0	0.12035
MGH36_P8_F08	-4.36997317799	black	0	0.21537	3.7135
MGH53_P1_D10	NA	black	0	0	4.9426
MGH53_P4_A09	-0.194374127091	green3	2	3.2756	0.08134
MGH53_P2_H08	NA	black	0	1.8448	0
MGH36_P4_A09	NA	black	0	0	5.3682
MGH53_P4_C08	-0.0415093452685	green3	2	2.5343	0.15963
MGH36_P5_E04	0.200313364344	blue	3	1.1686	0.11636
MGH53_P2_A07	-6.33394610262	black	0	0.1903	6.1976
MGH54_P2_G10	-4.59494228985	black	0	0.10836	3.6543
MGH36_P7_E06	NA	black	0	0	0.077243
MGH36_P9_D04	-0.245324877419	green3	2	3.9252	0.12035
MGH53_P1_C12	-5.90005370701	black	0	0.077243	4.8974
MGH36_P8_F06	2.77847491441	black	0	2.9559	3.4102
MGH36_P1_G11	NA	black	0	2.8978	0
MGH53_P1_F02	-2.38234637228	black	0	0.12829	1.9034
MGH54_P2_D10	NA	black	0	0	2.5529
MGH36_P9_A08	NA	black	0	0	2.3901
MGH53_P2_H03	-0.287465177437	green3	2	3.5035	0.027154
MGH53_P4_B03	0.300972676274	blue	3	0.73205	0.10969
MGH53_P1_F10	NA	black	0	0	0
MGH53_P4_B05	-0.141383078493	green3	2	2.9911	0.086784
MGH53_P2_B08	0.483501205156	blue	3	0.092207	0.090853
MGH36_P3_B06	0.687334333395	blue	3	3.466	0.93584
MGH36_P10_C02	NA	black	0	0	2.7577
MGH36_P2_E05	-5.65346659796	black	0	0.049631	4.5208
MGH54_P2_G09	0.742751824483	blue	3	3.2288	1.123
MGH54_P2_D12	-0.00722933706185	green3	2	2.2681	0.094912
MGH53_P2_H02	-4.7804323795	black	0	0.086784	3.7726
MGH36_P8_F11	-3.95767477057	black	0	0.24367	3.3748
MGH53_P2_A10	NA	black	0	1.168	0
MGH54_P2_E09	0.131795845533	green3	2	3.4726	0.43082
MGH36_P3_H06	0.292735096648	blue	3	0.12829	0.19535
MGH36_P5_D05	NA	black	0	0.077243	0
MGH54_P2_A11	-1.91797371381	black	0	0.8953	2.5857
MGH54_P2_G04	-0.368572952066	green3	2	0.33571	0.60786
MGH36_P6_C01	NA	black	0	0.074505	0
MGH53_P2_E06	-4.01205926418	black	0	0.11503	3.151
MGH53_P1_E01	0.316157931165	blue	3	0.070389	0.18777
MGH36_P1_B01	0.498704285116	blue	3	0.16092	0.071763
MGH54_P2_H04	0.260153511316	blue	3	0.40272	0.1865
MGH36_P2_C05	NA	black	0	0	3.5326
MGH36_P6_H05	0.577344468259	blue	3	0.048236	0.045443
MGH36_P10_E06	NA	black	0	0.069015	0
MGH54_P2_F03	NA	black	0	0.12697	0
MGH36_P4_B10	NA	black	0	0.066261	0
MGH54_P2_F02	NA	black	0	0	3.6241
MGH36_P2_E11	-3.80427967454	black	0	0.10299	2.9555
MGH54_P2_D11	NA	black	0	0	0.62012
MGH54_P2_G01	0.470152000682	blue	3	0.11636	0.094912
MGH36_P9_D02	NA	black	0	0.12565	0
MGH54_P2_E06	3.62572998615	black	0	3.3938	3.2337
MGH54_P16_F12	NA	black	0	3.2684	0
MGH53_P5_C12	NA	black	0	0	0.92067
MGH54_P12_C10	NA	black	0	3.6351	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	-0.000490100145954	green3	2	2.2317	0.10434
MGH53_P1_E03	-0.0985210924265	green3	2	3.2807	0.19535
MGH54_P15_D06	NA	black	0	3.3561	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	0.0326209058246	green3	2	2.0275	0.13093
MGH53_P4_G11	NA	black	0	3.9126	0
MGH53_P7_B09	0.472873400286	blue	3	0.086784	0.097611
MGH54_P17_D11	NA	black	0	0	0.10836
MGH54_P10_G04	-0.212231504159	green3	2	3.9573	0.14666
MGH54_P10_C06	0.45742617994	blue	3	0.071763	0.10836
MGH53_P2_A02	-0.329264478407	green3	2	4.1172	0.079975
MGH53_P4_F06	0.459402737185	blue	3	0.13093	0.098958
MGH53_P7_F07	-0.315508480226	green3	2	4.051	0.082703
MGH53_P11_F06	NA	black	0	0	0.098958
MGH53_P5_G02	NA	black	0	4.2601	0
MGH53_P1_F09	NA	black	0	0.16736	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	0.0714536312903	green3	2	1.4136	0.23389
MGH53_P1_A10	NA	black	0	3.9509	0
MGH53_P4_B12	0.396730491149	blue	3	0.11103	0.1375
MGH53_P5_H09	NA	black	0	0	0.54597
MGH53_P9_D07	NA	black	0	0	0.10969
MGH53_P11_E03	NA	black	0	4.0109	0
MGH53_P1_C02	0.0756443357354	green3	2	0.24123	0.3173
MGH53_P10_F11	NA	black	0	0.27023	0
MGH53_P1_E02	NA	black	0	3.7755	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	-0.12171995838	green3	2	0.17632	0.43936
MGH53_P2_G04	NA	black	0	0	0.22527
MGH53_P1_C05	NA	black	0	0.35163	0
MGH53_P2_G09	NA	black	0	3.6045	0
MGH53_P5_A05	NA	black	0	5.3135	0
MGH53_P5_F04	NA	black	0	0.42761	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	-0.350888774974	green3	2	4.4619	0.094912
MGH54_P7_F12	NA	black	0	0.27739	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0.088142	0
MGH53_P6_B11	NA	black	0	0	0.17121
MGH53_P4_C07	0.473206640293	blue	3	0.10434	0.094912
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0	0.10969
MGH36_P1_A02	NA	black	0	0.65076	0
MGH36_P1_A03	0.358005560718	blue	3	0.16607	0.15316
MGH36_P1_A04	0.399737707302	blue	3	0.18903	0.12565
MGH36_P1_A05	NA	black	0	0	0.19283
MGH36_P1_A06	-0.317575982574	green3	2	4.4035	0.10969
MGH36_P1_A08	-0.365409751708	green3	2	4.1733	0.062122
MGH36_P1_A10	-0.176709241399	green3	2	3.3414	0.1137
MGH36_P1_A12	0.551251272154	blue	3	0.1776	0.038436
MGH36_P1_B02	-0.00587673551116	green3	2	2.2609	0.060739
MGH36_P1_B03	-0.364186020141	green3	2	4.126	0.05797
MGH36_P1_B04	-0.227018581185	green3	2	3.2396	0.032806
MGH36_P1_B06	-0.0190302324528	green3	2	2.3262	0.079975
MGH36_P1_B07	0.593954238572	blue	3	0.052416	0.035624
MGH36_P1_B08	0.251542231197	blue	3	1.2684	0.028569
MGH36_P1_B09	0.37311554732	blue	3	0.070389	0.15575
MGH36_P1_B10	-0.032550627721	green3	2	2.3716	0.028569
MGH36_P1_B11	0.412476883616	blue	3	0.092207	0.13093
MGH36_P1_B12	0.00342371162484	green3	2	2.2147	0.08134
MGH36_P1_C01	NA	black	0	0	0.035624
MGH36_P1_C03	0.514399567946	blue	3	0.085425	0.074505
MGH36_P1_C05	-0.0900219791975	green3	2	2.736	0.10165
MGH36_P1_C06	NA	black	0	3.9898	0
MGH36_P1_C07	-0.381569704267	green3	2	4.0352	0.035624
MGH36_P1_C08	0.607255843014	blue	3	0.034216	0.031395
MGH36_P1_C09	-0.158973848212	green3	2	2.8953	0.020058
MGH36_P1_C10	0.404573154349	blue	3	0.1776	0.12433
MGH36_P1_C11	NA	black	0	0	0
MGH36_P1_D01	0.259764233663	blue	3	0.19912	0.20789
MGH36_P1_D02	-0.14255681464	green3	2	3.0325	0.096262
MGH36_P1_D03	-0.222010128653	green3	2	3.7338	0.12035
MGH36_P1_D04	NA	black	0	2.7689	0
MGH36_P1_D06	-0.195235091583	green3	2	3.8361	0.15056
MGH36_P1_D07	NA	black	0	0.086784	0
MGH36_P1_D08	0.516770589809	blue	3	0.11237	0.069015
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	0.555596181081	blue	3	0.062122	0.055196
MGH36_P1_F02	-0.336100821391	green3	2	3.8415	0.042644
MGH36_P1_F03	0.283188735176	blue	3	0.90689	0.090853
MGH36_P1_F04	NA	black	0	0	0
MGH36_P1_F05	NA	black	0	3.1237	0
MGH36_P1_F06	0.154211629836	green3	2	0.28924	0.26544
MGH36_P1_F08	0.28098561285	blue	3	1.0621	0.056584
MGH36_P1_F11	NA	black	0	1.7242	0
MGH36_P1_F12	NA	black	0	0.11636	0
MGH36_P1_G02	NA	black	0	3.0858	0
MGH36_P1_G03	-0.0760786991679	green3	2	2.5502	0.02432
MGH36_P1_G04	NA	black	0	3.0295	0
MGH36_P1_G07	-0.108343830483	green3	2	2.6613	0.0057593
MGH36_P1_G08	0.548711274912	blue	3	0.02432	0.064883
MGH36_P1_G09	NA	black	0	0.048236	0
MGH36_P1_H02	0.637180390811	blue	3	0.038436	0.014355
MGH36_P1_H03	NA	black	0	0	0.060739
MGH36_P1_H04	0.466292151665	blue	3	0.045443	0.10702
MGH36_P1_H05	0.611832506175	blue	3	0.085425	0.020058
MGH36_P1_H06	NA	black	0	0	0.020058
MGH36_P1_H07	-0.338554375996	green3	2	3.6212	0.0028825
MGH36_P1_H09	NA	black	0	5.2181	0
MGH36_P1_H10	NA	black	0	3.7006	0
MGH36_P3_A01	0.46886402062	blue	3	0.19409	0.084064
MGH36_P3_A02	NA	black	0	0.26424	0
MGH36_P3_A03	0.00429780924698	green3	2	0.68527	0.35276
MGH36_P3_A04	0.125238725638	green3	2	0.21537	0.28806
MGH36_P3_A05	0.0960578301759	green3	2	0.09356	0.3115
MGH36_P3_A08	-0.138996617092	green3	2	3.121	0.12168
MGH36_P3_A09	NA	black	0	0	0.079975
MGH36_P3_A10	0.473164247533	blue	3	0.1776	0.084064
MGH36_P3_A12	-0.110187824691	green3	2	3.5321	0.20163
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0.25822
MGH36_P3_B04	0.628182333687	blue	3	0.12168	0.0043216
MGH36_P3_B09	0.515880193333	blue	3	0.079975	0.074505
MGH36_P3_B10	NA	black	0	0	0.17505
MGH36_P3_B11	0.578534045477	blue	3	0.094912	0.037031
MGH36_P3_B12	NA	black	0	3.3693	0
MGH36_P3_C01	0.279693995385	blue	3	0.44255	0.16864
MGH36_P3_C03	-0.233945793734	green3	2	3.539	0.085425
MGH36_P3_C04	-0.0481770405613	green3	2	2.5236	0.12433
MGH36_P3_C05	NA	black	0	0.14274	0
MGH36_P3_C06	-0.157199685211	green3	2	2.9839	0.05797
MGH36_P3_C08	NA	black	0	2.0721	0
MGH36_P3_C11	NA	black	0	0	0.19787
MGH36_P3_C12	NA	black	0	0.26303	0
MGH36_P3_D01	0.317179381585	blue	3	0.18523	0.17505
MGH36_P3_D02	NA	black	0	0	0.31034
MGH36_P3_D03	-0.177597954296	green3	2	5.4091	0.20163
MGH36_P3_D04	NA	black	0	0.61636	0
MGH36_P3_D07	NA	black	0	0	0.36177
MGH36_P3_D08	-0.0543372138003	green3	2	2.5717	0.12961
MGH36_P3_D09	NA	black	0	0	0.08134
MGH36_P3_D11	NA	black	0	0	0.31034
MGH36_P3_E02	NA	black	0	0	0.20163
MGH36_P3_E04	-0.438562269072	green3	2	4.6548	0.062122
MGH36_P3_E05	-0.237307828842	green3	2	3.5333	0.08134
MGH36_P3_E06	NA	black	0	0	0
MGH36_P3_E07	-0.459032101181	green3	2	4.7388	0.05797
MGH36_P3_E08	NA	black	0	0	0.10434
MGH36_P3_E09	0.237037133981	blue	3	0.082703	0.23143
MGH36_P3_E10	-0.0245206851641	green3	2	0.2461	0.37962
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	0.577035246918	blue	3	0.11636	0.034216
MGH36_P3_F01	NA	black	0	0.10165	0
MGH36_P3_F02	NA	black	0	0	0.17887
MGH36_P3_F05	NA	black	0	4.6718	0
MGH36_P3_F06	-0.163581837571	green3	2	4.3525	0.19535
MGH36_P3_F07	NA	black	0	4.0372	0
MGH36_P3_F08	0.255423408335	blue	3	0.22651	0.20789
MGH36_P3_F09	NA	black	0	0	0.16221
MGH36_P3_F10	0.411472319683	blue	3	0.075875	0.13356
MGH36_P3_F11	-0.188659502013	green3	2	3.0204	0.018634
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	0.27863151061	blue	3	0.13488	0.20289
MGH36_P3_G02	NA	black	0	0.11636	0
MGH36_P3_G03	0.33877718437	blue	3	0.22897	0.15704
MGH36_P3_G04	NA	black	0	0.064883	0
MGH36_P3_G05	0.12396987639	green3	2	0.24975	0.28688
MGH36_P3_G06	0.109826461316	green3	2	1.373	0.18523
MGH36_P3_G08	0.487897828856	blue	3	0.21785	0.069015
MGH36_P3_G09	NA	black	0	0.05797	0
MGH36_P3_G10	0.521160211269	blue	3	0.07861	0.071763
MGH36_P3_G11	-0.190345549244	green3	2	3.786	0.15056
MGH36_P3_G12	0.410745196059	blue	3	0.42008	0.084064
MGH36_P3_H03	NA	black	0	0	0.088142
MGH36_P3_H04	-0.0686751916239	green3	2	4.2752	0.24975
MGH36_P3_H05	-0.0406421420196	green3	2	2.918	0.24489
MGH36_P3_H07	NA	black	0	0	0.1003
MGH36_P3_H08	0.300317076671	blue	3	0.10969	0.19283
MGH36_P3_H11	0.10463504788	green3	2	0.16092	0.30334
MGH36_P3_H12	0.261570733726	blue	3	4.4377	0.42975
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	0.375349947905	blue	3	0.30685	0.12433
MGH36_P4_A03	-0.120243904632	green3	2	2.9256	0.10434
MGH36_P4_A04	0.0445147558496	green3	2	3.7652	0.33457
MGH36_P4_A06	-0.372987349329	green3	2	4.8712	0.10702
MGH36_P4_A07	NA	black	0	2.6135	0
MGH36_P4_A08	0.0428184409544	green3	2	1.8339	0.19912
MGH36_P4_A11	NA	black	0	0	0.53605
MGH36_P4_A12	NA	black	0	3.8621	0
MGH36_P4_B02	0.106503787871	green3	2	0.25459	0.29748
MGH36_P4_B04	0.210915664931	blue	3	0.085425	0.2461
MGH36_P4_B05	-0.158680462644	green3	2	3.3886	0.14012
MGH36_P4_B06	0.478672361141	blue	3	0.10165	0.092207
MGH36_P4_B08	0.148805621473	green3	2	1.2898	0.15056
MGH36_P4_B09	-0.208691738038	green3	2	4.1858	0.16221
MGH36_P4_B12	NA	black	0	0	0
MGH36_P4_C02	0.264379458645	blue	3	0.074505	0.21661
MGH36_P4_C03	NA	black	0	3.369	0
MGH36_P4_C04	0.402050688625	blue	3	0.31962	0.10568
MGH36_P4_C05	-0.250728877306	green3	2	4.0918	0.12961
MGH36_P4_C06	NA	black	0	0	0.26784
MGH36_P4_C07	0.387622913762	blue	3	0.40599	0.10165
MGH36_P4_C08	0.264651729689	blue	3	0.086784	0.21537
MGH36_P4_C10	NA	black	0	0	0.27739
MGH36_P4_C11	NA	black	0	0.10568	0
MGH36_P4_C12	0.269784256122	blue	3	0.123	0.20914
MGH36_P4_D01	-0.012580717574	green3	2	3.6152	0.2916
MGH36_P4_D02	0.311618221635	blue	3	0.05797	0.19156
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	0.0170542413251	green3	2	0.089498	0.35727
MGH36_P4_D08	NA	black	0	1.57	0
MGH36_P4_D09	0.432557590044	blue	3	0.33457	0.084064
MGH36_P4_D10	0.0861541121414	green3	2	1.2714	0.23389
MGH36_P4_D11	NA	black	0	0	0.40272
MGH36_P4_D12	-0.257863807237	green3	2	4.1209	0.12697
MGH36_P4_E01	-0.0771272470901	green3	2	3.5022	0.23143
MGH36_P4_E02	0.280335483042	blue	3	0.15056	0.20038
MGH36_P4_E04	NA	black	0	0.38294	0
MGH36_P4_E06	-0.065725585381	green3	2	3.7981	0.24853
MGH36_P4_E07	-0.333306908428	green3	2	4.1164	0.077243
MGH36_P4_E08	NA	black	0	0	0.53506
MGH36_P4_E09	-0.127989061862	green3	2	4.3258	0.21537
MGH36_P4_E10	0.206919260319	blue	3	0.14796	0.24367
MGH36_P4_E11	NA	black	0	0	0.23143
MGH36_P4_E12	-0.543630596225	green3	2	0.33457	0.72683
MGH36_P4_F01	0.282906756909	blue	3	0.79161	0.1137
MGH36_P4_F02	0.498068250354	blue	3	0.082703	0.084064
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	0.475605578438	blue	3	0.094912	0.094912
MGH36_P4_F05	0.450307573651	blue	3	0.16736	0.098958
MGH36_P4_F06	0.295039103507	blue	3	0.14012	0.19283
MGH36_P4_F07	0.210885449956	blue	3	0.5509	0.20414
MGH36_P4_F09	NA	black	0	0.24489	0
MGH36_P4_F10	-0.2831982922	green3	2	4.5711	0.1375
MGH36_P4_F11	NA	black	0	4.0314	0
MGH36_P4_F12	0.506711347863	blue	3	0.086784	0.07861
MGH36_P4_G01	-0.284511596119	green3	2	0.14666	0.53705
