Cell_name	Zvalue	Color	Cluster	ICAM1	STAT3
MGH53_P2_F11	NA	black	0	0	3.6218
MGH36_P6_H04	NA	black	0	4.467	0
MGH36_P5_G05	5.15199563344	black	0	5.655	5.8706
MGH53_P4_B04	NA	black	0	0	2.1548
MGH53_P1_E05	2.68664088644	black	0	6.0628	4.0583
MGH36_P10_A08	-0.761471463541	red	1	4.7148	1.748
MGH36_P9_G01	2.23049637515	black	0	4.8294	4.1782
MGH53_P4_A06	0.285297959556	green3	2	0.18269	1.0475
MGH36_P6_B09	NA	black	0	0	2.7835
MGH54_P2_D09	NA	black	0	0	0.42868
MGH53_P1_E06	-0.828458074207	red	1	2.1345	0.21661
MGH36_P4_A10	-3.140953388	black	0	5.4815	0.27262
MGH36_P6_B02	2.79840507463	black	0	6.2424	4.0744
MGH53_P4_G06	-1.94203223286	black	0	3.7893	0.26544
MGH36_P8_F01	-0.0854344094979	red	1	4.4382	2.2869
MGH36_P9_F06	NA	black	0	0	3.8066
MGH36_P5_H04	-0.668010889682	red	1	1.8953	0.20789
MGH53_P1_B03	0.0427439835659	red	1	1.679	2.4597
MGH53_P2_D05	0.0985092302865	red	1	1.294	3.2415
MGH36_P4_G12	NA	black	0	4.4968	0
MGH53_P2_D11	0.193858526136	green3	2	1.6026	3.2377
MGH53_P4_C02	0.0153963979088	red	1	0.84238	1.7908
MGH53_P4_F04	2.66523277829	black	0	4.2666	4.8984
MGH36_P3_D10	0.490762479396	green3	2	0.17121	0.16221
MGH54_P2_F04	-2.59226491783	black	0	4.6364	0.22404
MGH36_P6_A03	-0.08183652675	red	1	0.84559	3.8742
MGH53_P1_F07	-1.1119483821	red	1	2.9144	0.60217
MGH36_P5_H08	NA	black	0	0	1.2576
MGH54_P2_A04	NA	black	0	0	4.2833
MGH53_P4_E11	-0.416326340605	red	1	0.15445	3.7484
MGH53_P2_G03	NA	black	0	0	2.754
MGH36_P3_F04	-0.226314772497	red	1	1.2714	0.34823
MGH54_P2_B02	NA	black	0	0	0.51197
MGH36_P5_C07	-4.32487870123	black	0	6.8425	0.17887
MGH53_P2_E02	-0.226485602313	red	1	2.2379	1.7545
MGH54_P2_F09	NA	black	0	0	0.090853
MGH36_P3_D05	NA	black	0	5.4326	0
MGH36_P5_F12	4.51623348191	black	0	6.9736	4.7992
MGH53_P2_H09	NA	black	0	0	0.123
MGH54_P2_F07	-0.332765124493	red	1	1.3757	0.10702
MGH36_P5_D10	NA	black	0	0	5.3642
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	1.67487404866	black	0	5.757	3.4908
MGH36_P6_F09	0.50350532492	green3	2	1.8392	4.1458
MGH36_P9_F05	-0.155867412662	red	1	0.51197	3.2547
MGH36_P8_G11	0.472379417253	green3	2	6.0371	2.7011
MGH54_P2_A07	-0.617505995083	red	1	1.8127	0.18903
MGH36_P7_H06	-4.54798699287	black	0	6.8527	0.067639
MGH53_P1_A01	NA	black	0	0	4.3062
MGH53_P1_A02	NA	black	0	0	4.2212
MGH54_P2_E07	-1.9293229526	black	0	4.9062	0.88206
MGH53_P4_F07	NA	black	0	6.1001	0
MGH53_P2_C05	NA	black	0	6.7165	0
MGH53_P4_H07	NA	black	0	0	4.5999
MGH53_P2_C06	4.54567312961	black	0	6.047	5.2247
MGH36_P3_F03	-0.181111676351	red	1	0.43829	3.2575
MGH36_P2_A10	1.37341729805	blue	3	4.1461	3.6984
MGH53_P4_E03	0.751354915506	green3	2	2.9791	3.4805
MGH36_P9_D12	-0.832027329481	red	1	5.103	1.7655
MGH54_P2_H03	0.544956244907	green3	2	0.11636	0.086784
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	1.2197
MGH53_P4_F03	0.801037676549	green3	2	4.2887	3.1048
MGH36_P10_E09	NA	black	0	0	3.5434
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	-1.21683395941	red	1	3.0234	0.54201
MGH36_P3_A07	-0.387648283204	red	1	1.4526	0.10434
MGH53_P4_E12	-3.12453124952	black	0	5.4271	0.25701
MGH54_P2_A03	NA	black	0	0	2.764
MGH53_P4_E10	0.0974720440819	red	1	1.2443	3.4378
MGH54_P2_D08	0.461046189393	green3	2	0.18269	0.26424
MGH36_P8_A02	0.755958463468	green3	2	6.0386	2.8746
MGH54_P2_B07	NA	black	0	0	3.5445
MGH53_P1_B10	-2.28159697165	black	0	4.0506	0.11503
MGH53_P2_F08	NA	black	0	0	3.6284
MGH36_P10_A01	0.697280590793	green3	2	7.0956	2.7989
MGH36_P10_F01	1.18832373418	blue	3	7.9476	3.0023
MGH53_P4_G03	NA	black	0	0	4.3364
MGH53_P1_F12	-1.57091097785	black	0	3.7079	0.60597
MGH36_P4_B03	2.59226804391	black	0	6.4152	3.9081
MGH54_P2_C07	-0.278989828225	red	1	0.16479	3.2753
MGH53_P1_B02	NA	black	0	0	0.77231
MGH54_P2_D05	NA	black	0	0	0.24853
MGH53_P2_C08	2.75714910611	black	0	5.9192	4.1467
MGH53_P4_H09	NA	black	0	0	0.69599
MGH36_P8_H02	-0.182648309186	red	1	8.1214	2.3981
MGH36_P10_H10	-2.57833203298	black	0	4.2783	0.0028825
MGH53_P1_A12	-0.38175634897	red	1	0.2558	3.8123
MGH36_P8_F08	-4.14391051348	black	0	7.5888	0.53207
MGH53_P1_D10	NA	black	0	3.8439	0
MGH53_P4_A09	0.475588398773	green3	2	0.15056	0.28924
MGH53_P2_H08	NA	black	0	0	1.7515
MGH36_P4_A09	-0.405203107723	red	1	1.4875	0.13881
MGH53_P4_C08	-1.95118159313	black	0	3.6918	0.18142
MGH36_P5_E04	1.15855957577	blue	3	4.5018	3.382
MGH53_P2_A07	3.3219175171	black	0	4.904	5.0291
MGH54_P2_G10	NA	black	0	0	0.76553
MGH36_P7_E06	4.30350733703	black	0	5.4707	5.403
MGH36_P9_D04	NA	black	0	6.8859	0
MGH53_P1_C12	0.491595784703	green3	2	0.15704	0.20038
MGH36_P8_F06	0.383793550752	green3	2	5.9672	2.648
MGH36_P1_G11	-4.54929273644	black	0	6.792	0.041243
MGH53_P1_F02	0.018260106189	red	1	0.25096	2.1512
MGH54_P2_D10	-0.769324554343	red	1	4.9724	1.7895
MGH36_P9_A08	NA	black	0	6.4076	0
MGH53_P2_H03	1.35397288317	blue	3	5.0369	3.4144
MGH53_P4_B03	3.53440632616	black	0	6.7928	4.3332
MGH53_P1_F10	0.893028906641	blue	3	4.0035	3.2611
MGH53_P4_B05	-1.83252582378	black	0	3.772	0.36849
MGH53_P2_B08	NA	black	0	0	3.4542
MGH36_P3_B06	NA	black	0	6.1163	0
MGH36_P10_C02	2.4254509577	black	0	6.7369	3.7447
MGH36_P2_E05	0.450018286466	green3	2	1.8516	3.9114
MGH54_P2_G09	-2.73589793857	black	0	4.7378	0.16864
MGH54_P2_D12	-1.07743684884	red	1	2.5026	0.22527
MGH53_P2_H02	-0.4644816069	red	1	1.9512	0.8953
MGH36_P8_F11	-4.05326530993	black	0	6.4767	0.17249
MGH53_P2_A10	-0.0231500873056	red	1	1.0279	1.4704
MGH54_P2_E09	-2.82132085406	black	0	5.2502	0.37962
MGH36_P3_H06	0.192739975846	green3	2	0.56852	0.51299
MGH36_P5_D05	-3.38991528215	black	0	5.6535	0.19283
MGH54_P2_A11	-2.74928357515	black	0	4.6498	0.10434
MGH54_P2_G04	NA	black	0	0	0.11503
MGH36_P6_C01	NA	black	0	4.4042	0
MGH53_P2_E06	3.62821546085	black	0	6.3179	4.5432
MGH53_P1_E01	NA	black	0	5.7374	0
MGH36_P1_B01	-1.49206813641	red	1	3.8655	0.78325
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	2.26258975644	black	0	5.4326	3.9732
MGH36_P6_H05	1.21719340666	blue	3	3.1008	4.1121
MGH36_P10_E06	NA	black	0	6.7118	0
MGH54_P2_F03	NA	black	0	4.5043	0
MGH36_P4_B10	-4.34098707212	black	0	6.9014	0.19409
MGH54_P2_F02	0.947294005923	blue	3	5.8458	3.0086
MGH36_P2_E11	-4.165630867	black	0	6.542	0.13881
MGH54_P2_D11	0.938610608489	blue	3	4.8755	3.1204
MGH54_P2_G01	-2.02982959332	black	0	6.0154	1.177
MGH36_P9_D02	0.442253754821	green3	2	3.8544	2.8174
MGH54_P2_E06	0.137052940966	red	1	3.3707	2.5046
MGH54_P16_F12	NA	black	0	0	2.6121
MGH53_P5_C12	0.097530247577	red	1	0.73725	0.53207
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	NA	black	0	0	1.7307
MGH54_P11_C11	NA	black	0	0	0.098958
MGH53_P1_E03	NA	black	0	0	3.8798
MGH54_P15_D06	NA	black	0	0	3.2502
MGH54_P14_F05	NA	black	0	0	4.0637
MGH54_P16_A03	NA	black	0	0	3.48
MGH53_P4_G11	NA	black	0	0	0.14535
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	1.0909
MGH54_P10_C06	NA	black	0	0.22651	0
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	0.250244513775	green3	2	0.53605	0.13356
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0	0.11103
MGH53_P5_G02	NA	black	0	0	4.8963
MGH53_P1_F09	NA	black	0	0	3.1104
MGH53_P11_H03	NA	black	0	0	4.2395
MGH53_P10_D11	-0.69653653718	red	1	0.25942	5.0138
MGH53_P1_A10	NA	black	0	0	2.8532
MGH53_P4_B12	0.414410723677	green3	2	0.31615	0.045443
MGH53_P5_H09	NA	black	0	0	4.8863
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	-0.232300506733	red	1	0.27977	3.2469
MGH53_P1_C02	NA	black	0	0	0.17887
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0.56462
MGH53_P1_D07	NA	black	0	0	0.2916
MGH53_P6_B01	NA	black	0	0	5.3557
MGH53_P2_G04	-0.823800526129	red	1	0.16864	5.1602
MGH53_P1_C05	NA	black	0	0	4.2389
MGH53_P2_G09	NA	black	0	0	0.3115
MGH53_P5_A05	NA	black	0	1.3092	0
MGH53_P5_F04	NA	black	0	0	4.7156
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0	3.9278
MGH53_P8_F03	NA	black	0	0	2.9241
MGH53_P11_A07	NA	black	0	0	0.30685
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0	1.2054
MGH53_P6_H06	-1.06488043858	red	1	0.24001	6.2253
MGH36_P1_A01	NA	black	0	0	5.1066
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	NA	black	0	0	4.8359
MGH36_P1_A04	NA	black	0	0	1.4699
MGH36_P1_A05	NA	black	0	0	4.5011
MGH36_P1_A06	-0.778434807893	red	1	0.069015	4.7378
MGH36_P1_A08	-0.307242974759	red	1	0.13488	3.3377
MGH36_P1_A10	NA	black	0	0	0
MGH36_P1_A12	NA	black	0	0	0.067639
MGH36_P1_B02	NA	black	0	0	2.9048
MGH36_P1_B03	NA	black	0	0	3.6714
MGH36_P1_B04	-0.156035404117	red	1	0.069015	2.7575
MGH36_P1_B06	NA	black	0	0	3.9491
MGH36_P1_B07	0.248231487896	green3	2	1.3561	4.5258
MGH36_P1_B08	NA	black	0	0	3.8557
MGH36_P1_B09	-0.450316112053	red	1	0.070389	3.7219
MGH36_P1_B10	NA	black	0	0	0.48543
MGH36_P1_B11	NA	black	0	0	5.4514
MGH36_P1_B12	0.115993346939	red	1	0.090853	1.8086
MGH36_P1_C01	0.517048826347	green3	2	0.079975	0.29866
MGH36_P1_C03	NA	black	0	0	0.10299
MGH36_P1_C05	NA	black	0	0	0.15186
MGH36_P1_C06	NA	black	0	0	4.3418
MGH36_P1_C07	NA	black	0	0	3.9287
MGH36_P1_C08	0.564345791462	green3	2	0.069015	0.13881
MGH36_P1_C09	-0.101165930212	red	1	0.051024	2.5649
MGH36_P1_C10	-1.03503375255	red	1	0.086784	5.5562
MGH36_P1_C11	NA	black	0	0	0.17887
MGH36_P1_D01	NA	black	0	0	2.7945
MGH36_P1_D02	0.478217644365	green3	2	0.10702	0.38957
MGH36_P1_D03	NA	black	0	0	3.265
MGH36_P1_D04	NA	black	0	0	1.3545
MGH36_P1_D06	NA	black	0	0	1.748
MGH36_P1_D07	NA	black	0	0	3.0812
MGH36_P1_D08	NA	black	0	0	4.6968
MGH36_P1_D09	NA	black	0	0	3.8144
MGH36_P1_D11	NA	black	0	0	0.1177
MGH36_P1_F01	NA	black	0	0	4.978
MGH36_P1_F02	-0.608797018231	red	1	0.062122	4.2041
MGH36_P1_F03	NA	black	0	0	0.044044
MGH36_P1_F04	NA	black	0	0	2.2678
MGH36_P1_F05	0.0761266787459	red	1	0.075875	1.9575
MGH36_P1_F06	NA	black	0	0	4.8329
MGH36_P1_F08	-0.157733647955	red	1	0.123	2.7985
MGH36_P1_F11	NA	black	0	0	4.4908
MGH36_P1_F12	NA	black	0	0	0.020058
MGH36_P1_G02	NA	black	0	0	5.025
MGH36_P1_G03	NA	black	0	0	3.2621
MGH36_P1_G04	2.59706903346	black	0	4.1396	4.9308
MGH36_P1_G07	NA	black	0	0	4.9465
MGH36_P1_G08	NA	black	0	0	1.2314
MGH36_P1_G09	-0.194431538383	red	1	0.39067	3.2438
MGH36_P1_H02	0.593526878707	green3	2	0.064883	0.034216
MGH36_P1_H03	NA	black	0	0	1.2209
MGH36_P1_H04	0.172408428011	green3	2	1.6857	3.0261
MGH36_P1_H05	NA	black	0	0	0.053806
MGH36_P1_H06	NA	black	0	0	0.14666
MGH36_P1_H07	NA	black	0	0	4.791
MGH36_P1_H09	-0.348732113013	red	1	0.051024	3.371
MGH36_P1_H10	NA	black	0	0	0.10836
MGH36_P3_A01	0.354864086699	green3	2	0.25701	0.56657
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	0	3.358
MGH36_P3_A04	0.22820170456	green3	2	0.53107	0.3774
MGH36_P3_A05	NA	black	0	0	4.1604
MGH36_P3_A08	NA	black	0	0	0.22774
MGH36_P3_A09	NA	black	0	0	0.40272
MGH36_P3_A10	NA	black	0	0	4.3201
MGH36_P3_A12	-0.572688902768	red	1	0.04684	4.0636
MGH36_P3_B02	NA	black	0	0	4.2873
MGH36_P3_B03	NA	black	0	0	0.21909
MGH36_P3_B04	-0.228762733356	red	1	0.24123	3.1806
MGH36_P3_B09	-0.720071206881	red	1	1.9727	0.21039
MGH36_P3_B10	NA	black	0	0	4.6207
MGH36_P3_B11	NA	black	0	0	4.481
MGH36_P3_B12	NA	black	0	0	5.0323
MGH36_P3_C01	NA	black	0	0	0.36401
MGH36_P3_C03	NA	black	0	0	0.15575
MGH36_P3_C04	0.351086304861	green3	2	0.12433	0.87106
MGH36_P3_C05	0.304648733658	green3	2	0.2762	0.77231
MGH36_P3_C06	-0.372021234419	red	1	0.11636	3.5349
MGH36_P3_C08	-0.492974176073	red	1	0.584	5.5409
MGH36_P3_C11	NA	black	0	0	4.9999
MGH36_P3_C12	NA	black	0	0	3.5068
MGH36_P3_D01	NA	black	0	0	3.62
MGH36_P3_D02	NA	black	0	0	2.3887
MGH36_P3_D03	NA	black	0	0.21661	0
MGH36_P3_D04	NA	black	0	0	4.9654
MGH36_P3_D07	NA	black	0	0.17377	0
MGH36_P3_D08	NA	black	0	0	2.7805
MGH36_P3_D09	NA	black	0	0	4.0121
MGH36_P3_D11	NA	black	0	0	4.1649
MGH36_P3_E02	NA	black	0	0	0.52306
MGH36_P3_E04	0.309494392619	green3	2	0.13488	1.0222
MGH36_P3_E05	0.372771687848	green3	2	0.30918	0.3115
MGH36_P3_E06	NA	black	0	0	0.22157
MGH36_P3_E07	NA	black	0	0	0.24489
MGH36_P3_E08	-0.674512700016	red	1	0.16092	4.6439
MGH36_P3_E09	NA	black	0	0	1.9287
MGH36_P3_E10	0.444100647838	green3	2	0.12829	0.48027
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0	2.8323
MGH36_P3_F01	NA	black	0	0	0.16993
MGH36_P3_F02	NA	black	0	0	0.42223
MGH36_P3_F05	NA	black	0	0	4.2357
MGH36_P3_F06	0.225687807874	green3	2	0.27858	1.1641
MGH36_P3_F07	NA	black	0	0	0.57725
MGH36_P3_F08	NA	black	0	0	0.21537
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	0.512710978915	green3	2	0.15056	0.12565
MGH36_P3_F11	NA	black	0	0	0.3584
MGH36_P3_F12	NA	black	0	0	4.8329
MGH36_P3_G01	NA	black	0	0	0.35727
MGH36_P3_G02	NA	black	0	0	5.1266
MGH36_P3_G03	NA	black	0	0	0.8335
MGH36_P3_G04	0.489554192238	green3	2	0.11636	0.31962
MGH36_P3_G05	-0.578715927649	red	1	0.13356	4.2587
MGH36_P3_G06	NA	black	0	0	0.56949
MGH36_P3_G08	NA	black	0	0	0.33457
MGH36_P3_G09	NA	black	0	0	4.2678
MGH36_P3_G10	NA	black	0	0	1.3248
MGH36_P3_G11	-0.39380423086	red	1	0.11103	3.6003
MGH36_P3_G12	-0.0330987262831	red	1	0.096262	2.344
MGH36_P3_H03	-0.390597295613	red	1	0.32884	4.0136
MGH36_P3_H04	-0.348372906828	red	1	0.1635	3.5234
MGH36_P3_H05	NA	black	0	0	3.4433
MGH36_P3_H07	-0.515449866299	red	1	0.1865	4.1604
MGH36_P3_H08	NA	black	0	0	2.2546
MGH36_P3_H11	NA	black	0	0	3.8189
MGH36_P3_H12	-0.274404425702	red	1	0.65168	4.5478
MGH36_P4_A01	NA	black	0	0	0.23389
MGH36_P4_A02	NA	black	0	0	2.4683
MGH36_P4_A03	NA	black	0	0	4.2267
MGH36_P4_A04	0.270493187452	green3	2	0.50691	0.12961
MGH36_P4_A06	NA	black	0	0	0
MGH36_P4_A07	NA	black	0	0	3.1515
MGH36_P4_A08	NA	black	0	0	0.51904
MGH36_P4_A11	0.308998754731	green3	2	0.27262	0.75873
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	0	0.18777
MGH36_P4_B04	NA	black	0	0	0.26784
MGH36_P4_B05	NA	black	0	0	3.3262
MGH36_P4_B06	NA	black	0	0	0.76384
MGH36_P4_B08	-0.64686562666	red	1	0.16736	4.5679
MGH36_P4_B09	NA	black	0	0	0.45838
MGH36_P4_B12	NA	black	0	0	0.086784
MGH36_P4_C02	NA	black	0	0	0.19409
MGH36_P4_C03	NA	black	0	0.17249	0
MGH36_P4_C04	NA	black	0	0.22527	0
MGH36_P4_C05	NA	black	0	0	0.12168
MGH36_P4_C06	NA	black	0	0	4.2105
MGH36_P4_C07	-0.614372590723	red	1	0.13225	4.3734
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	NA	black	0	0	0.26424
MGH36_P4_C11	NA	black	0	0	5.9726
MGH36_P4_C12	-0.840371830603	red	1	0.12565	5.0826
MGH36_P4_D01	NA	black	0	0	0.15963
MGH36_P4_D02	NA	black	0	0	4.2851
MGH36_P4_D05	NA	black	0	0	0.25217
MGH36_P4_D07	NA	black	0	0	0.11103
MGH36_P4_D08	NA	black	0	0	5.7746
MGH36_P4_D09	NA	black	0	0	0.123
MGH36_P4_D10	NA	black	0	0	4.4757
MGH36_P4_D11	NA	black	0	0	5.0833
MGH36_P4_D12	NA	black	0	0	0.0028825
MGH36_P4_E01	NA	black	0	0	3.2738
MGH36_P4_E02	NA	black	0	0	4.0346
MGH36_P4_E04	NA	black	0	0	0.51096
MGH36_P4_E06	NA	black	0	0	3.8034
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	0	0.41359
MGH36_P4_E09	-1.07737619029	red	1	0.1635	5.9541
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	-0.114038715612	red	1	1.1596	0.79826
MGH36_P4_F01	NA	black	0	0	0.11503
MGH36_P4_F02	-0.489382513009	red	1	0.1776	4.0491
MGH36_P4_F03	NA	black	0	0	2.6787
MGH36_P4_F04	NA	black	0	0	4.0369
MGH36_P4_F05	NA	black	0	0	4.5507
MGH36_P4_F06	NA	black	0	0	4.7944
MGH36_P4_F07	NA	black	0	0	2.727
MGH36_P4_F09	NA	black	0	0	0.16864
MGH36_P4_F10	NA	black	0	0	0.11636
MGH36_P4_F11	NA	black	0	0	0.21039
MGH36_P4_F12	0.0993047964265	red	1	0.16993	1.8351
MGH36_P4_G01	NA	black	0	0	3.4805
MGH36_P4_G02	NA	black	0	0	6.3116
MGH36_P4_G03	NA	black	0	0	0.38626
MGH36_P4_G04	NA	black	0	0	2.9514
MGH36_P4_G05	NA	black	0	0	0.8536
MGH36_P4_G06	NA	black	0	0	0.1776
MGH36_P4_G08	NA	black	0	0	0
MGH36_P4_G09	NA	black	0	0.36625	0
MGH36_P4_G10	NA	black	0	0	0.11103
MGH36_P4_G11	NA	black	0	0	0.39397
MGH36_P4_H01	NA	black	0	0	3.9372
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	-0.902792763924	red	1	0.21288	5.573
MGH36_P4_H04	0.311483507544	green3	2	0.43082	0.20914
MGH36_P4_H05	NA	black	0	0	0.13488
MGH36_P4_H09	-0.179073761983	red	1	0.18015	2.9216
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	3.5737
MGH36_P6_A04	NA	black	0	0	0.23634
MGH36_P6_A05	NA	black	0	0	0.29042
MGH36_P6_A07	0.48738508094	green3	2	0.16993	0.18142
MGH36_P6_A08	NA	black	0	0	0.27977
MGH36_P6_A09	NA	black	0	0	0.3774
MGH36_P6_A10	NA	black	0	0	0.084064
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0	5.8989
MGH36_P6_B04	NA	black	0	0	1.7502
MGH36_P6_B05	0.229717163271	green3	2	0.12697	1.3511
MGH36_P6_B06	-0.332263924443	red	1	0.12433	3.4105
MGH36_P6_B10	NA	black	0	0	4.1595
MGH36_P6_B11	NA	black	0	0	0.29866
MGH36_P6_B12	NA	black	0	0.36961	0
