Cell_name	Zvalue	Color	Cluster	IGF1	NCOR1
MGH97_P7_E10	NA	black	0	0	2.4133
MGH97_P7_A02	0.180361913511	red	1	0.21039	1.224
MGH97_P7_C01	NA	black	0	0	3.6429
MGH97_P7_D06	NA	black	0	0	1.3016
MGH97_P7_H08	NA	black	0	0	3.6803
MGH97_P7_G11	NA	black	0	0	2.3818
MGH97_P7_A08	NA	black	0	0	2.5331
MGH97_P7_F07	NA	black	0	0	1.3702
MGH97_P7_C04	NA	black	0	0	3.1936
MGH97_P7_C02	0.152881288121	red	1	0.16736	1.8172
MGH97_P7_F10	NA	black	0	0	2.8683
MGH97_P7_H05	0.439347673768	green3	2	0.1375	0.47405
MGH97_P7_B04	0.125387355392	red	1	0.57046	3.2686
MGH97_P7_F09	NA	black	0	0	2.0707
MGH97_P7_H02	NA	black	0	0	3.1698
MGH97_P7_C11	0.357305356267	red	1	0.1865	0.24367
MGH97_P7_G07	0.0968128497971	red	1	0.20914	1.9475
MGH97_P7_F06	NA	black	0	0	2.1502
MGH97_P7_A06	NA	black	0	0	0.17121
MGH97_P7_D12	NA	black	0	0	2.9884
MGH97_P7_B02	NA	black	0	0	2.2756
MGH97_P7_E03	NA	black	0	0.14012	0
MGH97_P7_D02	NA	black	0	0	1.3874
MGH97_P7_B11	0.505254242503	green3	2	0.13356	0.18523
MGH97_P7_E09	0.036162633276	red	1	0.11503	2.6022
MGH97_P7_B01	NA	black	0	0	2.4241
MGH97_P7_G06	NA	black	0	0	0.64985
MGH97_P7_B07	NA	black	0	0	5.5719
MGH97_P7_C05	NA	black	0	0	1.8049
MGH97_P7_E07	0.164495413684	red	1	0.23266	1.0201
MGH97_P7_B12	-0.466692723034	red	1	0.0086303	4.2267
MGH97_P7_H07	0.314285383874	red	1	0.19409	0.41792
MGH97_P7_D04	NA	black	0	0	3.5629
MGH97_P7_C06	NA	black	0	0	3.569
MGH97_P7_G09	0.0229320198204	red	1	0.19535	2.5969
MGH97_P7_E06	-0.298377452633	red	1	0.17632	4.7681
MGH97_P7_F04	NA	black	0	0	3.5393
MGH97_P7_C09	NA	black	0	0.082703	0
MGH97_P7_G03	NA	black	0	0	1.6563
MGH97_P7_H01	NA	black	0	0	1.8082
MGH97_P7_B06	NA	black	0	0	2.0147
MGH97_P7_C08	0.0900788739093	red	1	0.27381	1.037
MGH97_P7_E08	-0.00014486557386	red	1	0.32539	2.676
MGH97_P7_F01	NA	black	0	0	1.1616
MGH97_P7_H03	NA	black	0	0	3.1593
MGH97_P7_B10	NA	black	0	0	3.3734
MGH97_P7_E11	NA	black	0	0	2.9281
MGH97_P7_C03	NA	black	0	0	3.3818
MGH97_P7_H12	NA	black	0	0	0
MGH97_P7_D07	NA	black	0	0	3.2623
MGH97_P7_A11	NA	black	0	0	0
MGH97_P7_A01	NA	black	0	0	0.54794
MGH97_P7_F12	NA	black	0	0	1.5563
MGH97_P7_F08	0.148036383917	red	1	0.12168	2.0555
MGH97_P7_D11	NA	black	0	0	0.51197
MGH97_P7_H09	NA	black	0	0	0
MGH97_P7_D09	0.151136379755	red	1	0.18777	1.6875
MGH97_P7_C12	NA	black	0	0	2.1223
MGH97_P7_H11	-0.457070463176	red	1	0.11902	4.9717
MGH97_P7_A04	NA	black	0	0	1.8335
MGH97_P7_H06	NA	black	0	0	0
MGH97_P7_F03	NA	black	0	0	2.115
MGH97_P7_A07	NA	black	0	0	3.1798
MGH97_P7_F11	NA	black	0	0	4.267
MGH97_P7_G08	NA	black	0	0	3.4009
MGH97_P7_E02	NA	black	0	0	0.50792
MGH97_P7_C07	NA	black	0	0	2.2376
MGH97_P7_A09	NA	black	0	0	1.2284
MGH97_P7_B09	NA	black	0	0	3.7954
MGH97_P7_G10	-0.38987383976	red	1	0.11503	4.6103
MGH97_P7_G02	NA	black	0	0	3.8316
MGH97_P7_H04	NA	black	0	0	2.7448
MGH97_P7_G01	NA	black	0	0	3.2984
MGH97_P7_E05	NA	black	0	0	2.9672
MGH97_P7_E04	NA	black	0	0	3.0958
MGH97_P7_E01	NA	black	0	0	3.5117
MGH97_P7_F05	NA	black	0	0	2.2035
MGH97_P7_D05	NA	black	0	0	2.5751
MGH97_P7_A03	-0.116122116661	red	1	0.090853	3.2608
MGH97_P7_B03	-0.208534164173	red	1	0.12829	3.8197
MGH97_P7_A05	NA	black	0	0	2.4425
MGH97_P7_D03	NA	black	0	0	3.4564
MGH97_P7_F02	0.0653544848167	red	1	0.11636	2.4634
MGH97_P7_G05	NA	black	0	0	0
MGH97_P7_D08	NA	black	0	0	3.8414
MGH97_P7_G04	0.00117066185976	red	1	0.097611	2.7668
MGH97_P8_A11	-0.135872079559	red	1	0.09356	3.3508
MGH97_P10_A12	NA	black	0	0	2.8994
MGH97_P10_E09	NA	black	0	0	1.9475
MGH97_P9_B12	NA	black	0	0	2.6234
MGH97_P10_D07	NA	black	0	0	3.6089
MGH97_P8_D11	NA	black	0	0	3.0243
MGH97_P8_G05	NA	black	0	0	1.3288
MGH97_P9_C05	NA	black	0	0	2.0374
MGH97_P8_D03	0.312149125542	red	1	0.20789	0.16092
MGH97_P8_H05	NA	black	0	0	2.908
MGH97_P10_A09	0.417125720452	green3	2	0.12829	0.69153
MGH97_P10_E03	NA	black	0	0.27262	0
MGH97_P10_D04	-0.0147744654715	red	1	0.29631	3.3022
MGH97_P9_D12	NA	black	0	0	3.4407
MGH97_P8_H06	-0.147513520103	red	1	0.17632	3.7549
MGH97_P8_H11	0.00115757934826	red	1	0.32193	2.2519
MGH97_P9_F12	NA	black	0	0	3.244
MGH97_P8_D07	NA	black	0	0	2.1773
MGH97_P8_H02	NA	black	0	0	1.2203
MGH97_P8_D01	NA	black	0	0	3.2223
MGH97_P10_C04	NA	black	0	0	2.4271
MGH97_P9_E06	NA	black	0	0	0.37295
MGH97_P8_F12	0.0137423438265	red	1	0.34028	3.5717
MGH97_P8_H01	NA	black	0	0	3.0076
MGH97_P8_A05	0.0631327481517	red	1	0.11237	2.4795
MGH97_P9_F10	NA	black	0	0	4.8571
MGH97_P10_F10	-0.238483221184	red	1	0.034216	3.5801
MGH97_P9_G12	NA	black	0	0	2.6138
MGH97_P8_B04	0.334520100918	red	1	0.15963	0.7866
MGH97_P8_E11	NA	black	0	0	3.6142
MGH97_P9_G10	NA	black	0	0	3.8429
MGH97_P10_D11	-0.054037805014	red	1	0.05797	2.9712
MGH97_P10_D01	NA	black	0	0	2.1654
MGH97_P10_H04	NA	black	0	0	1.8572
MGH97_P10_D12	0.0409570918387	red	1	0.1003	2.5924
MGH97_P8_D04	NA	black	0	0	3.722
MGH97_P8_F08	-0.0568711907857	red	1	0.17505	3.1467
MGH97_P9_E10	NA	black	0	0	4.4759
MGH97_P9_D11	NA	black	0	0	4.7929
MGH97_P8_A02	NA	black	0	0	2.0328
MGH97_P9_F01	NA	black	0	0	2.275
MGH97_P8_B08	-0.0133350662597	red	1	0.31383	4.1735
MGH97_P8_A09	-0.104118277822	red	1	0.12961	3.2978
MGH97_P9_A03	0.882414709176	black	0	1.2425	3.7107
MGH97_P9_G09	NA	black	0	0	2.9688
MGH97_P10_E02	NA	black	0	0	2.8781
MGH97_P10_H08	NA	black	0	0	3.033
MGH97_P9_G04	NA	black	0	0	4.2959
MGH97_P8_G11	0.505715093379	green3	2	0.13225	0.20038
MGH97_P10_A06	NA	black	0	0	3.6026
MGH97_P10_F08	NA	black	0	0	3.2839
MGH97_P8_E08	0.0277926237384	red	1	0.070389	2.6645
MGH97_P8_G08	NA	black	0	0	2.706
MGH97_P10_B07	NA	black	0	0	3.3912
MGH97_P9_G11	0.130772616115	red	1	0.15445	2.0169
MGH97_P8_F11	NA	black	0	0	2.9618
MGH97_P8_F05	-0.078943098121	red	1	0.24489	3.7575
MGH97_P9_A01	NA	black	0	0	1.7497
MGH97_P10_F01	NA	black	0	0	0.09356
MGH97_P8_C10	NA	black	0	0	2.7995
MGH97_P8_E02	NA	black	0	0	2.5898
MGH97_P10_B05	NA	black	0	0	2.9917
MGH97_P8_G04	NA	black	0	0	2.1941
MGH97_P9_B02	NA	black	0	0	2.6164
MGH97_P8_H08	-0.00640297939489	red	1	0.19156	2.8191
MGH97_P8_F01	NA	black	0	0	2.7853
MGH97_P10_H09	NA	black	0	0	2.5634
MGH97_P10_E06	NA	black	0	0	3.2366
MGH97_P10_D10	0.476708501424	green3	2	0.11636	0.53107
MGH97_P10_A03	-0.174356417807	red	1	0.20038	4.1636
MGH97_P10_A05	0.0184936405335	red	1	0.301	1.9917
MGH97_P10_A01	NA	black	0	0	2.216
MGH97_P9_D09	-0.187769433079	red	1	0.15445	3.8616
MGH97_P9_D06	NA	black	0	0	0
MGH97_P9_G05	NA	black	0	0	2.7115
MGH97_P10_E05	NA	black	0	0	2.4924
MGH97_P8_F10	NA	black	0	0	3.5502
MGH97_P10_A04	0.0953106033653	red	1	0.05797	2.4209
MGH97_P9_A07	NA	black	0	0	4.3954
MGH97_P9_A08	NA	black	0	0	3.027
MGH97_P9_H12	NA	black	0	0	1.1865
MGH97_P10_G03	0.0052482179045	red	1	0.21785	2.7231
MGH97_P8_B03	NA	black	0	0	0.30217
MGH97_P10_H07	NA	black	0	0	3.6056
MGH97_P10_E01	NA	black	0	0	3.7377
MGH97_P9_F11	-0.065226785997	red	1	0.096262	3.0529
MGH97_P8_B12	NA	black	0	0	4.596
MGH97_P9_H02	NA	black	0	0	0
MGH97_P9_C11	-0.1247266207	red	1	0.19156	3.6989
MGH97_P8_A01	NA	black	0	0	2.1612
MGH97_P10_F07	NA	black	0	0	0
MGH97_P10_G01	NA	black	0	0	0.67446
MGH97_P10_H05	0.00686908770782	red	1	0.11503	2.7396
MGH97_P9_F07	NA	black	0	0	2.6339
MGH97_P9_D08	NA	black	0	0	1.6938
MGH97_P9_E05	NA	black	0	0	3.7686
MGH97_P8_B09	-0.0117919369413	red	1	0.20914	2.8724
MGH97_P10_E12	NA	black	0	0	0
MGH97_P10_B10	NA	black	0	0	2.7922
MGH97_P9_E03	0.0641839683874	red	1	0.27739	1.4367
MGH97_P9_G07	NA	black	0	0	3.3022
MGH97_P9_C09	-0.108067129734	red	1	0.2461	4.146
MGH97_P10_B11	0.477658771922	green3	2	0.11902	0.49774
MGH97_P9_B05	NA	black	0	0	0.81065
MGH97_P9_A12	NA	black	0	0	2.1486
MGH97_P8_D10	0.00357849509216	red	1	0.32654	3.8573
MGH97_P8_C05	NA	black	0	0	2.9797
MGH97_P9_D02	NA	black	0	0	2.6913
MGH97_P9_D07	NA	black	0	0	2.4634
MGH97_P8_F03	-0.312598372021	red	1	0.10969	4.2074
MGH97_P8_C12	NA	black	0	0	3.3695
MGH97_P10_E10	NA	black	0	0	4.45
MGH97_P10_H10	-0.219801365009	red	1	0.13093	3.8917
MGH97_P10_C07	0.00963047992931	red	1	0.12565	2.7242
MGH97_P9_E04	NA	black	0	0	1.2642
MGH97_P8_H10	NA	black	0	0	2.9544
MGH97_P9_F03	NA	black	0	0	2.9447
MGH97_P10_C08	-0.0857153381052	red	1	0.10568	3.1572
MGH97_P8_B11	NA	black	0	0	2.146
MGH97_P10_C01	NA	black	0	0	2.2299
MGH97_P9_D04	NA	black	0	0.69064	0
MGH97_P10_B06	NA	black	0	0	2.362
MGH97_P8_H09	NA	black	0	0	2.104
MGH97_P9_F05	-0.0257685394349	red	1	0.19409	2.9664
MGH97_P9_B04	NA	black	0	0	2.7956
MGH97_P9_C12	NA	black	0	0	2.244
MGH97_P8_B02	NA	black	0	0	1.2654
MGH97_P9_F04	NA	black	0	0	1.8111
MGH97_P10_G02	NA	black	0	0	4.5141
MGH97_P9_B07	NA	black	0	0	4.1037
MGH97_P10_D08	NA	black	0	0	0
MGH97_P10_G12	NA	black	0	0.18903	0
MGH97_P9_A02	NA	black	0	0	3.1
MGH97_P8_G03	NA	black	0	0	0.96273
MGH97_P8_D09	NA	black	0	0	2.609
MGH97_P10_C06	NA	black	0	0	3.825
MGH97_P8_H03	NA	black	0	0	2.7347
MGH97_P8_A10	NA	black	0	0	3.4834
MGH97_P8_B06	NA	black	0	0	0.89763
MGH97_P9_G08	NA	black	0	0	2.3036
MGH97_P8_B01	NA	black	0	0	2.4155
MGH97_P10_B08	-0.0470311147566	red	1	0.19156	3.1205
MGH97_P10_C12	NA	black	0	0	0.4782
MGH97_P9_A10	NA	black	0	0	4.3816
MGH97_P9_C10	NA	black	0	0	3.2373
MGH97_P9_G03	NA	black	0	0	2.7811
MGH97_P10_B02	NA	black	0	0	0
MGH97_P10_A08	0.151069225271	red	1	0.096262	2.1223
MGH97_P8_C09	0.072224942039	red	1	0.14535	2.3757
MGH97_P10_D05	NA	black	0	0	3.1499
MGH97_P10_F02	NA	black	0	0	3.4136
MGH97_P9_D10	0.0978836063961	red	1	0.11103	2.3216
MGH97_P8_D08	NA	black	0	0	1.1368
MGH97_P9_H11	0.393382517547	red	1	0.044044	1.3973
MGH97_P8_C06	-0.194118400711	red	1	0.10836	3.6565
MGH97_P8_A03	NA	black	0	0	2.7662
MGH97_P9_C04	NA	black	0	0	0
MGH97_P8_E01	NA	black	0	0	1.9426
MGH97_P10_D02	NA	black	0	0	0.78743
MGH97_P9_E12	NA	black	0	0	4.1756
MGH97_P9_A05	NA	black	0	0	1.1789
MGH97_P10_F06	-0.104794953648	red	1	0.11503	3.2642
MGH97_P9_E01	NA	black	0	0	2.7292
MGH97_P8_G06	NA	black	0	0	1.9811
MGH97_P10_B03	NA	black	0	0	1.1953
MGH97_P9_H08	NA	black	0	0	1.7668
MGH97_P9_E08	NA	black	0	0	0.66812
MGH97_P8_C07	NA	black	0	0	2.105
MGH97_P9_A06	NA	black	0	0	3.8868
MGH97_P8_E04	-0.141431188227	red	1	0.074505	3.3284
MGH97_P8_C11	NA	black	0	0	3.3475
MGH97_P9_C03	NA	black	0	0	3.5832
MGH97_P8_E03	-0.0855424812375	red	1	0.10702	3.1588
MGH97_P10_B01	-0.031816360781	red	1	0.301	4.1794
MGH97_P9_B11	0.414060883789	green3	2	0.52707	4.7589
MGH97_P9_G02	NA	black	0	0	2.4193
MGH97_P8_G02	NA	black	0	0	1.3768
MGH97_P10_G10	NA	black	0	0	3.5646
MGH97_P9_G06	NA	black	0	0	3.7158
MGH97_P9_E02	0.406053220188	red	1	0.14926	0.50589
MGH97_P9_C06	NA	black	0	0	3.9645
MGH97_P10_H06	0.0254257006026	red	1	0.13225	2.6418
MGH97_P8_B05	NA	black	0	0	0
MGH97_P9_F08	NA	black	0	0	0.26784
MGH97_P10_F05	-0.0789693124113	red	1	0.23879	3.6863
MGH97_P8_D06	NA	black	0	0	2.7148
MGH97_P8_D12	-0.255147478764	red	1	0.12565	4.0376
MGH97_P9_H06	NA	black	0	0	3.4775
MGH97_P9_C08	NA	black	0	0	3.7209
MGH97_P10_D06	NA	black	0	0	3.039
MGH97_P8_G12	NA	black	0	0	2.7364
MGH97_P10_C10	NA	black	0	0	2.4436
MGH97_P8_H07	NA	black	0	0	0.68975
MGH97_P10_E08	NA	black	0	0	0.60502
MGH97_P10_G11	NA	black	0	0	2.0895
MGH97_P10_E07	NA	black	0	0	0.085425
MGH97_P10_F03	NA	black	0	0	2.1664
MGH97_P8_F09	NA	black	0	0	2.1017
MGH97_P10_F04	-0.0301573083309	red	1	0.24245	3.1354
MGH97_P9_H03	-0.0170939952243	red	1	0.2762	3.1243
MGH97_P10_D09	NA	black	0	0	4.1235
MGH97_P8_C01	NA	black	0	0	0
MGH97_P9_C02	NA	black	0	0	2.2437
MGH97_P8_F07	NA	black	0	0	3.229
MGH97_P10_G06	NA	black	0	0	2.8074
MGH97_P9_B01	0.0202355578106	red	1	0.34937	3.537
MGH97_P10_E04	NA	black	0	0	4.6131
MGH97_P8_B07	-0.124109841402	red	1	0.11103	3.3441
MGH97_P8_G07	-0.0682414735913	red	1	0.10836	3.0824
MGH97_P9_B08	NA	black	0	0	4.3729
MGH97_P9_C01	NA	black	0	0	2.344
MGH97_P8_G01	-0.0637772199469	red	1	0.14405	3.1197
MGH97_P9_H04	0.0663471163343	red	1	0.20789	2.2123
MGH97_P10_F11	0.233138494864	red	1	0.47197	4.306
MGH97_P10_D03	NA	black	0	0	0.41684
MGH97_P10_C09	-0.259774158429	red	1	0.14012	4.1629
MGH97_P8_E06	-0.00818651910466	red	1	0.15186	2.8184
MGH97_P8_E09	NA	black	0	0	0.87499
MGH97_P8_E05	-0.0910165210936	red	1	0.1865	3.4226
MGH97_P8_A08	NA	black	0	0	2.0068
MGH97_P10_F12	0.122165716675	red	1	0.079975	2.2815
MGH97_P9_D01	NA	black	0	0	2.0208
MGH97_P9_E09	-0.178358767923	red	1	0.12565	3.6557
MGH97_P8_A06	NA	black	0	0	2.7807
MGH97_P10_C02	NA	black	0	0	2.8412
MGH97_P10_C11	NA	black	0	0	3.8558
MGH97_P8_B10	NA	black	0	0	2.8742
MGH97_P9_E11	-0.111258547813	red	1	0.098958	3.2572
MGH97_P9_F06	NA	black	0	0	3.5652
MGH97_P10_H11	NA	black	0	0	2.3732
MGH97_P9_B06	0.067757662333	red	1	0.03984	2.5383
MGH97_P10_E11	NA	black	0	0	1.7334
MGH97_P9_B09	NA	black	0	0	2.4939
MGH97_P9_B03	-0.0171958041498	red	1	0.13619	2.8616
MGH97_P9_B10	-0.0576555338499	red	1	0.089498	3.0131
MGH97_P8_H12	0.260245357854	red	1	0.12565	1.489
MGH97_P10_A02	NA	black	0	0	3.1952
MGH97_P8_A04	NA	black	0	0	1.8699
MGH97_P10_G05	0.00825597127184	red	1	0.30451	2.3576
MGH97_P9_H10	-0.271114923187	red	1	0.089498	3.9085
MGH97_P9_A11	0.10709171882	red	1	0.22774	1.6857
MGH97_P8_A12	0.390092119287	red	1	0.16736	0.34596
MGH97_P8_C08	0.0619457494404	red	1	0.2762	1.514
MGH97_P8_A07	NA	black	0	0	2.6332
MGH97_P10_H03	NA	black	0	0	0.30568
MGH97_P8_H04	NA	black	0	0	0
MGH97_P9_C07	NA	black	0	0	3.6138
MGH97_P9_H07	-0.196173766447	red	1	0.15186	3.8933
MGH97_P8_C02	NA	black	0	0	0.8844
MGH97_P10_B09	-0.225962152917	red	1	0.14143	3.9899
MGH97_P9_E07	NA	black	0	0	1.6466
MGH97_P10_C03	-2.48221445737	black	0	2.1938	1.4631
93_P3_D02	NA	black	0	0.26303	0
93_P3_B08	NA	black	0	0	2.1204
93_P3_D10	NA	black	0	0	3.6602
93_P3_H02	0.0439634826292	red	1	0.28688	1.6239
93_P3_E06	NA	black	0	0	3.5058
93_P3_F08	NA	black	0	0	1.5281
93_P3_F07	NA	black	0	0	3.6355
93_P3_B02	NA	black	0	0	3.3809
93_P3_G02	-0.19433803338	red	1	0.12168	3.7161
93_P3_G06	NA	black	0	0	4.0277
93_P3_F05	NA	black	0	0	0.13093
93_P3_H01	NA	black	0	0	4.2276
93_P3_F06	NA	black	0	0	2.4428
93_P3_D08	NA	black	0	0	3.5055
93_P3_E03	0.330744139358	red	1	0.12565	1.1427
93_P3_A04	NA	black	0	0	3.3205
93_P3_H03	NA	black	0	0	3.767
93_P3_H10	NA	black	0	0	1.346
93_P3_A09	NA	black	0	0	2.5408
93_P3_D11	NA	black	0	0	0
93_P3_E12	NA	black	0	0	3.6404
93_P3_G05	NA	black	0	0	2.1427
93_P3_D12	NA	black	0	0	3.76
93_P3_E11	NA	black	0	0	5.3771
93_P3_B10	NA	black	0	0	3.5515
93_P3_B05	-0.295078947935	red	1	0.15056	4.4491
93_P3_H08	NA	black	0	0	5.4852
93_P3_H04	0.340962508546	red	1	0.070389	1.4568
93_P3_F12	NA	black	0	0	3.9235
93_P3_A07	NA	black	0	0	2.0566
93_P3_E04	NA	black	0	0	5.0475
93_P3_C07	NA	black	0	0	1.326
93_P3_G09	NA	black	0	0	3.8764
93_P3_A03	NA	black	0	0	4.6434
93_P3_D05	NA	black	0	0	2.9103
93_P3_A10	NA	black	0	0	1.5023
93_P3_E02	NA	black	0	0	0
93_P3_C04	NA	black	0	0	3.6405
93_P3_F02	-0.0532604752725	red	1	0.18269	3.1419
93_P3_E07	0.0840691379395	red	1	0.13225	2.3423
93_P3_D09	0.464294648027	green3	2	0.12433	0.50284
93_P3_D07	NA	black	0	0	2.0925
93_P3_G12	NA	black	0	0	3.9155
93_P3_A05	NA	black	0	0	4.041
93_P3_C05	NA	black	0	0	1.2079
93_P3_F09	NA	black	0	0	0.68167
93_P3_G07	NA	black	0	0	2.3651
93_P3_C01	NA	black	0	0	3.7473
93_P3_C11	-0.00204074528199	red	1	0.16221	2.7841
93_P3_E05	NA	black	0	0	4.1042
93_P3_A12	-0.243518588219	red	1	0.084064	3.7693
93_P3_E09	NA	black	0	0	2.8307
93_P3_D03	-0.0196106055424	red	1	0.17377	2.8998
93_P3_D01	NA	black	0	0	3.0233
93_P3_G04	NA	black	0	0	3.7347
93_P3_E01	NA	black	0	0	4.2487
93_P3_G11	NA	black	0	0	3.3981
93_P3_A06	0.0466100391117	red	1	0.28096	1.7194
93_P3_G10	NA	black	0	0	4.252
93_P3_A11	NA	black	0	0	3.5707
93_P3_C03	-0.110254292315	red	1	0.1137	3.2866
93_P3_B11	-0.09815130574	red	1	0.15834	3.3539
93_P3_G08	-0.076784192655	red	1	0.1375	3.176
93_P3_B06	NA	black	0	0	3.2956
93_P3_A02	NA	black	0	0	2.6823
93_P3_D06	NA	black	0	0	2.9919
93_P3_B12	NA	black	0	0	2.211
