Cell_name	Zvalue	Color	Cluster	HTT	SP1
MGH53_P1_B03	-1.40507711263	red	1	0.15056	3.1047
MGH53_P2_D05	NA	black	0	0	0
MGH36_P4_G12	NA	black	0	0	1.4993
MGH53_P2_D11	-0.716866470629	green3	2	0.61259	2.9804
MGH53_P4_C02	NA	black	0	0	0.09356
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	NA	black	0	0	0.31846
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0.038436	0
MGH53_P2_G03	NA	black	0	0.54794	0
MGH36_P3_F04	NA	black	0	0	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	NA	black	0	0.14274	0
MGH53_P2_E02	0.217954109648	green3	2	3.1316	1.7185
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0	0
MGH53_P2_H09	NA	black	0	2.1174	0
MGH54_P2_F07	NA	black	0	1.9653	0
MGH36_P5_D10	NA	black	0	0	0
MGH54_P2_F11	NA	black	0	0	0.27023
MGH53_P2_H04	NA	black	0	0	0
MGH36_P6_F09	NA	black	0	0	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0	2.3237
MGH54_P2_A07	NA	black	0	0	0
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0	0.066261
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	1.3016	0
MGH53_P4_F07	NA	black	0	0	2.9727
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	-0.0592888664832	green3	2	1.175	0.27023
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	-0.488001147453	green3	2	2.8373	1.224
MGH53_P4_E03	NA	black	0	0	0.21785
MGH36_P9_D12	NA	black	0	2.2113	0
MGH54_P2_H03	NA	black	0	0	0
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0.35614	0
MGH53_P4_F03	NA	black	0	0	1.1486
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0	0
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0.3505	0
MGH54_P2_D08	NA	black	0	2.7933	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	NA	black	0	2.7414	0
MGH36_P10_A01	NA	black	0	0	2.1535
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	2.167
MGH53_P1_F12	-1.56053535627	red	1	0.24489	3.4439
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0.20289
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	-0.580476380401	green3	2	0.090853	2.1332
MGH53_P4_H09	NA	black	0	0	1.3929
MGH36_P8_H02	NA	black	0	0	2.5028
MGH36_P10_H10	NA	black	0	0.055196	0
MGH53_P1_A12	NA	black	0	0.15704	0
MGH36_P8_F08	NA	black	0	0	0
MGH53_P1_D10	NA	black	0	0.52406	0
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0	0
MGH53_P4_C08	NA	black	0	0.034216	0
MGH36_P5_E04	NA	black	0	0	2.4109
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	NA	black	0	0.12697	0
MGH53_P1_C12	NA	black	0	0	1.5524
MGH36_P8_F06	NA	black	0	0.67446	0
MGH36_P1_G11	NA	black	0	0.0043216	0
MGH53_P1_F02	NA	black	0	0.39616	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0.12433	0
MGH53_P2_H03	NA	black	0	0	0
MGH53_P4_B03	NA	black	0	0	0
MGH53_P1_F10	-1.91685676182	red	1	3.11	0.41143
MGH53_P4_B05	NA	black	0	0	1.2839
MGH53_P2_B08	NA	black	0	0.17249	0
MGH36_P3_B06	NA	black	0	0	0
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	NA	black	0	0	0
MGH54_P2_G09	0.852462708363	green3	2	1.7398	3.5189
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	NA	black	0	0.85599	0
MGH36_P8_F11	-1.55473000327	red	1	0.062122	3.1345
MGH53_P2_A10	NA	black	0	0.48749	0
MGH54_P2_E09	NA	black	0	0	0
MGH36_P3_H06	NA	black	0	0	0
MGH36_P5_D05	NA	black	0	0	0
MGH54_P2_A11	NA	black	0	0	0
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	NA	black	0	0	0
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	-0.406787245581	green3	2	1.7053	0.67987
MGH36_P1_B01	NA	black	0	0	0
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0	0
MGH36_P6_H05	0.614731884734	green3	2	0.58496	0.084064
MGH36_P10_E06	NA	black	0	0	0
MGH54_P2_F03	NA	black	0	0	0.77062
MGH36_P4_B10	NA	black	0	0.032806	0
MGH54_P2_F02	NA	black	0	0	2.7918
MGH36_P2_E11	NA	black	0	0	0
MGH54_P2_D11	NA	black	0	0	0
MGH54_P2_G01	NA	black	0	0	0
MGH36_P9_D02	NA	black	0	0	0.30918
MGH54_P2_E06	NA	black	0	2.3696	0
MGH54_P16_F12	NA	black	0	0	0.084064
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	0.138903984727	green3	2	1.5553	1.9683
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	-0.0542162376995	green3	2	1.281	1.0524
MGH53_P1_E03	NA	black	0	2.4823	0
MGH54_P15_D06	NA	black	0	0	0.11103
MGH54_P14_F05	NA	black	0	0	0.50487
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0.2558	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0.3774
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0.1177	0
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	0	0.48336
MGH53_P11_F06	NA	black	0	0	2.9723
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	2.5346
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0.87657
MGH53_P1_A10	NA	black	0	0	3.1816
MGH53_P4_B12	NA	black	0	0	3.3745
MGH53_P5_H09	NA	black	0	0	4.5541
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	3.4714
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	3.5313
MGH53_P1_D07	NA	black	0	0	0.31499
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	-0.976072226505	green3	2	2.9392	0.91991
MGH53_P1_C05	NA	black	0	0.78994	0
MGH53_P2_G09	-1.00542665127	green3	2	0.10702	2.6114
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	3.3595	0
MGH54_P7_F12	NA	black	0	0	0.088142
MGH53_P8_F03	NA	black	0	0.8536	0
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0.051024	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0	0
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	NA	black	0	0	4.0634
MGH36_P1_A04	NA	black	0	2.0321	0
MGH36_P1_A05	NA	black	0	0	0
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	-1.97397540187	black	0	3.1773	0.41792
MGH36_P1_A10	0.201708980497	green3	2	1.688	2.009
MGH36_P1_A12	NA	black	0	0	0
MGH36_P1_B02	NA	black	0	1.7987	0
MGH36_P1_B03	NA	black	0	0	1.5099
MGH36_P1_B04	NA	black	0	0.017209	0
MGH36_P1_B06	NA	black	0	0	0
MGH36_P1_B07	NA	black	0	0	0.36177
MGH36_P1_B08	NA	black	0	0	0.052416
MGH36_P1_B09	NA	black	0	0	3.1401
MGH36_P1_B10	NA	black	0	0	0.61636
MGH36_P1_B11	NA	black	0	0.085425	0
MGH36_P1_B12	NA	black	0	0	2.224
MGH36_P1_C01	NA	black	0	0	0.70841
MGH36_P1_C03	NA	black	0	0.27262	0
MGH36_P1_C05	NA	black	0	0	4.6387
MGH36_P1_C06	-0.12050120618	green3	2	1.3016	0.67356
MGH36_P1_C07	NA	black	0	0	0
MGH36_P1_C08	NA	black	0	0	0
MGH36_P1_C09	NA	black	0	0	0
MGH36_P1_C10	NA	black	0	0.24975	0
MGH36_P1_C11	NA	black	0	0	0
MGH36_P1_D01	NA	black	0	1.8742	0
MGH36_P1_D02	NA	black	0	0.025738	0
MGH36_P1_D03	NA	black	0	0.4049	0
MGH36_P1_D04	NA	black	0	0	0
MGH36_P1_D06	NA	black	0	0	0
MGH36_P1_D07	NA	black	0	0	0
MGH36_P1_D08	NA	black	0	0	0
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	NA	black	0	0	1.9672
MGH36_P1_F02	NA	black	0	0	0.077243
MGH36_P1_F03	NA	black	0	0	2.3196
MGH36_P1_F04	NA	black	0	0	3.0616
MGH36_P1_F05	NA	black	0	2.3796	0
MGH36_P1_F06	NA	black	0	0	2.569
MGH36_P1_F08	NA	black	0	0	0.42438
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	-0.872818068202	green3	2	1.8024	0.011496
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	NA	black	0	0	0.84479
MGH36_P1_G04	NA	black	0	0	0
MGH36_P1_G07	1.13456498391	green3	2	2.1941	2.9375
MGH36_P1_G08	NA	black	0	0	0
MGH36_P1_G09	NA	black	0	0	0
MGH36_P1_H02	NA	black	0	0	0
MGH36_P1_H03	-0.210525959113	green3	2	1.3584	0.44255
MGH36_P1_H04	NA	black	0	0	0
MGH36_P1_H05	NA	black	0	2.4486	0
MGH36_P1_H06	NA	black	0	0	0
MGH36_P1_H07	NA	black	0	0	0
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0	0
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	0	1.7604
MGH36_P3_A04	NA	black	0	0	0
MGH36_P3_A05	NA	black	0	0	0
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	0.65168	0
MGH36_P3_A10	NA	black	0	0	2.7071
MGH36_P3_A12	NA	black	0	0	1.7442
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0.14274	0
MGH36_P3_B04	NA	black	0	0.85439	0
MGH36_P3_B09	NA	black	0	0	0
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	2.4049	0
MGH36_P3_B12	NA	black	0	0.22033	0
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	NA	black	0	0	0
MGH36_P3_C04	NA	black	0	0	0
MGH36_P3_C05	NA	black	0	0	0
MGH36_P3_C06	NA	black	0	0.056584	0
MGH36_P3_C08	NA	black	0	0	1.4988
MGH36_P3_C11	NA	black	0	0.26424	0
MGH36_P3_C12	NA	black	0	0.29396	0
MGH36_P3_D01	NA	black	0	0	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0	2.8877
MGH36_P3_D04	NA	black	0	0	0
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	NA	black	0	2.2657	0
MGH36_P3_D09	NA	black	0	0	0
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0	0
MGH36_P3_E05	NA	black	0	0.079975	0
MGH36_P3_E06	NA	black	0	0	0
MGH36_P3_E07	1.26697987811	green3	2	0.031395	0.056584
MGH36_P3_E08	NA	black	0	0	4.8693
MGH36_P3_E09	NA	black	0	2.1003	0
MGH36_P3_E10	NA	black	0	3.2762	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0	0
MGH36_P3_F01	NA	black	0	0	0
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	NA	black	0	0	3.8805
MGH36_P3_F06	NA	black	0	0	3.3623
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	NA	black	0	0.2857	0
MGH36_P3_F09	NA	black	0	0	4.3572
MGH36_P3_F10	NA	black	0	0	0
MGH36_P3_F11	NA	black	0	0	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	NA	black	0	0	0
MGH36_P3_G04	NA	black	0	0	0
MGH36_P3_G05	NA	black	0	0	0
MGH36_P3_G06	NA	black	0	0	0
MGH36_P3_G08	NA	black	0	2.7874	0
MGH36_P3_G09	NA	black	0	0	0
MGH36_P3_G10	NA	black	0	0	0
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	0.0229	0
MGH36_P3_H03	NA	black	0	0	0
MGH36_P3_H04	NA	black	0	0	0
MGH36_P3_H05	NA	black	0	0	1.9172
MGH36_P3_H07	NA	black	0	0	0
MGH36_P3_H08	NA	black	0	0	0
MGH36_P3_H11	NA	black	0	0	0
MGH36_P3_H12	NA	black	0	0	2.4084
MGH36_P4_A01	NA	black	0	1.7782	0
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	0	0
MGH36_P4_A04	NA	black	0	0	0
MGH36_P4_A06	NA	black	0	0.15316	0
MGH36_P4_A07	NA	black	0	2.8404	0
MGH36_P4_A08	NA	black	0	4.0135	0
MGH36_P4_A11	NA	black	0	0	0
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	0	0
MGH36_P4_B04	NA	black	0	0	0
MGH36_P4_B05	-0.0162027385229	green3	2	1.2104	1.2141
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	0	0
MGH36_P4_B09	NA	black	0	1.4967	0
MGH36_P4_B12	NA	black	0	0	0
MGH36_P4_C02	NA	black	0	0	0
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	2.5821	0
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	0	0.21909
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0	0
MGH36_P4_D01	NA	black	0	0	0
MGH36_P4_D02	NA	black	0	0	0
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	NA	black	0	0	0
MGH36_P4_D10	NA	black	0	0	0.73205
MGH36_P4_D11	NA	black	0	0	0
MGH36_P4_D12	NA	black	0	0	0
MGH36_P4_E01	NA	black	0	0	2.4531
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	0	1.6902
MGH36_P4_E06	NA	black	0	0	0
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0	0
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	NA	black	0	0	0
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	0
MGH36_P4_F05	NA	black	0	0.042644	0
MGH36_P4_F06	NA	black	0	0	0
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	3.2504	0
MGH36_P4_F10	NA	black	0	0	0
MGH36_P4_F11	NA	black	0	0.44996	0
MGH36_P4_F12	NA	black	0	0	3.6674
MGH36_P4_G01	NA	black	0	0	0
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0	0
MGH36_P4_G04	NA	black	0	0	0
MGH36_P4_G05	NA	black	0	0	0
MGH36_P4_G06	NA	black	0	0	0
MGH36_P4_G08	NA	black	0	0	3.2473
MGH36_P4_G09	NA	black	0	0	0
MGH36_P4_G10	NA	black	0	1.0922	0
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	1.9546	0
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0	0
MGH36_P4_H04	NA	black	0	2.845	0
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	0
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	0
MGH36_P6_A04	NA	black	0	0	0
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	NA	black	0	0	0
MGH36_P6_A08	NA	black	0	0.053806	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0	0
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0.071763	0
MGH36_P6_B04	NA	black	0	1.3306	0
MGH36_P6_B05	NA	black	0	0.15056	0
MGH36_P6_B06	NA	black	0	0	0
MGH36_P6_B10	NA	black	0	0	0
MGH36_P6_B11	NA	black	0	0	0
MGH36_P6_B12	NA	black	0	0.056584	0
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	0	0
MGH36_P6_C05	NA	black	0	0	0.92296
MGH36_P6_C06	NA	black	0	0	0
MGH36_P6_C07	NA	black	0	0	0
MGH36_P6_C08	NA	black	0	0	0
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	0
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	0
MGH36_P6_D04	NA	black	0	0	0
MGH36_P6_D05	NA	black	0	0	0
MGH36_P6_D06	NA	black	0	0	0
MGH36_P6_D07	NA	black	0	0	0
MGH36_P6_D08	NA	black	0	0	0.37962
MGH36_P6_D10	NA	black	0	0	0
MGH36_P6_D11	NA	black	0	0	2.9471
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	NA	black	0	0	0
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0	0
MGH36_P6_E07	NA	black	0	2.4936	0
MGH36_P6_E08	NA	black	0	0	0.082703
MGH36_P6_E09	NA	black	0	0	0
MGH36_P6_E10	NA	black	0	0	0
MGH36_P6_E11	NA	black	0	0	0.40708
MGH36_P6_E12	NA	black	0	0	0
MGH36_P6_F01	NA	black	0	0	0
MGH36_P6_F04	NA	black	0	0	0
MGH36_P6_F06	NA	black	0	0	0
MGH36_P6_F07	NA	black	0	0	0
MGH36_P6_F08	NA	black	0	0	0
MGH36_P6_F10	NA	black	0	0	0
MGH36_P6_F12	NA	black	0	0	0.32423
MGH36_P6_G01	NA	black	0	1.1846	0
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	0	0
MGH36_P6_G04	NA	black	0	0	0
MGH36_P6_G05	NA	black	0	0.027154	0
MGH36_P6_G06	NA	black	0	0	0
MGH36_P6_G07	NA	black	0	0	0
MGH36_P6_G08	NA	black	0	0.094912	0
MGH36_P6_G09	NA	black	0	0	0
MGH36_P6_G10	NA	black	0	0.025738	0
MGH36_P6_G11	NA	black	0	0	0
MGH36_P6_G12	NA	black	0	0	0
MGH36_P6_H06	NA	black	0	0	0
MGH36_P6_H07	NA	black	0	0	0
MGH36_P6_H10	NA	black	0	0	2.6904
MGH36_P6_H12	NA	black	0	0	0.42223
MGH36_P7_A01	NA	black	0	0.37518	0
MGH36_P7_A02	NA	black	0	0	0
MGH36_P7_A03	NA	black	0	0	0
MGH36_P7_A04	NA	black	0	2.2256	0
MGH36_P7_A06	NA	black	0	0	0
MGH36_P7_A07	NA	black	0	2.6064	0
MGH36_P7_A08	NA	black	0	0	0
MGH36_P7_A09	NA	black	0	0	0
MGH36_P7_A10	NA	black	0	0	0
MGH36_P7_A11	NA	black	0	0	0
MGH36_P7_A12	NA	black	0	0	0
MGH36_P7_B01	NA	black	0	0	0
MGH36_P7_B02	NA	black	0	1.4372	0
MGH36_P7_B03	NA	black	0	0	0
MGH36_P7_B04	NA	black	0	0	0
MGH36_P7_B06	NA	black	0	0	0
MGH36_P7_B07	NA	black	0	0	0
MGH36_P7_B08	NA	black	0	0	0.092207
MGH36_P7_B09	NA	black	0	0	0
MGH36_P7_B10	NA	black	0	0	0
MGH36_P7_B11	NA	black	0	0	0
MGH36_P7_B12	NA	black	0	0	0
MGH36_P7_C11	NA	black	0	0	1.168
MGH36_P7_D01	NA	black	0	0	0
MGH36_P7_D02	NA	black	0	0	0
MGH36_P7_D03	NA	black	0	0	0
MGH36_P7_D05	NA	black	0	0	0
MGH36_P7_D06	NA	black	0	0	0
MGH36_P7_D07	NA	black	0	0	0
MGH36_P7_D08	NA	black	0	0	0
MGH36_P7_D09	NA	black	0	0	0
MGH36_P7_D10	NA	black	0	0.052416	0
MGH36_P7_D11	NA	black	0	0	0
MGH36_P7_E01	NA	black	0	0	0
MGH36_P7_E03	NA	black	0	0	0
