Cell_name	Zvalue	Color	Cluster	ETV5	ICAM1
MGH54_P2_D08	0.751994274839	green3	2	0.96791	0.18269
MGH36_P8_A02	-0.502171319979	red	1	2.2314	6.0386
MGH54_P2_B07	NA	black	0	0.43936	0
MGH53_P1_B10	0.758438863587	green3	2	3.3561	4.0506
MGH53_P2_F08	NA	black	0	2.8805	0
MGH36_P10_A01	-0.716324560135	red	1	2.0895	7.0956
MGH36_P10_F01	-2.96156519981	black	0	1.1316	7.9476
MGH53_P4_G03	NA	black	0	1.08	0
MGH53_P1_F12	1.32186744719	black	0	4.0033	3.7079
MGH36_P4_B03	-2.65137086399	black	0	1.0779	6.4152
MGH54_P2_C07	NA	black	0	0	0.16479
MGH53_P1_B02	NA	black	0	2.9381	0
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	-0.408065985277	red	1	2.2887	5.9192
MGH53_P4_H09	NA	black	0	3.3445	0
MGH36_P8_H02	-0.455069029415	red	1	2.1519	8.1214
MGH36_P10_H10	-2.04964080776	black	0	0.82863	4.2783
MGH53_P1_A12	-0.240946077231	red	1	4.0506	0.2558
MGH36_P8_F08	-4.65542062803	black	0	0.33685	7.5888
MGH53_P1_D10	NA	black	0	0	3.8439
MGH53_P4_A09	NA	black	0	0	0.15056
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	0.396242079848	red	1	4.5853	1.4875
MGH53_P4_C08	-2.20827519563	black	0	0.21288	3.6918
MGH36_P5_E04	-0.516359190889	red	1	2.2296	4.5018
MGH53_P2_A07	0.0469381081594	red	1	2.6415	4.904
MGH54_P2_G10	NA	black	0	0	0
MGH36_P7_E06	NA	black	0	0	5.4707
MGH36_P9_D04	NA	black	0	0	6.8859
MGH53_P1_C12	-0.292845614656	red	1	4.124	0.15704
MGH36_P8_F06	-1.48220050743	black	0	1.6722	5.9672
MGH36_P1_G11	-4.79784264205	black	0	0.032806	6.792
MGH53_P1_F02	-0.132903002322	red	1	3.5406	0.25096
MGH54_P2_D10	-1.8438552841	black	0	1.2702	4.9724
MGH36_P9_A08	NA	black	0	0	6.4076
MGH53_P2_H03	NA	black	0	0	5.0369
MGH53_P4_B03	1.03821577973	green3	2	2.9405	6.7928
MGH53_P1_F10	-0.844264524522	red	1	1.8871	4.0035
MGH53_P4_B05	2.65350623337	black	0	5.1499	3.772
MGH53_P2_B08	NA	black	0	0.39726	0
MGH36_P3_B06	NA	black	0	0	6.1163
MGH36_P10_C02	NA	black	0	0	6.7369
MGH36_P2_E05	NA	black	0	0	1.8516
MGH54_P2_G09	NA	black	0	0	4.7378
MGH54_P2_D12	-1.03499296507	red	1	0.59168	2.5026
MGH53_P2_H02	-0.155934479764	red	1	2.3893	1.9512
MGH36_P8_F11	-0.77159830422	red	1	2.0772	6.4767
MGH53_P2_A10	NA	black	0	0	1.0279
MGH54_P2_E09	-0.462387993461	red	1	2.2741	5.2502
MGH36_P3_H06	NA	black	0	0	0.56852
MGH36_P5_D05	NA	black	0	0	5.6535
MGH54_P2_A11	NA	black	0	0	4.6498
MGH54_P2_G04	NA	black	0	4.1859	0
MGH36_P6_C01	2.41997613356	black	0	4.5224	4.4042
MGH53_P2_E06	4.29083840302	black	0	4.6476	6.3179
MGH53_P1_E01	4.22540787589	black	0	4.902	5.7374
MGH36_P1_B01	-0.486389565274	red	1	2.2206	3.8655
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	1.18409816298	green3	2	3.2925	5.4326
MGH36_P6_H05	-1.78456794076	black	0	0.077243	3.1008
MGH36_P10_E06	1.1723307888	green3	2	3.0185	6.7118
MGH54_P2_F03	-0.207575915087	red	1	2.4779	4.5043
MGH36_P4_B10	NA	black	0	0	6.9014
MGH54_P2_F02	-2.75124712669	black	0	0.89297	5.8458
MGH36_P2_E11	0.489993826467	red	1	2.7119	6.542
MGH54_P2_D11	2.34432597521	black	0	4.2236	4.8755
MGH54_P2_G01	NA	black	0	0	6.0154
MGH36_P9_D02	-0.268268335559	red	1	2.4367	3.8544
MGH54_P2_E06	-1.25712783375	black	0	1.1725	3.3707
MGH54_P16_F12	NA	black	0	0.28806	0
MGH53_P5_C12	NA	black	0	0	0.73725
MGH54_P12_C10	NA	black	0	2.0813	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	NA	black	0	0	0
MGH54_P15_D06	NA	black	0	0.53007	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	1.5395	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	0.63782599588	green3	2	1.1609	0.22651
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0	0.53605
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0	0
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0.25942
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0	0.31615
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0.27977
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0	0.16864
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	0	0
MGH53_P5_A05	NA	black	0	0	1.3092
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0.74674	0
MGH53_P11_F08	NA	black	0	4.3677	0
MGH54_P7_F12	NA	black	0	0	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0	0
MGH53_P6_H06	-0.0597481812037	red	1	3.238	0.24001
MGH36_P1_A01	NA	black	0	0	0
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	NA	black	0	1.2491	0
MGH36_P1_A04	NA	black	0	0.62854	0
MGH36_P1_A05	NA	black	0	0	0
MGH36_P1_A06	NA	black	0	0	0.069015
MGH36_P1_A08	1.15495340196	green3	2	0.20789	0.13488
MGH36_P1_A10	NA	black	0	1.5281	0
MGH36_P1_A12	NA	black	0	2.6722	0
MGH36_P1_B02	NA	black	0	3.5402	0
MGH36_P1_B03	NA	black	0	3.0512	0
MGH36_P1_B04	0.485003940105	red	1	1.7549	0.069015
MGH36_P1_B06	NA	black	0	2.3752	0
MGH36_P1_B07	0.336339660045	red	1	4.6765	1.3561
MGH36_P1_B08	NA	black	0	0	0
MGH36_P1_B09	NA	black	0	0	0.070389
MGH36_P1_B10	NA	black	0	0	0
MGH36_P1_B11	NA	black	0	2.7316	0
MGH36_P1_B12	NA	black	0	0	0.090853
MGH36_P1_C01	NA	black	0	0	0.079975
MGH36_P1_C03	NA	black	0	0.94035	0
MGH36_P1_C05	NA	black	0	0	0
MGH36_P1_C06	NA	black	0	0	0
MGH36_P1_C07	NA	black	0	0	0
MGH36_P1_C08	NA	black	0	0	0.069015
MGH36_P1_C09	1.14465009746	green3	2	0.39506	0.051024
MGH36_P1_C10	NA	black	0	0	0.086784
MGH36_P1_C11	NA	black	0	0	0
MGH36_P1_D01	NA	black	0	1.4641	0
MGH36_P1_D02	1.16668486447	green3	2	0.24245	0.10702
MGH36_P1_D03	NA	black	0	3.2553	0
MGH36_P1_D04	NA	black	0	1.7044	0
MGH36_P1_D06	NA	black	0	1.3567	0
MGH36_P1_D07	NA	black	0	0	0
MGH36_P1_D08	NA	black	0	0	0
MGH36_P1_D09	NA	black	0	0.123	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	NA	black	0	4.3585	0
MGH36_P1_F02	0.763810800049	green3	2	1.1414	0.062122
MGH36_P1_F03	NA	black	0	0	0
MGH36_P1_F04	NA	black	0	4.0317	0
MGH36_P1_F05	1.28064612945	black	0	0.089498	0.075875
MGH36_P1_F06	NA	black	0	4.7744	0
MGH36_P1_F08	1.01771508531	green3	2	0.50691	0.123
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	NA	black	0	0	0
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	NA	black	0	0	0
MGH36_P1_G04	-2.11233823141	black	0	0.68616	4.1396
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	NA	black	0	4.0066	0
MGH36_P1_G09	NA	black	0	0	0.39067
MGH36_P1_H02	-0.0149847417601	red	1	3.0736	0.064883
MGH36_P1_H03	NA	black	0	0.092207	0
MGH36_P1_H04	NA	black	0	0	1.6857
MGH36_P1_H05	NA	black	0	2.4412	0
MGH36_P1_H06	NA	black	0	0	0
MGH36_P1_H07	NA	black	0	0.42653	0
MGH36_P1_H09	NA	black	0	0	0.051024
MGH36_P1_H10	NA	black	0	3.4129	0
MGH36_P3_A01	0.0946852898843	red	1	2.6742	0.25701
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	3.0602	0
MGH36_P3_A04	0.75736829173	green3	2	0.15963	0.53107
MGH36_P3_A05	NA	black	0	0	0
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	3.4308	0
MGH36_P3_A10	NA	black	0	0	0
MGH36_P3_A12	1.07940420306	green3	2	0.52807	0.04684
MGH36_P3_B02	NA	black	0	4.1858	0
MGH36_P3_B03	NA	black	0	0.42868	0
MGH36_P3_B04	0.789945324403	green3	2	0.77062	0.24123
MGH36_P3_B09	-0.680861683693	red	1	0.24489	1.9727
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	0.28096	0
MGH36_P3_B12	NA	black	0	1.4777	0
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	NA	black	0	0	0
MGH36_P3_C04	1.13020795453	green3	2	0.27858	0.12433
MGH36_P3_C05	NA	black	0	0	0.2762
MGH36_P3_C06	0.022808788722	red	1	2.9536	0.11636
MGH36_P3_C08	0.695070842029	green3	2	0.17887	0.584
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0	0
MGH36_P3_D01	NA	black	0	0.99422	0
MGH36_P3_D02	NA	black	0	0.32998	0
MGH36_P3_D03	0.0443271989085	red	1	2.862	0.21661
MGH36_P3_D04	NA	black	0	1.0468	0
MGH36_P3_D07	1.02963124409	green3	2	0.38073	0.17377
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	NA	black	0	0	0
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	0.80050863717	green3	2	0.94336	0.13488
MGH36_P3_E05	NA	black	0	0	0.30918
MGH36_P3_E06	NA	black	0	4.0074	0
MGH36_P3_E07	NA	black	0	0.20038	0
MGH36_P3_E08	NA	black	0	0	0.16092
MGH36_P3_E09	NA	black	0	2.169	0
MGH36_P3_E10	NA	black	0	0	0.12829
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0.18142	0
MGH36_P3_F01	NA	black	0	3.5253	0
MGH36_P3_F02	NA	black	0	2.918	0
MGH36_P3_F05	NA	black	0	0	0
MGH36_P3_F06	NA	black	0	0	0.27858
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	NA	black	0	0	0
MGH36_P3_F09	NA	black	0	2.5777	0
MGH36_P3_F10	-0.204651114493	red	1	3.7497	0.15056
MGH36_P3_F11	NA	black	0	0	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	NA	black	0	0	0
MGH36_P3_G04	1.18887175849	green3	2	0.18015	0.11636
MGH36_P3_G05	NA	black	0	0	0.13356
MGH36_P3_G06	NA	black	0	1.4761	0
MGH36_P3_G08	NA	black	0	0	0
MGH36_P3_G09	NA	black	0	1.6754	0
MGH36_P3_G10	NA	black	0	5.489	0
MGH36_P3_G11	NA	black	0	0	0.11103
MGH36_P3_G12	0.913488872126	green3	2	0.77062	0.096262
MGH36_P3_H03	-0.270874232271	red	1	4.4115	0.32884
MGH36_P3_H04	0.769260601166	green3	2	0.96273	0.1635
MGH36_P3_H05	NA	black	0	0	0
MGH36_P3_H07	NA	black	0	0	0.1865
MGH36_P3_H08	NA	black	0	0.59168	0
MGH36_P3_H11	NA	black	0	0	0
MGH36_P3_H12	NA	black	0	0	0.65168
MGH36_P4_A01	NA	black	0	0.27739	0
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	2.8498	0
MGH36_P4_A04	0.174392447	red	1	2.1493	0.50691
MGH36_P4_A06	NA	black	0	1.848	0
MGH36_P4_A07	NA	black	0	0.96938	0
MGH36_P4_A08	NA	black	0	3.2665	0
MGH36_P4_A11	NA	black	0	0	0.27262
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	3.9791	0
MGH36_P4_B04	NA	black	0	2.6902	0
MGH36_P4_B05	NA	black	0	2.5775	0
MGH36_P4_B06	NA	black	0	4.1274	0
MGH36_P4_B08	0.238138159362	red	1	2.2901	0.16736
MGH36_P4_B09	NA	black	0	0	0
MGH36_P4_B12	NA	black	0	0.098958	0
MGH36_P4_C02	NA	black	0	0.42331	0
MGH36_P4_C03	-0.387792439208	red	1	4.6196	0.17249
MGH36_P4_C04	NA	black	0	0	0.22527
MGH36_P4_C05	NA	black	0	3.8051	0
MGH36_P4_C06	NA	black	0	1.8592	0
MGH36_P4_C07	0.295023894657	red	1	2.1641	0.13225
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0	0.12565
MGH36_P4_D01	NA	black	0	0	0
MGH36_P4_D02	NA	black	0	0.94261	0
MGH36_P4_D05	NA	black	0	0.29748	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	3.9457	0
MGH36_P4_D09	NA	black	0	4.6896	0
MGH36_P4_D10	NA	black	0	0	0
MGH36_P4_D11	NA	black	0	0	0
MGH36_P4_D12	NA	black	0	0.49057	0
MGH36_P4_E01	NA	black	0	0.81967	0
MGH36_P4_E02	NA	black	0	0.4351	0
MGH36_P4_E04	NA	black	0	0.7277	0
MGH36_P4_E06	NA	black	0	4.4156	0
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0	0.1635
MGH36_P4_E10	NA	black	0	0.23143	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0	1.1596
MGH36_P4_F01	NA	black	0	2.7647	0
MGH36_P4_F02	NA	black	0	0	0.1776
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	0
MGH36_P4_F05	NA	black	0	0	0
MGH36_P4_F06	NA	black	0	1.8754	0
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	1.9214	0
MGH36_P4_F11	NA	black	0	0	0
MGH36_P4_F12	NA	black	0	0	0.16993
MGH36_P4_G01	NA	black	0	1.3477	0
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0	0
MGH36_P4_G04	NA	black	0	2.7281	0
MGH36_P4_G05	NA	black	0	0	0
MGH36_P4_G06	NA	black	0	0.58785	0
MGH36_P4_G08	NA	black	0	4.6818	0
MGH36_P4_G09	0.281385859214	red	1	1.9441	0.36625
MGH36_P4_G10	NA	black	0	0.12961	0
MGH36_P4_G11	NA	black	0	0.10836	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0	0.21288
MGH36_P4_H04	-0.0760328864355	red	1	3.3945	0.43082
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	0.610480561898	green3	2	1.3039	0.18015
MGH36_P4_H12	NA	black	0	0.46258	0
MGH36_P6_A02	NA	black	0	3.1357	0
MGH36_P6_A04	NA	black	0	0	0
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	0.939516266745	green3	2	0.57821	0.16993
MGH36_P6_A08	NA	black	0	0.7031	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	4.1629	0
MGH36_P6_A11	NA	black	0	1.6429	0
MGH36_P6_B03	NA	black	0	6.6426	0
MGH36_P6_B04	NA	black	0	3.7106	0
MGH36_P6_B05	0.72765108052	green3	2	1.1177	0.12697
MGH36_P6_B06	1.08891298131	green3	2	0.36065	0.12433
MGH36_P6_B10	NA	black	0	4.3975	0
MGH36_P6_B11	NA	black	0	3.7505	0
MGH36_P6_B12	0.578809042068	green3	2	1.0461	0.36961
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	-0.264444418889	red	1	3.976	0.13881
MGH36_P6_C05	NA	black	0	0	0
MGH36_P6_C06	1.08908918693	green3	2	0.26903	0.16864
MGH36_P6_C07	-0.299224196185	red	1	4.1456	0.15316
MGH36_P6_C08	NA	black	0	0.70752	0
MGH36_P6_C09	NA	black	0	0.37851	0
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	0
MGH36_P6_D01	NA	black	0	1.2166	0
MGH36_P6_D02	NA	black	0	3.1235	0
MGH36_P6_D03	NA	black	0	3.7153	0
MGH36_P6_D04	NA	black	0	2.2342	0
MGH36_P6_D05	NA	black	0	3.4287	0
MGH36_P6_D06	-0.339167692286	red	1	4.3108	0.14535
MGH36_P6_D07	NA	black	0	4.305	0
MGH36_P6_D08	NA	black	0	2.6057	0
MGH36_P6_D10	NA	black	0	0.63041	0
MGH36_P6_D11	NA	black	0	1.0976	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0.17505
MGH36_P6_E04	1.12697909661	green3	2	0.3173	0.10836
