Cell_name	Zvalue	Color	Cluster	CREB1	SLC39A1
MGH53_P12_C04	NA	black	0	3.3248	0
MGH53_P12_C05	NA	black	0	0	0
MGH53_P12_C06	0.890418249449	red	1	0.25338	1.3635
MGH53_P12_C07	NA	black	0	0	5.0358
MGH53_P12_C08	NA	black	0	0.10568	0
MGH53_P12_C09	NA	black	0	0	4.8687
MGH53_P12_C10	NA	black	0	0	0
MGH53_P12_C11	NA	black	0	0.10165	0
MGH53_P12_C12	NA	black	0	3.7168	0
MGH53_P12_D01	NA	black	0	0	1.251
MGH53_P12_D02	NA	black	0	0	0
MGH53_P12_D03	-0.440409881256	red	1	0.25096	4.8114
MGH53_P12_D04	NA	black	0	0	0
MGH53_P12_D05	NA	black	0	0	0
MGH53_P12_D06	NA	black	0	0.09356	0
MGH53_P12_D07	1.26361992873	green3	2	0.041243	1.0503
MGH53_P12_D08	NA	black	0	0	0
MGH53_P12_D09	NA	black	0	0.3115	0
MGH53_P12_D10	NA	black	0	2.8335	0
MGH53_P12_D11	-0.617319393413	red	1	0.066261	4.9666
MGH53_P12_D12	0.364286705525	red	1	0.77737	0.73205
MGH53_P12_E01	NA	black	0	0	4.4343
MGH53_P12_E02	NA	black	0	0	0
MGH53_P12_E03	NA	black	0	1.4657	0
MGH53_P12_E04	NA	black	0	0.34255	0
MGH53_P12_E05	NA	black	0	0.13488	0
MGH53_P12_E06	NA	black	0	0	0
MGH53_P12_E07	NA	black	0	0	4.4911
MGH53_P12_E08	NA	black	0	0	0
MGH53_P12_E09	NA	black	0	0	0
MGH53_P12_E10	0.17685567254	red	1	1.3242	5.8816
MGH53_P12_E12	NA	black	0	0.034216	0
MGH53_P12_F01	NA	black	0	0.26063	0
MGH53_P12_F02	NA	black	0	0	0
MGH53_P12_F03	NA	black	0	0	0
MGH53_P12_F04	1.27994615467	green3	2	3.9791	4.8595
MGH53_P12_F06	NA	black	0	0.04684	0
MGH53_P12_F07	NA	black	0	0.17377	0
MGH53_P12_F08	0.931216222194	red	1	2.9338	4.952
MGH53_P12_F09	NA	black	0	4.2642	0
MGH53_P12_F10	NA	black	0	0.25338	0
MGH53_P12_F11	NA	black	0	0.8496	0
MGH53_P12_F12	NA	black	0	0.79244	0
MGH53_P12_G01	NA	black	0	0	0
MGH53_P12_G03	NA	black	0	0	5.2761
MGH53_P12_G04	NA	black	0	0.070389	0
MGH53_P12_G07	NA	black	0	0.12168	0
MGH53_P12_G08	NA	black	0	5.3252	0
MGH53_P12_G09	NA	black	0	0.070389	0
MGH53_P12_G10	NA	black	0	3.2759	0
MGH53_P12_G11	2.68211574261	black	0	4.6683	5.5547
MGH53_P12_G12	0.959141430132	red	1	0.35389	0.75189
MGH53_P12_H01	NA	black	0	0.29748	0
MGH53_P12_H02	0.045254478273	red	1	1	0.72247
MGH53_P12_H03	-3.39850726494	black	0	2.9968	0.21785
MGH53_P12_H04	-4.15921164056	black	0	3.438	0.23266
MGH53_P12_H05	NA	black	0	0	4.2981
MGH53_P12_H06	-0.170830202221	red	1	0.044044	4.0731
MGH53_P12_H07	0.0396910350273	red	1	2.176	3.9066
MGH53_P12_H08	NA	black	0	0	4.0475
MGH53_P12_H09	NA	black	0	0.26063	0
MGH53_P12_H10	0.273932051933	red	1	2.3926	4.2899
MGH53_P12_H11	-0.406196634295	red	1	0.070389	4.5553
MGH53_P12_H12	-0.445047689069	red	1	0.085425	4.6459
MGH53_P2_A09	NA	black	0	0.074505	0
MGH53_P2_A11	NA	black	0	0.066261	0
MGH53_P2_A12	-0.218261606308	red	1	0.08134	4.184
MGH53_P2_B05	0.0428072843922	red	1	0.074505	3.6456
MGH53_P2_B07	NA	black	0	0.074505	0
MGH53_P2_B09	NA	black	0	2.0837	0
MGH53_P2_B10	NA	black	0	0.57046	0
MGH53_P2_C01	NA	black	0	0	0
MGH53_P2_C02	0.0615132257416	red	1	0.048236	3.6088
MGH53_P2_C03	NA	black	0	0	0
MGH53_P2_C07	NA	black	0	0.43936	0
MGH53_P2_C09	NA	black	0	0	0
MGH53_P2_D01	NA	black	0	3.7848	0
MGH53_P2_D02	NA	black	0	2.3366	0
MGH53_P2_D07	NA	black	0	0	0
MGH53_P2_D08	NA	black	0	0.73898	0
MGH53_P2_D12	NA	black	0	0.90997	0
MGH53_P2_E04	NA	black	0	3.1447	0
MGH53_P2_E10	NA	black	0	3.799	0
MGH53_P2_F02	-0.244197800187	red	1	1.9111	3.1911
MGH53_P2_F03	NA	black	0	0.092207	0
MGH53_P2_F04	0.874275915858	red	1	3.0241	4.8396
MGH53_P2_F05	NA	black	0	2.7757	0
MGH53_P2_G02	-1.43440790747	red	1	0.11902	6.6474
MGH53_P2_G07	0.839572486236	red	1	2.2765	5.3881
MGH53_P2_H01	NA	black	0	2.7231	0
MGH53_P10_A01	NA	black	0	0.98768	0
MGH53_P10_A02	NA	black	0	0	6.1522
MGH53_P10_A03	NA	black	0	0	0
MGH53_P10_A04	NA	black	0	0.071763	0
MGH53_P10_A05	NA	black	0	0	0
MGH53_P10_A06	NA	black	0	0	0
MGH53_P10_A07	NA	black	0	0	0
MGH53_P10_A08	NA	black	0	0.098958	0
MGH53_P10_A09	NA	black	0	2.5221	0
MGH53_P10_A10	0.660012247419	red	1	0.24001	2.0402
MGH53_P10_A11	NA	black	0	0.075875	0
MGH53_P10_A12	NA	black	0	0	0
MGH53_P10_B01	NA	black	0	0	0
MGH53_P10_B02	NA	black	0	3.4563	0
MGH53_P10_B03	NA	black	0	0	0
MGH53_P10_B04	NA	black	0	0	0
MGH53_P10_B05	NA	black	0	0	4.4169
MGH53_P10_B06	NA	black	0	0.91609	0
MGH53_P10_B07	NA	black	0	0	0
MGH53_P10_B08	NA	black	0	0.24489	0
MGH53_P10_B09	NA	black	0	0.08134	0
MGH53_P10_B10	NA	black	0	0	0
MGH53_P10_B11	NA	black	0	0	0
MGH53_P10_B12	NA	black	0	0.067639	0
MGH53_P10_C01	NA	black	0	2.5772	0
MGH53_P10_C02	NA	black	0	0.059355	0
MGH53_P10_C03	NA	black	0	0	0.9222
MGH53_P10_C04	NA	black	0	0	0
MGH53_P10_C05	NA	black	0	0	0
MGH53_P10_C06	NA	black	0	0	0
MGH53_P10_C07	NA	black	0	0	0
MGH53_P10_C08	NA	black	0	0	0
MGH53_P10_C09	NA	black	0	0.123	0
MGH53_P10_C10	NA	black	0	0.18396	0
MGH53_P10_C11	-0.555876996936	red	1	0.24489	5.0735
MGH53_P10_C12	NA	black	0	0.20163	0
MGH53_P10_D01	NA	black	0	0	0
MGH53_P10_D02	NA	black	0	0.082703	0
MGH53_P10_D03	NA	black	0	0	5.1421
MGH53_P10_D04	NA	black	0	0	0
MGH53_P10_D05	NA	black	0	0	0
MGH53_P10_D06	NA	black	0	0	0
MGH53_P10_D07	-0.690240181615	red	1	0.11636	5.1764
MGH53_P10_D08	NA	black	0	0	6.277
MGH53_P10_D09	NA	black	0	3.0864	0
MGH53_P10_D12	NA	black	0	0	0
MGH53_P10_E01	1.44313021125	green3	2	0.13093	0.30568
MGH53_P10_E03	NA	black	0	2.4735	0
MGH53_P10_E04	-1.08358441236	red	1	0.029983	5.7913
MGH53_P10_E05	-0.0142295133723	red	1	2.7575	3.8364
MGH53_P10_E06	1.16603725562	green3	2	0.089498	1.1395
MGH53_P10_E07	NA	black	0	1.2987	0
MGH53_P10_E08	NA	black	0	0	0
MGH53_P10_E09	NA	black	0	0	0
MGH53_P10_E10	NA	black	0	0.10702	0
MGH53_P10_E11	NA	black	0	0.074505	0
MGH53_P10_E12	NA	black	0	0.1776	0
MGH53_P10_F01	NA	black	0	3.318	0
MGH53_P10_F02	NA	black	0	1.2035	0
MGH53_P10_F03	NA	black	0	0	0
MGH53_P10_F04	NA	black	0	3.03	0
MGH53_P10_F05	NA	black	0	0.13093	0
MGH53_P10_F06	NA	black	0	0	0
MGH53_P10_F07	-0.925366838495	red	1	0.086784	5.595
MGH53_P10_F08	NA	black	0	2.9577	0
MGH53_P10_F09	0.732125721053	red	1	2.0282	5.562
MGH53_P10_F10	NA	black	0	0.14274	0
MGH53_P10_F12	NA	black	0	0	0
MGH53_P10_G01	NA	black	0	0	5.2555
MGH53_P10_G02	NA	black	0	0.1137	0
MGH53_P10_G03	NA	black	0	0.053806	0
MGH53_P10_G04	NA	black	0	0	0
MGH53_P10_G05	-3.36317064986	black	0	3.0249	0.30451
MGH53_P10_G07	NA	black	0	0	0
MGH53_P10_G08	-0.78004901925	red	1	0.15704	5.4244
MGH53_P10_G09	NA	black	0	3.2008	0
MGH53_P10_G11	NA	black	0	0.041243	0
MGH53_P10_H01	NA	black	0	3.1629	0
MGH53_P10_H02	NA	black	0	0	0
MGH53_P10_H04	-1.31476116363	red	1	0.12697	6.4369
MGH53_P10_H05	NA	black	0	2.6362	0
MGH53_P10_H06	NA	black	0	0.085425	0
MGH53_P10_H07	NA	black	0	0.070389	0
MGH53_P10_H08	-0.62974475499	red	1	0.082703	5.0108
MGH53_P10_H09	NA	black	0	3.945	0
MGH53_P10_H10	NA	black	0	0.077243	0
MGH53_P10_H11	NA	black	0	0.21412	0
MGH53_P11_A01	NA	black	0	0	3.4302
MGH53_P11_A02	NA	black	0	0.28214	0
MGH53_P11_A03	1.84569988712	green3	2	3.1434	5.8276
MGH53_P11_A04	-2.48503194847	black	0	2.4908	0.25822
MGH53_P11_A06	NA	black	0	0	0
MGH53_P11_A08	NA	black	0	0.14535	0
MGH53_P11_A09	NA	black	0	0.053806	0
MGH53_P11_A10	NA	black	0	2.5168	0
MGH53_P11_A11	NA	black	0	0	0
MGH53_P11_A12	NA	black	0	3.4756	0
MGH53_P11_B01	NA	black	0	0	0
MGH53_P11_B02	NA	black	0	0.15316	0
MGH53_P11_B04	NA	black	0	0	0.91839
MGH53_P11_B05	NA	black	0	0	0
MGH53_P11_B06	1.03810940771	green3	2	0.12961	1.3363
MGH53_P11_B07	1.42398504405	green3	2	0.11103	0.4351
MGH53_P11_B08	NA	black	0	1.6475	0
MGH53_P11_B09	NA	black	0	3.4316	0
MGH53_P11_B11	NA	black	0	0	0
MGH53_P11_B12	NA	black	0	2.0618	0
MGH53_P11_C01	1.38753309212	green3	2	0.11636	0.50691
MGH53_P11_C02	NA	black	0	0	0
MGH53_P11_C03	NA	black	0	0	0
MGH53_P11_C04	NA	black	0	2.5876	0
MGH53_P11_C05	NA	black	0	0.25217	0
MGH53_P11_C06	NA	black	0	0.11103	0
MGH53_P11_C07	NA	black	0	1.3846	0
MGH53_P11_C08	NA	black	0	2.8466	0
MGH53_P11_C09	NA	black	0	1.3127	0
MGH53_P11_C10	NA	black	0	0	5.0093
MGH53_P11_C11	NA	black	0	0.19661	0
MGH53_P11_C12	-0.35572125858	red	1	0.12565	4.4968
MGH53_P11_D01	NA	black	0	0	2.1127
MGH53_P11_D02	NA	black	0	1.5661	0
MGH53_P11_D03	NA	black	0	0.084064	0
MGH53_P11_D04	NA	black	0	2.9256	0
MGH53_P11_D05	-0.690133437719	red	1	0.34596	5.5872
MGH53_P11_D07	NA	black	0	0	0
MGH53_P11_D08	NA	black	0	0.18015	0
MGH53_P11_D09	NA	black	0	3.632	0
MGH53_P11_D10	NA	black	0	0	0
MGH53_P11_D11	NA	black	0	0.38736	0
MGH53_P11_D12	NA	black	0	0	0
MGH53_P11_E01	NA	black	0	0	0
MGH53_P11_E02	NA	black	0	0	0
MGH53_P11_E04	NA	black	0	0.066261	0
MGH53_P11_E06	NA	black	0	1.5955	0
MGH53_P11_E08	NA	black	0	0	0
MGH53_P11_E09	NA	black	0	0	0
MGH53_P11_E10	NA	black	0	0	1.6727
MGH53_P11_E11	NA	black	0	3.6645	0
MGH53_P11_E12	NA	black	0	0.27739	0
MGH53_P11_F01	NA	black	0	0.04684	0
MGH53_P11_F02	NA	black	0	0	0
MGH53_P11_F03	NA	black	0	0.18903	0
MGH53_P11_F04	NA	black	0	0.56462	0
MGH53_P11_F05	NA	black	0	3.117	0
MGH53_P11_F07	NA	black	0	0.12961	0
MGH53_P11_F10	NA	black	0	0	0
MGH53_P11_F11	NA	black	0	0	0
MGH53_P11_F12	NA	black	0	0	0
MGH53_P11_G01	NA	black	0	0.028569	0
MGH53_P11_G02	NA	black	0	0.36065	0
MGH53_P11_G03	NA	black	0	0	5.7667
MGH53_P11_G04	-2.2477447704	black	0	2.6057	0.81885
MGH53_P11_G05	NA	black	0	2.0032	0
MGH53_P11_G06	-0.74170344632	red	1	0.1903	5.4003
MGH53_P11_G07	NA	black	0	0	0
MGH53_P11_G08	NA	black	0	0.05797	0
MGH53_P11_G09	-0.575416729498	red	1	0.049631	4.8667
MGH53_P11_G10	NA	black	0	2.9764	0
MGH53_P11_G11	-0.474996278821	red	1	0.2857	4.9408
MGH53_P11_G12	0.245149495608	red	1	0.7866	1.8424
MGH53_P11_H01	NA	black	0	0.43403	0
MGH53_P11_H02	NA	black	0	0.18015	0
MGH53_P11_H04	NA	black	0	0.32423	0
MGH53_P11_H05	NA	black	0	0.6332	0
MGH53_P11_H06	0.068818140526	red	1	0.75958	3.3232
MGH53_P11_H07	NA	black	0	0.035624	0
MGH53_P11_H08	NA	black	0	0	0
MGH53_P11_H09	-0.293897700859	red	1	0.44148	4.6682
MGH53_P11_H10	NA	black	0	0.1375	0
MGH53_P11_H11	NA	black	0	0.12168	0
MGH53_P11_H12	NA	black	0	0.049631	0
MGH53_P9_A01	NA	black	0	0	0
MGH53_P9_A02	NA	black	0	0	1.605
MGH53_P9_A03	NA	black	0	0.11636	0
MGH53_P9_A04	NA	black	0	0.32884	0
MGH53_P9_A05	NA	black	0	3.1114	0
MGH53_P9_A06	NA	black	0	1.1097	0
MGH53_P9_A07	NA	black	0	0	0
MGH53_P9_A08	0.860133654221	red	1	2.8817	4.8955
MGH53_P9_A09	NA	black	0	2.5074	0
MGH53_P9_A10	NA	black	0	0.18777	0
MGH53_P9_A11	NA	black	0	0	0
MGH53_P9_A12	NA	black	0	0	4.6284
MGH53_P9_B01	NA	black	0	0	1.2756
MGH53_P9_B02	NA	black	0	0	5.5597
MGH53_P9_B03	0.675583999583	red	1	2.0824	5.3295
MGH53_P9_B04	NA	black	0	0	5.2996
MGH53_P9_B05	NA	black	0	2.8777	0
MGH53_P9_B06	NA	black	0	0	0
MGH53_P9_B07	1.21883902891	green3	2	3.5886	4.9399
MGH53_P9_B08	NA	black	0	0.084064	0
MGH53_P9_B09	NA	black	0	0	0
MGH53_P9_B11	NA	black	0	2.7086	0
MGH53_P9_B12	NA	black	0	2.71	0
MGH53_P9_C01	0.134172940264	red	1	0.9313	1.2123
MGH53_P9_C02	NA	black	0	0	0
MGH53_P9_C03	NA	black	0	0	0
MGH53_P9_C04	NA	black	0	0	0
MGH53_P9_C05	NA	black	0	2.7422	0
MGH53_P9_C06	NA	black	0	1.537	0
MGH53_P9_C07	NA	black	0	1.4238	0
MGH53_P9_C08	NA	black	0	0	5.1076
MGH53_P9_C09	NA	black	0	0.086784	0
MGH53_P9_C10	NA	black	0	3.2501	0
MGH53_P9_C11	NA	black	0	2.5278	0
MGH53_P9_C12	NA	black	0	0.2228	0
MGH53_P9_D01	NA	black	0	0	5.3243
MGH53_P9_D02	NA	black	0	0	0
MGH53_P9_D03	NA	black	0	0	0
MGH53_P9_D04	NA	black	0	0.16092	0
MGH53_P9_D05	NA	black	0	0	0
MGH53_P9_D08	NA	black	0	2.7334	0
MGH53_P9_D09	-0.473821377018	red	1	0.21039	4.8388
MGH53_P9_D10	NA	black	0	2.7916	0
MGH53_P9_D11	NA	black	0	0	0
MGH53_P9_D12	NA	black	0	0	0
MGH53_P9_F04	NA	black	0	0.082703	0
MGH53_P9_F05	NA	black	0	0.089498	0
MGH53_P9_F06	NA	black	0	0.12035	0
MGH53_P9_F07	NA	black	0	0	0
MGH53_P9_F08	NA	black	0	2.1444	0
MGH53_P9_F09	NA	black	0	0.079975	0
MGH53_P9_F10	NA	black	0	0.2762	0
MGH53_P9_F11	NA	black	0	0.16479	0
MGH53_P9_F12	NA	black	0	0	0
MGH53_P9_G01	NA	black	0	0	0
MGH53_P9_G02	NA	black	0	1.4668	0
MGH53_P9_G03	NA	black	0	3.2171	0
MGH53_P9_G04	NA	black	0	0.092207	0
MGH53_P9_G07	NA	black	0	0	5.3418
MGH53_P9_G08	NA	black	0	0	0
MGH53_P9_G09	NA	black	0	0.13619	0
MGH53_P9_G12	NA	black	0	0	0
MGH53_P9_H01	NA	black	0	0	0
MGH53_P9_H02	NA	black	0	2.3818	0
MGH53_P9_H03	NA	black	0	0	0
MGH53_P9_H04	NA	black	0	0	0
MGH53_P9_H05	NA	black	0	0	6.9366
MGH53_P9_H06	NA	black	0	3.2488	0
MGH53_P9_H07	NA	black	0	2.4468	0
MGH53_P9_H08	NA	black	0	3.7278	0
MGH53_P9_H09	NA	black	0	2.0803	0
MGH53_P9_H10	NA	black	0	0	0
MGH53_P9_H11	NA	black	0	0	0
MGH53_P9_H12	NA	black	0	1.7966	0
MGH53_P4_A07	NA	black	0	2.4766	0
MGH53_P4_B01	NA	black	0	0.19156	0
MGH53_P4_B02	NA	black	0	0.12565	0
MGH53_P4_B08	NA	black	0	2.8815	0
MGH53_P4_B09	NA	black	0	0.04684	0
MGH53_P4_B10	0.136941490617	red	1	1.3156	5.3881
MGH53_P4_B11	-0.064935215923	red	1	0.31846	3.9203
MGH53_P4_C03	NA	black	0	0.82212	0
MGH53_P4_C11	NA	black	0	0.15834	0
MGH53_P4_C12	NA	black	0	0	0
MGH53_P4_D04	NA	black	0	0	0
MGH53_P4_D05	NA	black	0	0	0
MGH53_P4_D09	NA	black	0	0	5.1114
MGH53_P4_E01	0.322694752458	red	1	0.79494	0.93357
MGH53_P4_E02	NA	black	0	0.12168	0
MGH53_P4_E07	NA	black	0	0	0
MGH53_P4_E08	NA	black	0	0.53406	0
MGH53_P4_E09	NA	black	0	4.0422	0
MGH53_P4_F01	NA	black	0	0.084064	0
MGH53_P4_F02	NA	black	0	0.2461	0
MGH53_P4_F08	NA	black	0	2.2895	0
MGH53_P4_F11	NA	black	0	0	0
MGH53_P4_G02	NA	black	0	0.15056	0
MGH53_P4_G05	NA	black	0	0.086784	0
MGH53_P4_G07	NA	black	0	0.07861	0
MGH53_P4_G08	NA	black	0	2.6348	0
MGH53_P4_G09	NA	black	0	3.6567	0
MGH53_P4_H10	1.34523100482	green3	2	3.3981	5.1391
MGH53_P4_H11	NA	black	0	0.12829	0
MGH53_P4_H12	NA	black	0	0.053806	0
MGH54_P14_A01	NA	black	0	2.5102	0
MGH54_P14_A02	NA	black	0	0	0
MGH54_P14_A03	NA	black	0	0	0
MGH54_P14_A04	NA	black	0	0	1.0642
MGH54_P14_A05	NA	black	0	0.084064	0
MGH54_P14_A06	NA	black	0	0	0
MGH54_P14_A07	NA	black	0	0	5.9052
MGH54_P14_A08	NA	black	0	3.0079	0
MGH54_P14_A09	NA	black	0	0	0
MGH54_P14_A10	0.579145684909	red	1	2.3813	4.8101
MGH54_P14_A11	NA	black	0	0	0
MGH54_P14_A12	NA	black	0	0	5.5035
MGH54_P14_B01	NA	black	0	0.86869	0
MGH54_P14_B02	NA	black	0	0	0
MGH54_P14_B03	NA	black	0	0.12168	0
MGH54_P14_B04	-0.453882175463	red	1	0.086784	4.6649
MGH54_P14_B05	-0.975962878645	red	1	0.096262	5.7103
MGH54_P14_B06	NA	black	0	0	0
MGH54_P14_B07	NA	black	0	0	0
MGH54_P14_B08	NA	black	0	1.959	0
MGH54_P14_B09	NA	black	0	0.8504	0
MGH54_P14_B10	NA	black	0	0	0
MGH54_P14_B11	NA	black	0	0	0
MGH54_P14_B12	NA	black	0	0	0
MGH54_P14_C01	NA	black	0	0.98841	0
MGH54_P14_C02	NA	black	0	3.8842	0
MGH54_P14_C03	NA	black	0	2.8716	0
MGH54_P14_C04	NA	black	0	2.9373	0
MGH54_P14_C05	NA	black	0	1.4787	0
MGH54_P14_C06	NA	black	0	0	0
MGH54_P14_C07	NA	black	0	2.6079	0
MGH54_P14_C08	NA	black	0	0	0
MGH54_P14_C09	NA	black	0	0	0
MGH54_P14_C10	NA	black	0	0.11503	0
MGH54_P14_C11	NA	black	0	0	0
MGH54_P14_C12	NA	black	0	0	0
MGH54_P14_D01	NA	black	0	0	0
MGH54_P14_D02	NA	black	0	0	4.7191
MGH54_P14_D03	NA	black	0	0	0
MGH54_P14_D04	NA	black	0	0	0
MGH54_P14_D05	NA	black	0	0	0
MGH54_P14_D06	NA	black	0	0	0
MGH54_P14_D07	NA	black	0	2.7179	0
MGH54_P14_D08	NA	black	0	0	0
MGH54_P14_D09	NA	black	0	0.16092	0
MGH54_P14_D10	NA	black	0	0.43936	0
MGH54_P14_D11	2.26301120408	black	0	3.8203	5.6937
MGH54_P14_D12	-0.273088632553	red	1	0.72509	5.189
MGH54_P14_E01	NA	black	0	1.538	0
MGH54_P14_E02	NA	black	0	0	0
MGH54_P14_E03	NA	black	0	0	0
MGH54_P14_E04	NA	black	0	0	5.1959
MGH54_P14_E05	NA	black	0	0	0
MGH54_P14_E06	NA	black	0	0.071763	0
MGH54_P14_E07	NA	black	0	0	0
MGH54_P14_E08	NA	black	0	0	0
MGH54_P14_E09	NA	black	0	0	0
MGH54_P14_E10	NA	black	0	0	0
MGH54_P14_E11	-2.53517211128	black	0	2.6592	0.5568
MGH54_P14_E12	NA	black	0	0.24123	0
MGH54_P14_F01	NA	black	0	0	0
