Cell_name	Zvalue	Color	Cluster	ATM	MTF1
MGH53_P11_G03	0.357680236831	blue	3	0.066261	0.10702
MGH53_P11_G04	NA	black	0	2.1801	0
MGH53_P11_G05	-0.448800152742	green3	2	1.7807	0.092207
MGH53_P11_G06	0.347948105637	blue	3	0.11237	0.096262
MGH53_P11_G07	NA	black	0	0.032806	0
MGH53_P11_G08	0.0434356576778	blue	3	0.037031	0.43829
MGH53_P11_G09	0.272992594015	blue	3	0.33457	0.060739
MGH53_P11_G10	NA	black	0	1.1117	0
MGH53_P11_G11	0.393692787667	blue	3	0.051024	0.075875
MGH53_P11_G12	0.311981523074	blue	3	0.19787	0.094912
MGH53_P11_H01	0.0731567797451	blue	3	0.64985	0.23266
MGH53_P11_H02	NA	black	0	0.32193	0
MGH53_P11_H04	0.0233226963937	blue	3	0.82944	0.14012
MGH53_P11_H05	0.208211434092	blue	3	0.20163	0.22527
MGH53_P11_H06	0.0742830088466	blue	3	0.14143	0.39944
MGH53_P11_H07	0.365475041881	blue	3	0.15834	0.051024
MGH53_P11_H08	NA	black	0	0	0
MGH53_P11_H09	0.377037597775	blue	3	0.038436	0.098958
MGH53_P11_H10	0.21996548121	blue	3	0.092207	0.2461
MGH53_P11_H11	0.015683679712	blue	3	0.24975	0.46571
MGH53_P11_H12	0.00275088912589	blue	3	0.87971	0.2302
MGH53_P9_A01	NA	black	0	0.13225	0
MGH53_P9_A02	NA	black	0	0.42546	0
MGH53_P9_A03	NA	black	0	0.086784	0
MGH53_P9_A04	NA	black	0	0.14274	0
MGH53_P9_A05	-1.14445906303	black	0	3.1519	0.11902
MGH53_P9_A06	NA	black	0	0	0.22404
MGH53_P9_A07	NA	black	0	0.52206	0
MGH53_P9_A08	NA	black	0	0.074505	0
MGH53_P9_A09	0.287602888324	blue	3	0.059355	0.18396
MGH53_P9_A10	NA	black	0	0.071763	0
MGH53_P9_A11	NA	black	0	0.33342	0
MGH53_P9_A12	NA	black	0	0	0.28451
MGH53_P9_B01	NA	black	0	0.53506	0
MGH53_P9_B02	0.037038465348	blue	3	0.60975	0.38294
MGH53_P9_B03	0.314592609469	blue	3	0.085425	0.14535
MGH53_P9_B04	NA	black	0	0.09356	0
MGH53_P9_B05	NA	black	0	0.20038	0
MGH53_P9_B06	NA	black	0	0.070389	0
MGH53_P9_B07	NA	black	0	0.059355	0
MGH53_P9_B08	NA	black	0	0	0.10165
MGH53_P9_B09	NA	black	0	0.84559	0
MGH53_P9_B11	0.214575991552	blue	3	0.24367	0.20038
MGH53_P9_B12	0.13572938204	blue	3	0.58304	0.10702
MGH53_P9_C01	-0.144989371736	green3	2	1.3237	0.22527
MGH53_P9_C02	NA	black	0	0	0
MGH53_P9_C03	1.75639003348	black	0	1.9638	2.0201
MGH53_P9_C04	-0.00733126731365	blue	3	0.926	0.31846
MGH53_P9_C05	NA	black	0	0.66175	0
MGH53_P9_C06	0.33740812697	blue	3	0.097611	0.11503
MGH53_P9_C07	NA	black	0	2.6455	0
MGH53_P9_C08	NA	black	0	0	0.24489
MGH53_P9_C09	NA	black	0	0	0.10568
MGH53_P9_C10	NA	black	0	0	0
MGH53_P9_C11	NA	black	0	0.39067	0
MGH53_P9_C12	0.325846894505	blue	3	0.16607	0.094912
MGH53_P9_D01	NA	black	0	0	0
MGH53_P9_D02	NA	black	0	1.3214	0
MGH53_P9_D03	-0.0102691310359	blue	3	0.16864	0.49672
MGH53_P9_D04	0.274131681521	blue	3	0.12433	0.17505
MGH53_P9_D05	NA	black	0	4.291	0
MGH53_P9_D08	0.165785259657	blue	3	0.45523	0.16092
MGH53_P9_D09	-0.534660192662	green3	2	0.29866	1.2197
MGH53_P9_D10	NA	black	0	2.1424	0
MGH53_P9_D11	NA	black	0	0	0
MGH53_P9_D12	NA	black	0	0	0.092207
MGH53_P9_F04	NA	black	0	2.6159	0
MGH53_P9_F05	0.245131953567	blue	3	0.066261	0.22651
MGH53_P9_F06	NA	black	0	0	0.14535
MGH53_P9_F07	0.978659030075	cyan	4	3.0514	0.94336
MGH53_P9_F08	0.0805972497394	blue	3	0.67265	0.17249
MGH53_P9_F09	NA	black	0	0	0
MGH53_P9_F10	NA	black	0	0.26424	0
MGH53_P9_F11	0.101524227829	blue	3	0.37518	0.32077
MGH53_P9_F12	NA	black	0	0	0
MGH53_P9_G01	0.213312910979	blue	3	0.044044	0.26544
MGH53_P9_G02	-0.912888169038	green3	2	3.3611	0.24001
MGH53_P9_G03	NA	black	0	0	0.20539
MGH53_P9_G04	0.276991082251	blue	3	0.26903	0.1003
MGH53_P9_G07	0.215434594898	blue	3	0.38736	0.1177
MGH53_P9_G08	NA	black	0	0.069015	0
MGH53_P9_G09	-0.937221257069	green3	2	0.051024	1.3951
MGH53_P9_G12	0.313928485324	blue	3	0.20539	0.088142
MGH53_P9_H01	0.25022652262	blue	3	0.16993	0.18523
MGH53_P9_H02	NA	black	0	0	0
MGH53_P9_H03	NA	black	0	0.11636	0
MGH53_P9_H04	0.0938351269784	blue	3	0.64616	0.15963
MGH53_P9_H05	NA	black	0	0	0.18903
MGH53_P9_H06	0.27728415217	blue	3	0.053806	0.19661
MGH53_P9_H07	NA	black	0	0.11237	0
MGH53_P9_H08	NA	black	0	0.3173	0
MGH53_P9_H09	NA	black	0	0.09356	0
MGH53_P9_H10	NA	black	0	0.22527	0
MGH53_P9_H11	NA	black	0	0.32308	0
MGH53_P9_H12	0.136424730802	blue	3	0.48233	0.20289
MGH53_P4_A07	0.264286446438	blue	3	0.069015	0.20539
MGH53_P4_B01	NA	black	0	0	0.29278
MGH53_P4_B02	0.217972949987	blue	3	0.34255	0.14405
MGH53_P4_B08	NA	black	0	0.048236	0
MGH53_P4_B09	0.305752421208	blue	3	0.13619	0.13356
MGH53_P4_B10	-0.0603402734565	green3	2	0.87971	1.4552
MGH53_P4_B11	NA	black	0	0.84639	0
MGH53_P4_C03	-0.600129186635	green3	2	2.6374	0.2461
MGH53_P4_C11	-0.638492585921	green3	2	2.0659	0.064883
MGH53_P4_C12	-0.964496674419	green3	2	2.559	0.045443
MGH53_P4_D04	-0.9488692331	green3	2	4.0883	0.31846
MGH53_P4_D05	-0.885286366676	green3	2	2.8908	0.16736
MGH53_P4_D09	-2.60558670994	black	0	0.18903	3.2464
MGH53_P4_E01	NA	black	0	0	0
MGH53_P4_E02	0.309008284061	blue	3	0.090853	0.14926
MGH53_P4_E07	NA	black	0	0.10299	0
MGH53_P4_E08	0.142831642313	blue	3	0.20539	0.30685
MGH53_P4_E09	0.212517610977	blue	3	0.1865	0.22527
MGH53_P4_F01	NA	black	0	0.073135	0
MGH53_P4_F02	NA	black	0	0.51299	0
MGH53_P4_F08	NA	black	0	1.0286	0
MGH53_P4_F11	0.208628472865	blue	3	0.11103	0.25338
MGH53_P4_G02	NA	black	0	0.30685	0
MGH53_P4_G05	NA	black	0	0.12697	0
MGH53_P4_G07	NA	black	0	0.1776	0
MGH53_P4_G08	NA	black	0	0	0
MGH53_P4_G09	NA	black	0	0.086784	0
MGH53_P4_H10	0.0468787052901	blue	3	0.78492	0.089498
MGH53_P4_H11	NA	black	0	0.28924	0
MGH53_P4_H12	0.177362279776	blue	3	0.24975	0.24853
MGH54_P14_A01	NA	black	0	0	0
MGH54_P14_A02	NA	black	0	3.3985	0
MGH54_P14_A03	NA	black	0	0.070389	0
MGH54_P14_A04	0.262176846159	blue	3	0.15316	0.1776
MGH54_P14_A05	NA	black	0	0	0
MGH54_P14_A06	NA	black	0	0	0
MGH54_P14_A07	-0.702487457814	green3	2	2.0614	0.017209
MGH54_P14_A08	NA	black	0	0.68706	0
MGH54_P14_A09	NA	black	0	0.51299	0
MGH54_P14_A10	NA	black	0	0	0
MGH54_P14_A11	NA	black	0	0	0.032806
MGH54_P14_A12	NA	black	0	0.30685	0
MGH54_P14_B01	0.149103732973	blue	3	0.31499	0.26544
MGH54_P14_B02	NA	black	0	0.45101	0
MGH54_P14_B03	-1.01649408383	green3	2	3.1596	0.16864
MGH54_P14_B04	0.320810271955	blue	3	0.15445	0.10702
MGH54_P14_B05	0.223060617675	blue	3	0.26784	0.1776
MGH54_P14_B06	NA	black	0	3.0774	0
MGH54_P14_B07	NA	black	0	0	0
MGH54_P14_B08	0.168425850209	blue	3	0.25701	0.25822
MGH54_P14_B09	0.282396148194	blue	3	0.21661	0.123
MGH54_P14_B10	-1.20275901105	black	0	3.491	0.1635
MGH54_P14_B11	NA	black	0	0	2.6374
MGH54_P14_B12	-0.00761236776888	blue	3	1.0419	0.45943
MGH54_P14_C01	NA	black	0	0	0
MGH54_P14_C02	NA	black	0	2.1871	0
MGH54_P14_C03	NA	black	0	0.29514	0
MGH54_P14_C04	NA	black	0	0.35502	0
MGH54_P14_C05	-0.151230965086	green3	2	1.1922	0.088142
MGH54_P14_C06	-1.08107440575	green3	2	3.2654	0.16479
MGH54_P14_C07	NA	black	0	0.43403	0
MGH54_P14_C08	NA	black	0	2.4046	0
MGH54_P14_C09	NA	black	0	0.059355	0
MGH54_P14_C10	NA	black	0	0.07861	0
MGH54_P14_C11	-0.00955788160623	blue	3	0.13619	0.49467
MGH54_P14_C12	NA	black	0	0.12168	0
MGH54_P14_D01	NA	black	0	0	0
MGH54_P14_D02	NA	black	0	0	0
MGH54_P14_D03	-0.544410553527	green3	2	2.8494	0.30685
MGH54_P14_D04	NA	black	0	0.14274	0
MGH54_P14_D05	0.289908021299	blue	3	0.10165	0.16607
MGH54_P14_D06	NA	black	0	0	0
MGH54_P14_D07	NA	black	0	1.9753	0
MGH54_P14_D08	0.141932209283	blue	3	0.19535	0.31034
MGH54_P14_D09	0.317032742492	blue	3	0.17632	0.1003
MGH54_P14_D10	-0.174807604561	green3	2	1.3885	0.21288
MGH54_P14_D11	NA	black	0	0.97893	0
MGH54_P14_D12	NA	black	0	0	2.9224
MGH54_P14_E01	NA	black	0	0.18269	0
MGH54_P14_E02	NA	black	0	0	0
MGH54_P14_E03	NA	black	0	2.3657	0
MGH54_P14_E04	NA	black	0	0.83512	0
MGH54_P14_E05	NA	black	0	0.07861	0
MGH54_P14_E06	-1.93727403116	black	0	0.092207	2.3818
MGH54_P14_E07	-0.671974259535	green3	2	2.474	0.17377
MGH54_P14_E08	NA	black	0	0	0
MGH54_P14_E09	0.241950070641	blue	3	0.10969	0.21661
MGH54_P14_E10	NA	black	0	0	0
MGH54_P14_E11	NA	black	0	0.79909	0
MGH54_P14_E12	NA	black	0	0.21164	0
MGH54_P14_F01	NA	black	0	0	0
MGH54_P14_F02	0.155411211294	blue	3	1.3045	0.8496
MGH54_P14_F03	NA	black	0	0	0
MGH54_P14_F04	NA	black	0	0.29514	0
MGH54_P14_F06	NA	black	0	0	0.14405
MGH54_P14_F07	NA	black	0	0	0
MGH54_P14_F08	NA	black	0	3.6977	0
MGH54_P14_F09	NA	black	0	0	0
MGH54_P14_F10	0.249335321984	blue	3	0.12565	0.20289
MGH54_P14_F11	NA	black	0	0.070389	0
MGH54_P14_G01	NA	black	0	0	0
MGH54_P14_G02	NA	black	0	0.18142	0
MGH54_P14_G03	NA	black	0	0.3173	0
MGH54_P14_G04	NA	black	0	0	0
MGH54_P14_G05	0.079049890844	blue	3	0.69421	0.14143
MGH54_P14_G06	NA	black	0	0	0.094912
MGH54_P14_G07	NA	black	0	0	0.19156
MGH54_P14_G08	0.214591398222	blue	3	0.29983	0.17377
MGH54_P14_G09	NA	black	0	1.9848	0
MGH54_P14_G10	-2.9049329643	black	0	0.086784	3.2197
MGH54_P14_G11	NA	black	0	0	0.26544
MGH54_P14_G12	NA	black	0	0	0
MGH54_P14_H01	0.0739543484664	blue	3	0.40272	0.36065
MGH54_P14_H02	NA	black	0	0	2.236
MGH54_P14_H03	NA	black	0	0	0
MGH54_P14_H04	-0.0459860780933	green3	2	0.20289	0.54201
MGH54_P14_H05	NA	black	0	2.8164	0
MGH54_P14_H06	NA	black	0	0.2461	0
MGH54_P14_H07	NA	black	0	0.10165	0
MGH54_P14_H08	2.61898936733	black	0	2.3156	2.1944
MGH54_P14_H09	0.279020598941	blue	3	0.19409	0.13881
MGH54_P14_H10	-0.414858914485	green3	2	1.9971	0.20539
MGH54_P14_H11	NA	black	0	0	0.36849
MGH54_P14_H12	NA	black	0	0	0.37407
MGH54_P15_A02	NA	black	0	0	0.61259
MGH54_P15_A03	NA	black	0	0	3.5963
MGH54_P15_A04	-1.44268561098	black	0	0.40272	2.6439
MGH54_P15_A05	0.160886454325	blue	3	0.12035	0.30451
MGH54_P15_A06	NA	black	0	0.15834	0
MGH54_P15_A07	NA	black	0	0	0
MGH54_P15_A08	-0.551566135005	green3	2	2.127	0.14796
MGH54_P15_A09	NA	black	0	0.60027	0
MGH54_P15_A10	NA	black	0	2.56	0
MGH54_P15_A11	-0.293743793139	green3	2	1.5395	0.13093
MGH54_P15_A12	NA	black	0	0	0
MGH54_P15_B01	NA	black	0	1.0704	0
MGH54_P15_B02	NA	black	0	1.774	0
MGH54_P15_B03	0.212299979063	blue	3	0.25942	0.19661
MGH54_P15_B04	NA	black	0	0.21288	0
MGH54_P15_B05	NA	black	0	1.1177	0
MGH54_P15_B06	NA	black	0	0.24367	0
MGH54_P15_B07	-0.00793272639321	blue	3	1.0115	0.44467
MGH54_P15_B09	-0.564280044542	green3	2	2.1375	0.14274
MGH54_P15_B10	NA	black	0	0.26303	0
MGH54_P15_B11	0.321967475884	blue	3	0.16993	0.097611
MGH54_P15_C01	NA	black	0	0	0
MGH54_P15_C02	NA	black	0	0.19156	0
MGH54_P15_C03	-0.583636591952	green3	2	2.516	0.2302
MGH54_P15_C04	-0.130666330645	green3	2	2.0356	0.42868
MGH54_P15_C05	-0.352076780384	green3	2	2.8799	0.39397
MGH54_P15_C06	0.300393437459	blue	3	0.27381	0.063503
MGH54_P15_C07	NA	black	0	1.3623	0
MGH54_P15_C08	0.249010384943	blue	3	0.2762	0.13619
MGH54_P15_C09	NA	black	0	0	0
MGH54_P15_C10	0.341021696461	blue	3	0.123	0.098958
MGH54_P15_C11	-0.576792683004	green3	2	2.8113	0.28688
MGH54_P15_C12	NA	black	0	0	0
MGH54_P15_D01	NA	black	0	2.5881	0
MGH54_P15_D02	NA	black	0	0	0
MGH54_P15_D03	NA	black	0	0	0.22774
MGH54_P15_D04	0.13911536347	blue	3	0.52206	0.16479
MGH54_P15_D05	NA	black	0	0	0
MGH54_P15_D07	0.300566093809	blue	3	0.14666	0.13488
MGH54_P15_D08	0.125707037136	blue	3	0.2302	0.32308
MGH54_P15_D09	-0.448973712394	green3	2	1.7386	0.070389
MGH54_P15_D10	-0.233305508658	green3	2	0.086784	0.72683
MGH54_P15_D11	-1.19443686384	black	0	3.0515	0.077243
MGH54_P15_D12	NA	black	0	3.2832	0
MGH54_P15_E01	NA	black	0	0	0
MGH54_P15_E02	NA	black	0	0	0.48233
MGH54_P15_E03	NA	black	0	0.64155	0
MGH54_P15_E04	NA	black	0	0	1.8734
MGH54_P15_E05	0.347256120742	blue	3	0.070389	0.11636
MGH54_P15_E06	NA	black	0	0.85519	0
MGH54_P15_E07	NA	black	0	1.7446	0
MGH54_P15_E08	NA	black	0	0.09356	0
MGH54_P15_E09	NA	black	0	0	0.12829
MGH54_P15_E10	0.261737907996	blue	3	0.2558	0.12961
MGH54_P15_E11	NA	black	0	3.8077	0
MGH54_P15_E12	2.74977536567	black	0	1.7866	3.5788
MGH54_P15_F01	NA	black	0	0	0
MGH54_P15_F02	NA	black	0	0	0
MGH54_P15_F03	NA	black	0	0.40163	0
MGH54_P15_F04	NA	black	0	0.35163	0
MGH54_P15_F05	-0.209933478721	green3	2	1.3311	0.10836
MGH54_P15_F06	0.175937656124	blue	3	0.21164	0.26303
MGH54_P15_F07	NA	black	0	0.27739	0
MGH54_P15_F08	NA	black	0	0	0
MGH54_P15_F09	NA	black	0	2.6938	0
MGH54_P15_F10	-0.165986987131	green3	2	0.04684	0.64801
MGH54_P15_F11	-0.782973116906	green3	2	2.4396	0.10434
MGH54_P15_F12	NA	black	0	0.060739	0
MGH54_P15_G03	NA	black	0	3.0325	0
MGH54_P15_G04	0.301439266882	blue	3	0.15575	0.12961
MGH54_P15_G05	-0.7140234102	green3	2	2.7947	0.2228
MGH54_P15_G06	0.281381639931	blue	3	0.21661	0.12433
MGH54_P15_G07	0.310896313203	blue	3	0.15963	0.11636
MGH54_P15_G08	NA	black	0	2.5622	0
MGH54_P15_G09	NA	black	0	0.16607	0
MGH54_P15_G10	0.384281953915	blue	3	0.10165	0.060739
MGH54_P15_G11	-1.729234992	black	0	0.063503	2.1395
MGH54_P15_G12	NA	black	0	0	0.16864
MGH54_P15_H01	NA	black	0	0	0
MGH54_P15_H03	0.229796689884	blue	3	0.19535	0.20038
MGH54_P15_H04	-1.11743285084	green3	2	3.0316	0.10299
MGH54_P15_H05	NA	black	0	0	0.46989
MGH54_P15_H06	NA	black	0	0	1.2185
MGH54_P15_H07	NA	black	0	0.32884	0
MGH54_P15_H08	0.374452587693	blue	3	0.056584	0.09356
MGH54_P15_H09	0.0386577031364	blue	3	0.80157	0.09356
MGH54_P15_H10	NA	black	0	2.4249	0
MGH54_P15_H11	0.277963066118	blue	3	0.10969	0.17632
MGH54_P15_H12	NA	black	0	2.849	0
MGH54_P16_A01	NA	black	0	0.79826	0
MGH54_P16_A02	NA	black	0	1.2702	0
MGH54_P16_A04	-0.533747809903	green3	2	2.059	0.1375
MGH54_P16_A05	NA	black	0	0	0.045443
MGH54_P16_A06	NA	black	0	1.2792	0
MGH54_P16_A07	NA	black	0	0.44573	0
MGH54_P16_A08	NA	black	0	0.071763	0
MGH54_P16_A09	-0.721167771155	green3	2	2.2678	0.085425
MGH54_P16_A10	0.380719139226	blue	3	0.051024	0.089498
MGH54_P16_A11	NA	black	0	0.46676	0
MGH54_P16_A12	NA	black	0	2.3291	0
MGH54_P16_B01	NA	black	0	0.80323	0
MGH54_P16_B02	0.0195229949909	blue	3	2.9949	0.5568
MGH54_P16_B03	NA	black	0	0.071763	0
MGH54_P16_B04	0.0173740277415	blue	3	0.84077	0.17249
MGH54_P16_B05	NA	black	0	0.19912	0
MGH54_P16_B06	NA	black	0	0	0.094912
MGH54_P16_B07	2.93271935555	black	0	2.2351	2.5293
MGH54_P16_B08	-0.540052525701	green3	2	2.1227	0.15445
MGH54_P16_B09	-0.896730277477	green3	2	2.7297	0.12565
MGH54_P16_B10	NA	black	0	0	0.094912
MGH54_P16_B11	NA	black	0	0.15834	0
MGH54_P16_B12	-1.42072028456	black	0	0.52105	3.0745
MGH54_P16_C01	NA	black	0	0	0
MGH54_P16_C02	NA	black	0	0	0.23634
MGH54_P16_C03	0.0295672959737	blue	3	0.20163	0.4489
MGH54_P16_C04	NA	black	0	0	0.25096
MGH54_P16_C05	0.365140816055	blue	3	0.063503	0.1003
MGH54_P16_C06	-0.503070028005	green3	2	1.9407	0.11636
MGH54_P16_C07	NA	black	0	0	0
MGH54_P16_C08	NA	black	0	0	0
MGH54_P16_C09	NA	black	0	0	0
MGH54_P16_C10	NA	black	0	0.21288	0
MGH54_P16_C11	NA	black	0	2.1	0
MGH54_P16_C12	NA	black	0	0.4957	0
MGH54_P16_D01	NA	black	0	0.12961	0
MGH54_P16_D02	NA	black	0	0	0
MGH54_P16_D03	NA	black	0	0.067639	0
MGH54_P16_D04	NA	black	0	0.082703	0
MGH54_P16_D05	0.264476142795	blue	3	0.079975	0.20163
MGH54_P16_D06	NA	black	0	3.2034	0
MGH54_P16_D07	NA	black	0	0	0.098958
MGH54_P16_D09	NA	black	0	0	0
MGH54_P16_D10	NA	black	0	1.6443	0
MGH54_P16_D11	0.379250036992	blue	3	0.045443	0.09356
MGH54_P16_D12	0.280369266826	blue	3	0.059355	0.19156
MGH54_P16_E01	NA	black	0	1.8679	0
MGH54_P16_E02	NA	black	0	0	0
MGH54_P16_E03	NA	black	0	0	0
MGH54_P16_E04	0.325705041954	blue	3	0.090853	0.13093
MGH54_P16_E05	NA	black	0	0.301	0
MGH54_P16_E06	0.252526295372	blue	3	0.052416	0.2228
MGH54_P16_E07	NA	black	0	0	0
MGH54_P16_E08	-0.227331359771	green3	2	1.4233	0.15056
MGH54_P16_E09	NA	black	0	0	0
MGH54_P16_E10	0.296540764827	blue	3	0.15704	0.13488
MGH54_P16_E11	NA	black	0	1.1603	0
MGH54_P16_E12	NA	black	0	0.29514	0
MGH54_P16_F01	NA	black	0	0	0.10969
MGH54_P16_F03	NA	black	0	0	0.34483
MGH54_P16_F04	NA	black	0	0.060739	0
MGH54_P16_F05	NA	black	0	0	0
MGH54_P16_F06	NA	black	0	0	0.094912
MGH54_P16_F07	-0.743145619898	green3	2	2.2633	0.070389
MGH54_P16_F08	0.389341510228	blue	3	0.063503	0.074505
MGH54_P16_F09	NA	black	0	0	0.082703
MGH54_P16_F10	-2.30827675641	black	0	0.17121	2.9132
MGH54_P16_F11	NA	black	0	0	0
MGH54_P16_G01	NA	black	0	0	0.25701
MGH54_P16_G02	NA	black	0	0.082703	0
MGH54_P16_G03	NA	black	0	0	0.086784
MGH54_P16_G04	0.384599696174	blue	3	0.051024	0.085425
MGH54_P16_G05	NA	black	0	0.085425	0
MGH54_P16_G06	-0.0975930476311	green3	2	1.1164	0.14405
MGH54_P16_G07	0.426667981231	blue	3	0.045443	0.044044
MGH54_P16_G08	NA	black	0	0	0
MGH54_P16_G09	0.361180871427	blue	3	0.045443	0.11237
