Cell_name	Zvalue	Color	Cluster	POU2AF1	POU2F1
MGH36_P4_H01	0.352292953988	green3	2	0.28688	0.067639
MGH36_P4_H02	NA	black	0	0.22527	0
MGH36_P4_H03	NA	black	0	0	2.4998
MGH36_P4_H04	NA	black	0	0	0.035624
MGH36_P4_H05	0.538205004976	green3	2	0.21039	0.098958
MGH36_P4_H09	NA	black	0	0	0.58111
MGH36_P4_H12	-0.0206201662215	green3	2	0.42438	0.10165
MGH36_P6_A02	NA	black	0	0.2461	0
MGH36_P6_A04	0.273204960182	green3	2	0.31962	0.028569
MGH36_P6_A05	NA	black	0	0	0.052416
MGH36_P6_A07	NA	black	0	0.52406	0
MGH36_P6_A08	-0.0937016096095	green3	2	0.45418	0.15575
MGH36_P6_A09	NA	black	0	0	2.4225
MGH36_P6_A10	-0.393022008618	green3	2	0.25822	1.8655
MGH36_P6_A11	NA	black	0	0	0.028569
MGH36_P6_B03	-2.66915554737	black	0	1.3329	0.13619
MGH36_P6_B04	NA	black	0	0.12433	0
MGH36_P6_B05	NA	black	0	0	0.060739
MGH36_P6_B06	-0.869349525601	green3	2	0.12697	2.0645
MGH36_P6_B10	-0.0605260173801	green3	2	0.43936	0.10568
MGH36_P6_B11	NA	black	0	0.11902	0
MGH36_P6_B12	NA	black	0	0.62293	0
MGH36_P6_C02	NA	black	0	0	1.0412
MGH36_P6_C03	-0.866143169813	green3	2	0.2762	2.8864
MGH36_P6_C04	-0.0318778803315	green3	2	0.14796	1.0915
MGH36_P6_C05	NA	black	0	0.028569	0
MGH36_P6_C06	-0.0813075005662	green3	2	0.26063	1.2406
MGH36_P6_C07	NA	black	0	0	2.6095
MGH36_P6_C08	-0.144535370501	green3	2	0.25822	1.3696
MGH36_P6_C09	NA	black	0	0	0.51904
MGH36_P6_C11	-0.17230750265	green3	2	0.27381	1.4631
MGH36_P6_C12	0.88350421302	green3	2	0.07861	0.07861
MGH36_P6_D01	0.802586048805	green3	2	0.11902	0.052416
MGH36_P6_D02	NA	black	0	0	1.8695
MGH36_P6_D03	NA	black	0	0.48954	0
MGH36_P6_D04	-0.0666190314199	green3	2	0.33914	1.3391
MGH36_P6_D05	NA	black	0	0.31962	0
MGH36_P6_D06	NA	black	0	0.79244	0
MGH36_P6_D07	NA	black	0	0	3.3153
MGH36_P6_D08	NA	black	0	0.46153	0
MGH36_P6_D10	NA	black	0	0	1.2522
MGH36_P6_D11	-0.787082477555	green3	2	0.68257	0.037031
MGH36_P6_E02	NA	black	0	0	5.0294
MGH36_P6_E03	0.629233896181	green3	2	0.18777	0.041243
MGH36_P6_E04	NA	black	0	0	0
MGH36_P6_E05	0.35500686827	green3	2	0.2857	0.069015
MGH36_P6_E06	0.0641258079054	green3	2	0.584	1.263
MGH36_P6_E07	-0.0454889333273	green3	2	0.11636	1.099
MGH36_P6_E08	NA	black	0	1.0222	0
MGH36_P6_E09	0.36057483107	green3	2	0.2762	0.12565
MGH36_P6_E10	0.0160028483863	green3	2	0.45523	1.3465
MGH36_P6_E11	0.571527205932	green3	2	0.21039	0.035624
MGH36_P6_E12	0.740482405607	green3	2	0.57725	3.3838
MGH36_P6_F01	0.400040222534	green3	2	0.26784	0.075875
MGH36_P6_F04	NA	black	0	0	0.025738
MGH36_P6_F06	0.324286567379	green3	2	0.11902	0.65444
MGH36_P6_F07	NA	black	0	0	0.044044
MGH36_P6_F08	0.58011818502	green3	2	0.20914	0.025738
MGH36_P6_F10	NA	black	0	0.29983	0
MGH36_P6_F12	NA	black	0	0	0
MGH36_P6_G01	0.386312789443	green3	2	0.27977	0.0229
MGH36_P6_G02	NA	black	0	0.32998	0
MGH36_P6_G03	0.130348242363	green3	2	0.89064	1.2546
MGH36_P6_G04	-0.764242924237	green3	2	0.19661	2.1979
MGH36_P6_G05	-0.564271284464	green3	2	0.12168	1.7049
MGH36_P6_G06	NA	black	0	0	1.069
MGH36_P6_G07	-0.734060900888	green3	2	0.66448	0.034216
MGH36_P6_G08	0.0786094696973	green3	2	0.38736	0.09356
MGH36_P6_G09	NA	black	0	0	3.1257
MGH36_P6_G10	0.504001517308	green3	2	0.23143	0.05797
MGH36_P6_G11	-0.470612298336	green3	2	0.26903	2.0711
MGH36_P6_G12	NA	black	0	0	0
MGH36_P6_H06	NA	black	0	0.18142	0
MGH36_P6_H07	NA	black	0	0	2.2636
MGH36_P6_H10	0.848490300668	green3	2	0.10434	0.042644
MGH36_P6_H12	NA	black	0	0	0
MGH36_P7_A01	0.393835619131	green3	2	0.2762	0.029983
MGH36_P7_A02	-0.320344477124	green3	2	0.75275	0.77231
MGH36_P7_A03	-0.0166550342936	green3	2	0.47405	0.96273
MGH36_P7_A04	NA	black	0	0	3.0548
MGH36_P7_A06	-0.403711759149	green3	2	0.28924	2.0475
MGH36_P7_A07	NA	black	0	0	0.070389
MGH36_P7_A08	NA	black	0	0.87421	0
MGH36_P7_A09	-1.61597775836	black	0	0.19787	3.3509
MGH36_P7_A10	0.220083611411	green3	2	0.56365	1.7455
MGH36_P7_A11	0.676902570702	green3	2	0.14535	0.13356
MGH36_P7_A12	NA	black	0	0.29396	0
MGH36_P7_B01	NA	black	0	0.94186	0
MGH36_P7_B02	NA	black	0	0	0.58015
MGH36_P7_B03	0.214969376387	green3	2	0.33571	0.098958
MGH36_P7_B04	-0.0354015664312	green3	2	0.42868	0.053806
MGH36_P7_B06	NA	black	0	0	4.336
MGH36_P7_B07	-0.331202328233	green3	2	0.35952	2.4818
MGH36_P7_B08	NA	black	0	0	0
MGH36_P7_B09	0.0363671766216	green3	2	0.39616	0.57821
MGH36_P7_B10	0.406418266858	green3	2	0.26424	0.084064
MGH36_P7_B11	NA	black	0	0	1.3179
MGH36_P7_B12	NA	black	0	0.63413	0
MGH36_P7_C11	NA	black	0	0	0
MGH36_P7_D01	NA	black	0	0	0.051024
MGH36_P7_D02	NA	black	0	0	0
MGH36_P7_D03	-1.27440684317	green3	2	0.85679	0.08134
MGH36_P7_D05	NA	black	0	0.53207	0
MGH36_P7_D06	NA	black	0	0	0.044044
MGH36_P7_D07	NA	black	0	0.27501	0
MGH36_P7_D08	NA	black	0	0	3.4366
MGH36_P7_D09	NA	black	0	0	0.027154
MGH36_P7_D10	0.522471755062	green3	2	0.22897	0.032806
MGH36_P7_D11	NA	black	0	0	3.0351
MGH36_P7_E01	NA	black	0	0	0
MGH36_P7_E03	NA	black	0	0.13225	0
MGH36_P7_E04	NA	black	0	0	3.8704
MGH36_P7_E05	NA	black	0	0	0.051024
MGH36_P7_E07	NA	black	0	0	0.78073
MGH36_P7_E08	NA	black	0	0	0
MGH36_P7_E10	NA	black	0	0	1.1342
MGH36_P7_E12	NA	black	0	0	0.032806
MGH36_P7_F01	0.961660509776	green3	2	0.58015	4.2892
MGH36_P7_F02	-0.974549201802	green3	2	0.27858	3.1102
MGH36_P7_F03	1.01327516302	green3	2	0.035624	0.055196
MGH36_P7_F04	-0.244181971809	green3	2	0.50182	0.051024
MGH36_P7_F06	0.735535725883	green3	2	0.14405	0.055196
MGH36_P7_F08	NA	black	0	0.45838	0
MGH36_P7_F09	0.310079207939	green3	2	0.30685	0.02432
MGH36_P7_F10	NA	black	0	0	0.43403
MGH36_P7_F11	NA	black	0	0	0.035624
MGH36_P7_F12	0.0827382927996	green3	2	0.38626	0.069015
MGH36_P7_G01	NA	black	0	0	0.018634
MGH36_P7_G02	-0.12037082042	green3	2	0.45733	0.027154
MGH36_P7_G03	NA	black	0	0.33685	0
MGH36_P7_G04	NA	black	0	0.70399	0
MGH36_P7_G05	NA	black	0	0	3.0467
MGH36_P7_G06	NA	black	0	0.19912	0
MGH36_P7_G08	NA	black	0	0	3.7841
MGH36_P7_G09	NA	black	0	0	0.035624
MGH36_P7_G10	NA	black	0	0	0
MGH36_P7_G11	0.438550608706	green3	2	0.25942	0.034216
MGH36_P7_H01	-0.449412719218	green3	2	0.24245	1.9027
MGH36_P7_H02	0.529001101198	green3	2	0.21039	0.11636
MGH36_P7_H03	-0.179133970226	green3	2	0.082703	1.2302
MGH36_P7_H04	NA	black	0	0.12961	0
MGH36_P7_H07	-0.250307836975	green3	2	0.52206	0.21537
MGH36_P7_H08	0.568970242652	green3	2	0.20664	0.059355
MGH36_P7_H10	NA	black	0	0	0.02432
MGH36_P7_H11	NA	black	0	0	0.044044
MGH36_P7_H12	NA	black	0	0	0
MGH36_P5_A02	1.52672521986	black	0	0.90997	2.3604
MGH36_P5_A03	0.0861007203605	green3	2	0.48543	1.7519
MGH36_P5_A05	-1.56482187592	black	0	0.97893	0.1375
MGH36_P5_A06	NA	black	0	0	0
MGH36_P5_A07	-0.315139859237	green3	2	0.52607	0.048236
MGH36_P5_A08	-0.104156616738	green3	2	0.62667	0.92296
MGH36_P5_A09	-0.798593590644	green3	2	0.28688	2.8586
MGH36_P5_B02	-0.541237703821	green3	2	0.18015	1.8254
MGH36_P5_B03	NA	black	0	0.27381	0
MGH36_P5_B04	0.306047604899	green3	2	0.28924	0.19409
MGH36_P5_B05	0.35026852989	green3	2	0.27739	0.14666
MGH36_P5_B06	-0.424862455456	green3	2	0.55876	0.014355
MGH36_P5_B07	0.737583906556	green3	2	0.1375	0.075875
MGH36_P5_B08	0.0731984972566	green3	2	0.22404	0.92752
MGH36_P5_B09	0.303240434288	green3	2	0.18396	0.58785
MGH36_P5_B10	-0.735625951623	green3	2	0.21909	2.2642
MGH36_P5_B11	0.861362996473	green3	2	0.097611	0.048236
MGH36_P5_C01	NA	black	0	0	2.6606
MGH36_P5_C02	13.9239601055	black	0	3.127	3.4093
MGH36_P5_C03	0.238664623546	green3	2	0.33113	0.03984
MGH36_P5_C04	0.375483698176	green3	2	0.27977	0.055196
MGH36_P5_C05	-0.520299323854	green3	2	0.58976	0.011496
MGH36_P5_C06	-0.596560386787	green3	2	0.63599	0.11503
MGH36_P5_C09	-0.51620310369	green3	2	0.15963	1.7355
MGH36_P5_C11	NA	black	0	0.25217	0
MGH36_P5_C12	0.617078904767	green3	2	0.18523	0.073135
MGH36_P5_D01	NA	black	0	0	1.6007
MGH36_P5_D02	-0.0948341345915	green3	2	0.56365	0.8528
MGH36_P5_D03	-0.535861216841	green3	2	0.27501	2.2379
MGH36_P5_D04	0.593830257043	green3	2	0.19661	0.062122
MGH36_P5_D06	0.0469312018205	green3	2	0.39944	0.025738
MGH36_P5_D07	-0.221368017756	green3	2	0.4957	0.071763
MGH36_P5_D08	0.82038783074	green3	2	0.11636	0.038436
MGH36_P5_D09	NA	black	0	0	0.45943
MGH36_P5_D11	0.905631737685	green3	2	0.079975	0.049631
MGH36_P5_D12	NA	black	0	0.66448	0
MGH36_P5_E01	NA	black	0	0.98185	0
MGH36_P5_E02	-0.0643252262332	green3	2	0.32769	1.3016
MGH36_P5_E03	-0.274780253889	green3	2	0.29278	1.7677
MGH36_P5_E05	-0.189914944973	green3	2	0.26424	1.4772
MGH36_P5_E07	0.200462543352	green3	2	0.34483	0.03984
MGH36_P5_E08	1.48294328468	black	0	0.79577	2.7115
MGH36_P5_E09	-1.3387354168	red	1	0.85599	0.027154
MGH36_P5_E10	NA	black	0	0	0.014355
MGH36_P5_E11	-1.85333582482	black	0	0.089498	2.9241
MGH36_P5_F02	0.26367597841	green3	2	0.11902	0.72857
MGH36_P5_F04	-1.1868501932	green3	2	0.08134	2.2464
MGH36_P5_F05	-0.368638950664	green3	2	0.34369	2.409
MGH36_P5_F06	-0.318825377624	green3	2	0.32884	2.1127
MGH36_P5_F07	-0.00204401502235	green3	2	0.38515	1.099
MGH36_P5_F08	0.294388761186	green3	2	0.301	0.13881
MGH36_P5_F09	-0.330958298024	green3	2	0.33571	2.2101
MGH36_P5_F10	-3.57000302705	black	0	2.845	0.86076
MGH36_P5_F11	0.676905152806	green3	2	0.16479	0.062122
MGH36_P5_G01	NA	black	0	0	1.9023
MGH36_P5_G02	NA	black	0	0	0
MGH36_P5_G04	NA	black	0	0.21412	0
MGH36_P5_G06	-1.87384849693	black	0	0.25096	4.2428
MGH36_P5_G07	0.112007767152	green3	2	0.37629	0.042644
MGH36_P5_G08	-0.461645723967	green3	2	0.57531	0.042644
MGH36_P5_G09	0.136492716138	green3	2	0.36737	0.048236
MGH36_P5_G10	-0.130904246189	green3	2	0.46362	0.074505
MGH36_P5_G11	-0.0239042668078	green3	2	0.46048	3.8781
MGH36_P5_H02	-1.46867360764	black	0	0.19661	3.151
MGH36_P5_H03	0.692852084111	green3	2	0.0229	0.39177
MGH36_P5_H05	-0.201971143483	green3	2	0.71194	0.86631
MGH36_P5_H06	0.244642470523	green3	2	0.32539	0.086784
MGH36_P5_H07	-0.606556516438	green3	2	0.27143	2.3536
MGH36_P5_H09	-1.24878006685	green3	2	0.86948	0.13225
MGH36_P10_A02	NA	black	0	0	2.4859
MGH36_P10_A04	0.0821867673223	green3	2	0.25217	0.89064
MGH36_P10_A05	-0.206963038257	green3	2	0.52206	0.35614
MGH36_P10_A06	NA	black	0	0	0.15186
MGH36_P10_A07	NA	black	0	0	0.27143
MGH36_P10_A09	NA	black	0	0	1.2222
MGH36_P10_A11	NA	black	0	0	0.36849
MGH36_P10_A12	NA	black	0	0	3.0695
MGH36_P10_B01	-0.0651858978564	green3	2	0.35952	1.4049
MGH36_P10_B03	NA	black	0	0	1.3323
MGH36_P10_B05	-0.0392180131202	green3	2	0.31383	1.196
MGH36_P10_B07	0.332925313826	green3	2	0.29396	0.069015
MGH36_P10_B08	NA	black	0	0	1.157
MGH36_P10_B10	NA	black	0	0	1.6045
MGH36_P10_B11	NA	black	0	0	0
MGH36_P10_C01	NA	black	0	0	0
MGH36_P10_C03	NA	black	0	0.3173	0
MGH36_P10_C04	-0.041462429375	green3	2	0.38405	1.3945
MGH36_P10_C06	NA	black	0	0	1.5155
MGH36_P10_C07	NA	black	0	0	3.1018
MGH36_P10_C08	0.1651077376	green3	2	0.30918	0.53406
MGH36_P10_C09	-0.2861855304	green3	2	0.51803	0.066261
MGH36_P10_C10	0.297678783217	green3	2	0.27739	0.29514
MGH36_P10_C12	NA	black	0	0	1.442
MGH36_P10_D01	NA	black	0	0.20038	0
MGH36_P10_D02	NA	black	0	0	3.342
MGH36_P10_D03	NA	black	0	0	2.1134
MGH36_P10_D04	NA	black	0	0	2.2222
MGH36_P10_D05	NA	black	0	0.80488	0
MGH36_P10_D07	NA	black	0	0.1865	0
MGH36_P10_D09	NA	black	0	0	0.082703
MGH36_P10_D10	NA	black	0	0	1.1622
MGH36_P10_D11	NA	black	0	0	0
MGH36_P10_D12	NA	black	0	0	1.6581
MGH36_P10_E02	-1.08794344638	green3	2	0.17887	2.5457
MGH36_P10_E03	-0.112205824292	green3	2	0.1903	1.2271
MGH36_P10_E04	NA	black	0	0	1.9568
MGH36_P10_E05	NA	black	0	0	0
MGH36_P10_E07	NA	black	0	0	0.69777
MGH36_P10_E10	-0.680704703441	green3	2	0.30801	2.8274
MGH36_P10_E11	NA	black	0	0	1.0663
MGH36_P10_E12	0.551100735991	green3	2	0.18903	0.16864
MGH36_P10_F02	NA	black	0	0	0
MGH36_P10_F03	NA	black	0	0.34369	0
MGH36_P10_F05	0.596243139285	green3	2	0.20038	0.03984
MGH36_P10_F06	NA	black	0	0	0.07861
MGH36_P10_F08	NA	black	0	0	3.0934
MGH36_P10_F09	0.249249111498	green3	2	0.21288	0.62293
MGH36_P10_F10	0.393565058715	green3	2	0.13093	0.5509
MGH36_P10_F11	NA	black	0	0	0.8488
MGH36_P10_F12	0.745885315445	green3	2	0.14535	0.035624
MGH36_P10_G01	NA	black	0	0	0.54003
MGH36_P10_G02	NA	black	0	0.31267	0
MGH36_P10_G03	NA	black	0	0	1.787
MGH36_P10_G05	-0.296635670421	green3	2	0.18903	1.5003
MGH36_P10_G06	NA	black	0	0	1.4044
MGH36_P10_G07	NA	black	0	0	0.056584
MGH36_P10_G08	NA	black	0	0	0
MGH36_P10_G09	NA	black	0	0	0.68706
MGH36_P10_G10	0.242229539332	green3	2	0.16736	0.70576
MGH36_P10_G11	-0.324466531994	green3	2	0.31383	2.014
MGH36_P10_H01	NA	black	0	0	0
MGH36_P10_H03	0.314496062673	green3	2	0.26183	0.33228
MGH36_P10_H04	NA	black	0	0	2.4484
MGH36_P10_H05	NA	black	0	0	0
MGH36_P10_H06	NA	black	0	0	0
MGH36_P10_H09	NA	black	0	0	0
MGH36_P10_H11	-0.15043927152	green3	2	0.34255	1.6668
MGH36_P10_H12	NA	black	0	0	0.21785
MGH36_P8_A01	NA	black	0	0	2.344
MGH36_P8_A03	NA	black	0	0	1.3679
MGH36_P8_A04	NA	black	0	0	1.3028
MGH36_P8_A06	NA	black	0	0	0.67265
MGH36_P8_A07	-0.231519272168	green3	2	0.38073	2.4
MGH36_P8_A08	NA	black	0	0.38736	0
MGH36_P8_A09	NA	black	0	0	2.3426
MGH36_P8_A11	0.226101468109	green3	2	0.29983	0.37962
MGH36_P8_A12	NA	black	0	0	0.24001
MGH36_P8_B01	-0.38172100011	green3	2	0.56267	0.14143
MGH36_P8_B02	NA	black	0	0	0
MGH36_P8_B03	NA	black	0	0	0
MGH36_P8_B04	NA	black	0	0	0.18142
MGH36_P8_B05	-0.047765329158	green3	2	0.56267	0.976
MGH36_P8_B08	NA	black	0	0	2.4201
MGH36_P8_B09	NA	black	0	0	0.07861
MGH36_P8_B10	-0.00330843813413	green3	2	0.66357	1.1144
MGH36_P8_B11	NA	black	0	0	1.6572
MGH36_P8_B12	NA	black	0	0	1.0587
MGH36_P8_C01	NA	black	0	0	1.1827
MGH36_P8_C02	NA	black	0	0	0
MGH36_P8_C03	NA	black	0	0	2.9207
MGH36_P8_C05	-0.052366306088	green3	2	0.35614	1.3317
MGH36_P8_C06	0.305150134321	green3	2	0.60502	1.7816
MGH36_P8_C09	NA	black	0	0.50894	0
MGH36_P8_C10	NA	black	0	0	0
MGH36_P8_C12	NA	black	0	0	3.0652
MGH36_P8_D01	NA	black	0	0	0
MGH36_P8_D03	-0.194842297657	green3	2	0.37072	2.0925
MGH36_P8_D04	0.0364110140387	green3	2	0.53107	1.2351
MGH36_P8_D05	NA	black	0	0	1.9822
MGH36_P8_D07	0.21853351172	green3	2	0.338	0.045443
MGH36_P8_D08	NA	black	0	0.17377	0
MGH36_P8_D09	NA	black	0	0	0.096262
MGH36_P8_D10	-0.0868620998603	green3	2	0.46258	0.3471
MGH36_P8_D11	-0.107158616073	green3	2	0.20163	1.229
MGH36_P8_D12	-0.504691929755	green3	2	0.59646	0.079975
MGH36_P8_E01	NA	black	0	0	0.64155
MGH36_P8_E02	NA	black	0	0	1.4335
MGH36_P8_E03	-0.416371700234	green3	2	0.25701	1.905
MGH36_P8_E04	NA	black	0	0	2.3992
MGH36_P8_E05	0.477627478822	green3	2	0.59932	2.236
MGH36_P8_E06	0.228220202673	green3	2	0.33228	0.077243
MGH36_P8_E08	-0.419225981096	green3	2	0.12961	1.5524
MGH36_P8_E10	NA	black	0	0.89918	0
MGH36_P8_F02	NA	black	0	0	1.722
MGH36_P8_F04	NA	black	0	0	0
MGH36_P8_F05	NA	black	0	0	0
MGH36_P8_F07	NA	black	0	0	0
MGH36_P8_F09	0.193189260399	green3	2	0.31615	0.39067
MGH36_P8_G01	0.34279206678	green3	2	0.27501	0.18396
MGH36_P8_G02	NA	black	0	0.53506	0
MGH36_P8_G03	NA	black	0	0.22157	0
MGH36_P8_G04	NA	black	0	0	0
MGH36_P8_G05	-0.885801070494	green3	2	0.29514	3.1185
MGH36_P8_G06	NA	black	0	0	1.9501
MGH36_P8_G07	NA	black	0	0.98258	0
MGH36_P8_G08	NA	black	0	0.7433	0
MGH36_P8_G09	0.318051412424	green3	2	0.52005	2.766
MGH36_P8_G10	0.360329141457	green3	2	0.2857	0.052416
MGH36_P8_G12	NA	black	0	0	0.65535
MGH36_P8_H01	NA	black	0	0	0.12565
MGH36_P8_H03	NA	black	0	0	1.809
MGH36_P8_H04	NA	black	0	0	0
MGH36_P8_H06	NA	black	0	0.43936	0
MGH36_P8_H07	NA	black	0	0	1.3511
MGH36_P8_H09	NA	black	0	0.29514	0
MGH36_P8_H10	-0.243845551811	green3	2	0.54201	0.36849
MGH36_P8_H11	-0.70138868802	green3	2	0.13356	1.8922
MGH36_P9_A01	-0.479905756626	green3	2	0.60122	0.15186
MGH36_P9_A02	0.661234269243	green3	2	1.044	1.5705
MGH36_P9_A03	NA	black	0	0.27501	0
MGH36_P9_A05	NA	black	0	0	0.97526
MGH36_P9_A06	NA	black	0	0	2.3291
MGH36_P9_A07	-0.0119062003432	green3	2	0.37851	1.1661
MGH36_P9_A09	NA	black	0	0.93734	0
MGH36_P9_A10	-0.35790760629	green3	2	0.26544	1.8274
MGH36_P9_A11	-0.348948922619	green3	2	0.25822	1.7799
MGH36_P9_A12	NA	black	0	0	1.8608
MGH36_P9_B01	NA	black	0	0	2.7521
MGH36_P9_B04	NA	black	0	0	0
MGH36_P9_B06	-0.69712964163	green3	2	0.76638	0.39287
MGH36_P9_B07	NA	black	0	0	1.6964
MGH36_P9_B08	NA	black	0	0	1.2345
MGH36_P9_B09	NA	black	0	0	0
MGH36_P9_B10	NA	black	0	0	0.13488
MGH36_P9_B11	-0.145647550729	green3	2	0.27501	1.406
MGH36_P9_B12	-2.28703529688	black	0	1.2642	0.20539
MGH36_P9_C01	NA	black	0	0	1.8516
MGH36_P9_C02	NA	black	0	0	1.2963
MGH36_P9_C03	NA	black	0	0	0
MGH36_P9_C05	NA	black	0	0	1.4865
MGH36_P9_C07	NA	black	0	0	0
MGH36_P9_C08	NA	black	0	0	0
MGH36_P9_C09	-0.557110629183	green3	2	0.25459	2.1557
MGH36_P9_C11	NA	black	0	0	0
MGH36_P9_C12	NA	black	0	0	0
MGH36_P9_D05	NA	black	0	0	1.434
MGH36_P9_D07	NA	black	0	0	0.12168
MGH36_P9_D08	NA	black	0	0.60692	0
MGH36_P9_D09	NA	black	0	0	2.4797
MGH36_P9_D10	NA	black	0	0	0.57628
MGH36_P9_D11	NA	black	0	0	2.8875
MGH36_P9_E01	NA	black	0	0	0.51299
MGH36_P9_E02	NA	black	0	0	1.0201
MGH36_P9_E03	NA	black	0	0	2.3989
MGH36_P9_E04	NA	black	0	0	0.7031
MGH36_P9_E05	NA	black	0	0	0.40054
MGH36_P9_E06	0.019713201376	green3	2	0.40926	0.089498
MGH36_P9_E07	-0.270551922239	green3	2	0.27739	1.6924
MGH36_P9_E08	-0.565257642694	green3	2	0.33113	2.8168
MGH36_P9_E10	NA	black	0	0	0.46467
MGH36_P9_E11	NA	black	0	0	2.113
MGH36_P9_E12	-0.611025956848	green3	2	0.67807	0.2558
MGH36_P9_F02	NA	black	0	0	2.2872
MGH36_P9_F03	NA	black	0	0	0.060739
MGH36_P9_F04	0.280937674291	green3	2	0.57434	1.8687
MGH36_P9_F08	NA	black	0	0	2.3228
MGH36_P9_F09	0.181816259151	green3	2	0.26303	0.64893
MGH36_P9_F10	-0.0323993688071	green3	2	0.31962	1.1808
MGH36_P9_F11	NA	black	0	0.47923	0
MGH36_P9_F12	NA	black	0	0	0.38626
MGH36_P9_G03	-0.101128367787	green3	2	0.13093	1.1718
MGH36_P9_G04	NA	black	0	0.24367	0
MGH36_P9_G05	NA	black	0	0.22527	0
MGH36_P9_G06	0.238726334411	green3	2	0.31267	0.24245
MGH36_P9_G07	NA	black	0	0	1.1243
MGH36_P9_G08	0.451224787253	green3	2	0.20789	0.27143
MGH36_P9_G09	NA	black	0	0	2.2561
MGH36_P9_G10	0.222260955959	green3	2	0.338	0.02432
MGH36_P9_G11	NA	black	0	0	0.45523
MGH36_P9_H01	NA	black	0	0	0.21039
MGH36_P9_H02	NA	black	0	0	0
MGH36_P9_H03	NA	black	0	0	2.5526
MGH36_P9_H04	0.0826851450151	green3	2	0.38405	0.17632
MGH36_P9_H06	NA	black	0	0.52306	0
MGH36_P9_H07	0.272371418998	green3	2	0.31615	0.073135
MGH36_P9_H08	-0.0698469928543	green3	2	0.35614	1.412
MGH36_P9_H10	0.416747419228	green3	2	0.17121	0.43936
MGH36_P9_H11	0.000891613906696	green3	2	0.4351	1.5205
MGH36_P9_H12	0.00304381158874	green3	2	0.43723	1.2786
MGH36_P2_A01	0.846986093625	green3	2	0.63691	2.7832
MGH36_P2_A03	-0.0387400061614	green3	2	0.41576	1.7502
MGH36_P2_A04	NA	black	0	0.19283	0
MGH36_P2_A05	NA	black	0	0	0.032806
MGH36_P2_A06	0.295875236582	green3	2	0.51501	2.7704
MGH36_P2_A07	-1.88983469269	black	0	0.16221	3.4053
MGH36_P2_A08	NA	black	0	0.14012	0
MGH36_P2_A11	0.465383125393	green3	2	0.24367	0.071763
MGH36_P2_B03	0.551719167497	green3	2	0.22157	0.014355
MGH36_P2_B04	0.673540604587	green3	2	0.15834	0.092207
MGH36_P2_B05	-0.972191672082	green3	2	0.34142	3.9767
MGH36_P2_B06	0.285139878766	green3	2	0.1903	0.60502
MGH36_P2_B07	-0.627649327533	green3	2	0.066261	1.6627
MGH36_P2_B08	-0.238212176853	green3	2	0.15445	1.3657
MGH36_P2_B09	-0.362854276412	green3	2	0.064883	1.4011
MGH36_P2_B10	-0.122018085944	green3	2	0.39067	1.9888
MGH36_P2_B11	0.382546404221	green3	2	0.27501	0.071763
MGH36_P2_B12	0.329858209315	green3	2	0.29631	0.05797
MGH36_P2_C02	0.779584092778	green3	2	0.13225	0.037031
MGH36_P2_C03	0.423425079889	green3	2	0.26664	0.02148
MGH36_P2_C04	-0.111170022456	green3	2	0.33228	1.4772
MGH36_P2_C07	-1.54026020948	black	0	0.13225	2.8276
MGH36_P2_C08	0.00435206325353	green3	2	0.41468	0.066261
MGH36_P2_C09	0.48186960963	green3	2	0.10299	0.48749
MGH36_P2_C10	0.544237213805	green3	2	0.21412	0.069015
MGH36_P2_C11	-0.976339667236	green3	2	0.19283	2.473
MGH36_P2_C12	NA	black	0	0.17632	0
MGH36_P2_D01	-1.40185759687	black	0	0.10969	2.5714
MGH36_P2_D02	0.718116903994	green3	2	0.14666	0.070389
MGH36_P2_D04	NA	black	0	0	1.107
MGH36_P2_D05	0.0855068962857	green3	2	0.38515	0.074505
MGH36_P2_D06	0.0709151015861	green3	2	0.012926	0.96864
MGH36_P2_D07	-0.0329746613885	green3	2	0.42868	0.089498
MGH36_P2_D08	0.422795274501	green3	2	0.26183	0.05797
MGH36_P2_D09	0.754226872664	green3	2	0.11503	0.12697
MGH36_P2_D10	0.12640996367	green3	2	0.47716	3.0903
MGH36_P2_D11	-1.36500633292	red	1	0.95457	0.2228
MGH36_P2_E01	0.249684322915	green3	2	0.1375	0.72857
MGH36_P2_E02	0.596831958646	green3	2	0.20414	0.020058
MGH36_P2_E03	-0.209544354375	green3	2	0.33457	1.8193
MGH36_P2_E04	-0.417022391986	green3	2	0.27023	1.9697
MGH36_P2_E06	0.680717203294	green3	2	0.17505	0.012926
MGH36_P2_E07	-0.192188956884	green3	2	0.4813	0.018634
MGH36_P2_E08	0.387921629058	green3	2	0.53506	2.7795
MGH36_P2_E09	0.505406383583	green3	2	0.12565	0.41684
MGH36_P2_E10	0.255672330309	green3	2	0.59646	1.6982
MGH36_P2_F02	-0.869213756839	green3	2	0.097611	1.9764
MGH36_P2_F03	-0.223798948314	green3	2	0.31034	1.722
MGH36_P2_F04	0.199146175666	green3	2	0.085425	0.82619
MGH36_P2_F06	0.164771137253	green3	2	0.34823	0.20914
MGH36_P2_F07	NA	black	0	0.12829	0
MGH36_P2_F08	0.200798590757	green3	2	0.34596	0.017209
MGH36_P2_F10	0.426493333212	green3	2	0.26303	0.03984
MGH36_P2_F11	-0.364926199597	green3	2	0.37295	2.8129
MGH36_P2_F12	-0.0614587781134	green3	2	0.43829	0.064883
