Cell_name	Zvalue	Color	Cluster	JUN	STMN1
MGH53_P2_D09	NA	black	0	8.0252	0
MGH53_P1_D09	NA	black	0	8.6742	0
MGH54_P2_B08	0.233111547251	green3	2	6.0795	5.1434
MGH54_P2_G05	NA	black	0	0	0.85997
MGH53_P2_F06	NA	black	0	3.0942	0
MGH36_P3_E01	NA	black	0	6.7833	0
MGH36_P5_E12	NA	black	0	8.5524	0
MGH53_P4_A12	NA	black	0	7.4605	0
MGH36_P9_F01	-2.22729225977	black	0	8.3543	1.0454
MGH36_P3_H10	-2.16341660755	black	0	8.3823	1.1661
MGH36_P3_H02	-1.24761625264	red	1	6.6987	0.73552
MGH36_P5_C10	1.27579358848	green3	2	9.7301	5.3281
MGH54_P2_B05	0.038080456789	green3	2	5.0252	0.24489
MGH36_P2_F09	-1.81596031481	black	0	7.3043	0.44042
MGH53_P4_A05	-3.26798172595	black	0	9.7286	0.84398
MGH54_P2_H10	NA	black	0	0	0.22527
MGH53_P4_E06	-1.18817160016	red	1	6.5279	0.48852
MGH53_P4_D12	-2.80645938002	black	0	8.7518	0.60407
MGH54_P2_H07	0.798504920042	green3	2	4.1552	0.27977
MGH53_P2_E03	NA	black	0	6.4145	0
MGH53_P1_A05	0.728320767992	green3	2	4.2538	0.20414
MGH36_P7_D12	-2.97798962734	black	0	8.5816	0.18396
MGH53_P4_H03	NA	black	0	9.2137	0
MGH53_P2_E05	NA	black	0	8.5475	0
MGH36_P4_H11	NA	black	0	7.2473	0
MGH53_P1_B01	-1.36788523687	red	1	6.7687	0.52005
MGH54_P2_G03	-0.299096578656	green3	2	5.4145	0.31962
MGH53_P2_F12	0.347272905753	green3	2	6.1347	5.4841
MGH36_P4_C09	NA	black	0	0	0.21039
MGH36_P5_C08	NA	black	0	9.9402	0
MGH36_P4_H06	-1.30949980384	red	1	6.6207	0.31846
MGH36_P10_E01	-2.86813437333	black	0	8.6761	0.44361
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	-1.23629942258	red	1	6.5805	0.46467
MGH36_P4_H08	NA	black	0	7.0644	0
MGH36_P7_F07	NA	black	0	0	0
MGH54_P2_A09	-1.39831938009	red	1	6.6891	0.20789
MGH36_P6_H11	NA	black	0	4.0771	0
MGH53_P2_E12	-0.578229206448	green3	2	5.9729	1.5366
MGH53_P1_F08	-1.52869918139	black	0	6.8583	0.2461
MGH36_P6_D12	-0.0380695824694	green3	2	4.6151	5.8538
MGH36_P2_H09	0.64281148487	green3	2	7.5249	5.3249
MGH53_P1_C01	NA	black	0	8.6889	0
MGH53_P2_F11	NA	black	0	5.7318	0
MGH36_P6_H04	NA	black	0	8.5411	0
MGH36_P5_G05	1.00536651466	green3	2	3.9727	0.123
MGH53_P4_B04	NA	black	0	5.6597	0
MGH53_P1_E05	0.00567622270925	green3	2	5.4547	4.3755
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	4.1414	0
MGH53_P4_A06	NA	black	0	5.9939	0
MGH36_P6_B09	-0.037113196079	green3	2	4.4716	4.9283
MGH54_P2_D09	NA	black	0	4.8723	0
MGH53_P1_E06	NA	black	0	8.9307	0
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	8.9836	0
MGH53_P4_G06	0.0624856628085	green3	2	4.9974	0.24367
MGH36_P8_F01	NA	black	0	0	3.7331
MGH36_P9_F06	NA	black	0	0	0
MGH36_P5_H04	NA	black	0	0	0.27501
MGH53_P1_B03	NA	black	0	2.9186	0
MGH53_P2_D05	-1.91295737974	black	0	7.4802	0.52707
MGH36_P4_G12	NA	black	0	5.1971	0
MGH53_P2_D11	-0.700851715277	green3	2	5.9082	0.43829
MGH53_P4_C02	NA	black	0	1.7879	0
MGH53_P4_F04	0.0488601348133	green3	2	5.0081	0.31034
MGH36_P3_D10	2.22048927224	black	0	2.5323	0.35276
MGH54_P2_F04	NA	black	0	6.3654	0
MGH36_P6_A03	-0.984497870219	green3	2	8.8624	2.9929
MGH53_P1_F07	-1.93314260294	black	0	7.3631	0.27858
MGH36_P5_H08	NA	black	0	0	0.1137
MGH54_P2_A04	NA	black	0	6.8594	0
MGH53_P4_E11	-1.49895000094	black	0	0.15186	6.1422
MGH53_P2_G03	0.162216832207	green3	2	4.8711	0.36289
MGH36_P3_F04	NA	black	0	6.5483	0
MGH54_P2_B02	NA	black	0	6.0643	0
MGH36_P5_C07	-1.08370113027	green3	2	6.3627	0.37295
MGH53_P2_E02	-0.28627475205	green3	2	6.658	3.5189
MGH54_P2_F09	NA	black	0	0	0.067639
MGH36_P3_D05	-1.53849758334	black	0	6.8341	0.15316
MGH36_P5_F12	NA	black	0	6.4473	0
MGH53_P2_H09	0.539580287988	green3	2	4.439	0.32539
MGH54_P2_F07	0.0967279219343	green3	2	5.9845	4.6919
MGH36_P5_D10	-1.87989165319	black	0	7.3525	0.38073
MGH54_P2_F11	NA	black	0	0	4.0042
MGH53_P2_H04	NA	black	0	9.2752	0
MGH36_P6_F09	NA	black	0	5.9364	0
MGH36_P9_F05	NA	black	0	9.4007	0
MGH36_P8_G11	NA	black	0	2.6906	0
MGH54_P2_A07	0.152029799299	green3	2	5.9526	4.9232
MGH36_P7_H06	-0.0468719542271	green3	2	4.4303	5.0025
MGH53_P1_A01	-0.809696581139	green3	2	8.1636	3.0303
MGH53_P1_A02	NA	black	0	6.7205	0
MGH54_P2_E07	0.97280443606	green3	2	3.9924	0.17377
MGH53_P4_F07	NA	black	0	2.7027	0
MGH53_P2_C05	NA	black	0	8.5424	0
MGH53_P4_H07	NA	black	0	5.4385	0
MGH53_P2_C06	0.983771055339	green3	2	3.9373	0.30801
MGH36_P3_F03	-0.41270683409	green3	2	5.5403	0.18015
MGH36_P2_A10	1.32858407882	green3	2	7.919	6.1604
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	0.0237800861458	green3	2	5.1324	4.6906
MGH54_P2_H03	NA	black	0	0	1.7748
MGH36_P4_D06	NA	black	0	0	0.34937
MGH53_P2_B03	0.860571842297	green3	2	6.5825	6.427
MGH53_P4_F03	-0.0961187277508	green3	2	3.9417	4.9411
MGH36_P10_E09	NA	black	0	4.3039	0
MGH53_P1_G02	NA	black	0	9.1535	0
MGH54_P2_A02	NA	black	0	0	0.64616
MGH36_P3_A07	-0.766030043864	green3	2	6.2508	1.4168
MGH53_P4_E12	-1.29802670055	red	1	6.5531	0.15056
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	3.37573810626	black	0	1.4033	0.20664
MGH54_P2_D08	-1.23851143178	red	1	6.5891	0.4813
MGH36_P8_A02	NA	black	0	1.9061	0
MGH54_P2_B07	NA	black	0	0	0.58207
MGH53_P1_B10	-0.535133232561	green3	2	5.7113	0.49262
MGH53_P2_F08	NA	black	0	5.353	0
MGH36_P10_A01	0.0767097688251	green3	2	6.0327	4.5991
MGH36_P10_F01	-2.39346054037	black	0	7.9573	0.31615
MGH53_P4_G03	2.3617927228	black	0	0.20539	2.2549
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	0.974000801327	green3	2	3.9606	0.27023
MGH54_P2_C07	-0.407036643103	green3	2	5.5382	0.26063
MGH53_P1_B02	0.408792718679	green3	2	4.4576	0.99349
MGH54_P2_D05	-0.329116883507	green3	2	5.4481	0.27143
MGH53_P2_C08	-1.2242706807	red	1	6.5736	0.48852
MGH53_P4_H09	NA	black	0	0	0.20038
MGH36_P8_H02	0.0190782661022	green3	2	6.3772	4.3448
MGH36_P10_H10	NA	black	0	4.0773	0
MGH53_P1_A12	-0.882989786624	green3	2	6.1157	0.36065
MGH36_P8_F08	NA	black	0	4.8278	0
MGH53_P1_D10	-0.616247006748	green3	2	1.0022	5.3255
MGH53_P4_A09	NA	black	0	0	0.46048
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0	4.6609
MGH53_P4_C08	-3.35375045096	black	0	9.0635	0.19912
MGH36_P5_E04	-0.470364769027	green3	2	5.6074	0.19912
MGH53_P2_A07	0.119512824254	green3	2	5.1484	5.7339
MGH54_P2_G10	NA	black	0	3.6174	0
MGH36_P7_E06	-1.4651012317	green3	2	6.7502	0.15834
MGH36_P9_D04	NA	black	0	2.9742	0
MGH53_P1_C12	NA	black	0	0	0.22404
MGH36_P8_F06	NA	black	0	3.5736	0
MGH36_P1_G11	4.70069009214	black	0	0.097611	0.15575
MGH53_P1_F02	NA	black	0	0	4.4904
MGH54_P2_D10	NA	black	0	3.4981	0
MGH36_P9_A08	2.50406293973	black	0	1.9971	0.64339
MGH53_P2_H03	0.675083372255	green3	2	4.3211	0.16993
MGH53_P4_B03	-0.274646465996	green3	2	5.386	0.33113
MGH53_P1_F10	NA	black	0	4.691	0
MGH53_P4_B05	0.108296751669	green3	2	5.4153	5.1343
MGH53_P2_B08	NA	black	0	2.0061	0
MGH36_P3_B06	NA	black	0	4.7728	0
MGH36_P10_C02	0.32984961656	green3	2	6.1347	5.4274
MGH36_P2_E05	-0.639733457607	green3	2	5.8856	0.76384
MGH54_P2_G09	NA	black	0	4.7736	0
MGH54_P2_D12	NA	black	0	0.21039	0
MGH53_P2_H02	NA	black	0	5.3529	0
MGH36_P8_F11	-2.04742820568	black	0	7.5346	0.33228
MGH53_P2_A10	-0.0878109980844	green3	2	2.4639	4.6591
MGH54_P2_E09	1.66924623321	black	0	3.2339	0.17632
MGH36_P3_H06	-1.42802318018	red	1	6.9552	0.75531
MGH36_P5_D05	0.448515780918	green3	2	4.488	0.6107
MGH54_P2_A11	0.136631803077	green3	2	5.7261	5.0027
MGH54_P2_G04	2.7676095452	black	0	2.0029	0.25942
MGH36_P6_C01	-0.579364153389	green3	2	5.7335	0.20789
MGH53_P2_E06	-2.13566288223	black	0	7.6391	0.32308
MGH53_P1_E01	0.289619992981	green3	2	4.7444	0.20289
MGH36_P1_B01	NA	black	0	2.0986	0
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	1.01678754081	green3	2	3.8988	0.3115
MGH36_P6_H05	NA	black	0	5.1174	0
MGH36_P10_E06	0.176137974387	green3	2	4.4096	2.7628
MGH54_P2_F03	NA	black	0	3.2876	0
MGH36_P4_B10	-0.693489258938	green3	2	5.9012	0.45101
MGH54_P2_F02	NA	black	0	0	0
MGH36_P2_E11	-0.771082537616	green3	2	6.0365	0.64893
MGH54_P2_D11	-0.00995542273409	green3	2	4.5375	4.5486
MGH54_P2_G01	NA	black	0	4.2298	0
MGH36_P9_D02	NA	black	0	3.314	0
MGH54_P2_E06	-0.120280497803	green3	2	3.232	4.8053
MGH54_P16_F12	-2.95852240215	black	0	0.18523	7.7326
MGH53_P5_C12	-2.63128597858	black	0	0.72334	7.7433
MGH54_P12_C10	NA	black	0	0	6.024
MGH54_P16_F02	-1.29633271781	red	1	2.4657	7.2699
MGH54_P11_C11	NA	black	0	0	7.4101
MGH53_P1_E03	NA	black	0	0	7.9479
MGH54_P15_D06	0.444833756449	green3	2	5.261	7.6527
MGH54_P14_F05	NA	black	0	0	6.9587
MGH54_P16_A03	0.0193724649908	green3	2	4.7013	7.0191
MGH53_P4_G11	NA	black	0	0	6.9128
MGH53_P7_B09	NA	black	0	0	8.2902
MGH54_P17_D11	-0.876055157592	green3	2	3.458	8.0146
MGH54_P10_G04	0.201127873601	green3	2	5.0201	7.0272
MGH54_P10_C06	-1.11368522031	green3	2	2.7621	7.2346
MGH53_P2_A02	NA	black	0	0	6.4559
MGH53_P4_F06	NA	black	0	0	8.4405
MGH53_P7_F07	NA	black	0	0	6.4384
MGH53_P11_F06	NA	black	0	0	7.3917
MGH53_P5_G02	NA	black	0	0	5.2346
MGH53_P1_F09	-2.49548853726	black	0	0.16736	7.2136
MGH53_P11_H03	NA	black	0	0	7.6867
MGH53_P10_D11	NA	black	0	0	5.5557
MGH53_P1_A10	NA	black	0	0	7.2817
MGH53_P4_B12	NA	black	0	0	7.2834
MGH53_P5_H09	NA	black	0	0	7.7242
MGH53_P9_D07	0.129612717735	green3	2	5.4807	5.1948
MGH53_P11_E03	0.375868951915	green3	2	5.0979	7.9743
MGH53_P1_C02	NA	black	0	0	8.47
MGH53_P10_F11	0.195024642627	green3	2	5.2298	6.1386
MGH53_P1_E02	-2.51404052674	black	0	1.2582	8.0775
MGH53_P1_D07	NA	black	0	0	6.7977
MGH53_P6_B01	0.31056625151	green3	2	5.36	6.5343
MGH53_P2_G04	0.555824734147	green3	2	2.681	3.2891
MGH53_P1_C05	0.319918368021	green3	2	5.2258	7.031
MGH53_P2_G09	NA	black	0	0	7.7096
MGH53_P5_A05	-0.692538447397	green3	2	1.7744	5.6111
MGH53_P5_F04	-1.91491695218	black	0	0.75617	6.8657
MGH53_P10_H03	-0.395242560775	green3	2	3.2055	5.6495
MGH53_P11_F08	NA	black	0	0	8.2044
MGH54_P7_F12	0.250766356856	green3	2	5.1998	6.6513
MGH53_P8_F03	0.097479608948	green3	2	5.0872	5.6922
MGH53_P11_A07	NA	black	0	0	8.0249
MGH53_P6_B11	NA	black	0	0	7.3618
MGH53_P4_C07	NA	black	0	0	7.0747
MGH53_P6_H06	1.07455353709	green3	2	6.5613	6.9492
MGH36_P1_A01	2.17646992415	black	0	2.4084	0.60786
MGH36_P1_A02	NA	black	0	0	5.508
MGH36_P1_A03	0.0899896995767	green3	2	5.0792	5.6328
MGH36_P1_A04	-0.555653440299	green3	2	0.067639	5.1577
MGH36_P1_A05	NA	black	0	0	6.078
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	-1.70650096046	black	0	0.13225	6.3543
MGH36_P1_A10	1.01888070484	green3	2	3.8925	0.32308
MGH36_P1_A12	NA	black	0	0	5.0694
MGH36_P1_B02	NA	black	0	0	0.35276
MGH36_P1_B03	0.381473175027	green3	2	6.6107	5.2499
MGH36_P1_B04	0.219361399363	green3	2	7.6802	4.5811
MGH36_P1_B06	0.095996807658	green3	2	5.4292	5.0341
MGH36_P1_B07	NA	black	0	0	6.202
MGH36_P1_B08	0.0294048261575	green3	2	4.4653	4.019
MGH36_P1_B09	1.41378435838	green3	2	3.1364	0.93584
MGH36_P1_B10	0.226437677777	green3	2	5.4096	5.9073
MGH36_P1_B11	0.711804422775	green3	2	6.8129	5.8745
MGH36_P1_B12	0.488305011641	green3	2	3.9389	2.1528
MGH36_P1_C01	0.376082984805	green3	2	2.8588	3.5851
MGH36_P1_C03	-0.279031706742	green3	2	7.8998	3.7796
MGH36_P1_C05	0.366710105423	green3	2	6.3562	5.3705
MGH36_P1_C06	-0.0138691452836	green3	2	4.6088	4.7094
MGH36_P1_C07	NA	black	0	0	5.1913
MGH36_P1_C08	-0.415512522202	green3	2	5.7245	1.6853
MGH36_P1_C09	-0.390728277172	green3	2	5.5169	0.21412
MGH36_P1_C10	0.862166883836	green3	2	7.0843	5.9716
MGH36_P1_C11	-0.0484861782826	green3	2	4.3451	4.8975
MGH36_P1_D01	-0.074333215796	green3	2	4.5009	5.8732
MGH36_P1_D02	0.133604356065	green3	2	5.5592	5.1322
MGH36_P1_D03	-0.00174811315299	green3	2	4.6527	4.4222
MGH36_P1_D04	0.134142015056	green3	2	5.8984	4.8814
MGH36_P1_D06	-0.0234641707448	green3	2	4.5471	4.8189
MGH36_P1_D07	NA	black	0	0	5.0957
MGH36_P1_D08	0.30435413207	green3	2	6.4945	5.115
MGH36_P1_D09	NA	black	0	8.5241	0
MGH36_P1_D11	0.310167283068	green3	2	6.8656	4.9642
MGH36_P1_F01	-0.806708540103	green3	2	5.9948	0.19787
MGH36_P1_F02	-0.210460559537	green3	2	6.3902	3.6371
MGH36_P1_F03	0.0392969148706	green3	2	5.2223	4.7816
MGH36_P1_F04	-0.0389862579774	green3	2	5.8308	4.1299
MGH36_P1_F05	0.169883010009	green3	2	5.9987	4.9655
MGH36_P1_F06	NA	black	0	0	2.9935
MGH36_P1_F08	0.0906699622405	green3	2	5.2239	5.2829
MGH36_P1_F11	NA	black	0	2.4808	0
MGH36_P1_F12	NA	black	0	0	4.2164
MGH36_P1_G02	NA	black	0	0	5.0155
MGH36_P1_G03	0.328436775335	green3	2	3.9015	2.8846
MGH36_P1_G04	0.205009870312	green3	2	5.4519	5.6964
MGH36_P1_G07	0.0115798781013	green3	2	4.6068	4.1402
MGH36_P1_G08	0.00250650522447	green3	2	5.0539	4.4041
MGH36_P1_G09	0.74828134461	green3	2	6.5911	6.1535
MGH36_P1_H02	0.0608497502374	green3	2	5.2943	4.9103
MGH36_P1_H03	NA	black	0	0	3.9854
MGH36_P1_H04	0.376140887532	green3	2	2.8396	3.594
MGH36_P1_H05	NA	black	0	0	4.5487
MGH36_P1_H06	NA	black	0	0	4.3493
MGH36_P1_H07	0.73110643907	green3	2	4.2657	0.14405
MGH36_P1_H09	3.56680541125	black	0	1.1693	0.24489
MGH36_P1_H10	-0.00968276948221	green3	2	4.3716	4.4896
MGH36_P3_A01	0.991223823932	green3	2	9.2669	5.1801
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	0.422008760689	green3	2	7.207	5.0634
MGH36_P3_A04	0.595498393808	green3	2	8.0011	5.0751
MGH36_P3_A05	-0.0155466034493	green3	2	4.5948	4.7272
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	0.127331701387	green3	2	7.5089	4.4528
MGH36_P3_A10	0.00511210800321	green3	2	4.9365	4.5539
MGH36_P3_A12	0.321016958141	green3	2	6.9389	4.9604
MGH36_P3_B02	NA	black	0	1.5059	0
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	-1.717140528	black	0	7.4911	0.95531
MGH36_P3_B09	NA	black	0	0	0.34937
MGH36_P3_B10	-1.98405756272	black	0	7.5621	0.50894
MGH36_P3_B11	1.73716573534	black	0	2.355	1.4016
MGH36_P3_B12	-2.53751548148	black	0	8.3763	0.60122
MGH36_P3_C01	NA	black	0	0	5.9771
MGH36_P3_C03	NA	black	0	0	4.7824
MGH36_P3_C04	NA	black	0	5.0948	0
MGH36_P3_C05	0.598062688908	green3	2	6.1399	6.2661
MGH36_P3_C06	NA	black	0	0	4.9575
MGH36_P3_C08	NA	black	0	0	0.62667
MGH36_P3_C11	0.618755156727	green3	2	5.926	6.6585
MGH36_P3_C12	-1.33945549224	red	1	8.038	2.1616
MGH36_P3_D01	-1.1732184896	red	1	6.4503	0.29983
MGH36_P3_D02	NA	black	0	0	5.3818
MGH36_P3_D03	-2.61806287383	black	0	8.455	0.56657
MGH36_P3_D04	-2.0672608262	black	0	7.5048	0.23879
MGH36_P3_D07	-1.2890570213	red	1	6.6443	0.45733
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	0.184446521763	green3	2	4.9758	7.1133
MGH36_P3_D11	-1.92908410887	black	0	7.4883	0.50589
MGH36_P3_E02	-0.372040558743	green3	2	5.5477	0.98331
MGH36_P3_E04	NA	black	0	0	4.852
MGH36_P3_E05	0.3990040314	green3	2	6.8674	5.1593
MGH36_P3_E06	NA	black	0	0	4.9854
MGH36_P3_E07	-1.66316376868	black	0	7.1952	0.60502
MGH36_P3_E08	-1.36518638506	red	1	6.7991	0.60122
MGH36_P3_E09	0.477895369348	green3	2	6.5737	5.5125
MGH36_P3_E10	-1.7481035238	black	0	7.1175	0.23634
MGH36_P3_E11	NA	black	0	6.439	0
MGH36_P3_E12	0.142642729036	green3	2	5.1301	6.0107
MGH36_P3_F01	NA	black	0	0	5.5597
MGH36_P3_F02	1.49946657381	green3	2	7.1122	7.1249
MGH36_P3_F05	0.0471037637764	green3	2	4.9949	5.3281
MGH36_P3_F06	0.723031247882	green3	2	6.3753	6.3247
MGH36_P3_F07	-2.26646937664	black	0	7.8533	0.39726
MGH36_P3_F08	-0.000826521331477	green3	2	4.7477	5.6045
MGH36_P3_F09	-2.85925012602	black	0	8.5474	0.31615
MGH36_P3_F10	NA	black	0	0	0.46571
MGH36_P3_F11	NA	black	0	4.6323	0
MGH36_P3_F12	-0.154869591001	green3	2	4.2955	6.0991
MGH36_P3_G01	0.600661347288	green3	2	4.3525	0.39616
MGH36_P3_G02	4.39759473415	black	0	0.2228	0.32077
MGH36_P3_G03	-1.84881116266	black	0	7.5419	0.75617
MGH36_P3_G04	-1.28893593574	red	1	6.5492	0.17249
MGH36_P3_G05	-1.94972508884	black	0	8.0071	1.1408
MGH36_P3_G06	0.844004537766	green3	2	7.2182	5.843
MGH36_P3_G08	1.60087447741	black	0	7.4448	6.9464
MGH36_P3_G09	NA	black	0	6.4571	0
MGH36_P3_G10	-1.27433325065	red	1	6.8372	0.95531
MGH36_P3_G11	4.6856904471	black	0	0.10836	0.15963
MGH36_P3_G12	NA	black	0	0	4.9939
MGH36_P3_H03	0.852639590949	green3	2	7.4925	5.6898
MGH36_P3_H04	0.353600428693	green3	2	7.3421	4.8905
MGH36_P3_H05	0.24000033686	green3	2	7.1058	4.74
MGH36_P3_H07	-2.98321777529	black	0	9.0955	0.68796
MGH36_P3_H08	-0.199461419828	green3	2	5.2975	0.32769
MGH36_P3_H11	4.18899775195	black	0	0.30568	0.44255
MGH36_P3_H12	-2.66130331501	black	0	8.3449	0.37629
MGH36_P4_A01	NA	black	0	0	4.131
MGH36_P4_A02	-0.960051454546	green3	2	6.2233	0.42008
MGH36_P4_A03	-0.0230283649523	green3	2	7.2454	4.1987
MGH36_P4_A04	NA	black	0	0	4.9116
MGH36_P4_A06	-0.0388269977687	green3	2	5.3458	3.9726
MGH36_P4_A07	NA	black	0	0	6.0826
MGH36_P4_A08	0.0979067768834	green3	2	4.7994	1.7837
MGH36_P4_A11	-1.37694474091	red	1	6.974	0.93055
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	0.673755291297	green3	2	8.0214	5.1803
MGH36_P4_B04	0.612786150209	green3	2	7.7931	5.1707
MGH36_P4_B05	0.0996678492832	green3	2	5.2211	5.3707
MGH36_P4_B06	NA	black	0	7.7132	0
MGH36_P4_B08	NA	black	0	0	4.6711
MGH36_P4_B09	0.591697329372	green3	2	6.1677	6.2109
MGH36_P4_B12	NA	black	0	3.1189	0
MGH36_P4_C02	0.557989027787	green3	2	6.1396	6.144
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0.26664
MGH36_P4_C06	0.73243400029	green3	2	7.2372	5.6273
MGH36_P4_C07	0.0429807670929	green3	2	5.3586	4.7023
MGH36_P4_C08	NA	black	0	0	1.519
MGH36_P4_C10	-1.62012438221	black	0	6.9834	0.28214
MGH36_P4_C11	0.386355352261	green3	2	5.6589	6.2419
MGH36_P4_C12	NA	black	0	5.3036	0
MGH36_P4_D01	NA	black	0	0	5.2275
MGH36_P4_D02	1.90218540797	black	0	2.9888	0.16607
MGH36_P4_D05	-2.08504657113	black	0	7.934	0.82782
MGH36_P4_D07	0.785221062929	green3	2	7.6231	5.5117
MGH36_P4_D08	NA	black	0	6.3742	0
MGH36_P4_D09	0.67708598834	green3	2	7.537	5.3764
MGH36_P4_D10	NA	black	0	0	3.0587
MGH36_P4_D11	0.696887943156	green3	2	7.2699	5.544
MGH36_P4_D12	NA	black	0	0	0.37629
MGH36_P4_E01	NA	black	0	0	3.7499
MGH36_P4_E02	-1.50142152107	black	0	7.0403	0.72421
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0	0
MGH36_P4_E07	NA	black	0	5.3347	0
MGH36_P4_E08	0.309320852707	green3	2	5.7452	5.766
MGH36_P4_E09	0.497235111743	green3	2	5.8518	6.3529
MGH36_P4_E10	NA	black	0	0	1.7053
MGH36_P4_E11	-0.160686634692	green3	2	5.9455	3.6073
MGH36_P4_E12	NA	black	0	0	0.47301
MGH36_P4_F01	NA	black	0	0	4.3055
MGH36_P4_F02	0.311596163106	green3	2	6.3812	5.1981
MGH36_P4_F03	0.683027646856	green3	2	7.2071	5.5536
MGH36_P4_F04	-1.08272019036	green3	2	6.3321	0.26303
MGH36_P4_F05	NA	black	0	6.5693	0
MGH36_P4_F06	-0.970880891617	green3	2	6.4209	1.0208
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	3.761	0
MGH36_P4_F10	0.190004241594	green3	2	6.2037	4.9275
MGH36_P4_F11	NA	black	0	0	0
MGH36_P4_F12	0.41222113575	green3	2	6.5915	5.3375
MGH36_P4_G01	NA	black	0	0	6.8968
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	1.06122845081	green3	2	7.2664	6.1975
MGH36_P4_G04	NA	black	0	0	4.4816
MGH36_P4_G05	2.57573660404	black	0	8.7476	7.1316
