Cell_name	Zvalue	Color	Cluster	F3	REL
MGH53_P12_E04	NA	black	0	0	0
MGH53_P12_E05	-0.907592283637	black	0	0.54696	4.9944
MGH53_P12_E06	NA	black	0	0	0.18015
MGH53_P12_E07	NA	black	0	0	1.9675
MGH53_P12_E08	NA	black	0	0	1.3482
MGH53_P12_E09	NA	black	0	0	0
MGH53_P12_E10	NA	black	0	0	0.62947
MGH53_P12_E12	NA	black	0	0	2.9417
MGH53_P12_F01	0.275544535286	blue	3	0.21537	0.45838
MGH53_P12_F02	0.158223504164	blue	3	0.42761	0.60975
MGH53_P12_F03	NA	black	0	0	0.20163
MGH53_P12_F04	NA	black	0	0	0.43296
MGH53_P12_F06	NA	black	0	0	2.3606
MGH53_P12_F07	NA	black	0	0	0.58015
MGH53_P12_F08	-1.55200555713	black	0	4.3152	0.26063
MGH53_P12_F09	NA	black	0	0	0.25942
MGH53_P12_F10	NA	black	0	0	0.52005
MGH53_P12_F11	0.236677690466	blue	3	0.40817	0.35727
MGH53_P12_F12	NA	black	0	0	0.19156
MGH53_P12_G01	0.23090358204	blue	3	0.30801	0.49365
MGH53_P12_G03	NA	black	0	0	0
MGH53_P12_G04	NA	black	0	0	0.2558
MGH53_P12_G07	NA	black	0	0	0.42331
MGH53_P12_G08	NA	black	0	0	0.26063
MGH53_P12_G09	0.103933783385	blue	3	0.53306	0.71896
MGH53_P12_G10	NA	black	0	0	0
MGH53_P12_G11	NA	black	0	0.29278	0
MGH53_P12_G12	NA	black	0	0.38736	0
MGH53_P12_H01	NA	black	0	0	0.70399
MGH53_P12_H02	NA	black	0	0	0.5888
MGH53_P12_H03	NA	black	0	0	0.77821
MGH53_P12_H04	NA	black	0	0	1.394
MGH53_P12_H05	NA	black	0	0	0
MGH53_P12_H06	-0.180827135527	red	1	1.3465	0.1635
MGH53_P12_H07	NA	black	0	0	0.1865
MGH53_P12_H08	NA	black	0	0	0.55582
MGH53_P12_H09	NA	black	0	0	0.68347
MGH53_P12_H10	NA	black	0	0.21661	0
MGH53_P12_H11	0.317504746044	blue	3	1.7803	1.9949
MGH53_P12_H12	0.331527300789	blue	3	0.20289	0.32654
MGH53_P2_A09	-0.300817142004	red	1	0.28214	2.0043
MGH53_P2_A11	0.290563463981	blue	3	0.29983	0.32769
MGH53_P2_A12	0.0295478254601	blue	3	0.33342	1.08
MGH53_P2_B05	0.27860962036	blue	3	0.25217	0.41468
MGH53_P2_B07	NA	black	0	0	0.6581
MGH53_P2_B09	0.401919047581	blue	3	0.23266	0.10568
MGH53_P2_B10	NA	black	0	0	0.42868
MGH53_P2_C01	NA	black	0	0	0
MGH53_P2_C02	NA	black	0	0	0.47612
MGH53_P2_C03	NA	black	0	0	0.80157
MGH53_P2_C07	NA	black	0	1.0257	0
MGH53_P2_C09	NA	black	0	0	0.51904
MGH53_P2_D01	0.107502125561	blue	3	0.72683	0.35727
MGH53_P2_D02	NA	black	0	0	1.7242
MGH53_P2_D07	0.0659785930946	blue	3	0.51904	0.89297
MGH53_P2_D08	NA	black	0	0	0.44996
MGH53_P2_D12	NA	black	0	0	0
MGH53_P2_E04	NA	black	0	0	0
MGH53_P2_E10	NA	black	0	0	0.29278
MGH53_P2_F02	0.188917841114	blue	3	0.3584	0.57337
MGH53_P2_F03	NA	black	0	0	2.3124
MGH53_P2_F04	NA	black	0	0	1.308
MGH53_P2_F05	0.258059184058	blue	3	0.36737	0.34142
MGH53_P2_G02	NA	black	0	0	0.8504
MGH53_P2_G07	-0.231061154843	red	1	4.7766	1.0766
MGH53_P2_H01	NA	black	0	0	0.87892
MGH53_P10_A01	NA	black	0	0	0.46571
MGH53_P10_A02	NA	black	0	0	0.24367
MGH53_P10_A03	NA	black	0	0	0.58304
MGH53_P10_A04	NA	black	0	0	2.6631
MGH53_P10_A05	NA	black	0	0	0
MGH53_P10_A06	0.263959163078	blue	3	0.36849	0.32077
MGH53_P10_A07	NA	black	0	0.54003	0
MGH53_P10_A08	NA	black	0	0	0
MGH53_P10_A09	NA	black	0	0.24853	0
MGH53_P10_A10	NA	black	0	0	0
MGH53_P10_A11	0.156830231221	blue	3	0.5656	0.43403
MGH53_P10_A12	NA	black	0	0	0.15186
MGH53_P10_B01	NA	black	0	0	0.21288
MGH53_P10_B02	NA	black	0	0	0.36513
MGH53_P10_B03	0.17260914026	blue	3	0.51299	0.4489
MGH53_P10_B04	0.158290213152	blue	3	0.40163	0.63413
MGH53_P10_B05	NA	black	0	0	1.1903
MGH53_P10_B06	NA	black	0	0	0.75873
MGH53_P10_B07	NA	black	0	0	0
MGH53_P10_B08	NA	black	0	0	0
MGH53_P10_B09	NA	black	0	0	0.55483
MGH53_P10_B10	NA	black	0	0	0.56657
MGH53_P10_B11	0.161330606107	blue	3	0.3774	0.64524
MGH53_P10_B12	NA	black	0	0	0.24001
MGH53_P10_C01	NA	black	0	0	0
MGH53_P10_C02	NA	black	0	0	0
MGH53_P10_C03	NA	black	0	0	0
MGH53_P10_C04	0.320760756374	blue	3	0.28096	0.26424
MGH53_P10_C05	NA	black	0	0.48543	0
MGH53_P10_C06	NA	black	0	0	0.28924
MGH53_P10_C07	NA	black	0	0.36961	0
MGH53_P10_C08	NA	black	0	0	0.32423
MGH53_P10_C09	NA	black	0	0	2.5487
MGH53_P10_C10	0.155804628182	blue	3	0.46676	0.57725
MGH53_P10_C11	NA	black	0	0	1.5084
MGH53_P10_C12	0.340990733299	blue	3	0.19661	0.30918
MGH53_P10_D01	NA	black	0	0	2.7388
MGH53_P10_D02	NA	black	0	0	0.49057
MGH53_P10_D03	NA	black	0	0	0.53804
MGH53_P10_D04	NA	black	0	0	0
MGH53_P10_D05	NA	black	0	0	0.38294
MGH53_P10_D06	0.226067682118	blue	3	0.123	0.64801
MGH53_P10_D07	0.205310014499	blue	3	0.45523	0.40381
MGH53_P10_D08	NA	black	0	0	0.52206
MGH53_P10_D09	NA	black	0	0	0.22033
MGH53_P10_D12	0.24584482446	blue	3	0.33113	0.42438
MGH53_P10_E01	0.294603302565	blue	3	0.27858	0.34142
MGH53_P10_E03	NA	black	0	0.24367	0
MGH53_P10_E04	NA	black	0	0	0.28924
MGH53_P10_E05	NA	black	0	0.36961	0
MGH53_P10_E06	NA	black	0	0.34028	0
MGH53_P10_E07	NA	black	0	0	0
MGH53_P10_E08	0.169468913094	blue	3	0.50487	0.47405
MGH53_P10_E09	0.104099257885	blue	3	0.61542	0.61918
MGH53_P10_E10	NA	black	0	0	5.3816
MGH53_P10_E11	0.315510880859	blue	3	0.29631	0.25942
MGH53_P10_E12	NA	black	0	0	0.12829
MGH53_P10_F01	-0.135351003155	blue	3	0.34369	1.5821
MGH53_P10_F02	NA	black	0	0.18015	0
MGH53_P10_F03	0.369757696139	blue	3	0.22774	0.19787
MGH53_P10_F04	NA	black	0	0	0
MGH53_P10_F05	NA	black	0	0	0
MGH53_P10_F06	NA	black	0	0	0
MGH53_P10_F07	0.287254414374	blue	3	0.33571	0.2916
MGH53_P10_F08	NA	black	0	0	0
MGH53_P10_F09	NA	black	0	0.29278	0
MGH53_P10_F10	NA	black	0	0	0
MGH53_P10_F12	NA	black	0	0	0.82293
MGH53_P10_G01	NA	black	0	0.23634	0
MGH53_P10_G02	0.31994799471	blue	3	0.24489	0.31034
MGH53_P10_G03	0.149266671708	blue	3	0.338	0.7137
MGH53_P10_G04	NA	black	0	0	0
MGH53_P10_G05	NA	black	0	0	0.25096
MGH53_P10_G07	NA	black	0	0	0.85758
MGH53_P10_G08	0.279266606622	blue	3	0.16736	0.49057
MGH53_P10_G09	NA	black	0	0	0.16092
MGH53_P10_G11	0.228554252296	blue	3	0.30568	0.50284
MGH53_P10_H01	0.23546512013	blue	3	0.32308	0.46467
MGH53_P10_H02	-0.0472667031649	blue	3	0.20414	1.2875
MGH53_P10_H04	0.212541479734	blue	3	0.27143	0.57918
MGH53_P10_H05	NA	black	0	0	0.36401
MGH53_P10_H06	NA	black	0	0	1.1532
MGH53_P10_H07	NA	black	0	0.28806	0
MGH53_P10_H08	NA	black	0	0.33457	0
MGH53_P10_H09	NA	black	0	0	0.15056
MGH53_P10_H10	NA	black	0	0.81394	0
MGH53_P10_H11	NA	black	0	0	0
MGH53_P11_A01	NA	black	0	0	2.5804
MGH53_P11_A02	NA	black	0	0	0
MGH53_P11_A03	-0.653040464857	red	1	0.24489	2.8801
MGH53_P11_A04	NA	black	0	0	0.93734
MGH53_P11_A06	NA	black	0	0	0.41468
MGH53_P11_A08	NA	black	0	0	0
MGH53_P11_A09	NA	black	0	0	0.37184
MGH53_P11_A10	NA	black	0	0	0.4782
MGH53_P11_A11	0.145017489897	blue	3	0.32998	0.73205
MGH53_P11_A12	0.115390406409	blue	3	0.25822	0.85519
MGH53_P11_B01	0.168553085789	blue	3	0.2302	0.72683
MGH53_P11_B02	NA	black	0	0	0
MGH53_P11_B04	NA	black	0	0	0.22404
MGH53_P11_B05	NA	black	0	0	0.41251
MGH53_P11_B06	0.0581183682419	blue	3	0.2762	1.0072
MGH53_P11_B07	0.101284763954	blue	3	0.52406	0.73898
MGH53_P11_B08	NA	black	0	0	0.51803
MGH53_P11_B09	NA	black	0	0	0.30685
MGH53_P11_B11	NA	black	0	0	2.0728
MGH53_P11_B12	NA	black	0	0	0.20289
MGH53_P11_C01	-0.175269307377	blue	3	0.24975	1.636
MGH53_P11_C02	NA	black	0	0	0
MGH53_P11_C03	NA	black	0	0	0.514
MGH53_P11_C04	NA	black	0	0	0
MGH53_P11_C05	NA	black	0	0	0.51299
MGH53_P11_C06	0.151317844794	blue	3	0.67446	0.21164
MGH53_P11_C07	NA	black	0	0	0
MGH53_P11_C08	NA	black	0	3.4199	0
MGH53_P11_C09	0.275324150305	blue	3	0.32998	0.33571
MGH53_P11_C10	NA	black	0	0	0
MGH53_P11_C11	NA	black	0	0	4.7431
MGH53_P11_C12	0.00770439409035	blue	3	0.87263	1.0475
MGH53_P11_D01	-0.904825371177	black	0	0.23143	3.4874
MGH53_P11_D02	NA	black	0	0	0
MGH53_P11_D03	0.129768264206	blue	3	0.34823	0.76723
MGH53_P11_D04	0.0956348917026	blue	3	0.50182	0.78157
MGH53_P11_D05	NA	black	0	0	0
MGH53_P11_D07	0.329342670264	blue	3	0.28451	0.23511
MGH53_P11_D08	NA	black	0	0	0
MGH53_P11_D09	NA	black	0	0	0.64893
MGH53_P11_D10	NA	black	0	0	0
MGH53_P11_D11	NA	black	0	4.7833	0
MGH53_P11_D12	NA	black	0	0.83269	0
MGH53_P11_E01	NA	black	0	0	3.0102
MGH53_P11_E02	NA	black	0	0	0
MGH53_P11_E04	0.140798069047	blue	3	0.51299	0.58304
MGH53_P11_E06	NA	black	0	0	0.35614
MGH53_P11_E08	NA	black	0	0	2.8828
MGH53_P11_E09	NA	black	0	0	0.3115
MGH53_P11_E10	NA	black	0	0	0.60407
MGH53_P11_E11	NA	black	0	0.74846	0
MGH53_P11_E12	NA	black	0	0	0
MGH53_P11_F01	-1.74436004368	black	0	4.9127	0.30801
MGH53_P11_F02	NA	black	0	0	0.29042
MGH53_P11_F03	NA	black	0	0	0.35952
MGH53_P11_F04	NA	black	0	0	0
MGH53_P11_F05	NA	black	0	0.47508	0
MGH53_P11_F07	NA	black	0	0	0.22404
MGH53_P11_F10	0.255965581698	blue	3	0.2762	0.45312
MGH53_P11_F11	NA	black	0	0.28214	0
MGH53_P11_F12	NA	black	0	0	0
MGH53_P11_G01	NA	black	0	0	0.77062
MGH53_P11_G02	NA	black	0	0	0
MGH53_P11_G03	NA	black	0	0	0.59168
MGH53_P11_G04	0.112567589959	blue	3	0.54498	0.66812
MGH53_P11_G05	0.167508173747	blue	3	0.52105	0.45838
MGH53_P11_G06	NA	black	0	0	0.73812
MGH53_P11_G07	NA	black	0	1.1897	0
MGH53_P11_G08	NA	black	0	0	0.36849
MGH53_P11_G09	NA	black	0	0	0.23879
MGH53_P11_G10	NA	black	0	0	0.37184
MGH53_P11_G11	-0.354838280839	red	1	0.4782	2.5155
MGH53_P11_G12	NA	black	0	0	0.51197
MGH53_P11_H01	NA	black	0	0	0.54399
MGH53_P11_H02	NA	black	0	0	0
MGH53_P11_H04	NA	black	0	0	0.42653
MGH53_P11_H05	NA	black	0	0	0.76299
MGH53_P11_H06	NA	black	0	0	0
MGH53_P11_H07	NA	black	0	0	0.26784
MGH53_P11_H08	NA	black	0	0	0
MGH53_P11_H09	NA	black	0	0.3471	0
MGH53_P11_H10	-0.328957648851	red	1	2.8272	0.82701
MGH53_P11_H11	NA	black	0	0	0.58111
MGH53_P11_H12	0.330920093215	blue	3	0.27739	0.24001
MGH53_P9_A01	NA	black	0	0	0.75702
MGH53_P9_A02	NA	black	0	0	0
MGH53_P9_A03	NA	black	0	0	0
MGH53_P9_A04	NA	black	0	0	0
MGH53_P9_A05	-0.444507436024	red	1	0.40272	2.642
MGH53_P9_A06	NA	black	0	0	0.60692
MGH53_P9_A07	NA	black	0	0	0.81394
MGH53_P9_A08	0.157009932441	blue	3	0.39506	0.64432
MGH53_P9_A09	0.293588013327	blue	3	0.32654	0.28451
MGH53_P9_A10	NA	black	0	0.39397	0
MGH53_P9_A11	NA	black	0	0	0
MGH53_P9_A12	-0.0918171865518	blue	3	0.8496	2.357
MGH53_P9_B01	NA	black	0	0	0.42008
MGH53_P9_B02	NA	black	0	0	0.92979
MGH53_P9_B03	0.195465324626	blue	3	0.47301	0.41576
MGH53_P9_B04	NA	black	0	0	0
MGH53_P9_B05	NA	black	0	0	0.80405
MGH53_P9_B06	NA	black	0	0	0
MGH53_P9_B07	NA	black	0	0	0.29396
MGH53_P9_B08	NA	black	0	0	0.29983
MGH53_P9_B09	NA	black	0	0	0.2857
MGH53_P9_B11	NA	black	0	0	0.30918
MGH53_P9_B12	NA	black	0	0	0
MGH53_P9_C01	NA	black	0	0	0.62854
MGH53_P9_C02	NA	black	0	0	0
MGH53_P9_C03	NA	black	0	0	0.42653
MGH53_P9_C04	0.00916709579066	blue	3	0.9396	0.83673
MGH53_P9_C05	NA	black	0	0	0
MGH53_P9_C06	NA	black	0	0	0.83673
MGH53_P9_C07	NA	black	0	0.92448	0
MGH53_P9_C08	NA	black	0	0	0.66812
MGH53_P9_C09	NA	black	0	0	0.08134
MGH53_P9_C10	NA	black	0	0	0
MGH53_P9_C11	NA	black	0	0	0
MGH53_P9_C12	NA	black	0	0	0
MGH53_P9_D01	NA	black	0	0	0.29866
MGH53_P9_D02	NA	black	0	0	0
MGH53_P9_D03	NA	black	0	0	0
MGH53_P9_D04	NA	black	0	0	0.43723
MGH53_P9_D05	NA	black	0	0.80735	0
MGH53_P9_D08	NA	black	0	0	0.65535
MGH53_P9_D09	NA	black	0	0	0
MGH53_P9_D10	NA	black	0	0	0
MGH53_P9_D11	NA	black	0	0	0.85997
MGH53_P9_D12	0.207022787113	blue	3	0.31383	0.55876
MGH53_P9_F04	NA	black	0	0	0
MGH53_P9_F05	NA	black	0	0	0
MGH53_P9_F06	NA	black	0	0	0.75958
MGH53_P9_F07	NA	black	0	0.19787	0
MGH53_P9_F08	NA	black	0	0	0.60407
MGH53_P9_F09	NA	black	0	0	0
MGH53_P9_F10	NA	black	0	0	1.3918
MGH53_P9_F11	NA	black	0	0	0.51501
MGH53_P9_F12	NA	black	0	0	0
MGH53_P9_G01	NA	black	0	0	0.56462
MGH53_P9_G02	NA	black	0	0.73466	0
MGH53_P9_G03	NA	black	0	0	0.56267
MGH53_P9_G04	NA	black	0	0	0.83673
MGH53_P9_G07	NA	black	0	0	0.34369
MGH53_P9_G08	NA	black	0	0	0.58976
MGH53_P9_G09	NA	black	0	0	0.25338
MGH53_P9_G12	NA	black	0	0	0.48336
MGH53_P9_H01	NA	black	0	0	0.28214
MGH53_P9_H02	NA	black	0	0	0
MGH53_P9_H03	NA	black	0	0	0
MGH53_P9_H04	NA	black	0	0	0
MGH53_P9_H05	NA	black	0	0	0.52807
MGH53_P9_H06	NA	black	0	0	0
MGH53_P9_H07	NA	black	0	0	2.7782
MGH53_P9_H08	0.222102648815	blue	3	0.42331	0.38736
MGH53_P9_H09	NA	black	0	0	0.32654
MGH53_P9_H10	NA	black	0	0	2.6951
MGH53_P9_H11	-0.0125664014299	blue	3	0.61164	1.2363
MGH53_P9_H12	0.12646506409	blue	3	0.71105	0.26544
MGH53_P4_A07	-1.09244063187	black	0	0.31267	4.2723
MGH53_P4_B01	NA	black	0	0	1.891
MGH53_P4_B02	NA	black	0	0	0
MGH53_P4_B08	-0.550016850804	red	1	0.25701	2.6365
MGH53_P4_B09	NA	black	0	0	0
MGH53_P4_B10	0.181912297418	blue	3	0.22897	0.69243
MGH53_P4_B11	0.339972710955	blue	3	0.18269	0.32654
MGH53_P4_C03	NA	black	0	0	1.037
MGH53_P4_C11	0.411814505772	blue	3	0.14274	0.19535
MGH53_P4_C12	-0.122612967696	blue	3	0.52707	1.6889
MGH53_P4_D04	NA	black	0	0	0.41468
MGH53_P4_D05	NA	black	0	0	0
MGH53_P4_D09	0.309145344408	blue	3	0.22651	0.35952
MGH53_P4_E01	NA	black	0	0	0
MGH53_P4_E02	0.194181739336	blue	3	0.47716	0.41468
MGH53_P4_E07	NA	black	0	0	0.44996
MGH53_P4_E08	-1.14840803942	black	0	0.22774	4.0843
MGH53_P4_E09	0.057079139466	blue	3	0.84157	0.40926
MGH53_P4_F01	0.283596065585	blue	3	0.338	0.29983
MGH53_P4_F02	NA	black	0	0	0.47197
MGH53_P4_F08	NA	black	0	0	0.37518
MGH53_P4_F11	0.234789774862	blue	3	0.29748	0.49262
MGH53_P4_G02	0.17981081022	blue	3	0.61542	0.21039
MGH53_P4_G05	NA	black	0	0	0.16736
MGH53_P4_G07	NA	black	0	0	0.69777
MGH53_P4_G08	NA	black	0	0	0
MGH53_P4_G09	NA	black	0	0	0.38515
MGH53_P4_H10	NA	black	0	0	0.14796
MGH53_P4_H11	NA	black	0	0.17505	0
MGH53_P4_H12	NA	black	0	0	1.1763
MGH54_P14_A01	NA	black	0	0	0
MGH54_P14_A02	NA	black	0	0	0
MGH54_P14_A03	NA	black	0	0	0.29866
MGH54_P14_A04	NA	black	0	0	0.28333
MGH54_P14_A05	NA	black	0	0	0.63599
MGH54_P14_A06	NA	black	0	0	0
MGH54_P14_A07	NA	black	0	0	0.4049
MGH54_P14_A08	NA	black	0	0	2.3036
MGH54_P14_A09	NA	black	0	0	0
MGH54_P14_A10	NA	black	0	0	0
MGH54_P14_A11	NA	black	0	0	0.63041
MGH54_P14_A12	NA	black	0	0	2.8335
MGH54_P14_B01	NA	black	0	0	0.71633
MGH54_P14_B02	NA	black	0	0	0
MGH54_P14_B03	NA	black	0	0	3.6215
MGH54_P14_B04	0.193304458873	blue	3	0.35502	0.56267
MGH54_P14_B05	NA	black	0	0	0.34142
MGH54_P14_B06	NA	black	0	0.81147	0
MGH54_P14_B07	0.243964123141	blue	3	0.39835	0.34596
MGH54_P14_B08	-0.141255628609	blue	3	0.43296	1.6681
MGH54_P14_B09	NA	black	0	0.41359	0
MGH54_P14_B10	NA	black	0	0	0.46676
MGH54_P14_B11	NA	black	0	0	0.68167
MGH54_P14_B12	NA	black	0	0	2.5236
MGH54_P14_C01	NA	black	0	0	1.4668
MGH54_P14_C02	-0.0846469535216	blue	3	0.81967	2.0966
MGH54_P14_C03	NA	black	0	0	0.97085
MGH54_P14_C04	NA	black	0	0	0
MGH54_P14_C05	NA	black	0	0	0
MGH54_P14_C06	NA	black	0	0	0.36065
MGH54_P14_C07	NA	black	0	0	0.21537
MGH54_P14_C08	NA	black	0	0	0.68077
MGH54_P14_C09	-0.929969770523	black	0	0.33228	3.8956
MGH54_P14_C10	NA	black	0	0	0
MGH54_P14_C11	NA	black	0	0	0.33457
MGH54_P14_C12	NA	black	0	0	0
MGH54_P14_D01	NA	black	0	0	0
MGH54_P14_D02	NA	black	0	1.0433	0
MGH54_P14_D03	NA	black	0	0	0.56267
MGH54_P14_D04	NA	black	0	0	0
MGH54_P14_D05	NA	black	0	0	0.41251
MGH54_P14_D06	NA	black	0	0	0
MGH54_P14_D07	NA	black	0	0.60407	0
MGH54_P14_D08	NA	black	0	0	0
MGH54_P14_D09	0.164168894879	blue	3	0.61353	0.29983
MGH54_P14_D10	NA	black	0	0	0.3505
MGH54_P14_D11	NA	black	0	0	0.44573
MGH54_P14_D12	NA	black	0	0	0.44255
MGH54_P14_E01	NA	black	0	0	0
MGH54_P14_E02	NA	black	0	0	0.82538
MGH54_P14_E03	NA	black	0	0	0.34823
MGH54_P14_E04	NA	black	0	0	1.0391
MGH54_P14_E05	NA	black	0	0	0.33571
MGH54_P14_E06	NA	black	0	0	0
MGH54_P14_E07	NA	black	0	0	1.1486
MGH54_P14_E08	NA	black	0	0	0.18015
MGH54_P14_E09	NA	black	0	0	0
MGH54_P14_E10	NA	black	0	0	0.36401
MGH54_P14_E11	NA	black	0	0	0
MGH54_P14_E12	NA	black	0	0.34937	0
MGH54_P14_F01	NA	black	0	0	0
MGH54_P14_F02	NA	black	0	0	0
MGH54_P14_F03	NA	black	0	0	0
MGH54_P14_F04	NA	black	0	0	0
MGH54_P14_F06	NA	black	0	0	0.6173
MGH54_P14_F07	NA	black	0	0.68616	0
MGH54_P14_F08	NA	black	0	0	0.43616
MGH54_P14_F09	NA	black	0	0.49467	0
MGH54_P14_F10	NA	black	0	0	0
MGH54_P14_F11	0.252446346526	blue	3	0.38515	0.33571
