Cell_name	Zvalue	Color	Cluster	ATM	TNFRSF10B
MGH53_P2_F05	-0.986414916435	red	1	0.34483	4.7563
MGH53_P2_G02	0.335975242683	green3	2	0.26903	0.79992
MGH53_P2_G07	NA	black	0	0.29631	0
MGH53_P2_H01	0.594226213776	green3	2	0.034216	0.4678
MGH53_P10_A01	NA	black	0	0.54992	0
MGH53_P10_A02	NA	black	0	0.05797	0
MGH53_P10_A03	-1.17693340135	red	1	0.3115	5.1255
MGH53_P10_A04	NA	black	0	0.10165	0
MGH53_P10_A05	NA	black	0	0.066261	0
MGH53_P10_A06	NA	black	0	0	0.40163
MGH53_P10_A07	NA	black	0	0.10836	0
MGH53_P10_A08	NA	black	0	0.31499	0
MGH53_P10_A09	NA	black	0	0	0
MGH53_P10_A10	NA	black	0	0	0.15316
MGH53_P10_A11	0.345564265194	green3	2	0.29748	0.72509
MGH53_P10_A12	NA	black	0	0.094912	0
MGH53_P10_B01	0.685087300463	green3	2	0.09356	0.15056
MGH53_P10_B02	0.700138131817	green3	2	0.12168	0.053806
MGH53_P10_B03	NA	black	0	0.26664	0
MGH53_P10_B04	NA	black	0	0.41034	0
MGH53_P10_B05	0.514937885966	green3	2	0.22527	0.34142
MGH53_P10_B06	1.96462791804	blue	3	2.2035	5.2263
MGH53_P10_B07	NA	black	0	0.56852	0
MGH53_P10_B08	-0.0541905667667	green3	2	1.0731	1.0108
MGH53_P10_B09	NA	black	0	0.13225	0
MGH53_P10_B10	NA	black	0	0.063503	0
MGH53_P10_B11	NA	black	0	0.54003	0
MGH53_P10_B12	NA	black	0	0.079975	0
MGH53_P10_C01	0.370562761508	green3	2	0.43829	0.30685
MGH53_P10_C02	0.754039850613	green3	2	0.035624	0.097611
MGH53_P10_C03	NA	black	0	0.21164	0
MGH53_P10_C04	NA	black	0	2.9675	0
MGH53_P10_C05	-2.5641139194	black	0	3.9373	0.29983
MGH53_P10_C06	NA	black	0	0.12961	0
MGH53_P10_C07	NA	black	0	0	0
MGH53_P10_C08	NA	black	0	0	0
MGH53_P10_C09	NA	black	0	0	0
MGH53_P10_C10	0.665809462772	green3	2	0.13093	0.123
MGH53_P10_C11	NA	black	0	0.22527	0
MGH53_P10_C12	NA	black	0	2.6853	0
MGH53_P10_D01	-1.41260540393	red	1	0.049631	4.7208
MGH53_P10_D02	-1.33621572701	red	1	0.1776	4.9774
MGH53_P10_D03	-1.95098218279	red	1	3.8228	0.64708
MGH53_P10_D04	NA	black	0	0.1003	0
MGH53_P10_D05	0.444349307139	green3	2	0.3505	0.27381
MGH53_P10_D06	NA	black	0	0.72509	0
MGH53_P10_D07	-0.239722017538	red	1	1.2271	0.2461
MGH53_P10_D08	NA	black	0	4.2624	0
MGH53_P10_D09	NA	black	0	2.2969	0
MGH53_P10_D12	0.689229483442	green3	2	0.066261	0.19283
MGH53_P10_E01	NA	black	0	0.049631	0
MGH53_P10_E03	NA	black	0	0.123	0
MGH53_P10_E04	NA	black	0	0.32998	0
MGH53_P10_E05	NA	black	0	2.1577	0
MGH53_P10_E06	NA	black	0	0	2.46
MGH53_P10_E07	-1.73574849138	red	1	0.051024	5.3549
MGH53_P10_E08	0.00730694145238	green3	2	0.39506	1.7811
MGH53_P10_E09	NA	black	0	0.48233	0
MGH53_P10_E10	NA	black	0	0	0
MGH53_P10_E11	NA	black	0	0.10568	0
MGH53_P10_E12	NA	black	0	0.52306	0
MGH53_P10_F01	NA	black	0	0.46989	0
MGH53_P10_F02	0.698342096584	green3	2	0.092207	0.12035
MGH53_P10_F03	0.685031149307	green3	2	0.017209	0.28806
MGH53_P10_F04	NA	black	0	0	0
MGH53_P10_F05	-0.727762954246	red	1	1.9426	0.45418
MGH53_P10_F06	NA	black	0	0	0.16479
MGH53_P10_F07	2.65846236625	black	0	2.4236	5.7326
MGH53_P10_F08	NA	black	0	0.15575	0
MGH53_P10_F09	NA	black	0	2.7495	0
MGH53_P10_F10	NA	black	0	0.54201	0
MGH53_P10_F12	NA	black	0	0.032806	0
MGH53_P10_G01	NA	black	0	0.041243	0
MGH53_P10_G02	-2.7273235558	black	0	4.0675	0.27381
MGH53_P10_G03	0.689905314382	green3	2	0.089498	0.14666
MGH53_P10_G04	NA	black	0	0.11103	0
MGH53_P10_G05	NA	black	0	2.2088	0
MGH53_P10_G07	NA	black	0	0.123	0
MGH53_P10_G08	NA	black	0	0.44996	0
MGH53_P10_G09	NA	black	0	0.066261	0
MGH53_P10_G11	0.699932839428	green3	2	0.056584	0.18523
MGH53_P10_H01	NA	black	0	0	0
MGH53_P10_H02	0.414420703383	green3	2	0.042644	0.86631
MGH53_P10_H04	-0.204433336803	red	1	0.89608	5.1493
MGH53_P10_H05	NA	black	0	1.5926	0
MGH53_P10_H06	-3.51919443073	black	0	4.7029	0.18142
MGH53_P10_H07	-0.954918339382	red	1	0.30801	4.5266
MGH53_P10_H08	NA	black	0	0.26784	0
MGH53_P10_H09	NA	black	0	1.2277	0
MGH53_P10_H10	NA	black	0	0.12829	0
MGH53_P10_H11	NA	black	0	0.16221	0
MGH53_P11_A01	NA	black	0	0.066261	0
MGH53_P11_A02	NA	black	0	0.11103	0
MGH53_P11_A03	-2.2265867212	red	1	3.3574	0.14143
MGH53_P11_A04	NA	black	0	0.301	0
MGH53_P11_A06	0.538399605041	green3	2	1.3885	4.7124
MGH53_P11_A08	0.301232909047	green3	2	0.30451	0.85679
MGH53_P11_A09	0.658694434349	green3	2	0.08134	0.23879
MGH53_P11_A10	0.696739013292	green3	2	0.092207	0.12433
MGH53_P11_A11	NA	black	0	0.17249	0
MGH53_P11_A12	NA	black	0	0.045443	0
MGH53_P11_B01	0.661001008017	green3	2	0.038436	0.30801
MGH53_P11_B02	NA	black	0	0.27739	0
MGH53_P11_B04	NA	black	0	0.34937	0
MGH53_P11_B05	NA	black	0	0.048236	0
MGH53_P11_B06	NA	black	0	0.049631	0
MGH53_P11_B07	-1.65084147207	red	1	3.0657	0.41034
MGH53_P11_B08	0.0088849435128	green3	2	0.91762	0.18903
MGH53_P11_B09	0.449674831331	green3	2	2.2889	2.5948
MGH53_P11_B11	NA	black	0	0.25459	0
MGH53_P11_B12	NA	black	0	0	0
MGH53_P11_C01	-0.658916985892	red	1	0.13093	3.3306
MGH53_P11_C02	NA	black	0	2.5536	0
MGH53_P11_C03	NA	black	0	0	0
MGH53_P11_C04	-1.47741527398	red	1	2.5223	0.077243
MGH53_P11_C05	NA	black	0	2.0745	0
MGH53_P11_C06	0.385954314217	green3	2	0.46676	0.13881
MGH53_P11_C07	-2.49366700929	red	1	3.6598	0.16479
MGH53_P11_C08	NA	black	0	0.048236	0
MGH53_P11_C09	NA	black	0	0	0.19156
MGH53_P11_C10	NA	black	0	0.096262	0
MGH53_P11_C11	NA	black	0	0.075875	0
MGH53_P11_C12	NA	black	0	0	3.1766
MGH53_P11_D01	NA	black	0	0.19409	0
MGH53_P11_D02	NA	black	0	0.27143	0
MGH53_P11_D03	NA	black	0	0	0
MGH53_P11_D04	NA	black	0	0	0
MGH53_P11_D05	-1.34076407353	red	1	0.30685	5.5255
MGH53_P11_D07	NA	black	0	1.8432	0
MGH53_P11_D08	NA	black	0	0.5509	0
MGH53_P11_D09	NA	black	0	3.6218	0
MGH53_P11_D10	4.46362447849	black	0	3.3369	5.8446
MGH53_P11_D11	NA	black	0	1.0342	0
MGH53_P11_D12	NA	black	0	0.94261	0
MGH53_P11_E01	NA	black	0	0.031395	0
MGH53_P11_E02	NA	black	0	0	0
MGH53_P11_E04	-1.01222680785	red	1	2.0888	0.16092
MGH53_P11_E06	0.605463638216	green3	2	0.15186	0.23879
MGH53_P11_E08	NA	black	0	0.5509	0
MGH53_P11_E09	NA	black	0	1.7874	0
MGH53_P11_E10	NA	black	0	0.070389	0
MGH53_P11_E11	0.284175549126	green3	2	1.2431	4.2077
MGH53_P11_E12	0.513571204415	green3	2	0.15186	0.48233
MGH53_P11_F01	-1.39210704845	red	1	0.069015	4.7378
MGH53_P11_F02	-0.561756935638	red	1	0.060739	3.0081
MGH53_P11_F03	-1.27611152885	red	1	2.4977	0.29866
MGH53_P11_F04	-0.209152232461	red	1	0.09356	2.2684
MGH53_P11_F05	-1.48801030284	red	1	0.069015	4.9295
MGH53_P11_F07	NA	black	0	0	0
MGH53_P11_F10	NA	black	0	0.049631	0
MGH53_P11_F11	0.539198966678	green3	2	0.27023	0.1635
MGH53_P11_F12	-1.50963837274	red	1	0.075875	4.9948
MGH53_P11_G01	0.716224099963	green3	2	0.049631	0.15963
MGH53_P11_G02	2.12412223555	blue	3	2.583	4.6264
MGH53_P11_G03	-0.401349524515	red	1	0.066261	2.6713
MGH53_P11_G04	NA	black	0	2.1801	0
MGH53_P11_G05	NA	black	0	1.7807	0
MGH53_P11_G06	-0.524148986827	red	1	0.11237	2.9973
MGH53_P11_G07	0.696765133963	green3	2	0.032806	0.23511
MGH53_P11_G08	-1.72599778328	red	1	0.037031	5.288
MGH53_P11_G09	-0.729315462332	red	1	0.33457	3.9977
MGH53_P11_G10	NA	black	0	1.1117	0
MGH53_P11_G11	NA	black	0	0.051024	0
MGH53_P11_G12	NA	black	0	0.19787	0
MGH53_P11_H01	0.187128157688	green3	2	0.64985	0.50792
MGH53_P11_H02	NA	black	0	0.32193	0
MGH53_P11_H04	0.0795868665146	green3	2	0.82944	0.24123
MGH53_P11_H05	0.571163055324	green3	2	0.20163	0.22897
MGH53_P11_H06	0.56601789538	green3	2	0.14143	0.36289
MGH53_P11_H07	-0.883647663205	red	1	0.15834	3.8989
MGH53_P11_H08	NA	black	0	0	0.27501
MGH53_P11_H09	0.740826340625	green3	2	0.038436	0.123
MGH53_P11_H10	NA	black	0	0.092207	0
MGH53_P11_H11	0.516181768788	green3	2	0.24975	0.28451
MGH53_P11_H12	-0.170314606607	red	1	0.87971	4.4983
MGH53_P9_A01	0.596766205132	green3	2	0.13225	0.29983
MGH53_P9_A02	NA	black	0	0.42546	0
MGH53_P9_A03	NA	black	0	0.086784	0
MGH53_P9_A04	NA	black	0	0.14274	0
MGH53_P9_A05	NA	black	0	3.1519	0
MGH53_P9_A06	NA	black	0	0	0.57046
MGH53_P9_A07	-0.696449289912	red	1	0.52206	4.6621
MGH53_P9_A08	-0.96932720207	red	1	0.074505	3.8888
MGH53_P9_A09	NA	black	0	0.059355	0
MGH53_P9_A10	NA	black	0	0.071763	0
MGH53_P9_A11	NA	black	0	0.33342	0
MGH53_P9_A12	NA	black	0	0	0.28924
MGH53_P9_B01	0.300301015031	green3	2	0.53506	0.29866
MGH53_P9_B02	NA	black	0	0.60975	0
MGH53_P9_B03	NA	black	0	0.085425	0
MGH53_P9_B04	NA	black	0	0.09356	0
MGH53_P9_B05	-0.346631228133	red	1	0.20038	2.6902
MGH53_P9_B06	NA	black	0	0.070389	0
MGH53_P9_B07	NA	black	0	0.059355	0
MGH53_P9_B08	NA	black	0	0	0
MGH53_P9_B09	0.0634623794629	green3	2	0.84559	0.35727
MGH53_P9_B11	-0.953869287251	red	1	0.24367	4.3041
MGH53_P9_B12	0.21886609802	green3	2	0.58304	0.57821
MGH53_P9_C01	NA	black	0	1.3237	0
MGH53_P9_C02	NA	black	0	0	0
MGH53_P9_C03	NA	black	0	1.9638	0
MGH53_P9_C04	NA	black	0	0.926	0
MGH53_P9_C05	NA	black	0	0.66175	0
MGH53_P9_C06	NA	black	0	0.097611	0
MGH53_P9_C07	NA	black	0	2.6455	0
MGH53_P9_C08	NA	black	0	0	4.5412
MGH53_P9_C09	NA	black	0	0	0.39177
MGH53_P9_C10	NA	black	0	0	0
MGH53_P9_C11	NA	black	0	0.39067	0
MGH53_P9_C12	NA	black	0	0.16607	0
MGH53_P9_D01	NA	black	0	0	3.9146
MGH53_P9_D02	0.438059197683	green3	2	1.3214	4.6725
MGH53_P9_D03	NA	black	0	0.16864	0
MGH53_P9_D04	NA	black	0	0.12433	0
MGH53_P9_D05	NA	black	0	4.291	0
MGH53_P9_D08	NA	black	0	0.45523	0
MGH53_P9_D09	NA	black	0	0.29866	0
MGH53_P9_D10	NA	black	0	2.1424	0
MGH53_P9_D11	NA	black	0	0	1.4579
MGH53_P9_D12	NA	black	0	0	0.19156
MGH53_P9_F04	NA	black	0	2.6159	0
MGH53_P9_F05	NA	black	0	0.066261	0
MGH53_P9_F06	NA	black	0	0	0
MGH53_P9_F07	NA	black	0	3.0514	0
MGH53_P9_F08	NA	black	0	0.67265	0
MGH53_P9_F09	NA	black	0	0	0
MGH53_P9_F10	-0.911926674176	red	1	0.26424	4.2641
MGH53_P9_F11	-0.857449148244	red	1	0.37518	4.513
MGH53_P9_F12	NA	black	0	0	2.0133
MGH53_P9_G01	-1.15274931253	red	1	0.044044	4.1908
MGH53_P9_G02	NA	black	0	3.3611	0
MGH53_P9_G03	NA	black	0	0	4.1158
MGH53_P9_G04	NA	black	0	0.26903	0
MGH53_P9_G07	-1.00608510261	red	1	0.38736	5
MGH53_P9_G08	NA	black	0	0.069015	0
MGH53_P9_G09	NA	black	0	0.051024	0
MGH53_P9_G12	0.587471701067	green3	2	0.20539	0.17377
MGH53_P9_H01	NA	black	0	0.16993	0
MGH53_P9_H02	NA	black	0	0	0
MGH53_P9_H03	NA	black	0	0.11636	0
MGH53_P9_H04	-0.665150133695	red	1	0.64616	5.3474
MGH53_P9_H05	NA	black	0	0	3.8672
MGH53_P9_H06	NA	black	0	0.053806	0
MGH53_P9_H07	NA	black	0	0.11237	0
MGH53_P9_H08	NA	black	0	0.3173	0
MGH53_P9_H09	NA	black	0	0.09356	0
MGH53_P9_H10	NA	black	0	0.22527	0
MGH53_P9_H11	NA	black	0	0.32308	0
MGH53_P9_H12	0.337721361158	green3	2	0.48233	0.30801
MGH53_P4_A07	NA	black	0	0.069015	0
MGH53_P4_B01	NA	black	0	0	0
MGH53_P4_B02	NA	black	0	0.34255	0
MGH53_P4_B08	NA	black	0	0.048236	0
MGH53_P4_B09	0.564062452282	green3	2	0.13619	0.3774
MGH53_P4_B10	0.0375722951231	green3	2	0.87971	0.41359
MGH53_P4_B11	0.0659917455397	green3	2	0.84639	0.2461
MGH53_P4_C03	NA	black	0	2.6374	0
MGH53_P4_C11	-0.895442223104	red	1	2.0659	0.32539
MGH53_P4_C12	-1.27826842742	red	1	2.559	0.35952
MGH53_P4_D04	-2.52096660136	black	0	4.0883	0.41576
MGH53_P4_D05	2.17183599947	blue	3	2.8908	4.2446
MGH53_P4_D09	0.613300274305	green3	2	0.18903	0.1375
MGH53_P4_E01	NA	black	0	0	0
MGH53_P4_E02	-1.30650142944	red	1	0.090853	4.6293
MGH53_P4_E07	0.618427996658	green3	2	0.10299	0.29866
MGH53_P4_E08	0.590143210205	green3	2	0.20539	0.16607
MGH53_P4_E09	0.612554934357	green3	2	0.1865	0.14535
MGH53_P4_F01	0.663858046124	green3	2	0.073135	0.24123
MGH53_P4_F02	0.182375644981	green3	2	0.51299	0.96643
MGH53_P4_F08	-0.0730520420854	green3	2	1.0286	0.34483
MGH53_P4_F11	0.655474718077	green3	2	0.11103	0.1903
MGH53_P4_G02	0.507914715791	green3	2	0.30685	0.16993
MGH53_P4_G05	0.67518710807	green3	2	0.12697	0.10702
MGH53_P4_G07	-1.44699072189	red	1	0.1776	5.2232
MGH53_P4_G08	NA	black	0	0	0
MGH53_P4_G09	0.637873219577	green3	2	0.086784	0.27977
MGH53_P4_H10	0.123202037132	green3	2	0.78492	0.09356
MGH53_P4_H11	-1.12899036379	red	1	0.28924	4.9083
MGH53_P4_H12	0.437685495229	green3	2	0.24975	0.52306
MGH54_P14_A01	NA	black	0	0	0
MGH54_P14_A02	NA	black	0	3.3985	0
MGH54_P14_A03	NA	black	0	0.070389	0
MGH54_P14_A04	0.630217195738	green3	2	0.15316	0.16993
MGH54_P14_A05	NA	black	0	0	3.9553
MGH54_P14_A06	NA	black	0	0	0
MGH54_P14_A07	1.04414584413	green3	2	2.0614	3.8562
MGH54_P14_A08	NA	black	0	0.68706	0
MGH54_P14_A09	NA	black	0	0.51299	0
MGH54_P14_A10	NA	black	0	0	0
MGH54_P14_A11	NA	black	0	0	5.1962
MGH54_P14_A12	0.136541849407	green3	2	0.30685	1.3785
MGH54_P14_B01	-1.20239630771	red	1	0.31499	5.2073
MGH54_P14_B02	-0.628061224944	red	1	0.45101	4.0943
MGH54_P14_B03	NA	black	0	3.1596	0
MGH54_P14_B04	-0.639560058774	red	1	0.15445	3.329
MGH54_P14_B05	0.520026662101	green3	2	0.26784	0.2302
MGH54_P14_B06	2.28800762113	blue	3	3.0774	4.1588
MGH54_P14_B07	NA	black	0	0	0
MGH54_P14_B08	0.517359310829	green3	2	0.25701	0.26424
MGH54_P14_B09	0.556339856417	green3	2	0.21661	0.23879
MGH54_P14_B10	NA	black	0	3.491	0
MGH54_P14_B11	NA	black	0	0	0
MGH54_P14_B12	NA	black	0	1.0419	0
MGH54_P14_C01	NA	black	0	0	0.63506
MGH54_P14_C02	NA	black	0	2.1871	0
MGH54_P14_C03	NA	black	0	0.29514	0
MGH54_P14_C04	NA	black	0	0.35502	0
MGH54_P14_C05	0.19820881413	green3	2	1.1922	3.8657
MGH54_P14_C06	NA	black	0	3.2654	0
MGH54_P14_C07	NA	black	0	0.43403	0
MGH54_P14_C08	NA	black	0	2.4046	0
MGH54_P14_C09	-1.70147984392	red	1	0.059355	5.3176
MGH54_P14_C10	-0.0467719879952	green3	2	0.07861	1.8953
MGH54_P14_C11	-1.06332701094	red	1	0.13619	4.2428
MGH54_P14_C12	0.513442615218	green3	2	0.12168	0.53107
MGH54_P14_D01	NA	black	0	0	0.56365
MGH54_P14_D02	NA	black	0	0	0
MGH54_P14_D03	NA	black	0	2.8494	0
MGH54_P14_D04	NA	black	0	0.14274	0
MGH54_P14_D05	NA	black	0	0.10165	0
MGH54_P14_D06	NA	black	0	0	0
MGH54_P14_D07	NA	black	0	1.9753	0
MGH54_P14_D08	0.579888558131	green3	2	0.19535	0.21785
MGH54_P14_D09	0.602220841196	green3	2	0.17632	0.19661
MGH54_P14_D10	NA	black	0	1.3885	0
MGH54_P14_D11	NA	black	0	0.97893	0
MGH54_P14_D12	NA	black	0	0	0
MGH54_P14_E01	-1.26790351795	red	1	0.18269	4.8423
MGH54_P14_E02	NA	black	0	0	0.62761
MGH54_P14_E03	NA	black	0	2.3657	0
MGH54_P14_E04	0.0647069681003	green3	2	0.83512	0.53506
MGH54_P14_E05	NA	black	0	0.07861	0
MGH54_P14_E06	0.508818597613	green3	2	0.092207	0.58592
MGH54_P14_E07	NA	black	0	2.474	0
MGH54_P14_E08	NA	black	0	0	0
MGH54_P14_E09	NA	black	0	0.10969	0
MGH54_P14_E10	NA	black	0	0	0
MGH54_P14_E11	NA	black	0	0.79909	0
MGH54_P14_E12	NA	black	0	0.21164	0
MGH54_P14_F01	NA	black	0	0	0
MGH54_P14_F02	NA	black	0	1.3045	0
MGH54_P14_F03	NA	black	0	0	0
MGH54_P14_F04	NA	black	0	0.29514	0
MGH54_P14_F06	NA	black	0	0	0
MGH54_P14_F07	NA	black	0	0	0
MGH54_P14_F08	-2.00353623054	red	1	3.6977	0.54201
MGH54_P14_F09	NA	black	0	0	0
MGH54_P14_F10	NA	black	0	0.12565	0
MGH54_P14_F11	-1.12543909488	red	1	0.070389	4.2012
MGH54_P14_G01	NA	black	0	0	0
MGH54_P14_G02	NA	black	0	0.18142	0
MGH54_P14_G03	NA	black	0	0.3173	0
MGH54_P14_G04	NA	black	0	0	0
MGH54_P14_G05	0.182926783822	green3	2	0.69421	0.27501
MGH54_P14_G06	NA	black	0	0	0
MGH54_P14_G07	NA	black	0	0	0
MGH54_P14_G08	-1.38728648213	red	1	0.29983	5.6092
MGH54_P14_G09	-0.881457497543	red	1	1.9848	0.22897
MGH54_P14_G10	0.64963245093	green3	2	0.086784	0.25096
MGH54_P14_G11	NA	black	0	0	0
MGH54_P14_G12	NA	black	0	0	0
MGH54_P14_H01	NA	black	0	0.40272	0
MGH54_P14_H02	NA	black	0	0	0
MGH54_P14_H03	NA	black	0	0	0.60881
MGH54_P14_H04	NA	black	0	0.20289	0
MGH54_P14_H05	NA	black	0	2.8164	0
MGH54_P14_H06	NA	black	0	0.2461	0
MGH54_P14_H07	NA	black	0	0.10165	0
MGH54_P14_H08	NA	black	0	2.3156	0
MGH54_P14_H09	NA	black	0	0.19409	0
MGH54_P14_H10	NA	black	0	1.9971	0
MGH54_P14_H11	NA	black	0	0	0
MGH54_P14_H12	NA	black	0	0	0
MGH54_P15_A02	NA	black	0	0	0
MGH54_P15_A03	NA	black	0	0	0
MGH54_P15_A04	NA	black	0	0.40272	0
MGH54_P15_A05	NA	black	0	0.12035	0
MGH54_P15_A06	-0.54964224466	red	1	0.15834	3.1255
MGH54_P15_A07	NA	black	0	0	0
MGH54_P15_A08	NA	black	0	2.127	0
MGH54_P15_A09	NA	black	0	0.60027	0
MGH54_P15_A10	NA	black	0	2.56	0
MGH54_P15_A11	-0.486981559831	red	1	1.5395	0.2762
MGH54_P15_A12	NA	black	0	0	0
MGH54_P15_B01	NA	black	0	1.0704	0
MGH54_P15_B02	NA	black	0	1.774	0
MGH54_P15_B03	-1.04173835531	red	1	0.25942	4.5754
MGH54_P15_B04	NA	black	0	0.21288	0
MGH54_P15_B05	NA	black	0	1.1177	0
MGH54_P15_B06	0.524990056396	green3	2	0.24367	0.27143
MGH54_P15_B07	NA	black	0	1.0115	0
MGH54_P15_B09	NA	black	0	2.1375	0
