Cell_name	Zvalue	Color	Cluster	HLA-E	MYC
MGH36_P3_F03	NA	black	0	7.1443	0
MGH36_P2_A10	NA	black	0	7.6435	0
MGH53_P4_E03	0.648488666643	green3	2	7.2052	4.1208
MGH36_P9_D12	0.882900560286	blue	3	8.0083	4.2324
MGH54_P2_H03	NA	black	0	6.96	0
MGH36_P4_D06	1.02819171248	blue	3	6.2331	4.6504
MGH53_P2_B03	NA	black	0	7.835	0
MGH53_P4_F03	NA	black	0	6.1144	0
MGH36_P10_E09	1.40763507244	blue	3	6.34	5.0261
MGH53_P1_G02	NA	black	0	6.2671	0
MGH54_P2_A02	NA	black	0	6.943	0
MGH36_P3_A07	NA	black	0	6.6371	0
MGH53_P4_E12	NA	black	0	7.8171	0
MGH54_P2_A03	0.626115535796	green3	2	6.4523	4.1849
MGH53_P4_E10	0.477609187332	green3	2	6.9933	3.9868
MGH54_P2_D08	NA	black	0	7.5745	0
MGH36_P8_A02	NA	black	0	7.9697	0
MGH54_P2_B07	NA	black	0	6.6961	0
MGH53_P1_B10	1.51224921756	blue	3	6.5877	5.0523
MGH53_P2_F08	NA	black	0	5.8807	0
MGH36_P10_A01	NA	black	0	6.6633	0
MGH36_P10_F01	NA	black	0	6.3538	0
MGH53_P4_G03	NA	black	0	6.8327	0
MGH53_P1_F12	NA	black	0	7.0524	0
MGH36_P4_B03	NA	black	0	7.3054	0
MGH54_P2_C07	NA	black	0	6.8608	0
MGH53_P1_B02	0.588681023328	green3	2	6.2661	4.1708
MGH54_P2_D05	NA	black	0	7.4668	0
MGH53_P2_C08	NA	black	0	7.2567	0
MGH53_P4_H09	-2.73494705176	black	0	6.2082	0.64985
MGH36_P8_H02	NA	black	0	7.1169	0
MGH36_P10_H10	NA	black	0	8.0745	0
MGH53_P1_A12	1.89520206071	blue	3	6.9654	5.2953
MGH36_P8_F08	NA	black	0	7.0952	0
MGH53_P1_D10	NA	black	0	7.591	0
MGH53_P4_A09	NA	black	0	7.4321	0
MGH53_P2_H08	NA	black	0	6.2651	0
MGH36_P4_A09	-3.56472292944	black	0	6.838	0.27143
MGH53_P4_C08	NA	black	0	8.0988	0
MGH36_P5_E04	NA	black	0	6.8155	0
MGH53_P2_A07	NA	black	0	4.8981	0
MGH54_P2_G10	NA	black	0	6.6885	0
MGH36_P7_E06	NA	black	0	7.2584	0
MGH36_P9_D04	0.733480775559	green3	2	6.8721	4.2349
MGH53_P1_C12	NA	black	0	7.3381	0
MGH36_P8_F06	0.251817786266	green3	2	6.4015	3.8051
MGH36_P1_G11	1.29902764448	blue	3	7.5776	4.6186
MGH53_P1_F02	NA	black	0	4.9414	0
MGH54_P2_D10	1.77429909402	blue	3	7.7792	4.9599
MGH36_P9_A08	NA	black	0	5.3231	0
MGH53_P2_H03	NA	black	0	6.7654	0
MGH53_P4_B03	NA	black	0	7.5493	0
MGH53_P1_F10	-0.0483383929369	green3	2	7.1083	3.5125
MGH53_P4_B05	NA	black	0	6.863	0
MGH53_P2_B08	NA	black	0	6.7937	0
MGH36_P3_B06	NA	black	0	7.9457	0
MGH36_P10_C02	-0.874912911031	green3	2	8.5602	2.9732
MGH36_P2_E05	NA	black	0	7.6382	0
MGH54_P2_G09	NA	black	0	7.3847	0
MGH54_P2_D12	NA	black	0	7.5863	0
MGH53_P2_H02	NA	black	0	5.6746	0
MGH36_P8_F11	NA	black	0	7.8043	0
MGH53_P2_A10	0.0441962198856	green3	2	7.8281	3.5988
MGH54_P2_E09	NA	black	0	3.9792	0
MGH36_P3_H06	1.46702394462	blue	3	7.2853	4.8196
MGH36_P5_D05	-3.38813042857	black	0	6.6522	0.30801
MGH54_P2_A11	1.18544737617	blue	3	6.8206	4.6698
MGH54_P2_G04	NA	black	0	6.7934	0
MGH36_P6_C01	NA	black	0	7.2358	0
MGH53_P2_E06	NA	black	0	6.9155	0
MGH53_P1_E01	NA	black	0	6.2669	0
MGH36_P1_B01	NA	black	0	6.4262	0
MGH54_P2_H04	NA	black	0	7.8842	0
MGH36_P2_C05	NA	black	0	5.4371	0
MGH36_P6_H05	NA	black	0	6.9131	0
MGH36_P10_E06	-4.10021202051	black	0	7.9758	0.50182
MGH54_P2_F03	NA	black	0	8.1676	0
MGH36_P4_B10	0.338922446381	green3	2	2.7011	6.1422
MGH54_P2_F02	NA	black	0	5.9779	0
MGH36_P2_E11	NA	black	0	7.5119	0
MGH54_P2_D11	NA	black	0	6.4479	0
MGH54_P2_G01	-0.78655268789	green3	2	4.8085	2.2657
MGH36_P9_D02	NA	black	0	6.9789	0
MGH54_P2_E06	NA	black	0	6.8062	0
MGH54_P16_F12	NA	black	0	0	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0.64155	0
MGH54_P16_F02	NA	black	0	0.77568	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	NA	black	0	0	0
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0.54794	0
MGH54_P10_G04	NA	black	0	4.7538	0
MGH54_P10_C06	NA	black	0	0.27977	0
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0.41468	0
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0.19912	0
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0.69777	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0.37518	0
MGH53_P2_G04	NA	black	0	0.53605	0
MGH53_P1_C05	NA	black	0	0.42653	0
MGH53_P2_G09	NA	black	0	1.8408	0
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	1.6604	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	NA	black	0	0.22897	0
MGH53_P4_C07	NA	black	0	0	0
MGH53_P6_H06	NA	black	0	0.2916	0
MGH36_P1_A01	0.0606985010107	green3	2	0.30568	3.3125
MGH36_P1_A02	NA	black	0	0	4.2764
MGH36_P1_A03	NA	black	0	0.63041	0
MGH36_P1_A04	NA	black	0	0.31034	0
MGH36_P1_A05	1.11619418813	blue	3	0.47301	0.15316
MGH36_P1_A06	NA	black	0	0.19661	0
MGH36_P1_A08	0.603005861214	green3	2	0.19283	1.9989
MGH36_P1_A10	NA	black	0	0	1.4098
MGH36_P1_A12	NA	black	0	0	4.1738
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	2.2013	0
MGH36_P1_B04	NA	black	0	0.1177	0
MGH36_P1_B06	NA	black	0	0	3.0625
MGH36_P1_B07	NA	black	0	1.2382	0
MGH36_P1_B08	NA	black	0	0.044044	0
MGH36_P1_B09	NA	black	0	4.0874	0
MGH36_P1_B10	1.27931406283	blue	3	0.04684	0.51904
MGH36_P1_B11	NA	black	0	0.14535	0
MGH36_P1_B12	NA	black	0	3.027	0
MGH36_P1_C01	0.417986054035	green3	2	4.037	4.4685
MGH36_P1_C03	0.9170729824	blue	3	0.67987	0.32423
MGH36_P1_C05	NA	black	0	0.61447	0
MGH36_P1_C06	0.140522306008	green3	2	0.071763	3.1481
MGH36_P1_C07	0.733099461946	green3	2	0.34596	1.5059
MGH36_P1_C08	NA	black	0	4.581	0
MGH36_P1_C09	0.0116967992757	green3	2	0.067639	3.4374
MGH36_P1_C10	NA	black	0	4.8022	0
MGH36_P1_C11	NA	black	0	0.38405	0
MGH36_P1_D01	NA	black	0	0	0
MGH36_P1_D02	NA	black	0	0.038436	0
MGH36_P1_D03	1.18095611798	blue	3	0.053806	0.74502
MGH36_P1_D04	NA	black	0	0.27381	0
MGH36_P1_D06	NA	black	0	5.8814	0
MGH36_P1_D07	NA	black	0	0.50894	0
MGH36_P1_D08	NA	black	0	4.6147	0
MGH36_P1_D09	NA	black	0	4.07	0
MGH36_P1_D11	NA	black	0	2.7187	0
MGH36_P1_F01	NA	black	0	0.67987	0
MGH36_P1_F02	NA	black	0	0.079975	0
MGH36_P1_F03	NA	black	0	0.08134	0
MGH36_P1_F04	1.09115285924	blue	3	0.54102	0.069015
MGH36_P1_F05	NA	black	0	0.048236	0
MGH36_P1_F06	NA	black	0	5.736	0
MGH36_P1_F08	1.10331750773	blue	3	0.41684	0.31846
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	NA	black	0	0.31962	0
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	NA	black	0	0	0.45628
MGH36_P1_G04	-1.78358709273	red	1	5.458	1.2327
MGH36_P1_G07	0.55365724562	green3	2	4.1712	4.7021
MGH36_P1_G08	-0.47278973138	green3	2	0.066261	4.5037
MGH36_P1_G09	0.0999433121784	green3	2	1.5656	2.5398
MGH36_P1_H02	-1.27967527871	green3	2	0.53107	6.991
MGH36_P1_H03	NA	black	0	0	0
MGH36_P1_H04	NA	black	0	0	0.51803
MGH36_P1_H05	NA	black	0	3.5685	0
MGH36_P1_H06	NA	black	0	0	0
MGH36_P1_H07	NA	black	0	0.33914	0
MGH36_P1_H09	NA	black	0	0.48954	0
MGH36_P1_H10	NA	black	0	0.059355	0
MGH36_P3_A01	NA	black	0	0.097611	0
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	0	4.7417
MGH36_P3_A04	NA	black	0	0	0
MGH36_P3_A05	NA	black	0	0.81065	0
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	NA	black	0	0	0
MGH36_P3_A12	NA	black	0	5.6438	0
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0.97306	0
MGH36_P3_B04	NA	black	0	0	0
MGH36_P3_B09	NA	black	0	0	4.532
MGH36_P3_B10	NA	black	0	6.6627	0
MGH36_P3_B11	NA	black	0	0.082703	0
MGH36_P3_B12	0.565137081374	green3	2	0.25217	2.0468
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	-0.10845097275	green3	2	3.4049	3.1506
MGH36_P3_C04	NA	black	0	0	0
MGH36_P3_C05	-1.82534344212	red	1	0.18903	7.587
MGH36_P3_C06	1.02586611449	blue	3	0.18015	0.94711
MGH36_P3_C08	NA	black	0	1.0875	0
MGH36_P3_C11	NA	black	0	0.97746	0
MGH36_P3_C12	NA	black	0	5.747	0
MGH36_P3_D01	NA	black	0	6.0478	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0.7941	0
MGH36_P3_D04	NA	black	0	0.75873	0
MGH36_P3_D07	NA	black	0	0.22033	0
MGH36_P3_D08	NA	black	0	0.51299	0
MGH36_P3_D09	1.19171860173	blue	3	5.9495	4.9193
MGH36_P3_D11	NA	black	0	0	6.0732
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0	0
MGH36_P3_E05	0.905884035068	blue	3	0.5888	0.58015
MGH36_P3_E06	1.12990988994	blue	3	0.26664	0.53406
MGH36_P3_E07	NA	black	0	0	0
MGH36_P3_E08	0.92703075062	blue	3	0.41034	0.85838
MGH36_P3_E09	-0.423624169148	green3	2	4.1066	2.6053
MGH36_P3_E10	-0.124545601079	green3	2	0.62106	3.8526
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0.3471	0
MGH36_P3_F01	-0.598327923937	green3	2	0.031395	4.7533
MGH36_P3_F02	NA	black	0	6.12	0
MGH36_P3_F05	NA	black	0	0.35614	0
MGH36_P3_F06	NA	black	0	3.4725	0
MGH36_P3_F07	NA	black	0	0.42116	0
MGH36_P3_F08	NA	black	0	0.19912	0
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	NA	black	0	0	4.6885
MGH36_P3_F11	NA	black	0	0	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	-1.15067010118	green3	2	0.48336	6.5629
MGH36_P3_G03	NA	black	0	0	1.1928
MGH36_P3_G04	NA	black	0	0	0
MGH36_P3_G05	NA	black	0	0.69866	0
MGH36_P3_G06	NA	black	0	0.58688	0
MGH36_P3_G08	NA	black	0	0	0
MGH36_P3_G09	NA	black	0	0.77989	0
MGH36_P3_G10	NA	black	0	5.1791	0
MGH36_P3_G11	NA	black	0	0.338	0
MGH36_P3_G12	NA	black	0	0	0
MGH36_P3_H03	NA	black	0	0.60975	0
MGH36_P3_H04	NA	black	0	0.36065	0
MGH36_P3_H05	NA	black	0	0	0
MGH36_P3_H07	NA	black	0	5.403	0
MGH36_P3_H08	NA	black	0	0.26903	0
MGH36_P3_H11	NA	black	0	0	2.9996
MGH36_P3_H12	-0.439719527775	green3	2	0.88596	5.0815
MGH36_P4_A01	NA	black	0	0	5.6755
MGH36_P4_A02	NA	black	0	5.6465	0
MGH36_P4_A03	NA	black	0	0.35614	0
MGH36_P4_A04	NA	black	0	0	4.0626
MGH36_P4_A06	NA	black	0	0	0
MGH36_P4_A07	NA	black	0	0.19535	0
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	0.39067	0
MGH36_P4_A12	-2.72476078118	black	0	6.182	0.64247
MGH36_P4_B02	NA	black	0	7.2184	0
MGH36_P4_B04	-0.651506178934	green3	2	0.51803	5.2923
MGH36_P4_B05	NA	black	0	0.64155	0
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	-0.401384946618	green3	2	0.34483	4.4914
MGH36_P4_B09	NA	black	0	0	0
MGH36_P4_B12	-0.454604276299	green3	2	0.38184	4.6501
MGH36_P4_C02	NA	black	0	1.1117	0
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	0.26784	0
MGH36_P4_C05	NA	black	0	0.15963	0
MGH36_P4_C06	NA	black	0	0.40599	0
MGH36_P4_C07	NA	black	0	4.0322	0
MGH36_P4_C08	NA	black	0	5.7444	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	3.0795	0
MGH36_P4_C12	NA	black	0	0	4.4559
MGH36_P4_D01	NA	black	0	0	5.6537
MGH36_P4_D02	NA	black	0	0	3.4807
MGH36_P4_D05	NA	black	0	0.44784	0
MGH36_P4_D07	NA	black	0	0.75446	0
MGH36_P4_D08	NA	black	0	0.073135	0
MGH36_P4_D09	NA	black	0	4.1426	0
MGH36_P4_D10	NA	black	0	0	0
MGH36_P4_D11	NA	black	0	0	0
MGH36_P4_D12	NA	black	0	0.21039	0
MGH36_P4_E01	NA	black	0	0.5888	0
MGH36_P4_E02	NA	black	0	6.5118	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0.17377	0
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	1.6262	0
MGH36_P4_E09	NA	black	0	0.20038	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0	0.41034
MGH36_P4_F01	-0.119559742626	green3	2	0.14012	3.7402
MGH36_P4_F02	NA	black	0	0.91456	0
MGH36_P4_F03	NA	black	0	4.6639	0
MGH36_P4_F04	NA	black	0	3.2904	0
MGH36_P4_F05	NA	black	0	0	5.9458
MGH36_P4_F06	NA	black	0	0.30918	0
MGH36_P4_F07	-0.776607718091	green3	2	0.33457	5.4122
MGH36_P4_F09	NA	black	0	0.16221	0
MGH36_P4_F10	NA	black	0	0	4.8078
MGH36_P4_F11	NA	black	0	0	5.0714
MGH36_P4_F12	NA	black	0	0	0
MGH36_P4_G01	NA	black	0	0.76214	0
MGH36_P4_G02	NA	black	0	0.92524	0
MGH36_P4_G03	NA	black	0	1.8217	0
MGH36_P4_G04	NA	black	0	0	3.6572
MGH36_P4_G05	NA	black	0	0	0.66539
MGH36_P4_G06	NA	black	0	0	0
MGH36_P4_G08	-0.0621333622149	green3	2	0.34483	3.6277
MGH36_P4_G09	NA	black	0	0.1903	0
MGH36_P4_G10	NA	black	0	4.534	0
MGH36_P4_G11	-0.250444643926	green3	2	0.30568	4.0952
MGH36_P4_H01	NA	black	0	0.32193	0
MGH36_P4_H02	-0.058431633397	green3	2	0.22404	3.6067
MGH36_P4_H03	NA	black	0	0	0
MGH36_P4_H04	NA	black	0	0	0
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	3.8703
MGH36_P4_H12	NA	black	0	4.3662	0
MGH36_P6_A02	NA	black	0	0	0.30918
MGH36_P6_A04	-0.0343038647771	green3	2	1.5622	3.7838
MGH36_P6_A05	NA	black	0	0.47197	0
MGH36_P6_A07	NA	black	0	0.71194	0
MGH36_P6_A08	NA	black	0	0.26544	0
MGH36_P6_A09	-2.14494282706	black	0	7.2064	1.7115
MGH36_P6_A10	-0.462961374518	green3	2	0.22404	4.5693
MGH36_P6_A11	NA	black	0	0	5.5889
MGH36_P6_B03	NA	black	0	0.038436	0
MGH36_P6_B04	NA	black	0	0.045443	0
MGH36_P6_B05	NA	black	0	0	4.3232
MGH36_P6_B06	0.102782881987	green3	2	0.29042	3.2073
MGH36_P6_B10	NA	black	0	4.0448	0
MGH36_P6_B11	NA	black	0	0	0
MGH36_P6_B12	NA	black	0	0.71545	0
MGH36_P6_C02	NA	black	0	0.73812	0
MGH36_P6_C03	NA	black	0	5.2722	0
MGH36_P6_C04	NA	black	0	5.212	0
MGH36_P6_C05	1.10803066523	blue	3	6.2728	4.7262
MGH36_P6_C06	NA	black	0	0	3.4729
MGH36_P6_C07	NA	black	0	7.108	0
MGH36_P6_C08	0.475359582046	green3	2	0.14405	2.3443
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	7.0859	0
MGH36_P6_C12	NA	black	0	1.7874	0
MGH36_P6_D01	1.27266018493	blue	3	0.19156	0.28806
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	0
MGH36_P6_D04	NA	black	0	0	2.7338
MGH36_P6_D05	NA	black	0	0.18777	0
MGH36_P6_D06	-0.399060415882	green3	2	0.46571	4.5617
MGH36_P6_D07	NA	black	0	1.0752	0
MGH36_P6_D08	NA	black	0	0.38515	0
MGH36_P6_D10	NA	black	0	0	7.3238
MGH36_P6_D11	NA	black	0	4.8669	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0.49467	0
MGH36_P6_E04	0.469193330086	green3	2	5.4479	4.1536
MGH36_P6_E05	NA	black	0	0.1903	0
MGH36_P6_E06	NA	black	0	0.42438	0
MGH36_P6_E07	NA	black	0	0	3.7299
MGH36_P6_E08	-1.73034062144	red	1	5.1691	1.0969
MGH36_P6_E09	-0.305614657732	green3	2	4.4766	2.9614
MGH36_P6_E10	NA	black	0	0.38073	0
MGH36_P6_E11	NA	black	0	0	0
MGH36_P6_E12	NA	black	0	0	4.4831
MGH36_P6_F01	NA	black	0	4.8333	0
MGH36_P6_F04	NA	black	0	5.4108	0
