Cell_name	Zvalue	Color	Cluster	BRCA1	RBL1
MGH53_P11_G04	NA	black	0	0	0
MGH53_P11_G05	NA	black	0	0.33457	0
MGH53_P11_G06	NA	black	0	0	0.2558
MGH53_P11_G07	NA	black	0	0	0
MGH53_P11_G08	NA	black	0	0.15186	0
MGH53_P11_G09	NA	black	0	0	2.7281
MGH53_P11_G10	NA	black	0	0	0.15316
MGH53_P11_G11	NA	black	0	0	0
MGH53_P11_G12	NA	black	0	0	0
MGH53_P11_H01	3.3258289628	black	0	3.6715	2.2552
MGH53_P11_H02	NA	black	0	0.26544	0
MGH53_P11_H04	NA	black	0	0	0
MGH53_P11_H05	NA	black	0	0	0
MGH53_P11_H06	NA	black	0	0.18903	0
MGH53_P11_H07	NA	black	0	0	0.09356
MGH53_P11_H08	NA	black	0	0	0
MGH53_P11_H09	2.59492387141	black	0	1.8663	3.5987
MGH53_P11_H10	NA	black	0	0	0
MGH53_P11_H11	NA	black	0	0	2.5566
MGH53_P11_H12	NA	black	0	0	0.34596
MGH53_P9_A01	NA	black	0	0	1.7097
MGH53_P9_A02	NA	black	0	0	1.1097
MGH53_P9_A03	NA	black	0	0	0
MGH53_P9_A04	NA	black	0	0	0
MGH53_P9_A05	NA	black	0	0	0.19283
MGH53_P9_A06	NA	black	0	0.24123	0
MGH53_P9_A07	NA	black	0	0	0
MGH53_P9_A08	NA	black	0	0	0
MGH53_P9_A09	NA	black	0	0.20414	0
MGH53_P9_A10	NA	black	0	0	0
MGH53_P9_A11	NA	black	0	0	0
MGH53_P9_A12	NA	black	0	0	0.26424
MGH53_P9_B01	NA	black	0	0	0.40708
MGH53_P9_B02	NA	black	0	0	1.6595
MGH53_P9_B03	NA	black	0	0	3.5346
MGH53_P9_B04	NA	black	0	0	1.5627
MGH53_P9_B05	-1.44504064627	black	0	0.24123	3.5948
MGH53_P9_B06	NA	black	0	0	0.18777
MGH53_P9_B07	NA	black	0	0	0.62012
MGH53_P9_B08	NA	black	0	0	1.0697
MGH53_P9_B09	NA	black	0	0	0.33457
MGH53_P9_B11	NA	black	0	0	0.19409
MGH53_P9_B12	0.19783310273	blue	3	0.23511	0.20539
MGH53_P9_C01	NA	black	0	0	0
MGH53_P9_C02	NA	black	0	0	0
MGH53_P9_C03	NA	black	0	4.1946	0
MGH53_P9_C04	NA	black	0	0	0
MGH53_P9_C05	NA	black	0	0	0
MGH53_P9_C06	0.288438696321	blue	3	0.99783	1.9661
MGH53_P9_C07	-1.563696886	black	0	3.5524	0.39397
MGH53_P9_C08	NA	black	0	0	0.43403
MGH53_P9_C09	0.225627711071	blue	3	0.22404	0.1375
MGH53_P9_C10	NA	black	0	0	3.6793
MGH53_P9_C11	NA	black	0	0	0.67084
MGH53_P9_C12	NA	black	0	0	0.17377
MGH53_P9_D01	-2.44597026576	black	0	0.21039	4.8528
MGH53_P9_D02	NA	black	0	0	0
MGH53_P9_D03	NA	black	0	0	0.82863
MGH53_P9_D04	NA	black	0	0	0
MGH53_P9_D05	NA	black	0	0	0
MGH53_P9_D08	NA	black	0	0	0.64432
MGH53_P9_D09	NA	black	0	0	0
MGH53_P9_D10	NA	black	0	0	0
MGH53_P9_D11	NA	black	0	0.24975	0
MGH53_P9_D12	NA	black	0	0.19661	0
MGH53_P9_F04	NA	black	0	0	0.26664
MGH53_P9_F05	NA	black	0	0	0.19787
MGH53_P9_F06	0.0355061629935	blue	3	0.55189	0.26784
MGH53_P9_F07	NA	black	0	0	0
MGH53_P9_F08	NA	black	0	0	0.20789
MGH53_P9_F09	NA	black	0	0	0.18015
MGH53_P9_F10	NA	black	0	0	0.71896
MGH53_P9_F11	0.265607628088	blue	3	0.20163	0.056584
MGH53_P9_F12	NA	black	0	0	0
MGH53_P9_G01	NA	black	0	0	0
MGH53_P9_G02	NA	black	0	0	0.42331
MGH53_P9_G03	0.168725058929	blue	3	0.26544	0.25338
MGH53_P9_G04	0.165279832356	blue	3	0.30685	0.19535
MGH53_P9_G07	NA	black	0	0	0.40163
MGH53_P9_G08	0.000465299558541	blue	3	0.70221	0.81065
MGH53_P9_G09	NA	black	0	0	0
MGH53_P9_G12	NA	black	0	0	0.16221
MGH53_P9_H01	NA	black	0	0.23266	0
MGH53_P9_H02	NA	black	0	0	0
MGH53_P9_H03	NA	black	0	0	0
MGH53_P9_H04	NA	black	0	0	1.2821
MGH53_P9_H05	NA	black	0	0	0
MGH53_P9_H06	0.149256771774	blue	3	0.3505	0.16736
MGH53_P9_H07	NA	black	0	0	0.1776
MGH53_P9_H08	NA	black	0	0	0.30801
MGH53_P9_H09	NA	black	0	0	0
MGH53_P9_H10	0.199040610462	blue	3	0.21412	0.23143
MGH53_P9_H11	NA	black	0	0	0.62387
MGH53_P9_H12	NA	black	0	0.16993	0
MGH53_P4_A07	-0.148046304396	green3	2	0.52206	1.6853
MGH53_P4_B01	-0.393810011031	red	1	2.7353	0.72509
MGH53_P4_B02	0.12952640851	blue	3	0.30568	0.33228
MGH53_P4_B08	-2.03024275609	black	0	3.9387	0.33228
MGH53_P4_B09	NA	black	0	0.34255	0
MGH53_P4_B10	NA	black	0	0	0.1776
MGH53_P4_B11	NA	black	0	0	0.21785
MGH53_P4_C03	0.0778351838415	blue	3	0.38626	0.43403
MGH53_P4_C11	-0.183117738756	green3	2	0.13488	1.1368
MGH53_P4_C12	0.215942469607	blue	3	0.21288	0.18396
MGH53_P4_D04	0.137366321059	blue	3	0.15834	0.44573
MGH53_P4_D05	0.23309496331	blue	3	0.18142	0.18015
MGH53_P4_D09	-2.31049527688	black	0	0.14143	4.3807
MGH53_P4_E01	NA	black	0	0	0
MGH53_P4_E02	NA	black	0	0	0.49057
MGH53_P4_E07	0.0617367628218	blue	3	0.38405	0.51197
MGH53_P4_E08	0.268199085276	blue	3	0.17887	0.088142
MGH53_P4_E09	0.25132763371	blue	3	0.1776	0.13619
MGH53_P4_F01	NA	black	0	1.7757	0
MGH53_P4_F02	NA	black	0	0	0.79743
MGH53_P4_F08	1.97970341023	black	0	2.8707	1.9638
MGH53_P4_F11	NA	black	0	0	0.28688
MGH53_P4_G02	NA	black	0	0	0.5008
MGH53_P4_G05	NA	black	0	0	0.3774
MGH53_P4_G07	NA	black	0	0	1.5748
MGH53_P4_G08	NA	black	0	0	0
MGH53_P4_G09	0.222857804045	blue	3	0.10299	0.29042
MGH53_P4_H10	NA	black	0	0	0.24853
MGH53_P4_H11	0.232431446287	blue	3	0.22033	0.123
MGH53_P4_H12	0.0349779136279	blue	3	0.28451	0.66539
MGH54_P14_A01	NA	black	0	0	0
MGH54_P14_A02	NA	black	0	0	0
MGH54_P14_A03	NA	black	0	0	0.012926
MGH54_P14_A04	NA	black	0	0	0.301
MGH54_P14_A05	0.233905828576	blue	3	0.18903	0.16736
MGH54_P14_A06	NA	black	0	0	2.3144
MGH54_P14_A07	-1.0314058345	black	0	0.30451	3.1545
MGH54_P14_A08	NA	black	0	0	0.19787
MGH54_P14_A09	NA	black	0	0	0
MGH54_P14_A10	NA	black	0	0	0.23266
MGH54_P14_A11	NA	black	0	0	0.21909
MGH54_P14_A12	NA	black	0	0	0
MGH54_P14_B01	NA	black	0	0	0
MGH54_P14_B02	NA	black	0	0	0
MGH54_P14_B03	NA	black	0	0	0
MGH54_P14_B04	NA	black	0	0	0.19283
MGH54_P14_B05	-0.0438799234909	blue	3	0.2461	0.88596
MGH54_P14_B06	NA	black	0	0	0
MGH54_P14_B07	NA	black	0	0	0
MGH54_P14_B08	-2.28564655564	black	0	0.31846	5.1918
MGH54_P14_B09	NA	black	0	0.25942	0
MGH54_P14_B10	NA	black	0	0	4.803
MGH54_P14_B11	NA	black	0	0	0
MGH54_P14_B12	NA	black	0	0	0
MGH54_P14_C01	NA	black	0	0	0
MGH54_P14_C02	NA	black	0	0	0.6397
MGH54_P14_C03	0.0971687016956	blue	3	0.28806	0.46467
MGH54_P14_C04	NA	black	0	0	0
MGH54_P14_C05	NA	black	0	0	0
MGH54_P14_C06	NA	black	0	0	0
MGH54_P14_C07	NA	black	0	0	0.21039
MGH54_P14_C08	NA	black	0	0	0
MGH54_P14_C09	NA	black	0	0	0.34142
MGH54_P14_C10	0.162071961813	blue	3	0.2916	0.23511
MGH54_P14_C11	NA	black	0	0	2.0395
MGH54_P14_C12	NA	black	0	0	0
MGH54_P14_D01	NA	black	0	0	0
MGH54_P14_D02	NA	black	0	0	0
MGH54_P14_D03	NA	black	0	0	0
MGH54_P14_D04	NA	black	0	0	0.96273
MGH54_P14_D05	NA	black	0	0.33571	0
MGH54_P14_D06	NA	black	0	0	0
MGH54_P14_D07	0.219765883033	blue	3	0.20789	0.18015
MGH54_P14_D08	NA	black	0	0	0
MGH54_P14_D09	NA	black	0	0	4.2069
MGH54_P14_D10	NA	black	0	0	5.2405
MGH54_P14_D11	NA	black	0	0	0
MGH54_P14_D12	NA	black	0	0	0
MGH54_P14_E01	NA	black	0	0	1.1725
MGH54_P14_E02	NA	black	0	0	0
MGH54_P14_E03	NA	black	0	1.1117	0
MGH54_P14_E04	0.141746713737	blue	3	0.31383	0.27381
MGH54_P14_E05	NA	black	0	0	0
MGH54_P14_E06	NA	black	0	0	0
MGH54_P14_E07	NA	black	0	0.64524	0
MGH54_P14_E08	NA	black	0	0	0.17632
MGH54_P14_E09	0.176211871348	blue	3	0.19409	0.31846
MGH54_P14_E10	NA	black	0	0	0
MGH54_P14_E11	NA	black	0	0	0
MGH54_P14_E12	0.047957195979	blue	3	1.976	0.92448
MGH54_P14_F01	NA	black	0	0	0
MGH54_P14_F02	NA	black	0	0	0
MGH54_P14_F03	NA	black	0	0	0
MGH54_P14_F04	NA	black	0	0	0
MGH54_P14_F06	NA	black	0	0	0
MGH54_P14_F07	NA	black	0	0	0
MGH54_P14_F08	NA	black	0	0	0
MGH54_P14_F09	NA	black	0	0	0
MGH54_P14_F10	NA	black	0	0	0
MGH54_P14_F11	NA	black	0	1.4185	0
MGH54_P14_G01	NA	black	0	0	0
MGH54_P14_G02	NA	black	0	0	0
MGH54_P14_G03	NA	black	0	0	0.32998
MGH54_P14_G04	NA	black	0	0.53107	0
MGH54_P14_G05	NA	black	0	0	0
MGH54_P14_G06	NA	black	0	0	0
MGH54_P14_G07	NA	black	0	0.26424	0
MGH54_P14_G08	NA	black	0	0	0.4678
MGH54_P14_G09	NA	black	0	0	0
MGH54_P14_G10	NA	black	0	0	0.26303
MGH54_P14_G11	NA	black	0	0.35727	0
MGH54_P14_G12	NA	black	0	0	0
MGH54_P14_H01	NA	black	0	0	0
MGH54_P14_H02	NA	black	0	0	0
MGH54_P14_H03	NA	black	0	0	0
MGH54_P14_H04	NA	black	0	0	0.51803
MGH54_P14_H05	0.119938559917	blue	3	0.34028	0.3173
MGH54_P14_H06	NA	black	0	0	0
MGH54_P14_H07	NA	black	0	0	0
MGH54_P14_H08	NA	black	0	0.19912	0
MGH54_P14_H09	NA	black	0	0	0.24367
MGH54_P14_H10	0.148632842353	blue	3	0.22404	0.36513
MGH54_P14_H11	NA	black	0	0.21412	0
MGH54_P14_H12	NA	black	0	0	0
MGH54_P15_A02	NA	black	0	0	0
MGH54_P15_A03	NA	black	0	1.1427	0
MGH54_P15_A04	NA	black	0	0	0
MGH54_P15_A05	NA	black	0	0	0
MGH54_P15_A06	NA	black	0	0	0
MGH54_P15_A07	NA	black	0	0.47716	0
MGH54_P15_A08	NA	black	0	0	0
MGH54_P15_A09	NA	black	0	0	1.9553
MGH54_P15_A10	NA	black	0	0	0
MGH54_P15_A11	NA	black	0	0	0
MGH54_P15_A12	NA	black	0	0	0
MGH54_P15_B01	NA	black	0	0	0
MGH54_P15_B02	NA	black	0	0.35502	0
MGH54_P15_B03	0.249877709519	blue	3	0.17121	0.14926
MGH54_P15_B04	NA	black	0	0	0.62012
MGH54_P15_B05	NA	black	0	0	0.4957
MGH54_P15_B06	NA	black	0	0	0.25338
MGH54_P15_B07	NA	black	0	0	0
MGH54_P15_B09	NA	black	0	0.26664	0
MGH54_P15_B10	NA	black	0	0.26303	0
MGH54_P15_B11	NA	black	0	0.24001	0
MGH54_P15_C01	NA	black	0	0	0
MGH54_P15_C02	NA	black	0	0	0
MGH54_P15_C03	NA	black	0	0	0
MGH54_P15_C04	NA	black	0	0	0
MGH54_P15_C05	NA	black	0	0	0.37629
MGH54_P15_C06	NA	black	0	0	0.26784
MGH54_P15_C07	-0.333678424111	green3	2	0.74588	4.3649
MGH54_P15_C08	NA	black	0	0	0
MGH54_P15_C09	NA	black	0	0	0
MGH54_P15_C10	NA	black	0	0	0.44148
MGH54_P15_C11	NA	black	0	0	0.34596
MGH54_P15_C12	NA	black	0	0	0.18523
MGH54_P15_D01	NA	black	0	0	0
MGH54_P15_D02	NA	black	0	0	0
MGH54_P15_D03	NA	black	0	0	0
MGH54_P15_D04	NA	black	0	0	0
MGH54_P15_D05	NA	black	0	0	0
MGH54_P15_D07	NA	black	0	0	5.4685
MGH54_P15_D08	NA	black	0	0.34369	0
MGH54_P15_D09	NA	black	0	0	0.13356
MGH54_P15_D10	NA	black	0	0	0.15316
MGH54_P15_D11	NA	black	0	0	0
MGH54_P15_D12	NA	black	0	0	0.48336
MGH54_P15_E01	NA	black	0	0	0
MGH54_P15_E02	3.138145103	black	0	2.7945	2.6469
MGH54_P15_E03	NA	black	0	0	0
MGH54_P15_E04	NA	black	0	0	0
MGH54_P15_E05	NA	black	0	0	0
MGH54_P15_E06	NA	black	0	0	0
MGH54_P15_E07	NA	black	0	0	0.41792
MGH54_P15_E08	NA	black	0	0	4.1719
MGH54_P15_E09	NA	black	0	0	0
MGH54_P15_E10	NA	black	0	0	0
MGH54_P15_E11	0.181487699818	blue	3	0.25701	0.22404
MGH54_P15_E12	NA	black	0	0	0
MGH54_P15_F01	NA	black	0	0	4.2939
MGH54_P15_F02	NA	black	0	0	1.2618
MGH54_P15_F03	NA	black	0	0	0.22897
MGH54_P15_F04	NA	black	0	0	0
MGH54_P15_F05	NA	black	0	0	0
MGH54_P15_F06	NA	black	0	0	0.70752
MGH54_P15_F07	NA	black	0	0	0.59359
MGH54_P15_F08	0.0605289935297	blue	3	0.17632	0.62199
MGH54_P15_F09	NA	black	0	0	0.34255
MGH54_P15_F10	NA	black	0	0.55974	0
MGH54_P15_F11	NA	black	0	0	0.25096
MGH54_P15_F12	NA	black	0	0	0.16221
MGH54_P15_G03	NA	black	0	0	0
MGH54_P15_G04	NA	black	0	0	0.45101
MGH54_P15_G05	NA	black	0	0	0
MGH54_P15_G06	NA	black	0	0.26063	0
MGH54_P15_G07	NA	black	0	0	0.25096
MGH54_P15_G08	NA	black	0	0	0.2762
MGH54_P15_G09	NA	black	0	0	0.10568
MGH54_P15_G10	NA	black	0	0	0
MGH54_P15_G11	NA	black	0	0	0
MGH54_P15_G12	NA	black	0	1.4087	0
MGH54_P15_H01	NA	black	0	0	0
MGH54_P15_H03	NA	black	0	0	4.2842
MGH54_P15_H04	NA	black	0	0.21785	0
MGH54_P15_H05	NA	black	0	0	0
MGH54_P15_H06	NA	black	0	0	0
MGH54_P15_H07	NA	black	0	0	0
MGH54_P15_H08	NA	black	0	0	0.17249
MGH54_P15_H09	NA	black	0	0	1.0093
MGH54_P15_H10	NA	black	0	0.20914	0
MGH54_P15_H11	NA	black	0	5.5793	0
MGH54_P15_H12	NA	black	0	0	0
MGH54_P16_A01	NA	black	0	0	0.47093
MGH54_P16_A02	NA	black	0	0	0.59932
MGH54_P16_A04	NA	black	0	0	4.763
MGH54_P16_A05	NA	black	0	0.20539	0
MGH54_P16_A06	NA	black	0	1.6452	0
MGH54_P16_A07	NA	black	0	0	0.21909
MGH54_P16_A08	NA	black	0	0	0
MGH54_P16_A09	NA	black	0	0	0.096262
MGH54_P16_A10	NA	black	0	0	0
MGH54_P16_A11	NA	black	0	0	0
MGH54_P16_A12	NA	black	0	0	0
MGH54_P16_B01	1.92085894402	black	0	3.2133	1.818
MGH54_P16_B02	NA	black	0	0.43082	0
MGH54_P16_B03	NA	black	0	0	0.24489
MGH54_P16_B04	NA	black	0	0	0
MGH54_P16_B05	NA	black	0	0	0.29631
MGH54_P16_B06	NA	black	0	0	0.1635
MGH54_P16_B07	NA	black	0	0	0
MGH54_P16_B08	NA	black	0	0	0.27977
MGH54_P16_B09	NA	black	0	3.7031	0
MGH54_P16_B10	NA	black	0	0	0
MGH54_P16_B11	NA	black	0	0	0.1635
MGH54_P16_B12	NA	black	0	0	0
MGH54_P16_C01	NA	black	0	0	0.02432
MGH54_P16_C02	NA	black	0	0	0
MGH54_P16_C03	NA	black	0	0	0.29042
MGH54_P16_C04	NA	black	0	0	0.37072
MGH54_P16_C05	0.212351473379	blue	3	0.21661	0.18903
MGH54_P16_C06	NA	black	0	0	0.22404
MGH54_P16_C07	NA	black	0	0	0
MGH54_P16_C08	NA	black	0	0	0
MGH54_P16_C09	NA	black	0	0	0
MGH54_P16_C10	NA	black	0	0	0
MGH54_P16_C11	NA	black	0	0	0
MGH54_P16_C12	NA	black	0	0	0
MGH54_P16_D01	0.0767268827487	blue	3	0.42546	0.37184
MGH54_P16_D02	NA	black	0	0	0
MGH54_P16_D03	-0.387214327332	red	1	0.001442	1.3768
MGH54_P16_D04	0.153587731482	blue	3	0.25338	0.31846
MGH54_P16_D05	0.20964849991	blue	3	0.22033	0.19156
MGH54_P16_D06	NA	black	0	0.33342	0
MGH54_P16_D07	NA	black	0	0	1.0454
MGH54_P16_D09	NA	black	0	0	0.22774
MGH54_P16_D10	-0.3203422975	green3	2	0.20038	1.4844
MGH54_P16_D11	NA	black	0	0	0.92524
MGH54_P16_D12	NA	black	0	0	0
MGH54_P16_E01	NA	black	0	0	3.5584
MGH54_P16_E02	NA	black	0	0	1.0079
MGH54_P16_E03	NA	black	0	0	0
MGH54_P16_E04	NA	black	0	0	1.898
MGH54_P16_E05	0.0696774497563	blue	3	0.43936	0.38515
MGH54_P16_E06	NA	black	0	0.20038	0
MGH54_P16_E07	NA	black	0	0	0
MGH54_P16_E08	-2.56927905674	black	0	4.2016	0.23266
MGH54_P16_E09	NA	black	0	0	0.014355
MGH54_P16_E10	NA	black	0	0	0
MGH54_P16_E11	NA	black	0	0.24853	0
MGH54_P16_E12	NA	black	0	0	0
MGH54_P16_F01	NA	black	0	0	0
MGH54_P16_F03	NA	black	0	0	0.32539
MGH54_P16_F04	NA	black	0	0	0.23634
MGH54_P16_F05	NA	black	0	0	0
MGH54_P16_F06	NA	black	0	0	0
MGH54_P16_F07	NA	black	0	0	0.14143
MGH54_P16_F08	NA	black	0	0	0
MGH54_P16_F09	NA	black	0	0	0.13093
MGH54_P16_F10	NA	black	0	0	0
MGH54_P16_F11	NA	black	0	0	0
MGH54_P16_G01	NA	black	0	0	0
MGH54_P16_G02	NA	black	0	0	0
MGH54_P16_G03	NA	black	0	0	0
MGH54_P16_G04	NA	black	0	0	0
MGH54_P16_G05	NA	black	0	0	0.055196
MGH54_P16_G06	-1.42876974749	black	0	0.14926	3.238
MGH54_P16_G07	NA	black	0	0	0
MGH54_P16_G08	NA	black	0	0	0.26424
MGH54_P16_G09	0.086038155545	blue	3	0.12961	0.57628
MGH54_P16_G10	NA	black	0	0	2.9529
MGH54_P16_G11	NA	black	0	0	0.15056
MGH54_P16_G12	NA	black	0	0	0
MGH54_P16_H01	NA	black	0	0	0
MGH54_P16_H02	NA	black	0	0	0
MGH54_P16_H03	NA	black	0	0	0
MGH54_P16_H04	NA	black	0	0.17505	0
MGH54_P16_H05	NA	black	0	0	0
MGH54_P16_H06	NA	black	0	0	0.34255
MGH54_P16_H07	NA	black	0	0	0
MGH54_P16_H08	NA	black	0	0.17249	0
MGH54_P16_H09	0.258139235783	blue	3	0.16221	0.14012
MGH54_P16_H10	NA	black	0	0	2.893
MGH54_P16_H11	NA	black	0	0	0
MGH54_P16_H12	NA	black	0	0	0
MGH54_P17_A01	NA	black	0	0	0
MGH54_P17_A02	NA	black	0	0	0
MGH54_P17_A03	NA	black	0	0.16864	0
MGH54_P17_A04	NA	black	0	0	0
MGH54_P17_A05	NA	black	0	0	0.3505
MGH54_P17_A06	NA	black	0	0	0.20664
MGH54_P17_A07	NA	black	0	0	0
MGH54_P17_A08	NA	black	0	0.28924	0
MGH54_P17_A09	-0.277423307532	green3	2	0.49774	2.1187
MGH54_P17_A10	NA	black	0	0.45838	0
MGH54_P17_A11	0.0642587738121	blue	3	0.24123	0.59264
MGH54_P17_A12	-0.0236983975903	blue	3	0.39067	0.87578
MGH54_P17_B01	NA	black	0	0.57918	0
MGH54_P17_B02	NA	black	0	0	0.32769
MGH54_P17_B03	NA	black	0	0	0.65535
MGH54_P17_B05	NA	black	0	0	5.1279
MGH54_P17_B06	NA	black	0	0	0
MGH54_P17_B07	NA	black	0	0.29866	0
MGH54_P17_B08	NA	black	0	0	2.1862
MGH54_P17_B09	NA	black	0	0	0.96495
MGH54_P17_B10	NA	black	0	0	0.20289
MGH54_P17_B11	NA	black	0	0	1.6595
MGH54_P17_B12	NA	black	0	0	0
MGH54_P17_C02	NA	black	0	0	0
MGH54_P17_C03	NA	black	0	0	0
MGH54_P17_C04	NA	black	0	0	3.2731
MGH54_P17_C05	NA	black	0	0	0.23634
MGH54_P17_C06	NA	black	0	0.43189	0
MGH54_P17_C07	NA	black	0	0	0.29748
MGH54_P17_C08	-1.42009426618	black	0	2.9475	0.27023
MGH54_P17_C09	NA	black	0	3.228	0
MGH54_P17_C10	NA	black	0	0	0.20414
