Cell_name	Zvalue	Color	Cluster	POU2F1	STAT3
MGH54_P2_H10	NA	black	0	0	0.10836
MGH53_P4_E06	-0.462779857574	red	1	2.1345	1.4319
MGH53_P4_D12	-0.525000347011	red	1	0.088142	3.0839
MGH54_P2_H07	1.09885556058	green3	2	0.051024	0.25942
MGH53_P2_E03	NA	black	0	0.062122	0
MGH53_P1_A05	-0.719041567446	red	1	0.034216	3.347
MGH36_P7_D12	1.06013433928	green3	2	0.031395	0.36401
MGH53_P4_H03	NA	black	0	0	4.4372
MGH53_P2_E05	1.11385228281	red	1	0.070389	0.19535
MGH36_P4_H11	-0.136538021449	red	1	0.049631	2.4166
MGH53_P1_B01	0.304495001358	red	1	1.4558	5.0552
MGH54_P2_G03	NA	black	0	0.055196	0
MGH53_P2_F12	NA	black	0	0	4.0004
MGH36_P4_C09	0.577900118984	red	1	0.069015	1.1808
MGH36_P5_C08	1.35783089513	red	1	2.2863	4.7887
MGH36_P4_H06	0.905518574538	red	1	0.28806	0.15834
MGH36_P10_E01	0.860999940035	red	1	0.074505	0.65992
MGH36_P8_E12	NA	black	0	0.055196	0
MGH53_P2_C10	-0.0801942668099	red	1	0.23879	2.362
MGH36_P4_H08	NA	black	0	0.044044	0
MGH36_P7_F07	0.824007729086	red	1	0.014355	0.80488
MGH54_P2_A09	-1.57622302366	red	1	0.035624	4.6616
MGH36_P6_H11	NA	black	0	0	0.24123
MGH53_P2_E12	NA	black	0	0	0.35389
MGH53_P1_F08	NA	black	0	0	4.906
MGH36_P6_D12	-1.04960194686	red	1	0.074505	3.9205
MGH36_P2_H09	-1.50543783981	red	1	3.2435	1.0412
MGH53_P1_C01	0.820411650268	red	1	1.8197	5.0108
MGH53_P2_F11	-0.207987782239	red	1	0.92676	3.6218
MGH36_P6_H04	NA	black	0	0.041243	0
MGH36_P5_G05	-2.37785479822	red	1	0.049631	5.8706
MGH53_P4_B04	0.022037596646	red	1	0.14926	2.1548
MGH53_P1_E05	-1.13103203515	red	1	0.079975	4.0583
MGH36_P10_A08	NA	black	0	0	1.748
MGH36_P9_G01	NA	black	0	0	4.1782
MGH53_P4_A06	0.659200052542	red	1	0.056584	1.0475
MGH36_P6_B09	NA	black	0	0	2.7835
MGH54_P2_D09	NA	black	0	0	0.42868
MGH53_P1_E06	1.09426061843	green3	2	0.07861	0.21661
MGH36_P4_A10	1.07542972585	green3	2	0.067639	0.27262
MGH36_P6_B02	NA	black	0	0	4.0744
MGH53_P4_G06	1.06445585781	green3	2	0.082703	0.26544
MGH36_P8_F01	-0.0121149813389	red	1	0.74502	2.2869
MGH36_P9_F06	0.0776051386328	red	1	1.3121	3.8066
MGH36_P5_H04	1.11696730695	red	1	0.060739	0.20789
MGH53_P1_B03	-0.164586025343	red	1	0.038436	2.4597
MGH53_P2_D05	-0.632141662888	red	1	0.067639	3.2415
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	-0.558205477456	red	1	0.18903	3.2377
MGH53_P4_C02	NA	black	0	0	1.7908
MGH53_P4_F04	-1.71499464917	red	1	0.049631	4.8984
MGH36_P3_D10	NA	black	0	0	0.16221
MGH54_P2_F04	-1.58464601609	red	1	2.5321	0.22404
MGH36_P6_A03	NA	black	0	0	3.8742
MGH53_P1_F07	0.874708789969	red	1	0.096262	0.60217
MGH36_P5_H08	0.548835894164	red	1	0.038436	1.2576
MGH54_P2_A04	-1.31006952912	red	1	0.048236	4.2833
MGH53_P4_E11	NA	black	0	0	3.7484
MGH53_P2_G03	-0.326617893927	red	1	0.09356	2.754
MGH36_P3_F04	1.01184270931	green3	2	0.092207	0.34823
MGH54_P2_B02	NA	black	0	0	0.51197
MGH36_P5_C07	0.673316940113	red	1	0.5008	0.17887
MGH53_P2_E02	0.260582608179	red	1	0.028569	1.7545
MGH54_P2_F09	0.958090327078	green3	2	0.26544	0.090853
MGH36_P3_D05	NA	black	0	0.064883	0
MGH36_P5_F12	NA	black	0	0	4.7992
MGH53_P2_H09	NA	black	0	0	0.123
MGH54_P2_F07	1.16946851982	red	1	0.062122	0.10702
MGH36_P5_D10	-2.08045628662	red	1	0.020058	5.3642
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0	3.4908
MGH36_P6_F09	NA	black	0	0	4.1458
MGH36_P9_F05	-0.459355175355	red	1	0.37295	3.2547
MGH36_P8_G11	NA	black	0	0	2.7011
MGH54_P2_A07	0.210291081696	red	1	0.9313	0.18903
MGH36_P7_H06	1.23148466595	red	1	0.02432	0.067639
MGH53_P1_A01	NA	black	0	0	4.3062
MGH53_P1_A02	0.214328635735	red	1	1.4356	4.2212
MGH54_P2_E07	NA	black	0	0	0.88206
MGH53_P4_F07	NA	black	0	0.077243	0
MGH53_P2_C05	NA	black	0	0.64708	0
MGH53_P4_H07	-0.795184722627	red	1	0.60502	4.5999
MGH53_P2_C06	NA	black	0	0	5.2247
MGH36_P3_F03	-0.659672269196	red	1	0.038436	3.2575
MGH36_P2_A10	-0.925381332597	red	1	0.056584	3.6984
MGH53_P4_E03	-0.659026755372	red	1	0.23634	3.4805
MGH36_P9_D12	-0.0494299099406	red	1	1.3482	1.7655
MGH54_P2_H03	1.18770625897	red	1	0.055196	0.086784
MGH36_P4_D06	NA	black	0	0.031395	0
MGH53_P2_B03	0.559427186659	red	1	0.062122	1.2197
MGH53_P4_F03	-0.520081601292	red	1	0.12168	3.1048
MGH36_P10_E09	NA	black	0	0	3.5434
MGH53_P1_G02	NA	black	0	1.923	0
MGH54_P2_A02	0.895193029634	red	1	0.10969	0.54201
MGH36_P3_A07	NA	black	0	0	0.10434
MGH53_P4_E12	-0.856977508001	red	1	1.9138	0.25701
MGH54_P2_A03	NA	black	0	0	2.764
MGH53_P4_E10	-0.753458542357	red	1	0.067639	3.4378
MGH54_P2_D08	1.09897578989	green3	2	0.048236	0.26424
MGH36_P8_A02	-0.158193711649	red	1	0.7277	2.8746
MGH54_P2_B07	0.461547119449	red	1	1.9157	3.5445
MGH53_P1_B10	1.18735825103	red	1	0.041243	0.11503
MGH53_P2_F08	0.169171559184	red	1	1.4489	3.6284
MGH36_P10_A01	-0.296504896256	red	1	0.25338	2.7989
MGH36_P10_F01	NA	black	0	0	3.0023
MGH53_P4_G03	-1.33988502787	red	1	0.052416	4.3364
MGH53_P1_F12	NA	black	0	0	0.60597
MGH36_P4_B03	-1.01605611966	red	1	0.10165	3.9081
MGH54_P2_C07	-0.670049076716	red	1	0.03984	3.2753
MGH53_P1_B02	0.697728195402	red	1	0.21661	0.77231
MGH54_P2_D05	NA	black	0	0	0.24853
MGH53_P2_C08	-1.17665334541	red	1	0.089498	4.1467
MGH53_P4_H09	0.88031018206	red	1	0.0229	0.69599
MGH36_P8_H02	NA	black	0	0	2.3981
MGH36_P10_H10	NA	black	0	0	0.0028825
MGH53_P1_A12	-0.412377721418	red	1	0.72421	3.8123
MGH36_P8_F08	NA	black	0	0	0.53207
MGH53_P1_D10	NA	black	0	1.7532	0
MGH53_P4_A09	1.06120788872	green3	2	0.073135	0.28924
MGH53_P2_H08	0.236376276456	red	1	0.16092	1.7515
MGH36_P4_A09	1.16561457224	red	1	0.049631	0.13881
MGH53_P4_C08	-1.97197551726	red	1	2.8258	0.18142
MGH36_P5_E04	NA	black	0	0	3.382
MGH53_P2_A07	NA	black	0	0	5.0291
MGH54_P2_G10	0.837568505183	red	1	0.027154	0.76553
MGH36_P7_E06	NA	black	0	0	5.403
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	1.02672933423	green3	2	0.15316	0.20038
MGH36_P8_F06	-0.278699677713	red	1	0.042644	2.648
MGH36_P1_G11	1.26799894037	red	1	0.0043216	0.041243
MGH53_P1_F02	NA	black	0	0	2.1512
MGH54_P2_D10	0.232949802165	red	1	0.067639	1.7895
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	-0.733281215366	red	1	0.075875	3.4144
MGH53_P4_B03	-1.33126650406	red	1	0.05797	4.3332
MGH53_P1_F10	-0.662799944935	red	1	0.037031	3.2611
MGH53_P4_B05	1.04204447106	green3	2	0.048236	0.36849
MGH53_P2_B08	-0.750083470683	red	1	0.086784	3.4542
MGH36_P3_B06	NA	black	0	1.4212	0
MGH36_P10_C02	NA	black	0	0	3.7447
MGH36_P2_E05	-1.07954854295	red	1	0.037031	3.9114
MGH54_P2_G09	NA	black	0	0	0.16864
MGH54_P2_D12	1.13988651878	red	1	0.028569	0.22527
MGH53_P2_H02	0.753404767813	red	1	0.042644	0.8953
MGH36_P8_F11	0.122938666817	red	1	1.0122	0.17249
MGH53_P2_A10	0.187872473809	red	1	0.69064	1.4704
MGH54_P2_E09	NA	black	0	0	0.37962
MGH36_P3_H06	0.978143919083	green3	2	0.029983	0.51299
MGH36_P5_D05	1.16795974627	red	1	0.018634	0.19283
MGH54_P2_A11	1.20216863044	red	1	0.032806	0.10434
MGH54_P2_G04	NA	black	0	0	0.11503
MGH36_P6_C01	NA	black	0	0.035624	0
MGH53_P2_E06	NA	black	0	0	4.5432
MGH53_P1_E01	NA	black	0	1.5135	0
MGH36_P1_B01	0.698855002535	red	1	0.20789	0.78325
MGH54_P2_H04	NA	black	0	0.062122	0
MGH36_P2_C05	-1.13930134439	red	1	0.017209	3.9732
MGH36_P6_H05	NA	black	0	0	4.1121
MGH36_P10_E06	NA	black	0	1.6406	0
MGH54_P2_F03	NA	black	0	1.6897	0
MGH36_P4_B10	NA	black	0	0	0.19409
MGH54_P2_F02	NA	black	0	0	3.0086
MGH36_P2_E11	1.1788213029	red	1	0.037031	0.13881
MGH54_P2_D11	-0.575625994616	red	1	0.034216	3.1204
MGH54_P2_G01	0.586225958856	red	1	0.056584	1.177
MGH36_P9_D02	NA	black	0	0	2.8174
MGH54_P2_E06	NA	black	0	0	2.5046
MGH54_P16_F12	0.029682069991	red	1	1.3516	2.6121
MGH53_P5_C12	NA	black	0	0	0.53207
MGH54_P12_C10	NA	black	0	0.14535	0
MGH54_P16_F02	-0.21835673047	red	1	1.8777	1.7307
MGH54_P11_C11	1.18117778461	red	1	0.055196	0.098958
MGH53_P1_E03	-1.04333456644	red	1	0.053806	3.8798
MGH54_P15_D06	NA	black	0	0	3.2502
MGH54_P14_F05	NA	black	0	0	4.0637
MGH54_P16_A03	-0.778679810515	red	1	0.069015	3.48
MGH53_P4_G11	1.18260040173	red	1	0.029983	0.14535
MGH53_P7_B09	NA	black	0	2.2934	0
MGH54_P17_D11	NA	black	0	0.05797	0
MGH54_P10_G04	NA	black	0	0	1.0909
MGH54_P10_C06	NA	black	0	0.05797	0
MGH53_P2_A02	NA	black	0	0.077243	0
MGH53_P4_F06	-0.77133895287	red	1	1.7941	0.13356
MGH53_P7_F07	NA	black	0	0.24367	0
MGH53_P11_F06	NA	black	0	0	0.11103
MGH53_P5_G02	NA	black	0	0	4.8963
MGH53_P1_F09	-0.521962040152	red	1	0.12433	3.1104
MGH53_P11_H03	-1.25344293319	red	1	0.073135	4.2395
MGH53_P10_D11	NA	black	0	0	5.0138
MGH53_P1_A10	-0.406633845573	red	1	0.038436	2.8532
MGH53_P4_B12	NA	black	0	0	0.045443
MGH53_P5_H09	NA	black	0	0	4.8863
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	-0.422483731047	red	1	0.43082	3.2469
MGH53_P1_C02	1.12684626437	red	1	0.066261	0.17887
MGH53_P10_F11	NA	black	0	1.0426	0
MGH53_P1_E02	0.78840911499	red	1	0.22404	0.56462
MGH53_P1_D07	-1.55248037226	red	1	2.5497	0.2916
MGH53_P6_B01	NA	black	0	0	5.3557
MGH53_P2_G04	NA	black	0	0	5.1602
MGH53_P1_C05	NA	black	0	0	4.2389
MGH53_P2_G09	NA	black	0	0	0.3115
MGH53_P5_A05	NA	black	0	0.64524	0
MGH53_P5_F04	NA	black	0	0	4.7156
MGH53_P10_H03	NA	black	0	0.032806	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	-0.907969869333	red	1	0.22774	3.9278
MGH53_P8_F03	-0.324137759548	red	1	0.34028	2.9241
MGH53_P11_A07	NA	black	0	0	0.30685
MGH53_P6_B11	NA	black	0	0.17887	0
MGH53_P4_C07	NA	black	0	0	1.2054
MGH53_P6_H06	NA	black	0	0	6.2253
MGH36_P1_A01	-1.89277284269	red	1	0.025738	5.1066
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	0.916518844421	red	1	1.9283	4.8359
MGH36_P1_A04	-0.00193801620345	red	1	1.1616	1.4699
MGH36_P1_A05	0.33181339471	red	1	1.517	4.5011
MGH36_P1_A06	-0.902042844326	red	1	0.56365	4.7378
MGH36_P1_A08	0.0847222520833	red	1	1.355	3.3377
MGH36_P1_A10	NA	black	0	2.3967	0
MGH36_P1_A12	1.11834557173	red	1	0.12829	0.067639
MGH36_P1_B02	0.373346072676	red	1	2.4526	2.9048
MGH36_P1_B03	0.529539749749	red	1	1.9486	3.6714
MGH36_P1_B04	0.263414072866	red	1	2.3821	2.7575
MGH36_P1_B06	-0.929168035709	red	1	0.21785	3.9491
MGH36_P1_B07	-1.01770299017	red	1	0.4049	4.5258
MGH36_P1_B08	1.24823321141	red	1	2.8018	3.8557
MGH36_P1_B09	-0.946198023453	red	1	0.049631	3.7219
MGH36_P1_B10	-0.121630327901	red	1	1.2606	0.48543
MGH36_P1_B11	-0.789595374843	red	1	0.79494	5.4514
MGH36_P1_B12	0.134509995767	red	1	0.5509	1.8086
MGH36_P1_C01	NA	black	0	0	0.29866
MGH36_P1_C03	-1.25193396736	red	1	2.1843	0.10299
MGH36_P1_C05	0.970620489729	green3	2	0.22897	0.15186
MGH36_P1_C06	NA	black	0	0	4.3418
MGH36_P1_C07	NA	black	0	0	3.9287
MGH36_P1_C08	1.15396246442	red	1	0.060739	0.13881
MGH36_P1_C09	-0.195119316618	red	1	0.18269	2.5649
MGH36_P1_C10	-1.08301694017	red	1	0.64708	5.5562
MGH36_P1_C11	1.17137820644	red	1	0.0229	0.17887
MGH36_P1_D01	-0.173779401919	red	1	0.61447	2.7945
MGH36_P1_D02	0.297150143348	red	1	0.82619	0.38957
MGH36_P1_D03	NA	black	0	0	3.265
MGH36_P1_D04	-0.661736684674	red	1	2.4177	1.3545
MGH36_P1_D06	0.174591228759	red	1	0.45943	1.748
MGH36_P1_D07	-0.545198627297	red	1	0.045443	3.0812
MGH36_P1_D08	0.59006435173	red	1	1.7035	4.6968
MGH36_P1_D09	2.06235524207	red	1	4.0742	3.8144
MGH36_P1_D11	-0.221702419962	red	1	1.3167	0.1177
MGH36_P1_F01	-1.74728569056	red	1	0.063503	4.978
MGH36_P1_F02	0.237581464258	red	1	1.46	4.2041
MGH36_P1_F03	1.25386290091	red	1	0.015783	0.044044
MGH36_P1_F04	NA	black	0	0	2.2678
MGH36_P1_F05	-0.0403485023549	red	1	1.4076	1.9575
MGH36_P1_F06	NA	black	0	0	4.8329
MGH36_P1_F08	0.0124594628132	red	1	1.2351	2.7985
MGH36_P1_F11	0.514834534649	red	1	1.6767	4.4908
MGH36_P1_F12	0.609129316994	red	1	0.59837	0.020058
MGH36_P1_G02	NA	black	0	0	5.025
MGH36_P1_G03	0.0488443767813	red	1	1.2957	3.2621
MGH36_P1_G04	-0.748827422669	red	1	0.72159	4.9308
MGH36_P1_G07	NA	black	0	0	4.9465
MGH36_P1_G08	0.142061995097	red	1	0.88596	1.2314
MGH36_P1_G09	0.51039921525	red	1	2.2594	3.2438
MGH36_P1_H02	1.26247123983	red	1	0.012926	0.034216
MGH36_P1_H03	NA	black	0	0	1.2209
MGH36_P1_H04	0.220903238696	red	1	1.7715	3.0261
MGH36_P1_H05	-0.574311208978	red	1	1.6055	0.053806
MGH36_P1_H06	-1.21202786962	red	1	2.1725	0.14666
MGH36_P1_H07	2.18123055326	red	1	2.9486	4.791
MGH36_P1_H09	-0.1516895069	red	1	0.95084	3.371
MGH36_P1_H10	NA	black	0	0	0.10836
MGH36_P3_A01	-0.176703930663	red	1	1.3294	0.56657
MGH36_P3_A02	NA	black	0	3.6792	0
MGH36_P3_A03	NA	black	0	0	3.358
MGH36_P3_A04	NA	black	0	0	0.3774
MGH36_P3_A05	NA	black	0	0	4.1604
MGH36_P3_A08	-1.12271111434	red	1	2.1359	0.22774
MGH36_P3_A09	-0.0509570281631	red	1	1.1814	0.40272
MGH36_P3_A10	0.626184247221	red	1	1.816	4.3201
MGH36_P3_A12	-1.17871829529	red	1	0.037031	4.0636
MGH36_P3_B02	0.426808150534	red	1	1.6327	4.2873
MGH36_P3_B03	-0.0850562832872	red	1	1.2035	0.21909
MGH36_P3_B04	-0.604876206946	red	1	0.049631	3.1806
MGH36_P3_B09	NA	black	0	0	0.21039
MGH36_P3_B10	2.89031366686	black	0	3.7282	4.6207
MGH36_P3_B11	-0.743714050318	red	1	0.61164	4.481
MGH36_P3_B12	-1.19268401336	red	1	0.4489	5.0323
MGH36_P3_C01	-1.29998171015	red	1	2.3707	0.36401
MGH36_P3_C03	1.16517273757	red	1	0.041243	0.15575
MGH36_P3_C04	-0.875031159574	red	1	2.2711	0.87106
MGH36_P3_C05	0.0801495814079	red	1	1.037	0.77231
MGH36_P3_C06	-0.8025357715	red	1	0.082703	3.5349
MGH36_P3_C08	NA	black	0	0	5.5409
MGH36_P3_C11	NA	black	0	0	4.9999
MGH36_P3_C12	1.18655300447	red	1	3.2248	3.5068
MGH36_P3_D01	-0.810454039754	red	1	0.13881	3.62
MGH36_P3_D02	0.032272390711	red	1	2.2345	2.3887
MGH36_P3_D03	NA	black	0	1.4983	0
MGH36_P3_D04	-1.5979584377	red	1	0.15704	4.9654
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	NA	black	0	0	2.7805
MGH36_P3_D09	-1.13944337158	red	1	0.042644	4.0121
MGH36_P3_D11	NA	black	0	0	4.1649
MGH36_P3_E02	NA	black	0	0	0.52306
MGH36_P3_E04	NA	black	0	0	1.0222
MGH36_P3_E05	1.04541638046	green3	2	0.077243	0.3115
MGH36_P3_E06	1.12359420233	red	1	0.04684	0.22157
MGH36_P3_E07	1.07391437165	green3	2	0.084064	0.24489
MGH36_P3_E08	NA	black	0	0	4.6439
MGH36_P3_E09	0.152213870916	red	1	0.070389	1.9287
MGH36_P3_E10	-0.603801508273	red	1	1.7579	0.48027
MGH36_P3_E11	NA	black	0	2.6524	0
MGH36_P3_E12	-0.351396045906	red	1	0.15056	2.8323
MGH36_P3_F01	1.13588415749	red	1	0.062122	0.16993
MGH36_P3_F02	0.906252233262	red	1	0.16607	0.42223
MGH36_P3_F05	-0.0658086570706	red	1	1.1648	4.2357
MGH36_P3_F06	0.565897090969	red	1	0.11103	1.1641
MGH36_P3_F07	0.938575823315	green3	2	0.034216	0.57725
MGH36_P3_F08	1.09767658365	green3	2	0.075875	0.21537
MGH36_P3_F09	NA	black	0	0.1003	0
MGH36_P3_F10	-0.333623982363	red	1	1.4152	0.12565
MGH36_P3_F11	0.4179070855	red	1	0.70752	0.3584
MGH36_P3_F12	NA	black	0	0	4.8329
MGH36_P3_G01	NA	black	0	0	0.35727
MGH36_P3_G02	NA	black	0	0	5.1266
MGH36_P3_G03	0.718084719915	red	1	0.14535	0.8335
MGH36_P3_G04	1.03589353391	green3	2	0.082703	0.31962
MGH36_P3_G05	0.51125712875	red	1	1.7203	4.2587
MGH36_P3_G06	0.716999182456	red	1	0.30685	0.56949
MGH36_P3_G08	1.06060111407	green3	2	0.048236	0.33457
MGH36_P3_G09	0.612974835933	red	1	1.8176	4.2678
MGH36_P3_G10	0.510581070308	red	1	0.037031	1.3248
MGH36_P3_G11	0.479190671719	red	1	1.9123	3.6003
MGH36_P3_G12	-0.0705255574612	red	1	0.24489	2.344
MGH36_P3_H03	NA	black	0	0	4.0136
MGH36_P3_H04	-0.770443926132	red	1	0.11636	3.5234
MGH36_P3_H05	NA	black	0	0	3.4433
MGH36_P3_H07	NA	black	0	0	4.1604
MGH36_P3_H08	-0.00354337022961	red	1	1.4447	2.2546
MGH36_P3_H11	1.23142284586	red	1	2.8205	3.8189
MGH36_P3_H12	1.75500373225	red	1	2.7536	4.5478
MGH36_P4_A01	NA	black	0	0	0.23389
MGH36_P4_A02	NA	black	0	0	2.4683
MGH36_P4_A03	-0.173538505735	red	1	1.0614	4.2267
MGH36_P4_A04	1.12424029771	red	1	0.09356	0.12961
MGH36_P4_A06	NA	black	0	0.43616	0
MGH36_P4_A07	0.572333708829	red	1	2.5502	3.1515
MGH36_P4_A08	0.908255725801	red	1	0.10836	0.51904
MGH36_P4_A11	0.163555840951	red	1	0.9313	0.75873
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	-2.35082367002	red	1	3.1403	0.18777
MGH36_P4_B04	0.851728356042	red	1	0.29631	0.26784
MGH36_P4_B05	0.266001102914	red	1	1.6915	3.3262
MGH36_P4_B06	-1.98216889632	red	1	3.4162	0.76384
MGH36_P4_B08	0.588468085082	red	1	1.7255	4.5679
MGH36_P4_B09	0.52680021315	red	1	0.56755	0.45838
MGH36_P4_B12	-2.37933558794	red	1	3.0762	0.086784
MGH36_P4_C02	-2.29386624656	red	1	3.0996	0.19409
MGH36_P4_C03	NA	black	0	0.086784	0
MGH36_P4_C04	NA	black	0	0.30685	0
MGH36_P4_C05	1.1013093394	green3	2	0.11902	0.12168
MGH36_P4_C06	-1.26101480807	red	1	0.049631	4.2105
MGH36_P4_C07	-1.32782351229	red	1	0.082703	4.3734
MGH36_P4_C08	NA	black	0	2.1979	0
MGH36_P4_C10	0.427334551457	red	1	0.71633	0.26424
MGH36_P4_C11	NA	black	0	0	5.9726
MGH36_P4_C12	2.37446544625	red	1	2.9054	5.0826
MGH36_P4_D01	0.638208329236	red	1	0.53903	0.15963
MGH36_P4_D02	-1.33552006893	red	1	0.027154	4.2851
MGH36_P4_D05	NA	black	0	0	0.25217
MGH36_P4_D07	1.14977506612	red	1	0.07861	0.11103
MGH36_P4_D08	1.92637996145	red	1	2.3254	5.7746
MGH36_P4_D09	1.17563051002	red	1	0.048236	0.123
MGH36_P4_D10	NA	black	0	0	4.4757
MGH36_P4_D11	1.73733922314	red	1	2.4473	5.0833
MGH36_P4_D12	1.14748704198	red	1	0.13093	0.0028825
MGH36_P4_E01	0.3825325622	red	1	1.9542	3.2738
MGH36_P4_E02	-1.12304144073	red	1	0.073135	4.0346
MGH36_P4_E04	NA	black	0	0	0.51096
MGH36_P4_E06	-0.94939329947	red	1	0.10434	3.8034
MGH36_P4_E07	NA	black	0	2.2256	0
MGH36_P4_E08	0.98369932026	green3	2	0.085425	0.41359
MGH36_P4_E09	-2.45586278948	red	1	0.03984	5.9541
MGH36_P4_E10	NA	black	0	0.044044	0
MGH36_P4_E11	NA	black	0	1.412	0
MGH36_P4_E12	-1.39544379719	red	1	2.8172	0.79826
MGH36_P4_F01	0.1629898244	red	1	0.9782	0.11503
MGH36_P4_F02	1.29926537019	red	1	2.6747	4.0491
MGH36_P4_F03	-0.301313549183	red	1	0.029983	2.6787
MGH36_P4_F04	-1.10373201358	red	1	0.09356	4.0369
MGH36_P4_F05	-1.34397638289	red	1	0.15834	4.5507
MGH36_P4_F06	-1.68759537771	red	1	0.020058	4.7944
MGH36_P4_F07	-0.322663548513	red	1	0.056584	2.727
MGH36_P4_F09	-1.86530432639	red	1	2.7286	0.16864
MGH36_P4_F10	1.19706892006	red	1	0.031395	0.11636
MGH36_P4_F11	-0.413545745802	red	1	1.5013	0.21039
MGH36_P4_F12	-0.0394083712505	red	1	1.3363	1.8351
MGH36_P4_G01	-0.11424828054	red	1	1.0328	3.4805
MGH36_P4_G02	-2.69287749376	black	0	0.04684	6.3116
MGH36_P4_G03	NA	black	0	0	0.38626
