Cell_name	Zvalue	Color	Cluster	BRCA1	EGFR
MGH36_P2_G05	1.09616579638	green3	2	0.032806	0.74932
MGH36_P2_G07	-0.0675092090486	red	1	0.03984	3.8213
MGH36_P2_G08	-0.539912138851	red	1	0.11636	5.1466
MGH36_P2_G09	0.792941825655	green3	2	0.0229	1.6126
MGH36_P2_G11	1.06748636846	green3	2	0.17121	0.063503
MGH36_P2_G12	NA	black	0	0	0
MGH36_P2_H01	NA	black	0	0	2.9473
MGH36_P2_H02	-0.465527557634	red	1	1.2363	1.9866
MGH36_P2_H03	-0.300978878116	red	1	0.19787	4.6158
MGH36_P2_H04	-3.32504697668	black	0	3.3387	1.4158
MGH36_P2_H05	0.418013116132	red	1	0.05797	2.5398
MGH36_P2_H06	-1.64522115839	black	0	2.8331	2.2951
MGH36_P2_H07	-0.0709966668501	red	1	0.39397	4.0125
MGH36_P2_H10	NA	black	0	0	4.5774
MGH53_P5_A02	NA	black	0	0	4.3425
MGH53_P5_A03	NA	black	0	0	2.5243
MGH53_P5_A04	0.0128980884167	red	1	0.68975	3.2935
MGH53_P5_A06	NA	black	0	0	0
MGH53_P5_A07	-0.0274694645833	red	1	0.71984	4.6855
MGH53_P5_A08	NA	black	0	0.52507	0
MGH53_P5_A09	-6.31619121914	black	0	4.0306	0.27501
MGH53_P5_A11	NA	black	0	0	4.8404
MGH53_P5_B01	NA	black	0	0	4.1225
MGH53_P5_B03	NA	black	0	0	3.1283
MGH53_P5_B04	0.406196115991	red	1	4.0049	3.9907
MGH53_P5_B05	-0.3428768144	red	1	0.48336	5.7553
MGH53_P5_B06	NA	black	0	0	5.7197
MGH53_P5_B07	-0.331438986981	red	1	0.19283	4.7018
MGH53_P5_B08	NA	black	0	0	3.397
MGH53_P5_B09	NA	black	0	0	0
MGH53_P5_B10	NA	black	0	0	2.547
MGH53_P5_B11	NA	black	0	0	6.1907
MGH53_P5_B12	NA	black	0	0	4.9782
MGH53_P5_C01	NA	black	0	0	0
MGH53_P5_C02	NA	black	0	0	5.3738
MGH53_P5_C03	NA	black	0	1.7723	0
MGH53_P5_C04	NA	black	0	0	1.2437
MGH53_P5_C05	NA	black	0	0	2.1925
MGH53_P5_C06	NA	black	0	0	5.3389
MGH53_P5_C07	NA	black	0	0	0
MGH53_P5_C08	-0.0553972992133	red	1	0.81885	2.3713
MGH53_P5_C09	NA	black	0	0	3.6061
MGH53_P5_C10	NA	black	0	0	0
MGH53_P5_C11	-0.211369867053	red	1	0.32308	4.5251
MGH53_P5_D01	NA	black	0	0	4.0501
MGH53_P5_D02	5.08901231515	black	0	4.6145	6.2144
MGH53_P5_D04	NA	black	0	0	6.246
MGH53_P5_D05	NA	black	0	0	5.0291
MGH53_P5_D07	NA	black	0	0	5.1246
MGH53_P5_D08	NA	black	0	0	1.98
MGH53_P5_D09	NA	black	0	0	3.6943
MGH53_P5_D11	NA	black	0	0	6.756
MGH53_P5_E01	NA	black	0	0	0.54893
MGH53_P5_E02	NA	black	0	1.5099	0
MGH53_P5_E03	NA	black	0	0	4.0362
MGH53_P5_E04	NA	black	0	0	6.6107
MGH53_P5_E06	NA	black	0	0	0.70221
MGH53_P5_E08	NA	black	0	0	5.3413
MGH53_P5_E09	-0.148685052695	red	1	0.57434	5.0273
MGH53_P5_E11	NA	black	0	0	1.2154
MGH53_P5_F01	NA	black	0	0	2.991
MGH53_P5_F03	-0.0181826831228	red	1	0.44784	3.7685
MGH53_P5_F05	NA	black	0	0	4.8222
MGH53_P5_F06	NA	black	0	0	2.9917
MGH53_P5_F07	NA	black	0	0	3.1296
MGH53_P5_F08	NA	black	0	0	5.3033
MGH53_P5_F10	-0.229573769629	red	1	0.64432	6.5191
MGH53_P5_F11	NA	black	0	0	1.9679
MGH53_P5_G01	NA	black	0	0	3.4971
MGH53_P5_G04	NA	black	0	0	0
MGH53_P5_G05	NA	black	0	0	1.4356
MGH53_P5_G07	NA	black	0	0	3.2966
MGH53_P5_G08	0.613073087216	red	1	0.3173	0.90843
MGH53_P5_G09	NA	black	0	0	0
MGH53_P5_G10	NA	black	0	0.16736	0
MGH53_P5_G11	NA	black	0	0	3.7746
MGH53_P5_H02	NA	black	0	0	3.4383
MGH53_P5_H03	NA	black	0	0	0
MGH53_P5_H04	NA	black	0	0.6526	0
MGH53_P5_H05	-0.0295772796506	red	1	0.69866	4.4638
MGH53_P5_H07	NA	black	0	0	5.1113
MGH53_P5_H08	NA	black	0	0	4.1456
MGH53_P5_H10	NA	black	0	0	0
MGH53_P5_H11	NA	black	0	0.21039	0
MGH53_P6_A01	-0.0204060288548	red	1	0.76384	5.7438
MGH53_P6_A02	0.650465042011	red	1	0.34937	0.44255
MGH53_P6_A03	NA	black	0	0	0
MGH53_P6_A04	NA	black	0	0	2.0391
MGH53_P6_A05	-0.67877215721	red	1	0.24367	5.9445
MGH53_P6_A06	0.994228870745	green3	2	0.17249	0.32193
MGH53_P6_A07	NA	black	0	0	0
MGH53_P6_A08	0.409601865859	red	1	0.15056	2.3909
MGH53_P6_A09	-1.26465924125	red	1	3.9513	3.0388
MGH53_P6_A10	NA	black	0	0.19661	0
MGH53_P6_A11	-0.41388000776	red	1	0.14926	4.8654
MGH53_P6_A12	NA	black	0	0	1.4141
MGH53_P6_B02	NA	black	0	0	4.1645
MGH53_P6_B03	NA	black	0	0	3.5734
MGH53_P6_B04	NA	black	0	0	3.0752
MGH53_P6_B05	0.187749349685	red	1	0.19535	3.0374
MGH53_P6_B06	-0.0129782748158	red	1	0.21412	3.6987
MGH53_P6_B07	NA	black	0	0.35502	0
MGH53_P6_B09	-4.03716441193	black	0	3.5718	1.157
MGH53_P6_B10	-0.3302884096	red	1	0.20038	4.712
MGH53_P6_C01	NA	black	0	0	0
MGH53_P6_C03	NA	black	0	0.32884	0
MGH53_P6_C04	-0.440335579333	red	1	2.2995	3.1957
MGH53_P6_C05	0.0823761649894	red	1	0.23143	3.3682
MGH53_P6_C06	-0.523146281679	red	1	0.19409	5.2914
MGH53_P6_C07	NA	black	0	0	2.433
MGH53_P6_C08	-0.769966314556	red	1	0.20664	6.078
MGH53_P6_C09	NA	black	0	0	1.4526
MGH53_P6_C10	NA	black	0	0	3.5329
MGH53_P6_C11	NA	black	0	0	5.8611
MGH53_P6_C12	NA	black	0	0	0
MGH53_P6_D01	NA	black	0	0	2.1084
MGH53_P6_D02	NA	black	0	0	4.0376
MGH53_P6_D03	NA	black	0	0	6.4413
MGH53_P6_D05	NA	black	0	0	5.1142
MGH53_P6_D07	NA	black	0	0	5.6655
MGH53_P6_D08	0.287581072987	red	1	0.33457	2.3707
MGH53_P6_D09	NA	black	0	0	4.1984
MGH53_P6_D10	NA	black	0	0	0
MGH53_P6_D11	0.914953354225	green3	2	0.2461	0.088142
MGH53_P6_D12	NA	black	0	0.94411	0
MGH53_P6_E01	NA	black	0	0	0
MGH53_P6_E02	0.906589376748	green3	2	0.12961	0.86869
MGH53_P6_E03	0.96998160118	green3	2	0.16221	0.47405
MGH53_P6_E04	NA	black	0	0	3.4951
MGH53_P6_E05	NA	black	0	0	3.3242
MGH53_P6_E06	-0.160419222799	red	1	0.27739	4.2574
MGH53_P6_E07	NA	black	0	0	3.4551
MGH53_P6_E08	NA	black	0	0	0
MGH53_P6_E09	NA	black	0	0	6.1045
MGH53_P6_E10	NA	black	0	0	4.9669
MGH53_P6_F01	NA	black	0	0	0.1375
MGH53_P6_F02	NA	black	0	0	0
MGH53_P6_F03	NA	black	0	0	2.6801
MGH53_P6_F04	NA	black	0	0	3.0058
MGH53_P6_F05	NA	black	0	0	1.7515
MGH53_P6_F06	NA	black	0	0	0
MGH53_P6_F07	NA	black	0	0	1.9138
MGH53_P6_F08	NA	black	0	0	6.0768
MGH53_P6_F09	-0.599994799396	red	1	0.1635	5.4325
MGH53_P6_F10	NA	black	0	0	0
MGH53_P6_G01	NA	black	0	0	2.0158
MGH53_P6_G02	NA	black	0	0	5.5461
MGH53_P6_G03	NA	black	0	0.23266	0
MGH53_P6_G04	0.747944412419	green3	2	0.12961	1.3802
MGH53_P6_G05	NA	black	0	0	4.9984
MGH53_P6_G06	NA	black	0	0	6.7891
MGH53_P6_G07	NA	black	0	0	0
MGH53_P6_G08	NA	black	0	0	6.4006
MGH53_P6_G09	NA	black	0	0	5.1429
MGH53_P6_G10	NA	black	0	0	0.75018
MGH53_P6_G11	NA	black	0	0	1.3265
MGH53_P6_H01	NA	black	0	0.46989	0
MGH53_P6_H02	-0.655597386058	red	1	0.17887	5.6396
MGH53_P6_H03	NA	black	0	0	0
MGH53_P6_H04	NA	black	0	0	3.4834
MGH53_P6_H05	0.444122853332	red	1	0.24489	2.0119
MGH53_P6_H07	0.490009627615	red	1	0.43189	0.55483
MGH53_P6_H09	NA	black	0	0	5.8704
MGH53_P6_H10	NA	black	0	0	1.3807
MGH53_P6_H11	-1.89633572606	black	0	3.8146	2.6283
MGH53_P7_A01	NA	black	0	0	0
MGH53_P7_A02	NA	black	0	0	2.817
MGH53_P7_A03	NA	black	0	0	2.3033
MGH53_P7_A04	NA	black	0	0.21661	0
MGH53_P7_A05	NA	black	0	0	1.051
MGH53_P7_A06	NA	black	0	0	0
MGH53_P7_A07	NA	black	0	0	6.1409
MGH53_P7_A09	NA	black	0	0	2.5016
MGH53_P7_A11	0.719283193011	green3	2	0.21288	1.1003
MGH53_P7_A12	0.316579332891	red	1	0.52406	0.74502
MGH53_P7_B01	NA	black	0	0	1.9434
MGH53_P7_B02	NA	black	0	0.47923	0
MGH53_P7_B03	NA	black	0	0	0
MGH53_P7_B04	NA	black	0	0	1.4515
MGH53_P7_B05	NA	black	0	0	0.46153
MGH53_P7_B06	NA	black	0	0	1.0888
MGH53_P7_B07	-0.469302281944	red	1	0.14274	5.0096
MGH53_P7_B08	NA	black	0	0	6.6708
MGH53_P7_B10	-0.296192552348	red	1	1.5548	3.0234
MGH53_P7_B11	NA	black	0	0	4.5098
MGH53_P7_B12	NA	black	0	0	5.0983
MGH53_P7_C01	NA	black	0	0	4.3439
MGH53_P7_C02	NA	black	0	0	0
MGH53_P7_C03	0.0606128353776	red	1	0.92752	4.3549
MGH53_P7_C04	0.744090862498	green3	2	0.28214	0.55483
MGH53_P7_C05	-0.0724108814903	red	1	3.1755	3.684
MGH53_P7_C06	NA	black	0	0	0
MGH53_P7_C07	NA	black	0	0	4.8565
MGH53_P7_C09	0.931311429797	green3	2	0.21785	0.24367
MGH53_P7_C11	1.11858980253	green3	2	0.12961	0.16607
MGH53_P7_C12	NA	black	0	0	0
MGH53_P7_D01	0.178462677266	red	1	0.43082	2.6246
MGH53_P7_D02	NA	black	0	0	3.7996
MGH53_P7_D03	NA	black	0	0	1.1355
MGH53_P7_D04	NA	black	0	0	0.26784
MGH53_P7_D05	NA	black	0	0	2.7307
MGH53_P7_D06	NA	black	0	0	0
MGH53_P7_D07	NA	black	0	0	4.6255
MGH53_P7_D10	-0.382392322089	red	1	0.049631	4.6197
MGH53_P7_D11	NA	black	0	0	7.1326
MGH53_P7_D12	NA	black	0	0	4.5314
MGH53_P7_E01	0.416674008512	red	1	0.29042	1.9549
MGH53_P7_E02	NA	black	0	0	4.6162
MGH53_P7_E03	NA	black	0	0	0
MGH53_P7_E04	NA	black	0	0	5.2719
MGH53_P7_E05	NA	black	0	0	0
MGH53_P7_E06	NA	black	0	0.35163	0
MGH53_P7_E07	NA	black	0	0	4.7976
MGH53_P7_E08	-0.343145158636	red	1	0.32998	5.0672
MGH53_P7_E09	NA	black	0	0	2.4476
MGH53_P7_E10	NA	black	0	0.18777	0
MGH53_P7_E11	NA	black	0	0	5.1833
MGH53_P7_E12	NA	black	0	0	6.9663
MGH53_P7_F01	NA	black	0	0.21661	0
MGH53_P7_F02	0.128824850624	red	1	0.47197	2.808
MGH53_P7_F04	NA	black	0	0	4.9669
MGH53_P7_F05	NA	black	0	0.2228	0
MGH53_P7_F06	NA	black	0	0	0.1903
MGH53_P7_F08	NA	black	0	0	6.0066
MGH53_P7_F09	NA	black	0	0	2.8209
MGH53_P7_F10	-0.438218042011	red	1	0.20914	5.069
MGH53_P7_F11	NA	black	0	0	5.6745
MGH53_P7_F12	NA	black	0	0	3.1601
MGH53_P7_G01	NA	black	0	0	1.5627
MGH53_P7_G03	NA	black	0	0	4.4352
MGH53_P7_G04	-0.591037334089	red	1	0.19156	5.4885
MGH53_P7_G05	NA	black	0	0	0
MGH53_P7_G06	NA	black	0	0	0.53804
MGH53_P7_G07	NA	black	0	0.12961	0
MGH53_P7_G08	NA	black	0	0	0.18015
MGH53_P7_G09	NA	black	0	0	6.3189
MGH53_P7_G10	NA	black	0	0	3.4778
MGH53_P7_G11	0.230416101078	red	1	0.11237	2.9929
MGH53_P7_G12	NA	black	0	0	6.0146
MGH53_P7_H01	NA	black	0	0.49774	0
MGH53_P7_H02	NA	black	0	0	0
MGH53_P7_H03	NA	black	0	0	6.138
MGH53_P7_H04	0.0347054801232	red	1	0.29278	3.5207
MGH53_P7_H05	NA	black	0	0	3.8832
MGH53_P7_H06	NA	black	0	0	6.2404
MGH53_P7_H07	NA	black	0	0	6.119
MGH53_P7_H08	NA	black	0	0	4.8203
MGH53_P7_H10	-0.634199758579	red	1	0.24975	5.8244
MGH53_P7_H11	NA	black	0	0	0.31615
MGH53_P7_H12	NA	black	0	0	5.7194
MGH53_P8_A01	NA	black	0	0	3.0495
MGH53_P8_A02	-0.968233320327	red	1	0.16607	6.4802
MGH53_P8_A03	-1.02112001923	red	1	0.11902	6.427
MGH53_P8_A04	NA	black	0	0	5.1549
MGH53_P8_A05	NA	black	0	0	0
MGH53_P8_A06	NA	black	0	0	3.8947
MGH53_P8_A07	NA	black	0	0.41792	0
MGH53_P8_A08	NA	black	0	0	1.6069
MGH53_P8_A09	NA	black	0	0	4.7639
MGH53_P8_A10	0.224366494839	red	1	0.22033	2.8801
MGH53_P8_A11	0.724734830659	green3	2	0.1865	1.2123
MGH53_P8_A12	NA	black	0	0	2.994
MGH53_P8_B03	NA	black	0	0	4.5107
MGH53_P8_B04	NA	black	0	0	7.2205
MGH53_P8_B08	NA	black	0	0	5.2888
MGH53_P8_B09	NA	black	0	0	4.9348
MGH53_P8_B10	NA	black	0	0	4.6733
MGH53_P8_B11	1.71611830561	black	0	2.6717	5.3767
MGH53_P8_B12	NA	black	0	0	0
MGH53_P8_C01	NA	black	0	0	5.183
MGH53_P8_C02	NA	black	0	0	6.461
MGH53_P8_C03	NA	black	0	0	4.523
MGH53_P8_C04	NA	black	0	0	5.9255
MGH53_P8_C08	-0.265177659033	red	1	0.21412	4.5284
MGH53_P8_C09	NA	black	0	0	0
MGH53_P8_C10	0.610998690022	red	1	0.22033	1.473
MGH53_P8_C11	NA	black	0	0	3.9563
MGH53_P8_C12	0.149443187823	red	1	0.61824	1.1557
MGH53_P8_D01	0.238246019932	red	1	1.7506	4.1377
MGH53_P8_D02	-0.650191458205	red	1	0.19283	5.6692
MGH53_P8_D03	NA	black	0	0	5.5166
MGH53_P8_D04	NA	black	0	0	0
MGH53_P8_D05	NA	black	0	0	0
MGH53_P8_D06	-0.457925900355	red	1	0.22774	5.1798
MGH53_P8_D07	NA	black	0	0	0
MGH53_P8_D08	NA	black	0	0	2.713
MGH53_P8_D09	NA	black	0	0	2.8718
MGH53_P8_D10	NA	black	0	0	0
MGH53_P8_D11	NA	black	0	0	5.5405
MGH53_P8_E01	NA	black	0	0	6.0403
MGH53_P8_E03	NA	black	0	0	6.7441
MGH53_P8_E04	-0.464189129654	red	1	0.34369	5.5971
MGH53_P8_E05	NA	black	0	0	0
MGH53_P8_E06	NA	black	0	0	4.6742
MGH53_P8_E07	NA	black	0	0	4.6466
MGH53_P8_E08	NA	black	0	0	5.7562
MGH53_P8_E09	NA	black	0	0	5.0446
MGH53_P8_E10	NA	black	0	0	5.2743
MGH53_P8_E11	NA	black	0	0	4.226
MGH53_P8_F01	NA	black	0	0	5.57
MGH53_P8_F02	NA	black	0	0	6.2685
MGH53_P8_F04	NA	black	0	0	3.1909
MGH53_P8_F05	NA	black	0	0	0
MGH53_P8_F06	-0.696071048227	red	1	0.20539	5.8507
MGH53_P8_F07	NA	black	0	0	4.4467
MGH53_P8_F08	-0.205163595798	red	1	0.39726	4.6659
MGH53_P8_F09	-0.402803378175	red	1	0.085425	4.724
MGH53_P8_F11	NA	black	0	0.16736	0
MGH53_P8_G01	NA	black	0	0	0.21785
MGH53_P8_G02	NA	black	0	0	4.4334
MGH53_P8_G03	0.0788865464386	red	1	0.63877	2.2446
MGH53_P8_G04	NA	black	0	0	3.7511
MGH53_P8_G05	NA	black	0	0	4.4711
MGH53_P8_G06	NA	black	0	0	4.676
MGH53_P8_G07	NA	black	0	0	2.969
MGH53_P8_G08	NA	black	0	0	5.7955
MGH53_P8_G09	0.0960645931974	red	1	0.17887	3.3495
MGH53_P8_G10	NA	black	0	0	4.4816
MGH53_P8_G11	1.21704969653	green3	2	2.0925	5.3952
MGH53_P8_G12	NA	black	0	0	0.89064
MGH53_P8_H01	NA	black	0	0	3.0245
MGH53_P8_H02	NA	black	0	0	2.7845
MGH53_P8_H03	NA	black	0	0	0
MGH53_P8_H04	-0.0794533057877	red	1	0.51702	4.2499
MGH53_P8_H05	NA	black	0	0	1.8355
MGH53_P8_H06	NA	black	0	0	5.2835
MGH53_P8_H07	NA	black	0	0	6.3601
MGH53_P8_H08	0.238966759655	red	1	0.4782	1.9778
MGH53_P8_H09	NA	black	0	0.1003	0
MGH53_P8_H10	0.798469191123	green3	2	0.21412	0.79077
MGH53_P8_H11	NA	black	0	0	1.3219
MGH53_P8_H12	NA	black	0	0	4.6611
MGH53_P1_A03	NA	black	0	0	5.4572
MGH53_P1_A04	-0.116315251461	red	1	0.16736	4.0107
MGH53_P1_A06	-0.908740087816	red	1	0.12168	6.1437
MGH53_P1_A07	-1.09011459218	red	1	0.14666	6.7261
MGH53_P1_A08	NA	black	0	0.15316	0
MGH53_P1_B04	NA	black	0	0.42008	0
MGH53_P1_B08	NA	black	0	0	2.7366
MGH53_P1_B09	-0.214749782833	red	1	0.29631	4.4889
MGH53_P1_B11	-0.444384696395	red	1	0.18777	5.0369
MGH53_P1_C03	NA	black	0	0	6.1735
MGH53_P1_C06	-0.237870425871	red	1	0.15834	4.3674
MGH53_P1_C09	-0.282845997925	red	1	0.40054	5.0423
MGH53_P1_C10	NA	black	0	0	3.5383
MGH53_P1_D01	NA	black	0	0	4.4763
MGH53_P1_D05	NA	black	0	0	6.7383
MGH53_P1_D12	NA	black	0	0	3.9492
MGH53_P1_E09	0.0331204246833	red	1	0.61164	3.2357
MGH53_P1_E12	-0.484390619277	red	1	0.13093	5.0267
MGH53_P12_A01	NA	black	0	0.17632	0
MGH53_P12_A02	NA	black	0	0	3.5795
MGH53_P12_A03	NA	black	0	0	0.79494
MGH53_P12_A04	-0.923942392046	red	1	0.30801	7.0972
MGH53_P12_A05	NA	black	0	0	5.4137
MGH53_P12_A06	NA	black	0	0	7.0943
MGH53_P12_A08	NA	black	0	0	6.9103
MGH53_P12_A09	0.1448932115	red	1	0.12433	3.232
MGH53_P12_A10	NA	black	0	0	6.0971
MGH53_P12_A11	-0.479843713561	red	1	0.17121	5.1038
MGH53_P12_A12	NA	black	0	0	0.60597
MGH53_P12_B01	NA	black	0	0	3.7452
MGH53_P12_B02	NA	black	0	0	0.2857
MGH53_P12_B03	NA	black	0	0	3.9025
MGH53_P12_B04	0.247531102363	red	1	0.16736	2.8766
MGH53_P12_B05	NA	black	0	0	0
MGH53_P12_B06	NA	black	0	0.055196	0
MGH53_P12_B07	NA	black	0	0	0.18396
MGH53_P12_B08	NA	black	0	0	3.4368
MGH53_P12_B09	0.0257125001351	red	1	0.13093	3.5779
MGH53_P12_B11	NA	black	0	0	6.1367
MGH53_P12_B12	-0.989294032374	red	1	0.15186	6.4772
MGH53_P12_C01	NA	black	0	0	4.2886
MGH53_P12_C02	NA	black	0	0	4.0964
MGH53_P12_C03	NA	black	0	0.24123	0
MGH53_P12_C04	0.507764008157	red	1	0.44573	0.2302
MGH53_P12_C05	NA	black	0	0	5.5798
MGH53_P12_C06	-0.931271024512	red	1	0.10299	6.1355
MGH53_P12_C07	NA	black	0	0	5.1027
MGH53_P12_C08	NA	black	0	0	4.8537
MGH53_P12_C09	NA	black	0	0	5.8436
MGH53_P12_C10	NA	black	0	0	0
MGH53_P12_C11	NA	black	0	0	5.4193
MGH53_P12_C12	NA	black	0	0	3.0161
MGH53_P12_D01	NA	black	0	0	3.7047
MGH53_P12_D02	NA	black	0	0	6.3091
MGH53_P12_D03	NA	black	0	0	6.5234
MGH53_P12_D04	NA	black	0	0	5.815
MGH53_P12_D05	NA	black	0	0	0.53007
MGH53_P12_D06	NA	black	0	0	2.2213
MGH53_P12_D07	NA	black	0	0	0
MGH53_P12_D08	0.118591768525	red	1	0.19787	3.265
MGH53_P12_D09	NA	black	0	0	2.7461
MGH53_P12_D10	NA	black	0	0.18015	0
MGH53_P12_D11	-0.881214228716	red	1	0.16736	6.2429
MGH53_P12_D12	NA	black	0	0	6.0114
MGH53_P12_E01	-0.50740185877	red	1	0.15445	5.144
MGH53_P12_E02	NA	black	0	0	2.7244
MGH53_P12_E03	NA	black	0	0	6.2743
MGH53_P12_E04	NA	black	0	0	5.2858
MGH53_P12_E05	NA	black	0	0	0
MGH53_P12_E06	NA	black	0	0	4.8279
MGH53_P12_E07	-4.38542830521	black	0	3.4733	0.8335
