Cell_name	Zvalue	Color	Cluster	BRCA1	KHSRP
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0.29042	0
MGH53_P2_E03	-1.56523284261	black	0	0.21909	3.0779
MGH53_P1_A05	NA	black	0	0.12565	0
MGH36_P7_D12	0.274575330906	green3	2	0.1137	0.55385
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	1.0286
MGH53_P1_B01	0.125666818711	green3	2	0.31267	0.66993
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	1.4761
MGH36_P4_C09	NA	black	0	0.24489	0
MGH36_P5_C08	NA	black	0	0.21288	0
MGH36_P4_H06	NA	black	0	0.21039	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	0.460553879031	green3	2	0.18015	0.20289
MGH53_P2_C10	NA	black	0	0.15445	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	0.1137	0
MGH54_P2_A09	NA	black	0	3.7669	0
MGH36_P6_H11	NA	black	0	0.21288	0
MGH53_P2_E12	NA	black	0	0.46048	0
MGH53_P1_F08	NA	black	0	0	0.91839
MGH36_P6_D12	0.29571484849	green3	2	0.18903	0.46258
MGH36_P2_H09	NA	black	0	0.20664	0
MGH53_P1_C01	NA	black	0	0	1.4589
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0.2857	0
MGH36_P5_G05	NA	black	0	0.077243	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	-3.8346522287	black	0	4.2956	0.18269
MGH36_P6_B09	NA	black	0	1.0222	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	NA	black	0	0	0.56949
MGH36_P4_A10	NA	black	0	0	0.68975
MGH36_P6_B02	0.357117127703	green3	2	0.24853	0.27977
MGH53_P4_G06	NA	black	0	0.15186	0
MGH36_P8_F01	0.165832946506	green3	2	0.40926	0.45733
MGH36_P9_F06	NA	black	0	2.7566	0
MGH36_P5_H04	NA	black	0	0.056584	0
MGH53_P1_B03	-1.41643971732	black	0	0.13619	2.6606
MGH53_P2_D05	NA	black	0	0.54794	0
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	0.140281121164	green3	2	0.23756	0.68706
MGH53_P4_C02	0.450191166285	green3	2	0.1865	0.21039
MGH53_P4_F04	NA	black	0	0	0.20414
MGH36_P3_D10	NA	black	0	0.41359	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0.20914	0
MGH53_P1_F07	-0.129347979827	green3	2	0.17377	1.1117
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0.97453
MGH53_P4_E11	NA	black	0	3.1489	0
MGH53_P2_G03	NA	black	0	0	1.0503
MGH36_P3_F04	NA	black	0	0.15575	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	0.487488768401	green3	2	0.21909	0.086784
MGH53_P2_E02	NA	black	0	0.11902	0
MGH54_P2_F09	-0.649167962144	red	1	0.11902	1.7411
MGH36_P3_D05	NA	black	0	0	1.0587
MGH36_P5_F12	NA	black	0	0.14143	0
MGH53_P2_H09	-0.970305034023	red	1	0.14012	2.1574
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0.14405	0
MGH54_P2_F11	NA	black	0	0.22033	0
MGH53_P2_H04	0.154547258167	green3	2	0.27023	0.64155
MGH36_P6_F09	0.420507021759	green3	2	0.27023	0.11103
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0.30334	0
MGH54_P2_A07	0.240700165608	green3	2	0.24367	0.50386
MGH36_P7_H06	NA	black	0	0	0.1003
MGH53_P1_A01	0.496189399875	green3	2	0.17505	0.15186
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	0	0.68706
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	0.142597117826	green3	2	0.47612	0.38294
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	NA	black	0	0	0
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	0.13679698171	green3	2	0.13356	0.73552
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.10299	0
MGH36_P4_D06	NA	black	0	0.11503	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	NA	black	0	0	2.7922
MGH36_P10_E09	NA	black	0	0	0.51904
MGH53_P1_G02	-0.807643400235	red	1	0.17377	2.0215
MGH54_P2_A02	NA	black	0	0	0.42116
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0.18015	0
MGH54_P2_A03	NA	black	0	0	1.9609
MGH53_P4_E10	NA	black	0	0	1.2431
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0.25701	0
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	NA	black	0	5.0594	0
MGH36_P10_A01	0.206316717932	green3	2	0.26664	0.54597
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	0.21039
MGH53_P1_F12	NA	black	0	0	0.83026
MGH36_P4_B03	NA	black	0	0.19156	0
MGH54_P2_C07	NA	black	0	0	1.7753
MGH53_P1_B02	NA	black	0	0	0
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0.31034	0
MGH53_P4_H09	NA	black	0	0	0
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0.19409	0
MGH53_P1_A12	NA	black	0	0.20163	0
MGH36_P8_F08	0.530995504099	green3	2	0.14012	0.15186
MGH53_P1_D10	0.246631248435	green3	2	0.24001	0.49672
MGH53_P4_A09	NA	black	0	0	0.62947
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	0.25154423559	green3	2	0.40381	0.20163
MGH53_P4_C08	NA	black	0	0.25096	0
MGH36_P5_E04	NA	black	0	0	0
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0.097611	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	1.86279256835	black	0	3.884	1.4425
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	0	0
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0.10299	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0.09356	0
MGH53_P4_B03	NA	black	0	0	0
MGH53_P1_F10	NA	black	0	0	0
MGH53_P4_B05	NA	black	0	0	0
MGH53_P2_B08	NA	black	0	0	0
MGH36_P3_B06	0.0706411363229	green3	2	0.32423	0.77989
MGH36_P10_C02	NA	black	0	0.28924	0
MGH36_P2_E05	NA	black	0	0.18269	0
MGH54_P2_G09	NA	black	0	0	0
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	-0.0313817685284	green3	2	0.079975	0.96199
MGH36_P8_F11	NA	black	0	0.052416	0
MGH53_P2_A10	NA	black	0	0	1.272
MGH54_P2_E09	-0.13049189752	green3	2	0.10568	1.0909
MGH36_P3_H06	NA	black	0	0.22033	0
MGH36_P5_D05	NA	black	0	0.20414	0
MGH54_P2_A11	NA	black	0	0	0
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	NA	black	0	0.24732	0
MGH53_P2_E06	NA	black	0	0	0.42331
MGH53_P1_E01	NA	black	0	0	0
MGH36_P1_B01	0.690828937232	green3	2	0.051024	0.05797
MGH54_P2_H04	NA	black	0	0	3.2845
MGH36_P2_C05	NA	black	0	0.18269	0
MGH36_P6_H05	NA	black	0	0.090853	0
MGH36_P10_E06	0.248584784119	green3	2	0.12168	0.58496
MGH54_P2_F03	NA	black	0	0	0
MGH36_P4_B10	0.157895032816	green3	2	0.41792	0.46571
MGH54_P2_F02	NA	black	0	0.30918	0
MGH36_P2_E11	NA	black	0	0.18523	0
MGH54_P2_D11	8.56976581481e-05	green3	2	0.12168	0.92372
MGH54_P2_G01	NA	black	0	0	0
MGH36_P9_D02	NA	black	0	0	0
MGH54_P2_E06	NA	black	0	0.12433	0
MGH54_P16_F12	0.481011804858	green3	2	0.16736	0.18903
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0.8496	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0.22404
MGH53_P1_E03	NA	black	0	0.1903	0
MGH54_P15_D06	NA	black	0	0	0.64616
MGH54_P14_F05	NA	black	0	0	2.2351
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	0.6248
MGH54_P10_C06	NA	black	0	0	1.6267
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0.26183	0
MGH53_P7_F07	-1.83949330951	black	0	2.4655	0.18015
MGH53_P11_F06	0.518314692624	green3	2	0.14535	0.1635
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	0
MGH53_P11_H03	NA	black	0	0.26424	0
MGH53_P10_D11	NA	black	0	0	0.83592
MGH53_P1_A10	NA	black	0	0	0.16092
MGH53_P4_B12	0.401162807633	green3	2	0.079975	0.40817
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0.88206
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	2.8574
MGH53_P10_F11	NA	black	0	3.2934	0
MGH53_P1_E02	NA	black	0	0	3.0209
MGH53_P1_D07	NA	black	0	0	1.1003
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	0.447090275894	green3	2	0.10836	0.3173
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	0.514	0
MGH53_P5_A05	4.67643433356	black	0	2.3234	3.3095
MGH53_P5_F04	NA	black	0	0.69599	0
MGH53_P10_H03	0.0626343338998	green3	2	0.20914	0.82619
MGH53_P11_F08	NA	black	0	3.6764	0
MGH54_P7_F12	0.173847202774	green3	2	0.17505	0.66448
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0.92828
MGH53_P6_B11	NA	black	0	3.9473	0
MGH53_P4_C07	NA	black	0	0	1.0496
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	0.223203242686	green3	2	0.096262	0.6332
MGH36_P1_A02	NA	black	0	0	0.2762
MGH36_P1_A03	0.237875347184	green3	2	0.062122	0.63041
MGH36_P1_A04	NA	black	0	0	0.84077
MGH36_P1_A05	NA	black	0	0	0.97746
MGH36_P1_A06	NA	black	0	0	0.33914
MGH36_P1_A08	NA	black	0	0	0
MGH36_P1_A10	3.15518351872	black	0	3.5955	1.8323
MGH36_P1_A12	NA	black	0	0	0.18142
MGH36_P1_B02	5.15782890728	black	0	2.7257	3.0076
MGH36_P1_B03	NA	black	0	0	0
MGH36_P1_B04	NA	black	0	0	0
MGH36_P1_B06	0.0205395131339	green3	2	0.03984	0.8984
MGH36_P1_B07	NA	black	0	0	0
MGH36_P1_B08	0.299471716414	green3	2	0.053806	0.55778
MGH36_P1_B09	NA	black	0	0	0.070389
MGH36_P1_B10	NA	black	0	0	0.39177
MGH36_P1_B11	0.307024762647	green3	2	0.15834	0.47301
MGH36_P1_B12	0.612418801528	green3	2	0.071763	0.13356
MGH36_P1_C01	0.218051996105	green3	2	0.070389	0.65168
MGH36_P1_C03	0.425141738356	green3	2	0.19409	0.24123
MGH36_P1_C05	NA	black	0	0	0.50182
MGH36_P1_C06	-0.489755424697	green3	2	0.10165	1.5306
MGH36_P1_C07	NA	black	0	0	2.801
MGH36_P1_C08	0.397838058143	green3	2	0.060739	0.42868
MGH36_P1_C09	NA	black	0	0	0
MGH36_P1_C10	NA	black	0	0.052416	0
MGH36_P1_C11	0.71025598488	green3	2	0.041243	0.04684
MGH36_P1_D01	NA	black	0	0.26063	0
MGH36_P1_D02	NA	black	0	0	0.38847
MGH36_P1_D03	0.258064466335	green3	2	0.11902	0.57337
MGH36_P1_D04	-0.127329568473	green3	2	0.22774	1.1303
MGH36_P1_D06	0.0865765389486	green3	2	0.15575	0.80074
MGH36_P1_D07	NA	black	0	3.0411	0
MGH36_P1_D08	-0.0932053200926	green3	2	0.60312	1.543
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	NA	black	0	0	0.33685
MGH36_P1_F02	-0.0622566770821	green3	2	1.3488	0.87263
MGH36_P1_F03	0.708843801684	green3	2	0.029983	0.064883
MGH36_P1_F04	-0.250055281619	green3	2	0.086784	1.2314
MGH36_P1_F05	0.225658032603	green3	2	0.46153	0.075875
MGH36_P1_F06	NA	black	0	0	0.92752
MGH36_P1_F08	NA	black	0	0	0
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	-0.652083292355	red	1	2.9616	0.7536
MGH36_P1_G02	NA	black	0	0	1.1427
MGH36_P1_G03	NA	black	0	0	0.22527
MGH36_P1_G04	NA	black	0	0	0.071763
MGH36_P1_G07	NA	black	0	0	0.76808
MGH36_P1_G08	NA	black	0	0	0
MGH36_P1_G09	NA	black	0	0	1.9452
MGH36_P1_H02	NA	black	0	0	0.54102
MGH36_P1_H03	0.240342946349	green3	2	0.034216	0.6397
MGH36_P1_H04	0.532451300927	green3	2	0.13093	0.1635
MGH36_P1_H05	NA	black	0	0	0
MGH36_P1_H06	NA	black	0	0	0.92372
MGH36_P1_H07	NA	black	0	0	1.6862
MGH36_P1_H09	NA	black	0	0	1.0454
MGH36_P1_H10	0.520347303642	green3	2	0.028569	0.30334
MGH36_P3_A01	NA	black	0	0	0.47508
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	0.88049	0
MGH36_P3_A04	NA	black	0	0.20664	0
MGH36_P3_A05	NA	black	0	0	1.2449
MGH36_P3_A08	-0.180485727326	green3	2	0.15186	1.1738
MGH36_P3_A09	NA	black	0	0	0.91533
MGH36_P3_A10	NA	black	0	3.5814	0
MGH36_P3_A12	NA	black	0	0	0.53406
MGH36_P3_B02	NA	black	0	0	0.62106
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	0.188639314403	green3	2	0.21164	0.62012
MGH36_P3_B09	NA	black	0	0	0.55287
MGH36_P3_B10	-0.266062299567	green3	2	0.32654	1.45
MGH36_P3_B11	-0.48233145715	green3	2	0.32654	1.8404
MGH36_P3_B12	0.189296623687	green3	2	0.38626	0.43082
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	NA	black	0	0	1.1635
MGH36_P3_C04	0.00108384426956	green3	2	0.40708	0.926
MGH36_P3_C05	0.12289622758	green3	2	2.839	1.0158
MGH36_P3_C06	NA	black	0	0	0.11636
MGH36_P3_C08	NA	black	0	2.2247	0
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0	0.74588
MGH36_P3_D01	NA	black	0	0.38626	0
MGH36_P3_D02	NA	black	0	0	0.72334
MGH36_P3_D03	NA	black	0	0	0
MGH36_P3_D04	NA	black	0	0	0
MGH36_P3_D07	-0.0141580492664	green3	2	0.66357	1.1865
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	0.0653483983931	green3	2	0.15704	0.83107
MGH36_P3_D11	0.500398726745	green3	2	0.15704	0.17377
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0.11902	0
MGH36_P3_E05	-0.0310685549592	green3	2	0.14405	0.96717
MGH36_P3_E06	NA	black	0	0	0.72072
MGH36_P3_E07	NA	black	0	0	1.0915
MGH36_P3_E08	NA	black	0	0	0
MGH36_P3_E09	NA	black	0	0	1.3294
MGH36_P3_E10	NA	black	0	0	1.109
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	0.478424921506	green3	2	0.14535	0.22527
MGH36_P3_F01	NA	black	0	0	1.6512
MGH36_P3_F02	NA	black	0	0	0.33228
MGH36_P3_F05	NA	black	0	0	0
MGH36_P3_F06	0.45675140605	green3	2	0.12961	0.27858
MGH36_P3_F07	0.150611660733	green3	2	0.14274	0.71282
MGH36_P3_F08	NA	black	0	0	0.65535
MGH36_P3_F09	NA	black	0	0	1.9115
MGH36_P3_F10	NA	black	0	0	0.2857
MGH36_P3_F11	NA	black	0	0	0.24732
MGH36_P3_F12	NA	black	0	0	1.0419
MGH36_P3_G01	0.377350090539	green3	2	0.24245	0.25096
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	0.431353311011	green3	2	0.14143	0.30217
MGH36_P3_G04	0.263526159298	green3	2	0.19912	0.50589
MGH36_P3_G05	0.327643498389	green3	2	0.22651	0.36625
MGH36_P3_G06	0.769265767862	green3	2	1.7782	1.5094
MGH36_P3_G08	-0.490530882153	green3	2	4.7219	0.91073
MGH36_P3_G09	0.290100155014	green3	2	0.23879	0.419
MGH36_P3_G10	NA	black	0	0.14012	0
MGH36_P3_G11	NA	black	0	0.16993	0
MGH36_P3_G12	NA	black	0	0	0.3505
MGH36_P3_H03	NA	black	0	0	1.1037
MGH36_P3_H04	NA	black	0	0.14535	0
MGH36_P3_H05	0.448998137294	green3	2	0.10165	0.32193
MGH36_P3_H07	NA	black	0	0.60407	0
MGH36_P3_H08	NA	black	0	0	1.5499
MGH36_P3_H11	0.0296628991322	green3	2	0.14666	0.88284
MGH36_P3_H12	NA	black	0	0	0.96347
MGH36_P4_A01	NA	black	0	0.17249	0
MGH36_P4_A02	NA	black	0	0.1865	0
MGH36_P4_A03	-0.0614579045663	green3	2	1.2023	0.8504
MGH36_P4_A04	NA	black	0	0	0
MGH36_P4_A06	-0.358179771395	green3	2	0.14274	1.4038
MGH36_P4_A07	-1.29123444587	black	0	2.904	0.52707
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	-1.7511074661	black	0	5.0404	0.69955
MGH36_P4_A12	NA	black	0	0	0.34596
MGH36_P4_B02	0.0991210518149	green3	2	0.41576	0.64801
MGH36_P4_B04	0.243031757359	green3	2	0.14535	0.57821
MGH36_P4_B05	-0.912332989875	red	1	2.109	0.46989
MGH36_P4_B06	NA	black	0	0	0.80323
MGH36_P4_B08	0.325628651346	green3	2	0.14796	0.45418
MGH36_P4_B09	NA	black	0	0	0.50487
MGH36_P4_B12	NA	black	0	0	0.53804
MGH36_P4_C02	NA	black	0	0	1.4468
MGH36_P4_C03	NA	black	0	0.41792	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0.24367
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	0	0.74071
MGH36_P4_C08	-0.681831787832	red	1	0.31267	2.1424
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0.5509
MGH36_P4_C12	NA	black	0	0	1.294
MGH36_P4_D01	NA	black	0	0	1.0834
MGH36_P4_D02	-0.465882221541	green3	2	0.28806	1.739
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	1.8635
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	NA	black	0	0	0
MGH36_P4_D10	NA	black	0	0.75788	0
MGH36_P4_D11	-1.22910681474	red	1	3.8998	0.69599
MGH36_P4_D12	NA	black	0	0.12829	0
MGH36_P4_E01	0.218456960967	green3	2	0.13093	0.62199
MGH36_P4_E02	0.269325779737	green3	2	0.15575	0.53207
MGH36_P4_E04	NA	black	0	0	0.27262
MGH36_P4_E06	0.454467541463	green3	2	0.13619	0.27381
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	0.29396	0
MGH36_P4_E09	NA	black	0	0	1.2135
MGH36_P4_E10	NA	black	0	0	0.52707
MGH36_P4_E11	NA	black	0	0	1.1454
MGH36_P4_E12	NA	black	0	0.27501	0
MGH36_P4_F01	0.373544867498	green3	2	0.13093	0.39944
MGH36_P4_F02	NA	black	0	0	0.44255
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	0.49672
MGH36_P4_F05	NA	black	0	0	0
MGH36_P4_F06	NA	black	0	0	0.66266
MGH36_P4_F07	NA	black	0	0	0.95977
MGH36_P4_F09	-0.129874409984	green3	2	0.11503	1.0929
MGH36_P4_F10	NA	black	0	0	0.83592
MGH36_P4_F11	0.00285202443411	green3	2	0.29278	0.92144
MGH36_P4_F12	NA	black	0	0.15056	0
MGH36_P4_G01	0.115134595841	green3	2	0.25217	0.72421
MGH36_P4_G02	NA	black	0	0	0.19283
MGH36_P4_G03	0.161009097253	green3	2	0.17632	0.68347
MGH36_P4_G04	0.0370203020403	green3	2	0.52707	0.75702
MGH36_P4_G05	NA	black	0	0.24732	0
MGH36_P4_G06	NA	black	0	0	1.0433
MGH36_P4_G08	NA	black	0	0	0.54201
MGH36_P4_G09	NA	black	0	0	1.1776
MGH36_P4_G10	0.328911090302	green3	2	0.26544	0.30801
MGH36_P4_G11	NA	black	0	0.12035	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0.16479	0
MGH36_P4_H03	NA	black	0	0	0.42223
MGH36_P4_H04	NA	black	0	0	0
MGH36_P4_H05	0.0881257554832	green3	2	0.17505	0.7941
MGH36_P4_H09	0.493901993788	green3	2	0.15963	0.18015
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	0.116127186067	green3	2	0.543	0.2302
MGH36_P6_A04	0.592596755713	green3	2	0.10299	0.11636
MGH36_P6_A05	NA	black	0	0	0.21164
MGH36_P6_A07	-1.29657029962	black	0	4.091	0.70044
MGH36_P6_A08	NA	black	0	0.18903	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	-0.00240426346573	green3	2	0.10969	0.92676
MGH36_P6_A11	NA	black	0	0	0.66812
MGH36_P6_B03	NA	black	0	0	0.28096
MGH36_P6_B04	NA	black	0	0	0
MGH36_P6_B05	NA	black	0	0	0.45523
MGH36_P6_B06	NA	black	0	0.10969	0
MGH36_P6_B10	NA	black	0	0	0
MGH36_P6_B11	NA	black	0	0	0
MGH36_P6_B12	0.211105427091	green3	2	0.20038	0.59072
MGH36_P6_C02	NA	black	0	0	3.3679
MGH36_P6_C03	6.68518035745	black	0	3.9977	2.5852
MGH36_P6_C04	NA	black	0	0	0.38184
MGH36_P6_C05	NA	black	0	0.19156	0
MGH36_P6_C06	NA	black	0	0.42975	0
MGH36_P6_C07	NA	black	0	0	0
MGH36_P6_C08	0.169170474282	green3	2	0.10969	0.69955
MGH36_P6_C09	NA	black	0	0	1.6299
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	0
MGH36_P6_D01	0.395111545401	green3	2	0.097611	0.40054
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	1.3288
MGH36_P6_D04	0.494819113684	green3	2	0.16607	0.16864
MGH36_P6_D05	NA	black	0	0	1.6323
MGH36_P6_D06	-0.197222185948	green3	2	0.12829	1.1852
MGH36_P6_D07	NA	black	0	0	2.0398
MGH36_P6_D08	0.274175977657	green3	2	0.25096	0.43403
MGH36_P6_D10	NA	black	0	0	0.26063
MGH36_P6_D11	NA	black	0	0	0
MGH36_P6_E02	NA	black	0	0	3.0192
MGH36_P6_E03	-0.0515342200854	green3	2	0.29514	1.0243
MGH36_P6_E04	0.534039636963	green3	2	0.096262	0.20914
MGH36_P6_E05	NA	black	0	0	0.38957
MGH36_P6_E06	-0.451356224434	green3	2	0.23266	1.6304
MGH36_P6_E07	0.149093412987	green3	2	0.18523	0.69777
MGH36_P6_E08	-1.03734152419	red	1	0.09356	2.148
MGH36_P6_E09	NA	black	0	0.2302	0
MGH36_P6_E10	-0.100932501645	green3	2	0.20289	1.08
MGH36_P6_E11	-1.01909992339	red	1	0.13225	2.1994
MGH36_P6_E12	-0.0234338619766	green3	2	0.66084	1.2945
