Cell_name	Zvalue	Color	Cluster	ICAM1	REL
MGH36_P3_C08	0.0315278319079	blue	3	0.584	1.2004
MGH36_P3_C11	NA	black	0	0	0.57918
MGH36_P3_C12	NA	black	0	0	0.41684
MGH36_P3_D01	NA	black	0	0	0.61447
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	0.194693163444	blue	3	0.21661	0.25942
MGH36_P3_D04	NA	black	0	0	0.38957
MGH36_P3_D07	0.15049188994	blue	3	0.17377	0.71633
MGH36_P3_D08	NA	black	0	0	2.0576
MGH36_P3_D09	NA	black	0	0	0.50691
MGH36_P3_D11	NA	black	0	0	0.47508
MGH36_P3_E02	NA	black	0	0	3.7224
MGH36_P3_E04	0.170884695023	blue	3	0.13488	0.64432
MGH36_P3_E05	0.157985422791	blue	3	0.30918	0.32308
MGH36_P3_E06	NA	black	0	0	0
MGH36_P3_E07	NA	black	0	0	0.16221
MGH36_P3_E08	0.190101587336	blue	3	0.16092	0.49467
MGH36_P3_E09	NA	black	0	0	0.63227
MGH36_P3_E10	0.0866692794561	blue	3	0.12829	0.99422
MGH36_P3_E11	NA	black	0	0	2.0043
MGH36_P3_E12	NA	black	0	0	0.61824
MGH36_P3_F01	NA	black	0	0	0.35163
MGH36_P3_F02	NA	black	0	0	0.46258
MGH36_P3_F05	NA	black	0	0	0.78241
MGH36_P3_F06	0.130919658307	blue	3	0.27858	0.73031
MGH36_P3_F07	NA	black	0	0	0.17377
MGH36_P3_F08	NA	black	0	0	0
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	0.223952428353	blue	3	0.15056	0.1865
MGH36_P3_F11	NA	black	0	0	4.6034
MGH36_P3_F12	NA	black	0	0	1.8738
MGH36_P3_G01	NA	black	0	0	1.8532
MGH36_P3_G02	NA	black	0	0	4.3146
MGH36_P3_G03	NA	black	0	0	0.66357
MGH36_P3_G04	0.159708969379	blue	3	0.11636	0.71282
MGH36_P3_G05	0.219390452173	blue	3	0.13356	0.31846
MGH36_P3_G06	NA	black	0	0	0.78409
MGH36_P3_G08	NA	black	0	0	0.50284
MGH36_P3_G09	NA	black	0	0	0
MGH36_P3_G10	NA	black	0	0	5.1799
MGH36_P3_G11	0.203413225756	blue	3	0.11103	0.48852
MGH36_P3_G12	0.23059409874	blue	3	0.096262	0.32539
MGH36_P3_H03	0.148706717963	blue	3	0.32884	0.40163
MGH36_P3_H04	0.20314264931	blue	3	0.1635	0.38294
MGH36_P3_H05	NA	black	0	0	0.14796
MGH36_P3_H07	NA	black	0	0.1865	0
MGH36_P3_H08	NA	black	0	0	0.29042
MGH36_P3_H11	NA	black	0	0	0.26544
MGH36_P3_H12	-0.0015315447237	green3	2	0.65168	1.4195
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0.6951
MGH36_P4_A03	NA	black	0	0	3.3051
MGH36_P4_A04	0.0861998731561	blue	3	0.50691	0.43616
MGH36_P4_A06	NA	black	0	0	0.70221
MGH36_P4_A07	NA	black	0	0	0
MGH36_P4_A08	NA	black	0	0	0.60407
MGH36_P4_A11	0.148599626439	blue	3	0.27262	0.60786
MGH36_P4_A12	NA	black	0	0	0.59646
MGH36_P4_B02	NA	black	0	0	1.0079
MGH36_P4_B04	NA	black	0	0	1.6924
MGH36_P4_B05	NA	black	0	0	0.57143
MGH36_P4_B06	NA	black	0	0	0.64432
MGH36_P4_B08	0.188047265197	blue	3	0.16736	0.49774
MGH36_P4_B09	NA	black	0	0	0.16864
MGH36_P4_B12	NA	black	0	0	0.15575
MGH36_P4_C02	NA	black	0	0	0.3471
MGH36_P4_C03	0.178453860074	blue	3	0.17249	0.55582
MGH36_P4_C04	NA	black	0	0.22527	0
MGH36_P4_C05	NA	black	0	0	0.29983
MGH36_P4_C06	NA	black	0	0	0.36625
MGH36_P4_C07	0.0527186384051	blue	3	0.13225	1.105
MGH36_P4_C08	NA	black	0	0	1.4584
MGH36_P4_C10	NA	black	0	0	0.47508
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0.12565	0
MGH36_P4_D01	NA	black	0	0	0.51096
MGH36_P4_D02	NA	black	0	0	0.39835
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	0	0.52507
MGH36_P4_D09	NA	black	0	0	0.22404
MGH36_P4_D10	NA	black	0	0	1.4022
MGH36_P4_D11	NA	black	0	0	5.5029
MGH36_P4_D12	NA	black	0	0	0
MGH36_P4_E01	NA	black	0	0	0.34596
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0	0.3471
MGH36_P4_E07	NA	black	0	0	2.6494
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	-1.73016063971	black	0	0.1635	3.7569
MGH36_P4_E10	NA	black	0	0	0.848
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	-1.83520474257	black	0	1.1596	5.3093
MGH36_P4_F01	NA	black	0	0	0.19535
MGH36_P4_F02	0.195836490846	blue	3	0.1776	0.41143
MGH36_P4_F03	NA	black	0	0	2.9115
MGH36_P4_F04	NA	black	0	0	0.42761
MGH36_P4_F05	NA	black	0	0	0.39397
MGH36_P4_F06	NA	black	0	0	0.19787
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	0	0.1903
MGH36_P4_F10	NA	black	0	0	0.5656
MGH36_P4_F11	NA	black	0	0	0.56755
MGH36_P4_F12	0.21503483481	blue	3	0.16993	0.21039
MGH36_P4_G01	NA	black	0	0	1.0058
MGH36_P4_G02	NA	black	0	0	0.80157
MGH36_P4_G03	NA	black	0	0	0.25217
MGH36_P4_G04	NA	black	0	0	1.4536
MGH36_P4_G05	NA	black	0	0	0.55582
MGH36_P4_G06	NA	black	0	0	0.55876
MGH36_P4_G08	NA	black	0	0	0.45207
MGH36_P4_G09	NA	black	0	0.36625	0
MGH36_P4_G10	NA	black	0	0	0.8213
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0	0.2302
MGH36_P4_H03	NA	black	0	0.21288	0
MGH36_P4_H04	0.112560970038	blue	3	0.43082	0.36961
MGH36_P4_H05	NA	black	0	0	0.52607
MGH36_P4_H09	0.139912150045	blue	3	0.18015	0.76469
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	0
MGH36_P6_A04	NA	black	0	0	0.73985
MGH36_P6_A05	NA	black	0	0	1.1349
MGH36_P6_A07	-0.842705243379	black	0	0.16993	2.7799
MGH36_P6_A08	NA	black	0	0	0.67897
MGH36_P6_A09	NA	black	0	0	1.2504
MGH36_P6_A10	NA	black	0	0	0.15575
MGH36_P6_A11	NA	black	0	0	0.50792
MGH36_P6_B03	NA	black	0	0	0.34483
MGH36_P6_B04	NA	black	0	0	0
MGH36_P6_B05	0.23491306938	blue	3	0.12697	0.15963
