Cell_name	Zvalue	Color	Cluster	CDKN1B	ING4
MGH54_P14_B03	NA	black	0	0	5.2832
MGH54_P14_B04	0.239556755852	red	1	4.5455	4.8234
MGH54_P14_B05	-0.283954341195	red	1	2.4888	4.9683
MGH54_P14_B06	NA	black	0	0	4.247
MGH54_P14_B07	NA	black	0	4.8914	0
MGH54_P14_B08	NA	black	0	0	0
MGH54_P14_B09	NA	black	0	0	5.4508
MGH54_P14_B10	0.532304114108	red	1	4.287	5.5762
MGH54_P14_B11	0.54820088366	red	1	3.9898	6.2675
MGH54_P14_B12	1.50335821794	green3	2	1.8315	1.7974
MGH54_P14_C01	NA	black	0	0	0
MGH54_P14_C02	NA	black	0	6.2711	0
MGH54_P14_C03	NA	black	0	0	4.9275
MGH54_P14_C04	NA	black	0	0	0
MGH54_P14_C05	0.493686995855	red	1	2.3074	3.1006
MGH54_P14_C06	NA	black	0	0	0
MGH54_P14_C07	NA	black	0	0	0
MGH54_P14_C08	NA	black	0	0	0
MGH54_P14_C09	-0.285512343828	red	1	2.6473	5.1423
MGH54_P14_C10	-0.346454561126	red	1	3.6061	2.6765
MGH54_P14_C11	-0.228749536675	red	1	3.4364	2.5561
MGH54_P14_C12	-2.7500973367	black	0	0.57918	6.1321
MGH54_P14_D01	0.591310518653	red	1	4.3937	5.5824
MGH54_P14_D02	-0.0474729137847	red	1	3.1426	4.9001
MGH54_P14_D03	NA	black	0	0	0
MGH54_P14_D04	NA	black	0	4.7396	0
MGH54_P14_D05	NA	black	0	2.8494	0
MGH54_P14_D06	NA	black	0	4.7348	0
MGH54_P14_D07	-0.322850118863	red	1	2.8065	5.5205
MGH54_P14_D08	NA	black	0	0	2.22
MGH54_P14_D09	0.680906268228	red	1	5.2679	5.2093
MGH54_P14_D10	NA	black	0	4.7458	0
MGH54_P14_D11	NA	black	0	4.1836	0
MGH54_P14_D12	-0.0416477040533	red	1	4.5261	4.3539
MGH54_P14_E01	NA	black	0	0	0
MGH54_P14_E02	-0.576227293837	red	1	5.0734	3.8159
MGH54_P14_E03	-0.925768059555	red	1	2.1811	5.8482
MGH54_P14_E04	NA	black	0	0	0
MGH54_P14_E05	NA	black	0	0	6.0015
MGH54_P14_E06	NA	black	0	4.4895	0
MGH54_P14_E07	NA	black	0	0	0
MGH54_P14_E08	NA	black	0	4.2672	0
MGH54_P14_E09	NA	black	0	0	6.3024
MGH54_P14_E10	-0.638575890663	red	1	2.1502	5.3427
MGH54_P14_E11	NA	black	0	1.9731	0
MGH54_P14_E12	-0.0207643554256	red	1	3.2253	4.8497
MGH54_P14_F01	NA	black	0	0	0
MGH54_P14_F02	0.0716059107362	red	1	3.5871	4.8747
MGH54_P14_F03	NA	black	0	3.5832	0
MGH54_P14_F04	0.00884504842135	red	1	3.3406	4.9102
MGH54_P14_F06	NA	black	0	0	5.3055
MGH54_P14_F07	0.120384563704	red	1	2.4571	3.9403
MGH54_P14_F08	NA	black	0	0	3.8883
MGH54_P14_F09	-0.155444650237	red	1	2.96	5.1749
MGH54_P14_F10	NA	black	0	0	0
MGH54_P14_F11	NA	black	0	0	4.7266
MGH54_P14_G01	NA	black	0	0	0
MGH54_P14_G02	-0.169841386074	red	1	2.7736	4.9329
MGH54_P14_G03	NA	black	0	2.6088	0
MGH54_P14_G04	NA	black	0	0	0
MGH54_P14_G05	NA	black	0	3.1838	0
MGH54_P14_G06	NA	black	0	2.7144	0
MGH54_P14_G07	NA	black	0	3.4423	0
MGH54_P14_G08	NA	black	0	0	6.4972
MGH54_P14_G09	0.999935131755	green3	2	4.9847	5.7319
MGH54_P14_G10	NA	black	0	0	0
MGH54_P14_G11	NA	black	0	0	7.1233
MGH54_P14_G12	NA	black	0	0	1.8367
MGH54_P14_H01	NA	black	0	0	0
MGH54_P14_H02	-0.233962792168	red	1	2.674	5.0243
MGH54_P14_H03	NA	black	0	0	0
MGH54_P14_H04	NA	black	0	0	6.4643
MGH54_P14_H05	NA	black	0	0	0
MGH54_P14_H06	NA	black	0	4.6205	0
MGH54_P14_H07	NA	black	0	0	5.4843
MGH54_P14_H08	0.66606338087	red	1	2.5531	1.8722
MGH54_P14_H09	0.457359935139	red	1	3.8468	6.4996
MGH54_P14_H10	-0.167976799106	red	1	2.7455	4.8938
MGH54_P14_H11	NA	black	0	0	5.5693
MGH54_P14_H12	NA	black	0	0	5.1008
MGH54_P15_A02	NA	black	0	0	0
MGH54_P15_A03	-0.105925417027	red	1	3.2675	2.334
MGH54_P15_A04	NA	black	0	0.68437	0
MGH54_P15_A05	NA	black	0	0	3.7632
MGH54_P15_A06	NA	black	0	0	0
MGH54_P15_A07	NA	black	0	0	5.8129
MGH54_P15_A08	NA	black	0	3.6976	0
MGH54_P15_A09	0.0881826411808	red	1	3.7265	4.7867
MGH54_P15_A10	NA	black	0	0	0
MGH54_P15_A11	NA	black	0	0	0
MGH54_P15_A12	NA	black	0	0	5.6358
MGH54_P15_B01	NA	black	0	2.3609	0
MGH54_P15_B02	NA	black	0	4.5776	0
MGH54_P15_B03	-0.384457839269	red	1	3.0076	6.3533
MGH54_P15_B04	NA	black	0	0	0
MGH54_P15_B05	NA	black	0	0	0
MGH54_P15_B06	NA	black	0	4.4178	0
MGH54_P15_B07	NA	black	0	0	3.2821
MGH54_P15_B09	0.524539353422	red	1	4.9305	5.1305
MGH54_P15_B10	NA	black	0	0	0
MGH54_P15_B11	NA	black	0	2.9877	0
MGH54_P15_C01	NA	black	0	0	0
MGH54_P15_C02	NA	black	0	0	3.1432
MGH54_P15_C03	NA	black	0	0	0
MGH54_P15_C04	0.0434991674847	red	1	5.6503	4.5529
MGH54_P15_C05	NA	black	0	0	4.5409
MGH54_P15_C06	NA	black	0	2.518	0
MGH54_P15_C07	NA	black	0	3.2373	0
MGH54_P15_C08	NA	black	0	3.9838	0
MGH54_P15_C09	NA	black	0	0	2.0538
MGH54_P15_C10	-0.0316053237743	red	1	3.249	5.1769
MGH54_P15_C11	-0.180181256377	red	1	3.1286	5.8754
MGH54_P15_C12	NA	black	0	0	0
MGH54_P15_D01	NA	black	0	0	0
MGH54_P15_D02	-1.3750632824	red	1	1.2516	5.5137
MGH54_P15_D03	NA	black	0	0.67627	0
MGH54_P15_D04	NA	black	0	0	5.0263
MGH54_P15_D05	NA	black	0	0	0
MGH54_P15_D07	NA	black	0	0	0
MGH54_P15_D08	1.00724764183	green3	2	4.1411	7.4493
MGH54_P15_D09	NA	black	0	0	0
MGH54_P15_D10	NA	black	0	0	4.6915
MGH54_P15_D11	NA	black	0	3.4172	0
MGH54_P15_D12	-1.9032049478	black	0	4.738	1.9811
MGH54_P15_E01	-0.0329145431179	red	1	3.0917	4.6424
MGH54_P15_E02	NA	black	0	0	0
MGH54_P15_E03	NA	black	0	0	5.0411
MGH54_P15_E04	NA	black	0	4.6878	0
MGH54_P15_E05	NA	black	0	0	5.155
MGH54_P15_E06	0.809844510413	red	1	4.6302	5.7488
MGH54_P15_E07	NA	black	0	3.5244	0
MGH54_P15_E08	0.0738911002288	red	1	3.7921	4.67
MGH54_P15_E09	1.73073846569	black	0	5.8676	5.9686
MGH54_P15_E10	1.65030877537	black	0	5.3653	6.2179
MGH54_P15_E11	NA	black	0	0	4.1076
MGH54_P15_E12	-0.449226281485	red	1	2.4947	5.3604
MGH54_P15_F01	NA	black	0	0	0
MGH54_P15_F02	NA	black	0	0	0
MGH54_P15_F03	-0.00265933790844	red	1	3.0786	4.3322
MGH54_P15_F04	NA	black	0	0	0
MGH54_P15_F05	NA	black	0	3.607	0
MGH54_P15_F06	0.500963668744	red	1	4.0285	5.9581
MGH54_P15_F07	NA	black	0	0	0
MGH54_P15_F08	NA	black	0	0	5.1152
MGH54_P15_F09	NA	black	0	0	0
MGH54_P15_F10	0.07451113969	red	1	0.39944	4.031
MGH54_P15_F11	NA	black	0	2.5967	0
MGH54_P15_F12	NA	black	0	0	0
MGH54_P15_G03	NA	black	0	0	0
MGH54_P15_G04	NA	black	0	0	3.3653
MGH54_P15_G05	NA	black	0	0	6.1805
MGH54_P15_G06	NA	black	0	0.38626	0
MGH54_P15_G07	NA	black	0	2.9493	0
MGH54_P15_G08	NA	black	0	0	0
MGH54_P15_G09	NA	black	0	0	4.7735
MGH54_P15_G10	NA	black	0	0	4.362
MGH54_P15_G11	NA	black	0	0	0
MGH54_P15_G12	NA	black	0	0	6.0619
MGH54_P15_H01	NA	black	0	0	0
MGH54_P15_H03	NA	black	0	0	1.962
MGH54_P15_H04	-0.117443692932	red	1	2.5955	4.6133
MGH54_P15_H05	NA	black	0	0	2.7657
MGH54_P15_H06	NA	black	0	0	0
MGH54_P15_H07	NA	black	0	0	1.9434
MGH54_P15_H08	NA	black	0	0	3.9743
MGH54_P15_H09	0.238041061959	red	1	2.6967	3.3248
MGH54_P15_H10	NA	black	0	0	3.6776
MGH54_P15_H11	NA	black	0	0	0
MGH54_P15_H12	NA	black	0	4.6158	0
MGH54_P16_A01	0.000845242330436	red	1	3.4292	6.9296
MGH54_P16_A02	NA	black	0	2.9937	0
MGH54_P16_A04	NA	black	0	0	5.6446
MGH54_P16_A05	-0.288171070321	red	1	1.848	4.6161
MGH54_P16_A06	NA	black	0	4.9079	0
MGH54_P16_A07	NA	black	0	0	0
MGH54_P16_A08	-0.161213474186	red	1	2.9765	5.2415
MGH54_P16_A09	-0.829373126833	red	1	3.7097	1.5028
MGH54_P16_A10	NA	black	0	0	0
MGH54_P16_A11	NA	black	0	0	5.0738
MGH54_P16_A12	NA	black	0	0	6.0421
MGH54_P16_B01	0.099988723938	red	1	3.5418	5.3403
MGH54_P16_B02	NA	black	0	0	0
MGH54_P16_B03	0.173944363673	red	1	3.962	4.9284
MGH54_P16_B04	NA	black	0	0	1.8508
MGH54_P16_B05	NA	black	0	0	6.4415
MGH54_P16_B06	NA	black	0	0	4.424
MGH54_P16_B07	-0.0297605352371	red	1	2.3179	4.3063
MGH54_P16_B08	NA	black	0	0	0
MGH54_P16_B09	NA	black	0	2.4198	0
MGH54_P16_B10	NA	black	0	4.758	0
MGH54_P16_B11	NA	black	0	2.0881	0
MGH54_P16_B12	-0.125181907644	red	1	2.4071	4.5431
MGH54_P16_C01	NA	black	0	3.2119	0
MGH54_P16_C02	0.317223105385	red	1	4.3782	5.0283
MGH54_P16_C03	-0.0347733317966	red	1	3.2147	5.0244
MGH54_P16_C04	NA	black	0	4.7901	0
MGH54_P16_C05	-0.0500493493481	red	1	2.8669	4.5331
MGH54_P16_C06	0.519786792091	red	1	4.8521	5.1528
MGH54_P16_C07	NA	black	0	4.7768	0
MGH54_P16_C08	0.482253413685	red	1	4.4063	5.3437
MGH54_P16_C09	0.17320248878	red	1	3.7134	5.2951
MGH54_P16_C10	1.78168418986	black	0	2.0524	0.52005
MGH54_P16_C11	-0.259004926231	red	1	2.2711	4.7583
MGH54_P16_C12	-1.3380538432	red	1	5.0211	2.9488
MGH54_P16_D01	1.02523926277	green3	2	5.5335	5.4737
MGH54_P16_D02	NA	black	0	3.4778	0
MGH54_P16_D03	-0.141833202947	red	1	2.6199	4.6997
MGH54_P16_D04	NA	black	0	0	0.73639
MGH54_P16_D05	NA	black	0	0	0
MGH54_P16_D06	-1.01114957666	red	1	4.654	2.9986
MGH54_P16_D07	NA	black	0	4.0813	0
MGH54_P16_D09	NA	black	0	0	3.0481
MGH54_P16_D10	NA	black	0	0	0
MGH54_P16_D11	-0.0536154634493	red	1	4.6284	4.3492
MGH54_P16_D12	0.175083595296	red	1	4.1423	4.8232
MGH54_P16_E01	-0.0533683249516	red	1	3.0595	4.7604
MGH54_P16_E02	NA	black	0	0	0
MGH54_P16_E03	NA	black	0	0	0
MGH54_P16_E04	NA	black	0	0	6.1305
MGH54_P16_E05	-0.895865180734	red	1	2.6383	6.6613
MGH54_P16_E06	0.0716435902273	red	1	3.4801	5.367
MGH54_P16_E07	NA	black	0	0	5.2479
MGH54_P16_E08	NA	black	0	0	0
MGH54_P16_E09	NA	black	0	0	4.3965
MGH54_P16_E10	0.547728774077	red	1	5.3261	5.0525
MGH54_P16_E11	NA	black	0	4.9778	0
MGH54_P16_E12	0.275625903043	red	1	4.896	4.811
MGH54_P16_F01	NA	black	0	0	4.4081
MGH54_P16_F03	NA	black	0	0	4.9345
MGH54_P16_F04	-1.49935434316	black	0	3.8664	0.55385
MGH54_P16_F05	2.34159652473	black	0	6.4322	6.1707
MGH54_P16_F06	NA	black	0	0	5.9201
MGH54_P16_F07	0.119819634665	red	1	3.6731	5.0495
MGH54_P16_F08	0.0791542345645	red	1	3.9806	4.6157
MGH54_P16_F09	NA	black	0	3.641	0
MGH54_P16_F10	NA	black	0	0	0
MGH54_P16_F11	0.0800902537455	red	1	3.5502	5.0555
MGH54_P16_G01	NA	black	0	0	6.0684
MGH54_P16_G02	NA	black	0	2.1763	0
MGH54_P16_G03	NA	black	0	0	3.2112
MGH54_P16_G04	NA	black	0	0	5.607
MGH54_P16_G05	NA	black	0	0	0
MGH54_P16_G06	0.196542467963	red	1	4.7347	4.7228
MGH54_P16_G07	0.395148563735	red	1	4.2361	5.3032
MGH54_P16_G08	NA	black	0	0	4.1452
MGH54_P16_G09	NA	black	0	0	0
MGH54_P16_G10	NA	black	0	0	5.1645
MGH54_P16_G11	-0.117403035545	red	1	2.7146	4.6915
MGH54_P16_G12	NA	black	0	2.0772	0
MGH54_P16_H01	NA	black	0	3.4624	0
MGH54_P16_H02	-0.411554911982	red	1	2.4505	5.2226
MGH54_P16_H03	2.20763560405	black	0	1.7816	0.60597
MGH54_P16_H04	NA	black	0	0.48646	0
MGH54_P16_H05	NA	black	0	0	4.3587
MGH54_P16_H06	NA	black	0	5.4638	0
MGH54_P16_H07	-0.295174277617	red	1	3.8377	3.3803
MGH54_P16_H08	NA	black	0	0	6.4836
MGH54_P16_H09	NA	black	0	0	4.8777
MGH54_P16_H10	NA	black	0	4.2069	0
MGH54_P16_H11	NA	black	0	3.4009	0
MGH54_P16_H12	NA	black	0	3.7144	0
MGH54_P17_A01	NA	black	0	0	0
MGH54_P17_A02	NA	black	0	0	5.4399
MGH54_P17_A03	NA	black	0	2.9067	0
MGH54_P17_A04	NA	black	0	1.7058	0
MGH54_P17_A05	0.295772592618	red	1	3.802	5.7422
MGH54_P17_A06	NA	black	0	0	0
MGH54_P17_A07	NA	black	0	2.9516	0
MGH54_P17_A08	NA	black	0	0	0
MGH54_P17_A09	0.664514314343	red	1	4.2061	6.0539
MGH54_P17_A10	NA	black	0	0	6.6578
MGH54_P17_A11	0.476187948528	red	1	4.0453	5.8276
MGH54_P17_A12	NA	black	0	0	6.3837
MGH54_P17_B01	-0.110516915334	red	1	4.6711	4.2714
MGH54_P17_B02	NA	black	0	2.8065	0
MGH54_P17_B03	1.1948418557	green3	2	4.9823	5.9968
MGH54_P17_B05	NA	black	0	0	0
MGH54_P17_B06	NA	black	0	4.843	0
MGH54_P17_B07	NA	black	0	0	4.0082
MGH54_P17_B08	0.0800588645816	red	1	3.4747	6.2304
MGH54_P17_B09	NA	black	0	3.1265	0
MGH54_P17_B10	NA	black	0	0	5.9651
MGH54_P17_B11	NA	black	0	2.6681	0
MGH54_P17_B12	NA	black	0	0	1.4346
MGH54_P17_C02	NA	black	0	3.1813	0
MGH54_P17_C03	0.681866879191	red	1	2.4993	2.0583
MGH54_P17_C04	NA	black	0	0	0
MGH54_P17_C05	NA	black	0	0	3.1849
MGH54_P17_C06	NA	black	0	3.3496	0
MGH54_P17_C07	NA	black	0	3.751	0
MGH54_P17_C08	NA	black	0	0	6.0442
MGH54_P17_C09	NA	black	0	0	5.3058
MGH54_P17_C10	0.185207619772	red	1	4.0388	4.9076
MGH54_P17_C11	NA	black	0	0	4.564
MGH54_P17_C12	NA	black	0	0	0
MGH54_P17_D01	NA	black	0	2.1868	0
MGH54_P17_D02	NA	black	0	0	5.8614
MGH54_P17_D03	0.349232647855	red	1	3.9556	5.5643
MGH54_P17_D04	NA	black	0	0	0
MGH54_P17_D05	NA	black	0	0	0
MGH54_P17_D06	NA	black	0	0	5.2111
MGH54_P17_D07	-2.50870223099	black	0	1.8836	7.4977
MGH54_P17_D09	-0.70094045117	red	1	2.0576	5.3547
MGH54_P17_D10	NA	black	0	0	5.7996
MGH54_P17_D12	NA	black	0	0	2.5153
MGH54_P17_E01	NA	black	0	3.8034	0
MGH54_P17_E02	0.709039896639	red	1	4.7032	5.5171
MGH54_P17_E03	NA	black	0	0	0
MGH54_P17_E04	NA	black	0	0	0
MGH54_P17_E05	NA	black	0	0	0
MGH54_P17_E06	NA	black	0	0	6.0344
MGH54_P17_E07	NA	black	0	0	0
MGH54_P17_E08	NA	black	0	0	5.9089
MGH54_P17_E09	NA	black	0	0	0
MGH54_P17_E10	1.06195821556	green3	2	2.3978	1.025
MGH54_P17_E11	1.65167527551	black	0	4.838	6.8679
MGH54_P17_E12	-1.76597184895	black	0	0.81967	5.5651
MGH54_P17_F01	0.510111516024	red	1	5.1118	5.059
MGH54_P17_F02	NA	black	0	0	0
MGH54_P17_F03	-0.732900441905	red	1	2.6026	6.2011
MGH54_P17_F04	NA	black	0	0	0
MGH54_P17_F05	0.0608046753741	red	1	2.2966	4.11
MGH54_P17_F07	NA	black	0	0	0
MGH54_P17_F08	NA	black	0	0	0
MGH54_P17_F09	NA	black	0	0	5.9103
MGH54_P17_F10	NA	black	0	4.6075	0
MGH54_P17_F11	NA	black	0	0	4.8181
MGH54_P17_F12	NA	black	0	0	1.6439
MGH54_P17_G01	-0.208454957046	red	1	5.9556	4.3786
MGH54_P17_G02	NA	black	0	0	0
MGH54_P17_G03	NA	black	0	0	5.4648
MGH54_P17_G04	NA	black	0	2.9888	0
MGH54_P17_G05	-0.276528399516	red	1	2.7696	5.2952
MGH54_P17_G06	NA	black	0	0	5.3112
MGH54_P17_G07	NA	black	0	0	4.8658
MGH54_P17_G08	NA	black	0	0	6.3833
MGH54_P17_G09	NA	black	0	0	0
MGH54_P17_G10	NA	black	0	3.7097	0
MGH54_P17_G11	NA	black	0	0	0
MGH54_P17_G12	NA	black	0	0	1.3879
MGH54_P17_H01	NA	black	0	4.9476	0
MGH54_P17_H02	NA	black	0	0	6.1805
MGH54_P17_H05	NA	black	0	0	0
MGH54_P17_H06	NA	black	0	0	1.1349
MGH54_P17_H07	NA	black	0	0	0
MGH54_P17_H08	NA	black	0	0	5.8653
MGH54_P17_H09	NA	black	0	0	5.24
MGH54_P17_H10	NA	black	0	0	5.9706
MGH54_P17_H11	NA	black	0	4.84	0
MGH54_P17_H12	NA	black	0	2.6093	0
MGH54_P6_A01	NA	black	0	0	5.7692
MGH54_P6_A02	NA	black	0	2.7708	0
MGH54_P6_A03	NA	black	0	0	0
MGH54_P6_A04	NA	black	0	0	0
MGH54_P6_A05	-0.330616649585	red	1	2.7937	5.5199
MGH54_P6_A06	NA	black	0	2.3604	0
MGH54_P6_A07	NA	black	0	0	0
MGH54_P6_A08	-0.195258576253	red	1	2.9723	5.3987
MGH54_P6_A09	NA	black	0	4.6697	0
MGH54_P6_A10	NA	black	0	0	5.8972
MGH54_P6_A11	NA	black	0	0	4.9213
MGH54_P6_A12	-0.557071140427	red	1	2.8659	6.4444
MGH54_P6_B01	NA	black	0	1.7811	0
MGH54_P6_B02	0.519753427328	red	1	4.1179	5.8123
MGH54_P6_B03	1.19641059462	green3	2	5.1101	5.891
MGH54_P6_B04	-0.035377667247	red	1	3.318	3.519
MGH54_P6_B05	-0.203665783067	red	1	2.9533	5.3894
MGH54_P6_B06	NA	black	0	0	4.8313
MGH54_P6_B07	-1.50619611726	black	0	4.6027	2.2783
MGH54_P6_B08	NA	black	0	1.8375	0
MGH54_P6_B09	-0.314482033462	red	1	2.3923	4.9549
MGH54_P6_B10	NA	black	0	0	5.6256
MGH54_P6_B11	NA	black	0	0	4.4737
MGH54_P6_B12	NA	black	0	0	1.9264
MGH54_P6_C01	NA	black	0	0	4.8788
MGH54_P6_C02	0.204976294233	red	1	3.6488	5.8403
MGH54_P6_C03	NA	black	0	0	0
MGH54_P6_C04	0.251598710649	red	1	4.225	4.9683
MGH54_P6_C06	NA	black	0	0	5.5257
MGH54_P6_C07	NA	black	0	0	6.041
MGH54_P6_C08	0.100117608164	red	1	3.9304	4.7007
MGH54_P6_C09	NA	black	0	0	4.2648
MGH54_P6_C10	NA	black	0	2.4735	0
MGH54_P6_C11	NA	black	0	0	5.9148
MGH54_P6_C12	0.0623030426142	red	1	3.0837	2.0628
MGH54_P6_D01	0.669096614358	red	1	5.2397	5.2048
MGH54_P6_D02	-0.0572822460088	red	1	4.2578	4.2807
MGH54_P6_D03	NA	black	0	0	0
MGH54_P6_D04	NA	black	0	0	6.0625
MGH54_P6_D05	NA	black	0	0	0
MGH54_P6_D07	NA	black	0	4.2351	0
MGH54_P6_D08	NA	black	0	2.5226	0
MGH54_P6_D09	NA	black	0	0	0
MGH54_P6_D10	NA	black	0	0	0
MGH54_P6_D11	NA	black	0	0	0
MGH54_P6_D12	NA	black	0	0	2.6138
MGH54_P6_E02	NA	black	0	0	5.4132
MGH54_P6_E03	0.426027866323	red	1	2.7753	1.7364
MGH54_P6_E04	NA	black	0	0	5.8885
MGH54_P6_E05	NA	black	0	0	6.7455
MGH54_P6_E07	NA	black	0	0	0
MGH54_P6_E08	0.292508944149	red	1	4.5192	4.9224
MGH54_P6_E09	NA	black	0	0	0
MGH54_P6_E10	NA	black	0	0	0
MGH54_P6_E11	NA	black	0	3.9897	0
