Cell_name	Zvalue	Color	Cluster	NANOG	STAT3
MGH36_P4_A10	-0.00266886242598	red	1	0.89142	0.27262
MGH36_P6_B02	-0.241576967254	red	1	0.73812	4.0744
MGH53_P4_G06	0.808348038447	red	1	0.24975	0.26544
MGH36_P8_F01	NA	black	0	0	2.2869
MGH36_P9_F06	-0.125762071585	red	1	0.81311	3.8066
MGH36_P5_H04	0.895859790662	red	1	0.19912	0.20789
MGH53_P1_B03	NA	black	0	0	2.4597
MGH53_P2_D05	NA	black	0	0	3.2415
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	0.551156044815	red	1	1.8307	3.2377
MGH53_P4_C02	0.133582524275	red	1	0.42975	1.7908
MGH53_P4_F04	-0.278749893521	red	1	0.78994	4.8984
MGH36_P3_D10	0.188176904247	red	1	0.74846	0.16221
MGH54_P2_F04	NA	black	0	0	0.22404
MGH36_P6_A03	-0.779439824749	red	1	0.21909	3.8742
MGH53_P1_F07	-0.218727247479	red	1	1.0969	0.60217
MGH36_P5_H08	0.333399361303	red	1	0.36737	1.2576
MGH54_P2_A04	-0.644644160008	red	1	0.46258	4.2833
MGH53_P4_E11	-0.701229469396	red	1	0.23634	3.7484
MGH53_P2_G03	-0.157041304218	red	1	0.46989	2.754
MGH36_P3_F04	0.0179722562858	red	1	0.87578	0.34823
MGH54_P2_B02	-0.808136504054	red	1	1.5931	0.51197
MGH36_P5_C07	0.46073427727	red	1	0.54201	0.17887
MGH53_P2_E02	NA	black	0	0	1.7545
MGH54_P2_F09	-0.0526943687022	red	1	0.92448	0.090853
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	-1.3812950198	red	1	0.13225	4.7992
MGH53_P2_H09	0.77170069712	red	1	0.31962	0.123
MGH54_P2_F07	-0.32266168048	red	1	1.1177	0.10702
MGH36_P5_D10	-1.56796433904	black	0	0.19409	5.3642
MGH54_P2_F11	NA	black	0	0.3173	0
MGH53_P2_H04	NA	black	0	0	3.4908
MGH36_P6_F09	NA	black	0	0	4.1458
MGH36_P9_F05	NA	black	0	0	3.2547
MGH36_P8_G11	-0.131096398888	red	1	0.5008	2.7011
MGH54_P2_A07	0.133327778463	red	1	0.78827	0.18903
MGH36_P7_H06	NA	black	0	0	0.067639
MGH53_P1_A01	-1.23593923165	red	1	0.042644	4.3062
MGH53_P1_A02	NA	black	0	0	4.2212
MGH54_P2_E07	-0.386955383057	red	1	1.326	0.88206
MGH53_P4_F07	NA	black	0	0.77146	0
MGH53_P2_C05	NA	black	0	0.75104	0
MGH53_P4_H07	-0.723985289025	red	1	0.47923	4.5999
MGH53_P2_C06	-0.614890718087	red	1	0.6397	5.2247
MGH36_P3_F03	NA	black	0	0	3.2575
MGH36_P2_A10	-0.369181487941	red	1	0.54992	3.6984
MGH53_P4_E03	0.334064572387	red	1	1.3567	3.4805
MGH36_P9_D12	NA	black	0	0	1.7655
MGH54_P2_H03	0.975284278192	red	1	0.17887	0.086784
MGH36_P4_D06	NA	black	0	0.44784	0
MGH53_P2_B03	0.405412687836	red	1	0.27262	1.2197
MGH53_P4_F03	-0.0323151768336	red	1	0.86948	3.1048
MGH36_P10_E09	NA	black	0	0	3.5434
MGH53_P1_G02	NA	black	0	0.79244	0
MGH54_P2_A02	-0.150242413443	red	1	1.0279	0.54201
MGH36_P3_A07	0.707642430183	red	1	0.37184	0.10434
MGH53_P4_E12	0.172421599525	red	1	0.75531	0.25701
MGH54_P2_A03	NA	black	0	0	2.764
MGH53_P4_E10	-0.396443105216	red	1	0.43189	3.4378
MGH54_P2_D08	0.421811817531	red	1	0.55876	0.26424
MGH36_P8_A02	NA	black	0	0	2.8746
MGH54_P2_B07	-0.430474958561	red	1	0.43403	3.5445
MGH53_P1_B10	NA	black	0	0	0.11503
MGH53_P2_F08	-0.0827701519573	red	1	0.84238	3.6284
MGH36_P10_A01	0.127622883468	red	1	1.2922	2.7989
MGH36_P10_F01	-0.299969134133	red	1	0.34142	3.0023
MGH53_P4_G03	-0.502784859462	red	1	0.57725	4.3364
MGH53_P1_F12	0.345028670333	red	1	0.56657	0.60597
MGH36_P4_B03	-0.580333376197	red	1	0.41034	3.9081
MGH54_P2_C07	NA	black	0	0	3.2753
MGH53_P1_B02	-0.0626920932645	red	1	0.96125	0.77231
MGH54_P2_D05	-0.210455841044	red	1	1.0503	0.24853
MGH53_P2_C08	-0.0546735085701	red	1	0.89685	4.1467
MGH53_P4_H09	0.15206141778	red	1	0.7433	0.69599
MGH36_P8_H02	-0.0353219978194	red	1	0.59837	2.3981
MGH36_P10_H10	0.120094368386	red	1	0.80323	0.0028825
MGH53_P1_A12	-0.376785713953	red	1	0.57143	3.8123
MGH36_P8_F08	NA	black	0	0	0.53207
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	0.363810720653	red	1	0.60122	0.28924
MGH53_P2_H08	NA	black	0	0	1.7515
MGH36_P4_A09	0.451782525034	red	1	0.55483	0.13881
MGH53_P4_C08	-0.00442568163199	red	1	0.89142	0.18142
MGH36_P5_E04	0.0744168283758	red	1	1.0321	3.382
MGH53_P2_A07	0.226969265791	red	1	1.0786	5.0291
MGH54_P2_G10	NA	black	0	0	0.76553
MGH36_P7_E06	-0.949557544347	red	1	0.49876	5.403
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	0.292378686198	red	1	0.66721	0.20038
MGH36_P8_F06	NA	black	0	0	2.648
MGH36_P1_G11	1.20783474891	red	1	0.02432	0.041243
MGH53_P1_F02	NA	black	0	0	2.1512
MGH54_P2_D10	0.0650167964643	red	1	0.68437	1.7895
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0	3.4144
MGH53_P4_B03	-0.66845419799	red	1	0.45733	4.3332
MGH53_P1_F10	-0.0948834957366	red	1	0.7866	3.2611
MGH53_P4_B05	0.343390911414	red	1	0.60692	0.36849
MGH53_P2_B08	-0.178046477082	red	1	0.70752	3.4542
MGH36_P3_B06	NA	black	0	0.28096	0
MGH36_P10_C02	NA	black	0	0	3.7447
MGH36_P2_E05	-0.735337658046	red	1	0.27381	3.9114
MGH54_P2_G09	0.917656066799	red	1	0.19535	0.16864
MGH54_P2_D12	NA	black	0	0	0.22527
MGH53_P2_H02	0.53553099477	red	1	0.27143	0.8953
MGH36_P8_F11	NA	black	0	0	0.17249
MGH53_P2_A10	NA	black	0	0	1.4704
MGH54_P2_E09	0.647512122042	red	1	0.34823	0.37962
MGH36_P3_H06	0.454935877411	red	1	0.48336	0.51299
MGH36_P5_D05	0.0665645849487	red	1	0.83835	0.19283
MGH54_P2_A11	0.955599227602	red	1	0.18777	0.10434
MGH54_P2_G04	0.998757219666	red	1	0.15186	0.11503
MGH36_P6_C01	NA	black	0	0.99711	0
MGH53_P2_E06	-0.143591555864	red	1	0.8504	4.5432
MGH53_P1_E01	NA	black	0	0.30685	0
MGH36_P1_B01	0.727510747311	red	1	0.10702	0.78325
MGH54_P2_H04	NA	black	0	0.79161	0
MGH36_P2_C05	NA	black	0	0	3.9732
MGH36_P6_H05	NA	black	0	0	4.1121
MGH36_P10_E06	NA	black	0	0.57628	0
MGH54_P2_F03	NA	black	0	0	0
MGH36_P4_B10	0.898584951489	red	1	0.20163	0.19409
MGH54_P2_F02	NA	black	0	0	3.0086
MGH36_P2_E11	0.411212097779	red	1	0.58496	0.13881
MGH54_P2_D11	-0.35633470302	red	1	0.32423	3.1204
MGH54_P2_G01	0.375494062212	red	1	0.34483	1.177
MGH36_P9_D02	NA	black	0	0	2.8174
MGH54_P2_E06	-0.132544419938	red	1	0.23389	2.5046
MGH54_P16_F12	-0.0991029733403	red	1	0.52807	2.6121
MGH53_P5_C12	NA	black	0	0	0.53207
MGH54_P12_C10	NA	black	0	0.61542	0
MGH54_P16_F02	-0.00909491843671	red	1	0.93584	1.7307
MGH54_P11_C11	NA	black	0	0	0.098958
MGH53_P1_E03	3.35075844222	black	0	4.5624	3.8798
MGH54_P15_D06	NA	black	0	0	3.2502
MGH54_P14_F05	-0.519901522019	red	1	0.50589	4.0637
MGH54_P16_A03	-0.488784175635	red	1	0.33914	3.48
MGH53_P4_G11	0.862538898675	red	1	0.24489	0.14535
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0.29042	0
MGH54_P10_G04	0.406643874138	red	1	0.34369	1.0909
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0.57046	0
MGH53_P4_F06	-0.046684015099	red	1	0.92144	0.13356
MGH53_P7_F07	NA	black	0	1.6388	0
MGH53_P11_F06	0.869743248871	red	1	0.24975	0.11103
MGH53_P5_G02	NA	black	0	0	4.8963
MGH53_P1_F09	0.132465484054	red	1	1.1667	3.1104
MGH53_P11_H03	NA	black	0	0	4.2395
MGH53_P10_D11	NA	black	0	0	5.0138
MGH53_P1_A10	0.0425956951318	red	1	1.0328	2.8532
MGH53_P4_B12	-6.44962997394	black	0	4.9819	0.045443
MGH53_P5_H09	0.12097920409	red	1	1.0215	4.8863
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	3.2469
MGH53_P1_C02	0.774764092681	red	1	0.30217	0.17887
MGH53_P10_F11	NA	black	0	1.2104	0
MGH53_P1_E02	NA	black	0	0	0.56462
MGH53_P1_D07	NA	black	0	0	0.2916
MGH53_P6_B01	NA	black	0	0	5.3557
MGH53_P2_G04	-0.780051878098	red	1	0.54597	5.1602
MGH53_P1_C05	NA	black	0	0	4.2389
MGH53_P2_G09	-0.177025720742	red	1	1.03	0.3115
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	4.7156
MGH53_P10_H03	NA	black	0	0.75531	0
MGH53_P11_F08	NA	black	0	0.32769	0
MGH54_P7_F12	NA	black	0	0	3.9278
MGH53_P8_F03	0.387361754186	red	1	1.8805	2.9241
MGH53_P11_A07	0.761145212667	red	1	0.27501	0.30685
MGH53_P6_B11	NA	black	0	0.28688	0
MGH53_P4_C07	-0.212009151853	red	1	1.2098	1.2054
MGH53_P6_H06	-1.58853294055	black	0	0.35952	6.2253
MGH36_P1_A01	NA	black	0	0	5.1066
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	-1.42238023662	red	1	0.12035	4.8359
MGH36_P1_A04	0.378745717303	red	1	0.10836	1.4699
MGH36_P1_A05	-0.737519212165	red	1	0.4489	4.5011
MGH36_P1_A06	NA	black	0	0	4.7378
MGH36_P1_A08	-0.365322304688	red	1	0.42868	3.3377
MGH36_P1_A10	NA	black	0	0.35389	0
MGH36_P1_A12	0.685720547894	red	1	0.39616	0.067639
MGH36_P1_B02	-0.321125487076	red	1	0.21785	2.9048
MGH36_P1_B03	-0.402261069471	red	1	0.50792	3.6714
MGH36_P1_B04	-0.168907548178	red	1	0.44042	2.7575
MGH36_P1_B06	-0.814127367687	red	1	0.22033	3.9491
MGH36_P1_B07	0.0497070431906	red	1	0.97966	4.5258
MGH36_P1_B08	-0.635356970136	red	1	0.34255	3.8557
MGH36_P1_B09	-0.688825091557	red	1	0.23634	3.7219
MGH36_P1_B10	NA	black	0	0	0.48543
MGH36_P1_B11	NA	black	0	0	5.4514
MGH36_P1_B12	0.125161810776	red	1	0.44148	1.8086
MGH36_P1_C01	0.944107450946	red	1	0.12697	0.29866
MGH36_P1_C03	1.07678155067	red	1	0.097611	0.10299
MGH36_P1_C05	0.923263127172	red	1	0.19661	0.15186
MGH36_P1_C06	-1.15613150638	red	1	0.1137	4.3418
MGH36_P1_C07	-0.787353236192	red	1	0.23511	3.9287
MGH36_P1_C08	-5.16145415017	black	0	4.3445	0.13881
MGH36_P1_C09	-0.127225929131	red	1	0.36177	2.5649
MGH36_P1_C10	-0.792781832057	red	1	0.59359	5.5562
MGH36_P1_C11	-2.23556469054	black	0	2.4823	0.17887
MGH36_P1_D01	-0.133293629443	red	1	0.56267	2.7945
MGH36_P1_D02	NA	black	0	0	0.38957
MGH36_P1_D03	NA	black	0	0	3.265
MGH36_P1_D04	0.341083846627	red	1	0.2916	1.3545
MGH36_P1_D06	0.143075684735	red	1	0.44255	1.748
MGH36_P1_D07	NA	black	0	0	3.0812
MGH36_P1_D08	-1.33121902023	red	1	0.12829	4.6968
MGH36_P1_D09	-0.465434048662	red	1	0.48749	3.8144
MGH36_P1_D11	NA	black	0	0	0.1177
MGH36_P1_F01	-1.47335102625	black	0	0.13619	4.978
MGH36_P1_F02	-0.80481416274	red	1	0.32077	4.2041
MGH36_P1_F03	0.589733818904	red	1	0.46989	0.044044
MGH36_P1_F04	-0.0322784983223	red	1	0.15316	2.2678
MGH36_P1_F05	0.112269151798	red	1	0.21909	1.9575
MGH36_P1_F06	NA	black	0	0	4.8329
MGH36_P1_F08	-0.293628666781	red	1	0.16479	2.7985
MGH36_P1_F11	5.98542574634	black	0	5.6303	4.4908
MGH36_P1_F12	0.878718205812	red	1	0.26903	0.020058
MGH36_P1_G02	-1.40563803167	red	1	0.1865	5.025
MGH36_P1_G03	-0.392347346048	red	1	0.35389	3.2621
MGH36_P1_G04	-1.07429733872	red	1	0.34369	4.9308
MGH36_P1_G07	-1.4274713542	red	1	0.15186	4.9465
MGH36_P1_G08	NA	black	0	0	1.2314
MGH36_P1_G09	-0.605030073976	red	1	0.041243	3.2438
MGH36_P1_H02	NA	black	0	0	0.034216
MGH36_P1_H03	0.388764306862	red	1	0.29866	1.2209
MGH36_P1_H04	-0.193401923313	red	1	0.55483	3.0261
MGH36_P1_H05	NA	black	0	0	0.053806
MGH36_P1_H06	0.842872198436	red	1	0.25942	0.14666
MGH36_P1_H07	-0.897381608949	red	1	0.41359	4.791
MGH36_P1_H09	-0.58088310292	red	1	0.16607	3.371
MGH36_P1_H10	NA	black	0	0	0.10836
MGH36_P3_A01	-0.627804116849	red	1	1.4573	0.56657
MGH36_P3_A02	NA	black	0	0.71194	0
MGH36_P3_A03	0.439828806332	red	1	1.5592	3.358
MGH36_P3_A04	0.735464032396	red	1	0.27381	0.3774
MGH36_P3_A05	-0.745188687655	red	1	0.35276	4.1604
MGH36_P3_A08	-0.5598357564	red	1	1.3103	0.22774
MGH36_P3_A09	0.245127974425	red	1	0.68527	0.40272
MGH36_P3_A10	NA	black	0	0	4.3201
MGH36_P3_A12	-0.872507559572	red	1	0.21785	4.0636
MGH36_P3_B02	-0.573258694919	red	1	0.51602	4.2873
MGH36_P3_B03	NA	black	0	0	0.21909
MGH36_P3_B04	0.0019166829947	red	1	0.9313	3.1806
MGH36_P3_B09	-2.67435226467	black	0	2.8078	0.21039
MGH36_P3_B10	0.611122613105	red	1	1.3471	4.6207
MGH36_P3_B11	0.247230061826	red	1	1.1164	4.481
MGH36_P3_B12	NA	black	0	0	5.0323
MGH36_P3_C01	NA	black	0	0	0.36401
MGH36_P3_C03	NA	black	0	0	0.15575
MGH36_P3_C04	0.470174276812	red	1	0.35952	0.87106
MGH36_P3_C05	0.383439874196	red	1	0.48954	0.77231
MGH36_P3_C06	-0.652864873514	red	1	0.17887	3.5349
MGH36_P3_C08	0.62452402645	red	1	1.2528	5.5409
MGH36_P3_C11	-0.583614523631	red	1	0.62854	4.9999
MGH36_P3_C12	0.174933889416	red	1	1.148	3.5068
MGH36_P3_D01	NA	black	0	0	3.62
MGH36_P3_D02	NA	black	0	0	2.3887
MGH36_P3_D03	NA	black	0	0	0
MGH36_P3_D04	-0.309725613923	red	1	0.77737	4.9654
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	0.0223854461949	red	1	0.98768	2.7805
MGH36_P3_D09	-0.790430880817	red	1	0.26544	4.0121
MGH36_P3_D11	-0.0535611139652	red	1	0.8984	4.1649
MGH36_P3_E02	NA	black	0	0	0.52306
MGH36_P3_E04	NA	black	0	0	1.0222
MGH36_P3_E05	0.792892531779	red	1	0.24732	0.3115
MGH36_P3_E06	0.909127746216	red	1	0.18396	0.22157
MGH36_P3_E07	-3.34407849967	black	0	3.2978	0.24489
MGH36_P3_E08	-0.0938758301695	red	1	0.88753	4.6439
MGH36_P3_E09	0.0380377167286	red	1	0.72072	1.9287
MGH36_P3_E10	0.628635729518	red	1	0.33457	0.48027
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	-0.293342470701	red	1	0.20414	2.8323
MGH36_P3_F01	NA	black	0	0	0.16993
MGH36_P3_F02	NA	black	0	0	0.42223
MGH36_P3_F05	-0.201122074701	red	1	0.78743	4.2357
MGH36_P3_F06	-0.195005817948	red	1	1.1744	1.1641
MGH36_P3_F07	-0.227666480677	red	1	1.1017	0.57725
MGH36_P3_F08	0.323920609705	red	1	0.64155	0.21537
MGH36_P3_F09	NA	black	0	0.99567	0
MGH36_P3_F10	-3.97916299543	black	0	3.584	0.12565
MGH36_P3_F11	-0.0714631154755	red	1	0.9486	0.3584
MGH36_P3_F12	NA	black	0	0	4.8329
MGH36_P3_G01	-0.0807214047247	red	1	0.95606	0.35727
MGH36_P3_G02	-0.721877661545	red	1	0.57143	5.1266
MGH36_P3_G03	0.346245814633	red	1	0.514	0.8335
MGH36_P3_G04	0.255984602904	red	1	0.68437	0.31962
MGH36_P3_G05	NA	black	0	0	4.2587
MGH36_P3_G06	-0.418881132226	red	1	1.2726	0.56949
MGH36_P3_G08	0.475860484126	red	1	0.50284	0.33457
MGH36_P3_G09	-0.646615214859	red	1	0.45733	4.2678
MGH36_P3_G10	-0.0837213144061	red	1	1.0419	1.3248
MGH36_P3_G11	-0.658601709491	red	1	0.20789	3.6003
MGH36_P3_G12	-0.00472366523302	red	1	2.7027	2.344
MGH36_P3_H03	-0.219618901879	red	1	0.74932	4.0136
MGH36_P3_H04	-0.230879643704	red	1	0.6581	3.5234
MGH36_P3_H05	-0.0307690145497	red	1	0.8922	3.4433
MGH36_P3_H07	0.075761220931	red	1	1.0022	4.1604
MGH36_P3_H08	-0.000875635299289	red	1	0.81885	2.2546
MGH36_P3_H11	0.293880685784	red	1	1.2271	3.8189
MGH36_P3_H12	0.0714914391281	red	1	0.99422	4.5478
MGH36_P4_A01	0.786057101634	red	1	0.27739	0.23389
MGH36_P4_A02	0.0283131356512	red	1	1.1257	2.4683
MGH36_P4_A03	-0.040435637752	red	1	0.91073	4.2267
MGH36_P4_A04	1.13218903828	red	1	0.045443	0.12961
MGH36_P4_A06	NA	black	0	0.70487	0
MGH36_P4_A07	-0.306404910953	red	1	0.42331	3.1515
MGH36_P4_A08	NA	black	0	0	0.51904
MGH36_P4_A11	-0.588398323079	red	1	1.4906	0.75873
MGH36_P4_A12	NA	black	0	0.88908	0
MGH36_P4_B02	-0.453597054051	red	1	1.224	0.18777
MGH36_P4_B04	-2.70168490356	black	0	2.8779	0.26784
MGH36_P4_B05	-0.361458608893	red	1	0.42868	3.3262
MGH36_P4_B06	0.362712007206	red	1	0.514	0.76384
MGH36_P4_B08	-0.842097730447	red	1	0.39616	4.5679
MGH36_P4_B09	0.690926495035	red	1	0.2857	0.45838
MGH36_P4_B12	0.198400929013	red	1	0.74502	0.086784
MGH36_P4_C02	0.19268231472	red	1	0.7433	0.19409
MGH36_P4_C03	NA	black	0	0.37851	0
MGH36_P4_C04	NA	black	0	0.60692	0
MGH36_P4_C05	0.581413048812	red	1	0.46153	0.12168
MGH36_P4_C06	-0.917835749108	red	1	0.23756	4.2105
MGH36_P4_C07	-0.556431625827	red	1	0.54597	4.3734
MGH36_P4_C08	NA	black	0	0.4813	0
MGH36_P4_C10	0.416868790383	red	1	0.56267	0.26424
MGH36_P4_C11	-1.58741438381	black	0	0.31615	5.9726
MGH36_P4_C12	-0.218810417233	red	1	0.83512	5.0826
MGH36_P4_D01	0.0901005593322	red	1	0.8213	0.15963
MGH36_P4_D02	-0.488349813966	red	1	0.57821	4.2851
MGH36_P4_D05	0.19931195707	red	1	0.73466	0.25217
MGH36_P4_D07	-0.185177466512	red	1	1.0201	0.11103
MGH36_P4_D08	-0.827120787221	red	1	0.60407	5.7746
MGH36_P4_D09	0.481701489942	red	1	0.53506	0.123
MGH36_P4_D10	0.306878371143	red	1	1.1583	4.4757
MGH36_P4_D11	-0.238452537158	red	1	0.82456	5.0833
MGH36_P4_D12	0.697346678684	red	1	0.40163	0.0028825
MGH36_P4_E01	-0.283271012125	red	1	0.51501	3.2738
MGH36_P4_E02	-0.875105547967	red	1	0.20414	4.0346
MGH36_P4_E04	NA	black	0	0	0.51096
MGH36_P4_E06	-0.339672516563	red	1	0.60502	3.8034
MGH36_P4_E07	NA	black	0	0.98331	0
MGH36_P4_E08	-0.801539298738	red	1	1.5504	0.41359
MGH36_P4_E09	0.0102242463914	red	1	0.96938	5.9541
MGH36_P4_E10	NA	black	0	0.72421	0
MGH36_P4_E11	NA	black	0	0.80074	0
MGH36_P4_E12	-0.447940884625	red	1	1.3635	0.79826
MGH36_P4_F01	NA	black	0	0	0.11503
MGH36_P4_F02	3.36249295336	black	0	4.1407	4.0491
MGH36_P4_F03	-0.19146190159	red	1	0.29278	2.6787
MGH36_P4_F04	NA	black	0	0	4.0369
MGH36_P4_F05	-0.553725080736	red	1	0.58015	4.5507
MGH36_P4_F06	-0.0966276527423	red	1	0.89142	4.7944
MGH36_P4_F07	NA	black	0	0	2.727
MGH36_P4_F09	NA	black	0	0	0.16864
MGH36_P4_F10	0.675506764249	red	1	0.39287	0.11636
MGH36_P4_F11	0.481378123388	red	1	0.52105	0.21039
MGH36_P4_F12	0.0582648956311	red	1	0.68527	1.8351
