Cell_name	Zvalue	Color	Cluster	SSTR2	TP53
MGH36_P2_E11	NA	black	0	0	0
MGH54_P2_D11	NA	black	0	0	0
MGH54_P2_G01	NA	black	0	0	2.9477
MGH36_P9_D02	NA	black	0	0	0
MGH54_P2_E06	NA	black	0	0	0
MGH54_P16_F12	NA	black	0	0.20664	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	-0.292874731105	red	1	0.44148	3.7387
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0.24975	0
MGH53_P2_A02	NA	black	0	0.1776	0
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	0.47716	0
MGH53_P11_F06	0.729626843259	green3	2	0.17887	1.0321
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0.23879	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0	0
MGH53_P1_C05	NA	black	0	0.69243	0
MGH53_P2_G09	NA	black	0	0.23634	0
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0.36065	0
MGH53_P6_B11	1.07471466182	green3	2	0.20789	0.23511
MGH53_P4_C07	1.04148925192	green3	2	0.22033	0.28688
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	-0.560782805567	red	1	4.8545	2.0275
MGH36_P1_A02	NA	black	0	0	4.8613
MGH36_P1_A03	1.61204124791	green3	2	5.19	4.0651
MGH36_P1_A04	NA	black	0	0	2.4065
MGH36_P1_A05	NA	black	0	4.0343	0
MGH36_P1_A06	2.59810858549	black	0	4.9865	5.0691
MGH36_P1_A08	-0.21870993002	red	1	4.3	2.3567
MGH36_P1_A10	-0.193061614266	red	1	0.24853	3.2981
MGH36_P1_A12	NA	black	0	0.10165	0
MGH36_P1_B02	NA	black	0	0	1.1757
MGH36_P1_B03	-0.187027789116	red	1	1.0628	4.5424
MGH36_P1_B04	0.292669870097	red	1	0.14796	2.0604
MGH36_P1_B06	-0.0667871127074	red	1	0.048236	2.9292
MGH36_P1_B07	NA	black	0	5.4621	0
MGH36_P1_B08	NA	black	0	0	0
MGH36_P1_B09	-1.59906153694	red	1	6.0025	1.3283
MGH36_P1_B10	0.228180722912	red	1	3.1685	3.1304
MGH36_P1_B11	0.568823750913	red	1	0.07861	1.4859
MGH36_P1_B12	-1.05093881823	red	1	4.4621	1.3713
MGH36_P1_C01	2.97790740683	black	0	5.2963	5.1915
MGH36_P1_C03	-3.33178720395	black	0	6.2508	0.073135
MGH36_P1_C05	-1.49582822339	red	1	7.2476	1.6225
MGH36_P1_C06	-0.251067692171	red	1	0.12433	3.4018
MGH36_P1_C07	NA	black	0	0.13356	0
MGH36_P1_C08	NA	black	0	6.2548	0
MGH36_P1_C09	NA	black	0	0	3.6827
MGH36_P1_C10	NA	black	0	2.9375	0
MGH36_P1_C11	NA	black	0	6.4229	0
MGH36_P1_D01	NA	black	0	3.7814	0
MGH36_P1_D02	NA	black	0	0	0.13488
MGH36_P1_D03	NA	black	0	0	4.4639
MGH36_P1_D04	NA	black	0	4.9429	0
MGH36_P1_D06	1.19221036233	green3	2	5.1581	3.6988
MGH36_P1_D07	NA	black	0	0	0
MGH36_P1_D08	NA	black	0	5.9171	0
MGH36_P1_D09	NA	black	0	0.42116	0
MGH36_P1_D11	0.0573292647864	red	1	1.1388	2.2531
MGH36_P1_F01	NA	black	0	0	4.761
MGH36_P1_F02	-2.17978119865	black	0	4.6103	0.088142
MGH36_P1_F03	NA	black	0	0	0
MGH36_P1_F04	1.02665171774	green3	2	6.5107	3.2497
MGH36_P1_F05	NA	black	0	0.123	0
MGH36_P1_F06	3.57663482461	black	0	6.0017	5.2147
MGH36_P1_F08	NA	black	0	0	1.1104
MGH36_P1_F11	NA	black	0	2.6196	0
MGH36_P1_F12	NA	black	0	0	1.9415
MGH36_P1_G02	0.911530065407	green3	2	4.536	3.632
MGH36_P1_G03	NA	black	0	0	4.5592
MGH36_P1_G04	NA	black	0	0	0
MGH36_P1_G07	NA	black	0	3.66	0
MGH36_P1_G08	NA	black	0	0.053806	0
MGH36_P1_G09	NA	black	0	6.0002	0
MGH36_P1_H02	-1.44537276346	red	1	4.2242	0.72857
MGH36_P1_H03	-0.196894167079	red	1	0.04684	3.2385
MGH36_P1_H04	2.59535371117	black	0	5.7131	4.6399
MGH36_P1_H05	-0.965391780769	red	1	3.9276	1.224
MGH36_P1_H06	-1.05446827638	red	1	0.094912	5.6264
MGH36_P1_H07	NA	black	0	0	0.1865
MGH36_P1_H09	NA	black	0	4.527	0
MGH36_P1_H10	NA	black	0	0	2.1194
MGH36_P3_A01	NA	black	0	4.3628	0
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	5.822	0
MGH36_P3_A04	0.00428793659385	red	1	0.98404	2.7135
MGH36_P3_A05	-2.48343553065	black	0	6.5999	0.84077
MGH36_P3_A08	-1.58812801857	red	1	5.828	1.2916
MGH36_P3_A09	NA	black	0	5.7322	0
MGH36_P3_A10	NA	black	0	0	4.9855
MGH36_P3_A12	NA	black	0	4.3694	0
MGH36_P3_B02	NA	black	0	0	2.3945
MGH36_P3_B03	-1.25087387351	red	1	5.7518	1.5519
MGH36_P3_B04	NA	black	0	0	0.33113
MGH36_P3_B09	NA	black	0	0	2.6376
MGH36_P3_B10	NA	black	0	5.9071	0
MGH36_P3_B11	0.280203710543	red	1	1.2191	0.47612
MGH36_P3_B12	-1.16535217953	red	1	4.3449	1.1744
MGH36_P3_C01	NA	black	0	5.2058	0
MGH36_P3_C03	-1.90600077342	red	1	5.325	0.83269
MGH36_P3_C04	NA	black	0	0.26664	0
MGH36_P3_C05	0.743531634738	green3	2	0.38294	0.72596
MGH36_P3_C06	NA	black	0	0	2.319
MGH36_P3_C08	-2.85157494366	black	0	5.9694	0.31034
MGH36_P3_C11	NA	black	0	6.5969	0
MGH36_P3_C12	NA	black	0	4.5689	0
MGH36_P3_D01	NA	black	0	6.1161	0
MGH36_P3_D02	NA	black	0	2.4041	0
MGH36_P3_D03	NA	black	0	0	0.86076
MGH36_P3_D04	0.273251088244	red	1	5.6025	2.8102
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	NA	black	0	4.7209	0
MGH36_P3_D09	0.462633034761	red	1	8.2643	2.726
MGH36_P3_D11	1.28741913196	green3	2	5.3667	3.716
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0	0
MGH36_P3_E05	-1.93810371523	red	1	6.7211	1.2491
MGH36_P3_E06	NA	black	0	0	3.4505
MGH36_P3_E07	NA	black	0	0	2.9685
MGH36_P3_E08	NA	black	0	5.4422	0
MGH36_P3_E09	-3.29912599734	black	0	6.4776	0.20914
MGH36_P3_E10	NA	black	0	1.763	0
MGH36_P3_E11	NA	black	0	5.2726	0
MGH36_P3_E12	0.914559249661	green3	2	0.45628	0.16607
MGH36_P3_F01	NA	black	0	0.13093	0
MGH36_P3_F02	NA	black	0	5.6335	0
MGH36_P3_F05	0.100996190472	red	1	0.32308	2.4787
MGH36_P3_F06	NA	black	0	6.7758	0
MGH36_P3_F07	NA	black	0	5.3398	0
MGH36_P3_F08	0.865062871224	green3	2	5.4194	3.3387
MGH36_P3_F09	NA	black	0	0	0.28806
MGH36_P3_F10	NA	black	0	0.78157	0
MGH36_P3_F11	1.05103489974	green3	2	0.27023	0.18269
MGH36_P3_F12	NA	black	0	5.8574	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	NA	black	0	6.0777	0
MGH36_P3_G03	NA	black	0	0.8213	0
MGH36_P3_G04	NA	black	0	0.12697	0
MGH36_P3_G05	NA	black	0	5.9065	0
MGH36_P3_G06	NA	black	0	6.0777	0
MGH36_P3_G08	-2.57795761125	black	0	6.4071	0.70841
MGH36_P3_G09	1.21794818895	green3	2	3.6187	4.537
MGH36_P3_G10	-3.39449204736	black	0	7.0067	0.36401
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	0.860322608128	green3	2	0.29278	0.58111
MGH36_P3_H03	NA	black	0	6.2335	0
MGH36_P3_H04	0.279554952793	red	1	0.36737	1.9631
MGH36_P3_H05	0.850371818608	green3	2	0.24245	0.67807
MGH36_P3_H07	-2.64893193568	black	0	5.5595	0.26424
MGH36_P3_H08	NA	black	0	0	4.105
MGH36_P3_H11	NA	black	0	0	0.43082
MGH36_P3_H12	NA	black	0	5.9579	0
MGH36_P4_A01	NA	black	0	0.36737	0
MGH36_P4_A02	NA	black	0	0	0.8953
MGH36_P4_A03	-1.44753345726	red	1	5.3031	1.2576
MGH36_P4_A04	NA	black	0	0.20664	0
MGH36_P4_A06	NA	black	0	0	0
MGH36_P4_A07	0.0865180063336	red	1	0.16479	2.5526
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	0.373873716259	red	1	0.29748	1.7638
MGH36_P4_A12	-3.27983590408	black	0	6.9635	0.42331
MGH36_P4_B02	NA	black	0	6.3821	0
MGH36_P4_B04	NA	black	0	5.8707	0
MGH36_P4_B05	NA	black	0	0	2.0837
MGH36_P4_B06	-2.54550814952	black	0	5.4252	0.28096
MGH36_P4_B08	NA	black	0	0	0.23634
MGH36_P4_B09	0.0746972449777	red	1	0.54696	2.497
MGH36_P4_B12	1.15759329024	green3	2	0.13619	0.17632
MGH36_P4_C02	NA	black	0	6.8406	0
MGH36_P4_C03	NA	black	0	0	3.772
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	3.3416
MGH36_P4_C06	NA	black	0	0.57725	0
MGH36_P4_C07	NA	black	0	0.2762	0
MGH36_P4_C08	NA	black	0	5.4522	0
MGH36_P4_C10	NA	black	0	0	5.1489
MGH36_P4_C11	NA	black	0	4.0862	0
MGH36_P4_C12	-0.184062938591	red	1	0.25701	3.276
MGH36_P4_D01	NA	black	0	0.33342	0
MGH36_P4_D02	NA	black	0	0.24245	0
MGH36_P4_D05	0.47774713382	red	1	0.9138	0.50284
MGH36_P4_D07	NA	black	0	7.2762	0
MGH36_P4_D08	0.605708189682	red	1	4.6443	3.2695
MGH36_P4_D09	0.105500230451	red	1	6.2205	2.6376
MGH36_P4_D10	NA	black	0	4.4737	0
MGH36_P4_D11	0.0283294115803	red	1	4.1289	2.6697
MGH36_P4_D12	0.560556109682	red	1	0.20163	1.3929
MGH36_P4_E01	NA	black	0	0	0
MGH36_P4_E02	NA	black	0	6.8868	0
MGH36_P4_E04	NA	black	0	6.1451	0
MGH36_P4_E06	0.228726517074	red	1	0.15834	2.2076
MGH36_P4_E07	0.324023351743	red	1	4.5466	2.9815
MGH36_P4_E08	3.02359047207	black	0	5.3164	5.2164
MGH36_P4_E09	NA	black	0	5.1176	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	-0.447302141749	red	1	5.8417	2.2182
MGH36_P4_E12	NA	black	0	0	0
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	0.0277838687307	red	1	1.0377	2.5457
MGH36_P4_F03	NA	black	0	0.15963	0
MGH36_P4_F04	-3.29476003915	black	0	6.5821	0.25942
MGH36_P4_F05	NA	black	0	5.2368	0
MGH36_P4_F06	NA	black	0	5.7654	0
MGH36_P4_F07	NA	black	0	0.2302	0
MGH36_P4_F09	NA	black	0	0.27143	0
MGH36_P4_F10	NA	black	0	0.14796	0
MGH36_P4_F11	0.987738919274	green3	2	0.18903	0.45207
MGH36_P4_F12	NA	black	0	6.8182	0
MGH36_P4_G01	-0.748655505323	red	1	0.55385	6.0368
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0.2228	0
MGH36_P4_G04	NA	black	0	0	0
MGH36_P4_G05	NA	black	0	0.55189	0
MGH36_P4_G06	-0.615327919894	red	1	0.15963	4.4309
MGH36_P4_G08	NA	black	0	0	2.4875
MGH36_P4_G09	NA	black	0	0.47923	0
MGH36_P4_G10	-2.62972309483	black	0	6.6471	0.7536
MGH36_P4_G11	NA	black	0	0	0.45733
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0.45733	0
MGH36_P4_H04	NA	black	0	0	1.224
MGH36_P4_H05	0.174744745514	red	1	0.1903	2.3268
MGH36_P4_H09	NA	black	0	0	2.5984
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	2.9964
MGH36_P6_A04	NA	black	0	0	0.16479
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	NA	black	0	7.024	0
MGH36_P6_A08	NA	black	0	3.5868	0
MGH36_P6_A09	NA	black	0	0.37962	0
MGH36_P6_A10	NA	black	0	0.13619	0
MGH36_P6_A11	NA	black	0	0	0.31383
MGH36_P6_B03	NA	black	0	0.55778	0
MGH36_P6_B04	NA	black	0	0	0
MGH36_P6_B05	NA	black	0	0	0.81394
MGH36_P6_B06	NA	black	0	0	1.6069
MGH36_P6_B10	NA	black	0	7.1583	0
MGH36_P6_B11	NA	black	0	0	1.6503
MGH36_P6_B12	NA	black	0	0	0
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0.32884	0
MGH36_P6_C04	NA	black	0	4.9042	0
MGH36_P6_C05	NA	black	0	5.7213	0
MGH36_P6_C06	NA	black	0	6.1169	0
MGH36_P6_C07	NA	black	0	6.13	0
MGH36_P6_C08	NA	black	0	0	3.5953
MGH36_P6_C09	-0.303535405364	red	1	2.315	1.2485
MGH36_P6_C11	NA	black	0	0	2.899
MGH36_P6_C12	NA	black	0	0	4.0614
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	5.47	0
MGH36_P6_D04	-0.465409390889	red	1	0.18396	4.0267
MGH36_P6_D05	NA	black	0	0	0.21288
MGH36_P6_D06	-0.628471423967	red	1	6.7111	2.1276
MGH36_P6_D07	NA	black	0	4.8161	0
MGH36_P6_D08	-2.78147950249	black	0	6.0801	0.42008
MGH36_P6_D10	NA	black	0	6.755	0
MGH36_P6_D11	NA	black	0	0.36401	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	1.13203609294	green3	2	4.7657	3.779
MGH36_P6_E05	NA	black	0	0.15445	0
MGH36_P6_E06	NA	black	0	4.6574	0
MGH36_P6_E07	NA	black	0	0.15186	0
MGH36_P6_E08	NA	black	0	6.2635	0
MGH36_P6_E09	NA	black	0	6.1977	0
MGH36_P6_E10	NA	black	0	0	4.3926
MGH36_P6_E11	NA	black	0	0.30918	0
MGH36_P6_E12	NA	black	0	0	0
MGH36_P6_F01	-2.2883882444	black	0	7.3566	1.1596
MGH36_P6_F04	NA	black	0	5.0977	0
MGH36_P6_F06	NA	black	0	6.363	0
MGH36_P6_F07	NA	black	0	0	0.25822
MGH36_P6_F08	NA	black	0	0	0
MGH36_P6_F10	3.78630385717	black	0	6.6736	4.9984
MGH36_P6_F12	NA	black	0	0	0
MGH36_P6_G01	NA	black	0	0.10969	0
MGH36_P6_G02	NA	black	0	7.3715	0
MGH36_P6_G03	NA	black	0	5.9015	0
