Cell_name	Zvalue	Color	Cluster	SP1	STAR
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	0.158240033105	green3	2	0.36289	0.63506
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	0	0
MGH53_P1_E06	NA	black	0	0	0.3471
MGH36_P4_A10	NA	black	0	0	0.50386
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	0.18255056507	green3	2	1.119	0.20664
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0	0.36961
MGH36_P5_H04	NA	black	0	0	0.079975
MGH53_P1_B03	NA	black	0	3.1047	0
MGH53_P2_D05	NA	black	0	0	0
MGH36_P4_G12	0.00322277112126	green3	2	1.4993	0.19156
MGH53_P2_D11	-0.366377061255	green3	2	2.9804	0.57821
MGH53_P4_C02	NA	black	0	0.09356	0
MGH53_P4_F04	NA	black	0	0	0.45207
MGH36_P3_D10	NA	black	0	0	0.44042
MGH54_P2_F04	NA	black	0	0	0.38294
MGH36_P6_A03	NA	black	0	0	0.31615
MGH53_P1_F07	NA	black	0	0.31846	0
MGH36_P5_H08	NA	black	0	0	0.35163
MGH54_P2_A04	NA	black	0	0	0.36961
MGH53_P4_E11	NA	black	0	0	0.48336
MGH53_P2_G03	NA	black	0	0	0.1635
MGH36_P3_F04	NA	black	0	0	0
MGH54_P2_B02	NA	black	0	0	0.81803
MGH36_P5_C07	NA	black	0	0	0.29866
MGH53_P2_E02	-0.111569907749	green3	2	1.7185	0.16092
MGH54_P2_F09	NA	black	0	0	0.27977
MGH36_P3_D05	NA	black	0	0	0.28333
MGH36_P5_F12	NA	black	0	0	0.15834
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0	0.1865
MGH36_P5_D10	NA	black	0	0	0.29042
MGH54_P2_F11	NA	black	0	0.27023	0
MGH53_P2_H04	NA	black	0	0	0.48336
MGH36_P6_F09	NA	black	0	0	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	2.3237	0
MGH54_P2_A07	NA	black	0	0	0.32539
MGH36_P7_H06	NA	black	0	0	0.55385
MGH53_P1_A01	0.661233420275	green3	2	0.066261	0.18142
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	0	0.14666
MGH53_P4_F07	-0.636897215307	red	1	2.9727	0.32539
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	NA	black	0	0.27023	0
MGH36_P3_F03	NA	black	0	0	0.27381
MGH36_P2_A10	NA	black	0	1.224	0
MGH53_P4_E03	NA	black	0	0.21785	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0	0
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	NA	black	0	1.1486	0
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0	0
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0	0
MGH54_P2_D08	NA	black	0	0	0.54498
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0.5888
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	NA	black	0	0	0.32769
MGH36_P10_A01	-0.254784411451	green3	2	2.1535	0.3471
MGH36_P10_F01	NA	black	0	0	0.41576
MGH53_P4_G03	-0.309550355554	green3	2	2.167	0.24853
MGH53_P1_F12	NA	black	0	3.4439	0
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0.20289	0
MGH54_P2_D05	NA	black	0	0	0.20163
MGH53_P2_C08	NA	black	0	2.1332	0
MGH53_P4_H09	NA	black	0	1.3929	0
MGH36_P8_H02	NA	black	0	2.5028	0
MGH36_P10_H10	NA	black	0	0	0.26183
MGH53_P1_A12	NA	black	0	0	0.29042
MGH36_P8_F08	NA	black	0	0	0.18142
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0	0.57337
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0	0.44679
MGH53_P4_C08	NA	black	0	0	0
MGH36_P5_E04	-0.383613172661	green3	2	2.4109	0.3173
MGH53_P2_A07	NA	black	0	0	0.60027
MGH54_P2_G10	NA	black	0	0	0
MGH36_P7_E06	NA	black	0	0	0.45207
MGH36_P9_D04	NA	black	0	0	0.55778
MGH53_P1_C12	NA	black	0	1.5524	0
MGH36_P8_F06	NA	black	0	0	0.13619
MGH36_P1_G11	NA	black	0	0	0.16864
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0	0.084064
MGH53_P4_B03	NA	black	0	0	0.27977
MGH53_P1_F10	NA	black	0	0.41143	0
MGH53_P4_B05	0.102694361344	green3	2	1.2839	0.22897
MGH53_P2_B08	NA	black	0	0	0
MGH36_P3_B06	NA	black	0	0	0.17632
MGH36_P10_C02	NA	black	0	0	0.37962
MGH36_P2_E05	NA	black	0	0	0.08134
MGH54_P2_G09	-1.04076862945	red	1	3.5189	0.23389
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	NA	black	0	0	0.11503
MGH36_P8_F11	NA	black	0	3.1345	0
MGH53_P2_A10	NA	black	0	0	0
MGH54_P2_E09	NA	black	0	0	0.10836
MGH36_P3_H06	NA	black	0	0	0.66266
MGH36_P5_D05	NA	black	0	0	0.35389
MGH54_P2_A11	NA	black	0	0	0.28096
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	NA	black	0	0	0.48027
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	0.313272386887	green3	2	0.67987	0.31846
MGH36_P1_B01	NA	black	0	0	0.2558
MGH54_P2_H04	NA	black	0	0	0.28333
MGH36_P2_C05	NA	black	0	0	0.092207
MGH36_P6_H05	NA	black	0	0.084064	0
MGH36_P10_E06	NA	black	0	0	0.16479
MGH54_P2_F03	0.293850527334	green3	2	0.77062	0.29396
MGH36_P4_B10	NA	black	0	0	0
MGH54_P2_F02	NA	black	0	2.7918	0
MGH36_P2_E11	NA	black	0	0	0.5008
MGH54_P2_D11	NA	black	0	0	0.18523
MGH54_P2_G01	NA	black	0	0	0
MGH36_P9_D02	0.585444877671	green3	2	0.30918	0.14926
MGH54_P2_E06	NA	black	0	0	0.46884
MGH54_P16_F12	NA	black	0	0.084064	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	1.9683	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	1.0524	0
MGH53_P1_E03	NA	black	0	0	0
MGH54_P15_D06	0.526024825155	green3	2	0.11103	0.29748
MGH54_P14_F05	NA	black	0	0.50487	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0.29396
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0.3774	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0	0.19535
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	0.48336	0
MGH53_P11_F06	NA	black	0	2.9723	0
MGH53_P5_G02	NA	black	0	0	1.0942
MGH53_P1_F09	NA	black	0	2.5346	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	0.247377650164	green3	2	0.87657	0.30801
MGH53_P1_A10	-0.972887120233	red	1	3.1816	0.13619
MGH53_P4_B12	-0.853120943865	red	1	3.3745	0.31034
MGH53_P5_H09	NA	black	0	4.5541	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	-0.895851786091	red	1	3.4714	0.31499
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	3.5313	0
MGH53_P1_D07	0.377059830447	green3	2	0.31499	0.38957
MGH53_P6_B01	NA	black	0	0	0.40054
MGH53_P2_G04	0.275082599631	green3	2	0.91991	0.20163
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	2.6114	0
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0.29866
MGH53_P11_F08	NA	black	0	0	0.45838
MGH54_P7_F12	0.390015994735	green3	2	0.088142	0.43723
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0	0.54003
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0	0.25217
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	-1.33868692421	red	1	4.0634	0.24489
MGH36_P1_A04	NA	black	0	0	0
MGH36_P1_A05	NA	black	0	0	0.1903
MGH36_P1_A06	NA	black	0	0	0.4351
MGH36_P1_A08	0.214397150044	green3	2	0.41792	0.55778
MGH36_P1_A10	-0.0517617557081	green3	2	2.009	0.73725
MGH36_P1_A12	NA	black	0	0	0.11503
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	1.5099	0
MGH36_P1_B04	NA	black	0	0	0.084064
MGH36_P1_B06	NA	black	0	0	0.055196
MGH36_P1_B07	0.56884591648	green3	2	0.36177	0.14012
MGH36_P1_B08	NA	black	0	0.052416	0
MGH36_P1_B09	-0.850610974445	red	1	3.1401	0.21537
MGH36_P1_B10	-0.0173292819051	green3	2	0.61636	0.85679
MGH36_P1_B11	NA	black	0	0	0.082703
MGH36_P1_B12	1.12572419186	blue	3	2.224	3.5737
MGH36_P1_C01	-1.53348372279	black	0	0.70841	3.1185
MGH36_P1_C03	NA	black	0	0	0.064883
MGH36_P1_C05	-1.83894685023	black	0	4.6387	0.17887
MGH36_P1_C06	-0.950308413542	red	1	0.67356	2.2482
MGH36_P1_C07	NA	black	0	0	0.10568
MGH36_P1_C08	NA	black	0	0	0.33914
MGH36_P1_C09	NA	black	0	0	0.17887
MGH36_P1_C10	NA	black	0	0	0.20414
MGH36_P1_C11	NA	black	0	0	0
MGH36_P1_D01	NA	black	0	0	0
MGH36_P1_D02	NA	black	0	0	4.0964
MGH36_P1_D03	NA	black	0	0	0.16092
MGH36_P1_D04	NA	black	0	0	0
MGH36_P1_D06	NA	black	0	0	0.37072
MGH36_P1_D07	NA	black	0	0	0.22404
MGH36_P1_D08	NA	black	0	0	0.092207
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	0.620375378596	green3	2	1.9672	3.5326
MGH36_P1_F02	0.765777165596	green3	2	0.077243	0.074505
MGH36_P1_F03	NA	black	0	2.3196	0
MGH36_P1_F04	NA	black	0	3.0616	0
MGH36_P1_F05	NA	black	0	0	3.4117
MGH36_P1_F06	-0.212106369243	green3	2	2.569	0.62854
MGH36_P1_F08	NA	black	0	0.42438	0
MGH36_P1_F11	NA	black	0	0	2.7373
MGH36_P1_F12	0.770801939954	green3	2	0.011496	0.1003
MGH36_P1_G02	NA	black	0	0	0.7536
MGH36_P1_G03	0.301372221112	green3	2	0.84479	0.21785
MGH36_P1_G04	NA	black	0	0	0.16993
MGH36_P1_G07	NA	black	0	2.9375	0
MGH36_P1_G08	NA	black	0	0	0
MGH36_P1_G09	NA	black	0	0	0
MGH36_P1_H02	NA	black	0	0	0.031395
MGH36_P1_H03	0.600141908113	green3	2	0.44255	0.048236
MGH36_P1_H04	NA	black	0	0	0.10299
MGH36_P1_H05	NA	black	0	0	0.084064
MGH36_P1_H06	NA	black	0	0	0.053806
MGH36_P1_H07	NA	black	0	0	0.062122
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0	0.19283
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	0	0.99059
MGH36_P3_A03	-0.0111736541034	green3	2	1.7604	0.80818
MGH36_P3_A04	NA	black	0	0	0.44255
MGH36_P3_A05	NA	black	0	0	0.41359
MGH36_P3_A08	NA	black	0	0	0.69243
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	1.97793856222	black	0	2.7071	3.4632
MGH36_P3_A12	0.154136977345	green3	2	1.7442	2.269
MGH36_P3_B02	NA	black	0	0	3.6672
MGH36_P3_B03	NA	black	0	0	0.33914
MGH36_P3_B04	NA	black	0	0	0.28333
MGH36_P3_B09	NA	black	0	0	0
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	0	0.57821
MGH36_P3_B12	NA	black	0	0	0
MGH36_P3_C01	NA	black	0	0	0.69153
MGH36_P3_C03	NA	black	0	0	0.20163
MGH36_P3_C04	NA	black	0	0	0.40708
MGH36_P3_C05	NA	black	0	0	0
MGH36_P3_C06	NA	black	0	0	0
MGH36_P3_C08	0.0044502937738	green3	2	1.4988	0.26544
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0	0
MGH36_P3_D01	NA	black	0	0	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	2.8877	0
MGH36_P3_D04	NA	black	0	0	0.57918
MGH36_P3_D07	NA	black	0	0	0.54893
MGH36_P3_D08	NA	black	0	0	0.49978
MGH36_P3_D09	NA	black	0	0	0.39726
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0	0.16092
MGH36_P3_E05	NA	black	0	0	0
MGH36_P3_E06	NA	black	0	0	0.30451
MGH36_P3_E07	0.54544714382	green3	2	0.056584	0.29631
MGH36_P3_E08	NA	black	0	4.8693	0
MGH36_P3_E09	NA	black	0	0	0.21412
MGH36_P3_E10	NA	black	0	0	0.15963
MGH36_P3_E11	NA	black	0	0	0.97379
MGH36_P3_E12	NA	black	0	0	0.69153
MGH36_P3_F01	NA	black	0	0	0.56462
MGH36_P3_F02	NA	black	0	0	0.39287
MGH36_P3_F05	-0.65397546031	red	1	3.8805	0.57628
MGH36_P3_F06	0.179144266239	green3	2	3.3623	1.0711
MGH36_P3_F07	NA	black	0	0	0.18903
MGH36_P3_F08	NA	black	0	0	0.18777
MGH36_P3_F09	8.00102624472	black	0	4.3572	5.1796
MGH36_P3_F10	NA	black	0	0	0.18015
MGH36_P3_F11	NA	black	0	0	0.42223
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	2.3291
MGH36_P3_G02	NA	black	0	0	0.26903
MGH36_P3_G03	NA	black	0	0	0.3584
MGH36_P3_G04	NA	black	0	0	0.27023
MGH36_P3_G05	NA	black	0	0	0.17249
MGH36_P3_G06	NA	black	0	0	0
MGH36_P3_G08	NA	black	0	0	0.73725
MGH36_P3_G09	NA	black	0	0	0.59072
MGH36_P3_G10	NA	black	0	0	0.51602
MGH36_P3_G11	NA	black	0	0	0.13356
MGH36_P3_G12	NA	black	0	0	0.2228
MGH36_P3_H03	NA	black	0	0	0.38847
MGH36_P3_H04	NA	black	0	0	0.19787
MGH36_P3_H05	-0.22508363811	green3	2	1.9172	0.1375
MGH36_P3_H07	NA	black	0	0	0.41576
MGH36_P3_H08	NA	black	0	0	0
MGH36_P3_H11	NA	black	0	0	0
MGH36_P3_H12	-0.373165874668	green3	2	2.4084	0.33113
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0.31846
MGH36_P4_A03	NA	black	0	0	0
MGH36_P4_A04	NA	black	0	0	0.22651
MGH36_P4_A06	NA	black	0	0	0.19156
MGH36_P4_A07	NA	black	0	0	0.18142
MGH36_P4_A08	NA	black	0	0	0.48543
MGH36_P4_A11	NA	black	0	0	0
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	0	0.93659
MGH36_P4_B04	NA	black	0	0	0.33457
MGH36_P4_B05	0.0678644953649	green3	2	1.2141	0.55189
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	0	0
MGH36_P4_B09	NA	black	0	0	0
MGH36_P4_B12	NA	black	0	0	0
MGH36_P4_C02	NA	black	0	0	0
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0.29042
MGH36_P4_C06	NA	black	0	0	0.35276
MGH36_P4_C07	-4.17341306486	black	0	0.21909	4.7174
MGH36_P4_C08	NA	black	0	0	0.39287
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0	1.5195
MGH36_P4_D01	NA	black	0	0	0.21661
MGH36_P4_D02	NA	black	0	0	0.38405
MGH36_P4_D05	NA	black	0	0	0.4351
MGH36_P4_D07	NA	black	0	0	0.36737
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	NA	black	0	0	0.40926
MGH36_P4_D10	0.0502449549362	green3	2	0.73205	0.74932
MGH36_P4_D11	NA	black	0	0	0.2302
MGH36_P4_D12	NA	black	0	0	0.17377
MGH36_P4_E01	1.66499213278	black	0	2.4531	3.7709
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	1.6902	0
MGH36_P4_E06	NA	black	0	0	0.32539
MGH36_P4_E07	NA	black	0	0	0.19409
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0	1.3196
MGH36_P4_F01	NA	black	0	0	0.32998
MGH36_P4_F02	NA	black	0	0	0.60881
MGH36_P4_F03	NA	black	0	0	0.1776
MGH36_P4_F04	NA	black	0	0	0.41034
MGH36_P4_F05	NA	black	0	0	0
MGH36_P4_F06	NA	black	0	0	0.1903
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	0	0.15575
MGH36_P4_F10	NA	black	0	0	4.5836
MGH36_P4_F11	NA	black	0	0	0
MGH36_P4_F12	-1.14586106614	red	1	3.6674	0.22157
MGH36_P4_G01	NA	black	0	0	0.60881
MGH36_P4_G02	NA	black	0	0	0.2302
MGH36_P4_G03	NA	black	0	0	0
MGH36_P4_G04	NA	black	0	0	0.18777
MGH36_P4_G05	NA	black	0	0	0
MGH36_P4_G06	NA	black	0	0	0
MGH36_P4_G08	-0.0762644863384	green3	2	3.2473	0.87106
MGH36_P4_G09	NA	black	0	0	0.075875
MGH36_P4_G10	NA	black	0	0	0.36401
MGH36_P4_G11	NA	black	0	0	0.42975
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0	0.49774
MGH36_P4_H04	NA	black	0	0	0
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	0
MGH36_P4_H12	NA	black	0	0	0.25459
MGH36_P6_A02	NA	black	0	0	0
MGH36_P6_A04	NA	black	0	0	0.14012
MGH36_P6_A05	NA	black	0	0	0.65444
MGH36_P6_A07	NA	black	0	0	0.20289
MGH36_P6_A08	NA	black	0	0	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0	0
MGH36_P6_A11	NA	black	0	0	4.5918
MGH36_P6_B03	NA	black	0	0	0.97012
MGH36_P6_B04	NA	black	0	0	0.26424
MGH36_P6_B05	NA	black	0	0	0
MGH36_P6_B06	NA	black	0	0	4.4852
MGH36_P6_B10	NA	black	0	0	0.18269
MGH36_P6_B11	NA	black	0	0	0.59741
MGH36_P6_B12	NA	black	0	0	0.17887
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	0	0
MGH36_P6_C05	0.160521597582	green3	2	0.92296	0.47405
MGH36_P6_C06	NA	black	0	0	0
MGH36_P6_C07	NA	black	0	0	0.49057
MGH36_P6_C08	NA	black	0	0	0
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	0	0.55778
MGH36_P6_C12	NA	black	0	0	0.24853
MGH36_P6_D01	NA	black	0	0	0.18903
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	0.67987
MGH36_P6_D04	NA	black	0	0	0
MGH36_P6_D05	NA	black	0	0	0.41576
MGH36_P6_D06	NA	black	0	0	0.1865
MGH36_P6_D07	NA	black	0	0	0
MGH36_P6_D08	0.519260022841	green3	2	0.37962	0.19156
MGH36_P6_D10	NA	black	0	0	0.1635
MGH36_P6_D11	-0.185553563764	green3	2	2.9471	0.74157
MGH36_P6_E02	NA	black	0	0	0.28333
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	NA	black	0	0	1.7523
MGH36_P6_E05	NA	black	0	0	0.16993
MGH36_P6_E06	NA	black	0	0	0.19912
MGH36_P6_E07	NA	black	0	0	0.3584
MGH36_P6_E08	0.448594945307	green3	2	0.082703	0.38184
MGH36_P6_E09	NA	black	0	0	0
MGH36_P6_E10	NA	black	0	0	0
MGH36_P6_E11	0.531452939416	green3	2	0.40708	0.16092
MGH36_P6_E12	NA	black	0	0	0.22527
MGH36_P6_F01	NA	black	0	0	1.6178
MGH36_P6_F04	NA	black	0	0	0.18396
MGH36_P6_F06	NA	black	0	0	0.36065
MGH36_P6_F07	NA	black	0	0	0.11237
MGH36_P6_F08	NA	black	0	0	0
MGH36_P6_F10	NA	black	0	0	0.1635
MGH36_P6_F12	0.505041401697	green3	2	0.32423	0.23634
MGH36_P6_G01	NA	black	0	0	0
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	0	0.47197
MGH36_P6_G04	NA	black	0	0	0.1776
MGH36_P6_G05	NA	black	0	0	0
MGH36_P6_G06	NA	black	0	0	0.21537
MGH36_P6_G07	NA	black	0	0	0.1375
MGH36_P6_G08	NA	black	0	0	0.24489
MGH36_P6_G09	NA	black	0	0	0.23634
MGH36_P6_G10	NA	black	0	0	0.12961
MGH36_P6_G11	NA	black	0	0	0.15834
MGH36_P6_G12	NA	black	0	0	0
MGH36_P6_H06	NA	black	0	0	0.36513
MGH36_P6_H07	NA	black	0	0	0
