Cell_name	Zvalue	Color	Cluster	SP1	TNFRSF10B
MGH54_P2_D09	NA	black	0	0	1.7883
MGH53_P1_E06	NA	black	0	0	4.6606
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	-0.695234716453	red	1	1.119	6.1878
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0	3.0192
MGH36_P5_H04	NA	black	0	0	0.055196
MGH53_P1_B03	NA	black	0	3.1047	0
MGH53_P2_D05	NA	black	0	0	0.57337
MGH36_P4_G12	-0.00771670898732	red	1	1.4993	4.7003
MGH53_P2_D11	-0.876677682484	red	1	2.9804	0.73552
MGH53_P4_C02	0.431631932693	red	1	0.09356	1.4158
MGH53_P4_F04	NA	black	0	0	0.2302
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	4.4707
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	0.952387405812	red	1	0.31846	0.30685
MGH36_P5_H08	NA	black	0	0	0.24732
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0	0
MGH53_P2_G03	NA	black	0	0	0.12961
MGH36_P3_F04	NA	black	0	0	4.4741
MGH54_P2_B02	NA	black	0	0	2.7049
MGH36_P5_C07	NA	black	0	0	0.13881
MGH53_P2_E02	NA	black	0	1.7185	0
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0.84479
MGH36_P5_F12	NA	black	0	0	0.044044
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0	4.3922
MGH36_P5_D10	NA	black	0	0	0.26544
MGH54_P2_F11	-1.4358807415	red	1	0.27023	4.721
MGH53_P2_H04	NA	black	0	0	0.15704
MGH36_P6_F09	NA	black	0	0	4.2497
MGH36_P9_F05	NA	black	0	0	4.0604
MGH36_P8_G11	NA	black	0	2.3237	0
MGH54_P2_A07	NA	black	0	0	5.8983
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0.066261	0
MGH53_P1_A02	NA	black	0	0	0.27977
MGH54_P2_E07	NA	black	0	0	0.096262
MGH53_P4_F07	3.12482039039	black	0	2.9727	6.8891
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0.46048
MGH53_P2_C06	NA	black	0	0.27023	0
MGH36_P3_F03	NA	black	0	0	0.079975
MGH36_P2_A10	0.258793166682	red	1	1.224	0.1003
MGH53_P4_E03	-1.54799731421	red	1	0.21785	4.8119
MGH36_P9_D12	NA	black	0	0	0.88986
MGH54_P2_H03	NA	black	0	0	0.096262
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	4.3178
MGH53_P4_F03	-0.476464068097	red	1	1.1486	5.1092
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	4.4003
MGH54_P2_A02	NA	black	0	0	1.7816
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0	0.16736
MGH54_P2_A03	NA	black	0	0	0.9313
MGH53_P4_E10	NA	black	0	0	5.7182
MGH54_P2_D08	NA	black	0	0	5.3969
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	4.0417
MGH53_P1_B10	NA	black	0	0	3.4868
MGH53_P2_F08	NA	black	0	0	1.0101
MGH36_P10_A01	0.632500532059	red	1	2.1535	4.2934
MGH36_P10_F01	NA	black	0	0	3.9063
MGH53_P4_G03	NA	black	0	2.167	0
MGH53_P1_F12	1.11727897762	red	1	3.4439	3.384
MGH36_P4_B03	NA	black	0	0	0.2558
MGH54_P2_C07	NA	black	0	0	0.14926
MGH53_P1_B02	-1.82996353358	red	1	0.20289	5.2733
MGH54_P2_D05	NA	black	0	0	2.2839
MGH53_P2_C08	0.769748924573	red	1	2.1332	4.8546
MGH53_P4_H09	0.0239069644281	red	1	1.3929	1.6448
MGH36_P8_H02	1.42144361213	red	1	2.5028	5.3002
MGH36_P10_H10	NA	black	0	0	3.1765
MGH53_P1_A12	NA	black	0	0	4.548
MGH36_P8_F08	NA	black	0	0	0.27858
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0	0.35727
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0	0.21909
MGH53_P4_C08	NA	black	0	0	0.56852
MGH36_P5_E04	0.8912819992	red	1	2.4109	4.3097
MGH53_P2_A07	NA	black	0	0	2.0659
MGH54_P2_G10	NA	black	0	0	2.5568
MGH36_P7_E06	NA	black	0	0	1.6862
MGH36_P9_D04	NA	black	0	0	0.18777
MGH53_P1_C12	-0.0314037247599	red	1	1.5524	0.13093
MGH36_P8_F06	NA	black	0	0	2.7351
MGH36_P1_G11	NA	black	0	0	5.324
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	3.6025
MGH36_P9_A08	NA	black	0	0	2.1938
MGH53_P2_H03	NA	black	0	0	3.7808
MGH53_P4_B03	NA	black	0	0	5.7697
MGH53_P1_F10	-0.522237223764	red	1	0.41143	3.1706
MGH53_P4_B05	-0.227030399507	red	1	1.2839	4.3905
MGH53_P2_B08	NA	black	0	0	5.4981
MGH36_P3_B06	NA	black	0	0	4.7933
MGH36_P10_C02	NA	black	0	0	3.5354
MGH36_P2_E05	NA	black	0	0	4.9223
MGH54_P2_G09	2.65207104217	black	0	3.5189	5.0562
MGH54_P2_D12	NA	black	0	0	1.0854
MGH53_P2_H02	NA	black	0	0	6.8429
MGH36_P8_F11	-1.0046489135	red	1	3.1345	0.68437
MGH53_P2_A10	NA	black	0	0	3.769
MGH54_P2_E09	NA	black	0	0	0.81721
MGH36_P3_H06	NA	black	0	0	1.2804
MGH36_P5_D05	NA	black	0	0	0
MGH54_P2_A11	NA	black	0	0	4.8386
MGH54_P2_G04	NA	black	0	0	0.2857
MGH36_P6_C01	NA	black	0	0	0.12035
MGH53_P2_E06	NA	black	0	0	1.9456
MGH53_P1_E01	-0.806383951464	red	1	0.67987	4.2952
MGH36_P1_B01	NA	black	0	0	3.1252
MGH54_P2_H04	NA	black	0	0	3.8266
MGH36_P2_C05	NA	black	0	0	0
MGH36_P6_H05	NA	black	0	0.084064	0
MGH36_P10_E06	NA	black	0	0	0.31615
MGH54_P2_F03	-1.24685015973	red	1	0.77062	5.9401
MGH36_P4_B10	NA	black	0	0	4.3972
MGH54_P2_F02	0.839345692273	red	1	2.7918	3.5594
MGH36_P2_E11	NA	black	0	0	1.8612
MGH54_P2_D11	NA	black	0	0	6.3384
MGH54_P2_G01	NA	black	0	0	0.35614
MGH36_P9_D02	1.0169178663	red	1	0.30918	0.20038
MGH54_P2_E06	NA	black	0	0	0
MGH54_P16_F12	NA	black	0	0.084064	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	1.9683	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	0.393220755791	red	1	1.0524	0.18523
MGH53_P1_E03	NA	black	0	0	0.18523
MGH54_P15_D06	NA	black	0	0.11103	0
MGH54_P14_F05	NA	black	0	0.50487	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0.10299
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	0.963779635331	red	1	0.3774	0.19156
MGH54_P10_G04	NA	black	0	0	0.19912
MGH54_P10_C06	NA	black	0	0	0.19156
MGH53_P2_A02	NA	black	0	0	0.24245
MGH53_P4_F06	NA	black	0	0	0.35276
MGH53_P7_F07	NA	black	0	0.48336	0
MGH53_P11_F06	-1.17846104525	red	1	2.9723	0.25942
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	-0.878848176731	red	1	2.5346	0.14143
MGH53_P11_H03	NA	black	0	0	1.0841
MGH53_P10_D11	NA	black	0	0.87657	0
MGH53_P1_A10	NA	black	0	3.1816	0
MGH53_P4_B12	-1.56404589393	red	1	3.3745	0.18269
MGH53_P5_H09	NA	black	0	4.5541	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0.25217
MGH53_P1_C02	-1.61233395456	red	1	3.4714	0.22033
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	3.5313	0
MGH53_P1_D07	NA	black	0	0.31499	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	0.51807738888	red	1	0.91991	0.13881
MGH53_P1_C05	NA	black	0	0	0.29748
MGH53_P2_G09	NA	black	0	2.6114	0
MGH53_P5_A05	NA	black	0	0	0.49057
MGH53_P5_F04	NA	black	0	0	1.1063
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	0	0.46153
MGH54_P7_F12	NA	black	0	0.088142	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0.14274
MGH53_P6_B11	NA	black	0	0	0.17249
MGH53_P4_C07	NA	black	0	0	0.18015
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0	0
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	NA	black	0	4.0634	0
MGH36_P1_A04	NA	black	0	0	0.056584
MGH36_P1_A05	NA	black	0	0	1.8111
MGH36_P1_A06	NA	black	0	0	4.3558
MGH36_P1_A08	NA	black	0	0.41792	0
MGH36_P1_A10	-0.272887291758	red	1	2.009	0.84639
MGH36_P1_A12	NA	black	0	0	0.075875
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	1.5099	0
MGH36_P1_B04	NA	black	0	0	0.14535
MGH36_P1_B06	NA	black	0	0	0.073135
MGH36_P1_B07	-0.182384465271	red	1	0.36177	2.4568
MGH36_P1_B08	1.26705793974	red	1	0.052416	0.14926
MGH36_P1_B09	NA	black	0	3.1401	0
MGH36_P1_B10	NA	black	0	0.61636	0
MGH36_P1_B11	NA	black	0	0	3.9654
MGH36_P1_B12	NA	black	0	2.224	0
MGH36_P1_C01	NA	black	0	0.70841	0
MGH36_P1_C03	NA	black	0	0	0.20539
MGH36_P1_C05	4.94800422959	black	0	4.6387	5.6523
MGH36_P1_C06	0.670299012588	red	1	0.67356	0.30451
MGH36_P1_C07	NA	black	0	0	0
MGH36_P1_C08	NA	black	0	0	0.16993
MGH36_P1_C09	NA	black	0	0	0.042644
MGH36_P1_C10	NA	black	0	0	0.098958
MGH36_P1_C11	NA	black	0	0	0.12829
MGH36_P1_D01	NA	black	0	0	0
MGH36_P1_D02	NA	black	0	0	0.46362
MGH36_P1_D03	NA	black	0	0	0.21412
MGH36_P1_D04	NA	black	0	0	0
MGH36_P1_D06	NA	black	0	0	0.13881
MGH36_P1_D07	NA	black	0	0	0.15704
MGH36_P1_D08	NA	black	0	0	0.18396
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	-0.408943884258	red	1	1.9672	0.045443
MGH36_P1_F02	NA	black	0	0.077243	0
MGH36_P1_F03	0.0934147665324	red	1	2.3196	2.3482
MGH36_P1_F04	-1.39907390788	red	1	3.0616	0.041243
MGH36_P1_F05	NA	black	0	0	1.2957
MGH36_P1_F06	NA	black	0	2.569	0
MGH36_P1_F08	0.967603523971	red	1	0.42438	0.10165
MGH36_P1_F11	NA	black	0	0	2.2789
MGH36_P1_F12	1.38039120483	red	1	0.011496	0.032806
MGH36_P1_G02	NA	black	0	0	2.2555
MGH36_P1_G03	0.584613342012	red	1	0.84479	0.13488
MGH36_P1_G04	NA	black	0	0	0.069015
MGH36_P1_G07	0.758111838252	red	1	2.9375	3.2807
MGH36_P1_G08	NA	black	0	0	3.6663
MGH36_P1_G09	NA	black	0	0	0.02148
MGH36_P1_H02	NA	black	0	0	2.3326
MGH36_P1_H03	0.969035800217	red	1	0.44255	0.064883
MGH36_P1_H04	NA	black	0	0	2.0197
MGH36_P1_H05	NA	black	0	0	0.11237
MGH36_P1_H06	NA	black	0	0	3.8075
MGH36_P1_H07	NA	black	0	0	0
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0	4.1471
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	-0.138777469423	red	1	1.7604	0.81885
MGH36_P3_A04	NA	black	0	0	0
MGH36_P3_A05	NA	black	0	0	3.7865
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	0	2.7643
MGH36_P3_A10	1.02105626846	red	1	2.7071	4.0045
MGH36_P3_A12	-0.197241035453	red	1	1.7442	0.14143
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	NA	black	0	0	0
MGH36_P3_B09	NA	black	0	0	0.25217
MGH36_P3_B10	NA	black	0	0	0.2302
MGH36_P3_B11	NA	black	0	0	0.39726
MGH36_P3_B12	NA	black	0	0	0.18777
MGH36_P3_C01	NA	black	0	0	0.1635
MGH36_P3_C03	NA	black	0	0	0.13881
MGH36_P3_C04	NA	black	0	0	0.39067
MGH36_P3_C05	NA	black	0	0	0.12829
MGH36_P3_C06	NA	black	0	0	0.2762
MGH36_P3_C08	0.0129357479929	red	1	1.4988	0.37629
MGH36_P3_C11	NA	black	0	0	4.6657
MGH36_P3_C12	NA	black	0	0	1.291
MGH36_P3_D01	NA	black	0	0	0.69688
MGH36_P3_D02	NA	black	0	0	3.9091
MGH36_P3_D03	-0.983487880716	red	1	2.8877	0.46884
MGH36_P3_D04	NA	black	0	0	0.23879
MGH36_P3_D07	NA	black	0	0	0.39287
MGH36_P3_D08	NA	black	0	0	2.9686
MGH36_P3_D09	NA	black	0	0	0.19535
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	0	3.4436
MGH36_P3_E04	NA	black	0	0	0.19661
MGH36_P3_E05	NA	black	0	0	0.13488
MGH36_P3_E06	NA	black	0	0	0.17887
MGH36_P3_E07	1.29082988452	red	1	0.056584	0.10702
MGH36_P3_E08	-2.87165650489	black	0	4.8693	0.13356
MGH36_P3_E09	NA	black	0	0	4.0735
MGH36_P3_E10	NA	black	0	0	0.24245
MGH36_P3_E11	NA	black	0	0	0.72509
MGH36_P3_E12	NA	black	0	0	0
MGH36_P3_F01	NA	black	0	0	3.7816
MGH36_P3_F02	NA	black	0	0	0.3774
MGH36_P3_F05	NA	black	0	3.8805	0
MGH36_P3_F06	-1.60359507875	red	1	3.3623	0.12168
MGH36_P3_F07	NA	black	0	0	0.12035
MGH36_P3_F08	NA	black	0	0	0.37962
MGH36_P3_F09	-2.26316075096	red	1	4.3572	0.27501
MGH36_P3_F10	NA	black	0	0	5.0602
MGH36_P3_F11	NA	black	0	0	0.301
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0.11103
MGH36_P3_G02	NA	black	0	0	4.9227
MGH36_P3_G03	NA	black	0	0	0.54102
MGH36_P3_G04	NA	black	0	0	0
MGH36_P3_G05	NA	black	0	0	0.10702
MGH36_P3_G06	NA	black	0	0	0
MGH36_P3_G08	NA	black	0	0	0.23756
MGH36_P3_G09	NA	black	0	0	0.29631
MGH36_P3_G10	NA	black	0	0	0.45733
MGH36_P3_G11	NA	black	0	0	0.092207
MGH36_P3_G12	NA	black	0	0	0.123
MGH36_P3_H03	NA	black	0	0	0.52005
MGH36_P3_H04	NA	black	0	0	0.18903
MGH36_P3_H05	-0.31198580758	red	1	1.9172	0.33914
MGH36_P3_H07	NA	black	0	0	0
MGH36_P3_H08	NA	black	0	0	0
MGH36_P3_H11	NA	black	0	0	0.25942
MGH36_P3_H12	0.656749984837	red	1	2.4084	3.7312
MGH36_P4_A01	NA	black	0	0	0.27858
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	0	0
MGH36_P4_A04	NA	black	0	0	0.42761
MGH36_P4_A06	NA	black	0	0	3.9897
MGH36_P4_A07	NA	black	0	0	4.5728
MGH36_P4_A08	NA	black	0	0	0.38736
MGH36_P4_A11	NA	black	0	0	0.23756
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	0	0.23511
MGH36_P4_B04	NA	black	0	0	0.15186
MGH36_P4_B05	0.261614354372	red	1	1.2141	0.14405
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	0	0
MGH36_P4_B09	NA	black	0	0	0.30918
MGH36_P4_B12	NA	black	0	0	0.21909
MGH36_P4_C02	NA	black	0	0	0.12829
MGH36_P4_C03	NA	black	0	0	0.27262
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0.19661
MGH36_P4_C06	NA	black	0	0	3.8496
MGH36_P4_C07	1.10247249393	red	1	0.21909	0.18396
MGH36_P4_C08	NA	black	0	0	0.11503
MGH36_P4_C10	NA	black	0	0	0.16607
MGH36_P4_C11	NA	black	0	0	0.21288
MGH36_P4_C12	NA	black	0	0	4.1564
MGH36_P4_D01	NA	black	0	0	0.13619
MGH36_P4_D02	NA	black	0	0	5.1373
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0.16607
MGH36_P4_D08	NA	black	0	0	4.7558
MGH36_P4_D09	NA	black	0	0	0.40926
MGH36_P4_D10	NA	black	0	0.73205	0
MGH36_P4_D11	NA	black	0	0	0.123
MGH36_P4_D12	NA	black	0	0	0.22404
MGH36_P4_E01	-0.816924864512	red	1	2.4531	0.12168
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	-0.139848571735	red	1	1.6902	0.28333
MGH36_P4_E06	NA	black	0	0	0.42223
MGH36_P4_E07	NA	black	0	0	0.14012
MGH36_P4_E08	NA	black	0	0	0.27501
MGH36_P4_E09	NA	black	0	0	5.5256
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0.39944
MGH36_P4_E12	NA	black	0	0	0.36961
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	NA	black	0	0	0.15704
MGH36_P4_F03	NA	black	0	0	0.12168
MGH36_P4_F04	NA	black	0	0	4.181
MGH36_P4_F05	NA	black	0	0	4.5101
MGH36_P4_F06	NA	black	0	0	0.27977
MGH36_P4_F07	NA	black	0	0	2.3567
MGH36_P4_F09	NA	black	0	0	4.9848
MGH36_P4_F10	NA	black	0	0	0.10969
MGH36_P4_F11	NA	black	0	0	0.20289
MGH36_P4_F12	2.68440891391	black	0	3.6674	4.8856
MGH36_P4_G01	NA	black	0	0	0
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0	0.21785
MGH36_P4_G04	NA	black	0	0	0
MGH36_P4_G05	NA	black	0	0	0
MGH36_P4_G06	NA	black	0	0	1.4977
MGH36_P4_G08	NA	black	0	3.2473	0
MGH36_P4_G09	NA	black	0	0	0
MGH36_P4_G10	NA	black	0	0	0.14012
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	0	0.2228
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0	0.19409
MGH36_P4_H04	NA	black	0	0	0.25096
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	0.23143
MGH36_P4_H12	NA	black	0	0	0.19535
MGH36_P6_A02	NA	black	0	0	0.28688
MGH36_P6_A04	NA	black	0	0	0.029983
MGH36_P6_A05	NA	black	0	0	0.1865
MGH36_P6_A07	NA	black	0	0	0
MGH36_P6_A08	NA	black	0	0	0.46362
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0	0
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0	0.26063
MGH36_P6_B04	NA	black	0	0	0.18269
MGH36_P6_B05	NA	black	0	0	0.38184
MGH36_P6_B06	NA	black	0	0	0.18396
MGH36_P6_B10	NA	black	0	0	0
MGH36_P6_B11	NA	black	0	0	0
MGH36_P6_B12	NA	black	0	0	0.1865
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	0	1.6947
MGH36_P6_C05	NA	black	0	0.92296	0
MGH36_P6_C06	NA	black	0	0	0.14666
MGH36_P6_C07	NA	black	0	0	0
MGH36_P6_C08	NA	black	0	0	0.18523
MGH36_P6_C09	NA	black	0	0	4.5553
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	3.1976
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	0.14143
MGH36_P6_D04	NA	black	0	0	0.14012
MGH36_P6_D05	NA	black	0	0	0
MGH36_P6_D06	NA	black	0	0	0.48749
MGH36_P6_D07	NA	black	0	0	3.308
MGH36_P6_D08	NA	black	0	0.37962	0
MGH36_P6_D10	NA	black	0	0	0.21661
MGH36_P6_D11	-1.10133383698	red	1	2.9471	0.34937
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	NA	black	0	0	3.3009
MGH36_P6_E05	NA	black	0	0	0.12697
MGH36_P6_E06	NA	black	0	0	0.19156
MGH36_P6_E07	NA	black	0	0	0.21909
MGH36_P6_E08	1.14939075905	red	1	0.082703	0.29278
MGH36_P6_E09	NA	black	0	0	0.40163
MGH36_P6_E10	NA	black	0	0	0.18903
MGH36_P6_E11	-1.02594251839	red	1	0.40708	4.2016
MGH36_P6_E12	NA	black	0	0	0.88127
MGH36_P6_F01	NA	black	0	0	4.1423
MGH36_P6_F04	NA	black	0	0	0
MGH36_P6_F06	NA	black	0	0	0
MGH36_P6_F07	NA	black	0	0	0
MGH36_P6_F08	NA	black	0	0	0
MGH36_P6_F10	NA	black	0	0	4.2314
MGH36_P6_F12	0.944702840362	red	1	0.32423	0.31267
MGH36_P6_G01	NA	black	0	0	0
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	0	0
MGH36_P6_G04	NA	black	0	0	4.7202
MGH36_P6_G05	NA	black	0	0	0
MGH36_P6_G06	NA	black	0	0	0.089498
MGH36_P6_G07	NA	black	0	0	0.11636
MGH36_P6_G08	NA	black	0	0	0.30451
