Cell_name	Zvalue	Color	Cluster	PPARA	STAT3
MGH53_P9_B02	NA	black	0	0	4.995
MGH53_P9_B03	NA	black	0	0	0.91073
MGH53_P9_B04	NA	black	0	0	0.63877
MGH53_P9_B05	-0.181750965407	red	1	0.09356	2.8351
MGH53_P9_B06	NA	black	0	0.082703	0
MGH53_P9_B07	NA	black	0	0.24123	0
MGH53_P9_B08	NA	black	0	0.15963	0
MGH53_P9_B09	NA	black	0	0	0
MGH53_P9_B11	NA	black	0	0.21537	0
MGH53_P9_B12	-0.712867130077	red	1	0.094912	4.4069
MGH53_P9_C01	NA	black	0	0	0.19283
MGH53_P9_C02	NA	black	0	0	2.043
MGH53_P9_C03	NA	black	0	2.8094	0
MGH53_P9_C04	NA	black	0	0.26183	0
MGH53_P9_C05	NA	black	0	0	1.9176
MGH53_P9_C06	NA	black	0	0	2.4431
MGH53_P9_C07	0.480791776746	green3	2	0.13356	0.29278
MGH53_P9_C08	NA	black	0	0	1.512
MGH53_P9_C09	0.0543141690384	red	1	0.085425	2.0738
MGH53_P9_C10	NA	black	0	0	0.35276
MGH53_P9_C11	NA	black	0	0.17505	0
MGH53_P9_C12	0.487498700289	green3	2	0.14796	0.14926
MGH53_P9_D01	NA	black	0	0.23143	0
MGH53_P9_D02	0.232740688553	red	1	0.99639	2.8938
MGH53_P9_D03	NA	black	0	0	0
MGH53_P9_D04	3.62283066148	black	0	2.9806	4.3513
MGH53_P9_D05	NA	black	0	3.3519	0
MGH53_P9_D08	NA	black	0	0	3.7459
MGH53_P9_D09	NA	black	0	0	1.0766
MGH53_P9_D10	NA	black	0	0	4.4591
MGH53_P9_D11	NA	black	0	3.0517	0
MGH53_P9_D12	NA	black	0	0.53705	0
MGH53_P9_F04	-0.0706074581559	red	1	0.15834	2.5358
MGH53_P9_F05	NA	black	0	2.7357	0
MGH53_P9_F06	0.37325390478	red	1	0.22527	0.02148
MGH53_P9_F07	-0.161096461904	red	1	0.1137	2.8007
MGH53_P9_F08	NA	black	0	0	2.8562
MGH53_P9_F09	NA	black	0	0	0
MGH53_P9_F10	NA	black	0	0	4.2675
MGH53_P9_F11	-0.237748393582	red	1	0.15056	3.1424
MGH53_P9_F12	NA	black	0	0	4.4453
MGH53_P9_G01	0.182177977413	red	1	0.1635	1.4875
MGH53_P9_G02	NA	black	0	0	1.7702
MGH53_P9_G03	NA	black	0	0.11237	0
MGH53_P9_G04	-0.588053056862	red	1	0.19535	4.6041
MGH53_P9_G07	-0.677467987585	red	1	0.18396	4.8329
MGH53_P9_G08	0.51955148823	green3	2	0.094912	0.38073
MGH53_P9_G09	7.05571526722	black	0	3.3245	5.6867
MGH53_P9_G12	NA	black	0	0	0.27501
MGH53_P9_H01	-0.511634261107	red	1	0.077243	3.7684
MGH53_P9_H02	NA	black	0	0	0
MGH53_P9_H03	NA	black	0	0.15186	0
MGH53_P9_H04	NA	black	0	0	0
MGH53_P9_H05	NA	black	0	0	0.34142
MGH53_P9_H06	-0.42392789125	red	1	0.070389	3.4995
MGH53_P9_H07	NA	black	0	0	0
MGH53_P9_H08	0.505124148584	green3	2	0.10434	0.38184
MGH53_P9_H09	0.137305595931	red	1	0.35163	0.15834
MGH53_P9_H10	NA	black	0	0.10299	0
MGH53_P9_H11	NA	black	0	0.16479	0
MGH53_P9_H12	NA	black	0	0.12565	0
MGH53_P4_A07	2.06724327892	black	0	2.6457	3.6997
MGH53_P4_B01	NA	black	0	0	0
MGH53_P4_B02	NA	black	0	1.6012	0
MGH53_P4_B08	0.339094447384	red	1	0.2302	0.20789
MGH53_P4_B09	-0.454570064432	red	1	0.14535	3.8666
MGH53_P4_B10	0.136916736025	red	1	0.3505	0.21909
MGH53_P4_B11	NA	black	0	0	4.0744
MGH53_P4_C03	-0.551577023051	red	1	0.097611	3.961
MGH53_P4_C11	-0.285495566287	red	1	0.58785	0.097611
MGH53_P4_C12	-0.417172089842	red	1	0.1003	3.5745
MGH53_P4_D04	0.407222367322	red	1	0.1865	0.23389
MGH53_P4_D05	NA	black	0	0	0.26784
MGH53_P4_D09	0.466683873436	green3	2	0.15316	0.20914
MGH53_P4_E01	-0.036472383492	red	1	0.24245	2.4649
MGH53_P4_E02	-0.348696460722	red	1	0.301	4.4225
MGH53_P4_E07	0.28731608356	red	1	0.24001	0.47405
MGH53_P4_E08	0.516719955383	green3	2	0.13225	0.1375
MGH53_P4_E09	0.649766345676	red	1	0.059355	0.10434
MGH53_P4_F01	NA	black	0	0.29631	0
MGH53_P4_F02	NA	black	0	0.24123	0
MGH53_P4_F08	-0.420338336355	red	1	0.11902	3.65
MGH53_P4_F11	-0.700260385979	red	1	0.11902	4.4972
MGH53_P4_G02	-0.529394036485	red	1	0.15445	4.1571
MGH53_P4_G05	0.0918159230876	red	1	0.082703	1.9523
MGH53_P4_G07	-2.22514360968	black	0	1.7058	0.28806
MGH53_P4_G08	-0.564852222343	red	1	0.17505	4.392
MGH53_P4_G09	0.332127268075	red	1	0.22033	0.36625
MGH53_P4_H10	0.384926389246	red	1	0.16736	0.51096
MGH53_P4_H11	2.60613130395	black	0	2.4281	4.1535
MGH53_P4_H12	-0.306364748812	red	1	0.16092	3.4199
MGH54_P14_A01	-0.301084023874	red	1	0.19535	3.5322
MGH54_P14_A02	NA	black	0	0	0.70399
MGH54_P14_A03	NA	black	0	0	0
MGH54_P14_A04	NA	black	0	0	0
MGH54_P14_A05	NA	black	0	0.6397	0
MGH54_P14_A06	0.465454211908	green3	2	0.14405	0.28688
MGH54_P14_A07	-0.440377062927	red	1	0.15186	3.8484
MGH54_P14_A08	-0.407847302363	red	1	0.1635	3.7891
MGH54_P14_A09	-0.355739118707	red	1	0.23143	3.9374
MGH54_P14_A10	NA	black	0	0	0
MGH54_P14_A11	NA	black	0	0	3.3755
MGH54_P14_A12	NA	black	0	0	1.2079
MGH54_P14_B01	0.282082859703	red	1	0.21537	0.72944
MGH54_P14_B02	NA	black	0	0	0
MGH54_P14_B03	NA	black	0	0.2302	0
MGH54_P14_B04	0.59110042764	red	1	0.084064	0.16736
MGH54_P14_B05	-0.0954587313585	red	1	0.064883	2.5366
MGH54_P14_B06	0.268463246014	red	1	0.85917	3.198
MGH54_P14_B07	-0.947662252577	red	1	0.96791	0.18777
MGH54_P14_B08	NA	black	0	0	3.8931
MGH54_P14_B09	-0.969963549272	red	1	1.8969	1.6239
MGH54_P14_B10	-4.14639749624	black	0	2.6736	0.26424
MGH54_P14_B11	NA	black	0	0	0.21288
MGH54_P14_B12	NA	black	0	0.3774	0
MGH54_P14_C01	NA	black	0	0	3.6994
MGH54_P14_C02	NA	black	0	0	5.0308
MGH54_P14_C03	NA	black	0	0.11103	0
MGH54_P14_C04	NA	black	0	0.90072	0
MGH54_P14_C05	NA	black	0	0	2.6072
MGH54_P14_C06	NA	black	0	0	0
MGH54_P14_C07	NA	black	0	0	0
MGH54_P14_C08	-0.0462214446071	red	1	0.10969	2.4109
MGH54_P14_C09	NA	black	0	0	0.76977
MGH54_P14_C10	-0.200511494759	red	1	0.21909	3.2046
MGH54_P14_C11	NA	black	0	0	4.4471
MGH54_P14_C12	NA	black	0	0	0.33685
MGH54_P14_D01	NA	black	0	0	2.5632
MGH54_P14_D02	0.0206760095046	red	1	0.54794	2.626
MGH54_P14_D03	NA	black	0	0	0
MGH54_P14_D04	NA	black	0	0	2.8752
MGH54_P14_D05	NA	black	0	0	0
MGH54_P14_D06	NA	black	0	0	0
MGH54_P14_D07	NA	black	0	0	0.16092
MGH54_P14_D08	NA	black	0	0.088142	0
MGH54_P14_D09	0.204422444265	red	1	0.31267	0.15963
MGH54_P14_D10	NA	black	0	0	0.19661
MGH54_P14_D11	NA	black	0	0	2.2023
MGH54_P14_D12	NA	black	0	0	0.24975
MGH54_P14_E01	NA	black	0	0	0.35389
MGH54_P14_E02	NA	black	0	0	4.0009
MGH54_P14_E03	NA	black	0	0	0.34369
MGH54_P14_E04	NA	black	0	0.11902	0
MGH54_P14_E05	-0.341824435373	red	1	0.092207	3.3234
MGH54_P14_E06	-0.0108256679707	red	1	0.084064	2.2848
MGH54_P14_E07	NA	black	0	0	0
MGH54_P14_E08	NA	black	0	0.14274	0
MGH54_P14_E09	NA	black	0	0	0.50792
MGH54_P14_E10	2.37264813655	black	0	1.4823	5.401
MGH54_P14_E11	NA	black	0	0	2.6823
MGH54_P14_E12	NA	black	0	0	0
MGH54_P14_F01	-0.0678618697065	red	1	0.25459	2.6519
MGH54_P14_F02	NA	black	0	0	2.774
MGH54_P14_F03	NA	black	0	0.14012	0
MGH54_P14_F04	NA	black	0	0.098958	0
MGH54_P14_F06	NA	black	0	0	0
MGH54_P14_F07	-0.941956733683	red	1	1.0293	0.41576
MGH54_P14_F08	0.522081310377	green3	2	0.123	0.18396
MGH54_P14_F09	NA	black	0	0	0
MGH54_P14_F10	NA	black	0	0	0
MGH54_P14_F11	NA	black	0	0.17887	0
MGH54_P14_G01	-0.0449514353498	red	1	0.45207	3.7793
MGH54_P14_G02	-0.0252215571039	red	1	0.32998	2.4993
MGH54_P14_G03	NA	black	0	0	0
MGH54_P14_G04	NA	black	0	0.21537	0
MGH54_P14_G05	NA	black	0	0.31846	0
MGH54_P14_G06	0.607849203521	red	1	0.075875	0.15575
MGH54_P14_G07	NA	black	0	1.4735	0
MGH54_P14_G08	NA	black	0	0	1.7137
MGH54_P14_G09	0.0118891215056	red	1	0.42438	0.19409
MGH54_P14_G10	NA	black	0	0	4.0176
MGH54_P14_G11	0.536898771278	green3	2	0.10568	0.24245
MGH54_P14_G12	NA	black	0	0	0
MGH54_P14_H01	NA	black	0	0	0.91533
MGH54_P14_H02	NA	black	0	0	0
MGH54_P14_H03	NA	black	0	0	1.1706
MGH54_P14_H04	NA	black	0	0.24123	0
MGH54_P14_H05	NA	black	0	0	1.2702
MGH54_P14_H06	NA	black	0	0	3.901
MGH54_P14_H07	NA	black	0	0	0.13881
MGH54_P14_H08	NA	black	0	1.1674	0
MGH54_P14_H09	NA	black	0	0	0.22404
MGH54_P14_H10	NA	black	0	0	0
MGH54_P14_H11	NA	black	0	0	3.3453
MGH54_P14_H12	0.349060336306	red	1	0.15316	0.774
MGH54_P15_A02	NA	black	0	0	3.8349
MGH54_P15_A03	NA	black	0	0	0.22404
MGH54_P15_A04	-0.787572372876	red	1	0.12961	4.8151
MGH54_P15_A05	NA	black	0	0	4.1632
MGH54_P15_A06	0.139696762825	red	1	0.10702	1.7643
MGH54_P15_A07	NA	black	0	0	0.37629
MGH54_P15_A08	-0.0112880311641	red	1	0.12168	2.2943
MGH54_P15_A09	0.610401897299	red	1	0.073135	0.1635
MGH54_P15_A10	NA	black	0	0.15316	0
MGH54_P15_A11	NA	black	0	0	0.22404
MGH54_P15_A12	NA	black	0	0	0
MGH54_P15_B01	NA	black	0	0	1.0101
MGH54_P15_B02	0.432595622851	green3	2	0.91762	3.5633
MGH54_P15_B03	NA	black	0	0	0
MGH54_P15_B04	-0.273181160539	red	1	0.23389	3.5906
MGH54_P15_B05	-0.204686758729	red	1	0.34028	3.9326
MGH54_P15_B06	NA	black	0	0	0
MGH54_P15_B07	NA	black	0	0	0.48749
MGH54_P15_B09	0.552123860395	red	1	0.10165	0.20664
MGH54_P15_B10	0.46867587582	green3	2	0.10165	0.54399
MGH54_P15_B11	0.522932801888	green3	2	0.10702	0.2916
MGH54_P15_C01	NA	black	0	4.4566	0
MGH54_P15_C02	NA	black	0	0	0
MGH54_P15_C03	NA	black	0	0.1903	0
MGH54_P15_C04	NA	black	0	0	4.0863
MGH54_P15_C05	NA	black	0	0	3.1512
MGH54_P15_C06	-0.204703420929	red	1	0.096262	2.9117
MGH54_P15_C07	NA	black	0	0.40926	0
MGH54_P15_C08	-0.459627845683	red	1	0.10969	3.7363
MGH54_P15_C09	NA	black	0	0.085425	0
MGH54_P15_C10	-0.547608207542	red	1	0.079975	3.8793
MGH54_P15_C11	NA	black	0	0	3.2861
MGH54_P15_C12	NA	black	0	0	0.16092
MGH54_P15_D01	NA	black	0	0	3.6988
MGH54_P15_D02	NA	black	0	0	1.0101
MGH54_P15_D03	NA	black	0	0	0
MGH54_P15_D04	NA	black	0	0	0
MGH54_P15_D05	NA	black	0	0	4.1734
MGH54_P15_D07	-0.720063272798	red	1	0.21661	5.2399
MGH54_P15_D08	NA	black	0	0	0.45523
MGH54_P15_D09	NA	black	0	0	3.9674
MGH54_P15_D10	NA	black	0	0	0
MGH54_P15_D11	-0.00385573664912	red	1	0.17887	2.2768
MGH54_P15_D12	NA	black	0	0.088142	0
MGH54_P15_E01	NA	black	0	0	1.5064
MGH54_P15_E02	NA	black	0	0	3.7061
MGH54_P15_E03	NA	black	0	0	2.1843
MGH54_P15_E04	NA	black	0	0	4.3901
MGH54_P15_E05	NA	black	0	0	0.34596
MGH54_P15_E06	0.392409528843	red	1	0.1776	0.39397
MGH54_P15_E07	NA	black	0	0	1.0766
MGH54_P15_E08	0.301246616447	red	1	0.23143	0.46362
MGH54_P15_E09	NA	black	0	0.10299	0
MGH54_P15_E10	-0.187724470435	red	1	0.63506	1.0976
MGH54_P15_E11	NA	black	0	0	4.3503
MGH54_P15_E12	NA	black	0	0	0.24853
MGH54_P15_F01	NA	black	0	0	0
MGH54_P15_F02	NA	black	0	0	3.2702
MGH54_P15_F03	-0.122052099353	red	1	0.10165	2.6558
MGH54_P15_F04	NA	black	0	0	1.1596
MGH54_P15_F05	NA	black	0	0.16736	0
MGH54_P15_F06	NA	black	0	0.14274	0
MGH54_P15_F07	0.206505915098	red	1	0.30451	0.31383
MGH54_P15_F08	-2.82063109189	black	0	1.9222	0.13619
MGH54_P15_F09	-0.155421053106	red	1	0.15445	2.8518
MGH54_P15_F10	-0.389405419879	red	1	0.10434	3.5037
MGH54_P15_F11	NA	black	0	0	0.1137
MGH54_P15_F12	NA	black	0	0	0
MGH54_P15_G03	0.579747248429	red	1	0.089498	0.17632
MGH54_P15_G04	NA	black	0	0	0
MGH54_P15_G05	-0.0841130189719	red	1	0.18015	2.6147
MGH54_P15_G06	NA	black	0	0	3.3461
MGH54_P15_G07	NA	black	0	0	0
MGH54_P15_G08	NA	black	0	0	0.12961
MGH54_P15_G09	NA	black	0	0	0.074505
MGH54_P15_G10	NA	black	0	0	0
MGH54_P15_G11	0.344475517399	red	1	0.2302	0.16864
MGH54_P15_G12	NA	black	0	0	0
MGH54_P15_H01	NA	black	0	0	4.1764
MGH54_P15_H03	0.529251630357	green3	2	0.11237	0.22897
MGH54_P15_H04	NA	black	0	0.082703	0
MGH54_P15_H05	NA	black	0	0	0
MGH54_P15_H06	NA	black	0	0.43616	0
MGH54_P15_H07	NA	black	0	0	4.0751
MGH54_P15_H08	0.608529404526	red	1	0.075875	0.15316
MGH54_P15_H09	NA	black	0	0	0
MGH54_P15_H10	-0.107288879252	red	1	0.16607	2.6882
MGH54_P15_H11	NA	black	0	0	0
MGH54_P15_H12	NA	black	0	0.17632	0
MGH54_P16_A01	NA	black	0	0.26183	0
MGH54_P16_A02	NA	black	0	0	1.8797
MGH54_P16_A04	NA	black	0	0	0
MGH54_P16_A05	NA	black	0	0	2.873
MGH54_P16_A06	NA	black	0	0.32654	0
MGH54_P16_A07	-0.610502957237	red	1	0.07861	4.0485
MGH54_P16_A08	NA	black	0	0.26424	0
MGH54_P16_A09	NA	black	0	0	0
MGH54_P16_A10	NA	black	0	0	4.3762
MGH54_P16_A11	NA	black	0	0	0.16993
MGH54_P16_A12	NA	black	0	0	3.2102
MGH54_P16_B01	NA	black	0	0	2.7983
MGH54_P16_B02	NA	black	0	0	2.6185
MGH54_P16_B03	NA	black	0	0.09356	0
MGH54_P16_B04	0.617527075572	red	1	0.071763	0.14535
MGH54_P16_B05	NA	black	0	0	0.12961
MGH54_P16_B06	NA	black	0	0	0.46989
MGH54_P16_B07	NA	black	0	0	1.1316
MGH54_P16_B08	NA	black	0	0	0.46153
MGH54_P16_B09	NA	black	0	0	0.20414
MGH54_P16_B10	NA	black	0	0	4.3482
MGH54_P16_B11	NA	black	0	0.071763	0
MGH54_P16_B12	NA	black	0	0	0.16221
MGH54_P16_C01	NA	black	0	0	0
MGH54_P16_C02	3.44897168113	black	0	2.2203	4.9457
MGH54_P16_C03	0.237509946152	red	1	0.1776	1.184
MGH54_P16_C04	NA	black	0	0	3.0834
MGH54_P16_C05	NA	black	0	0	1.8976
MGH54_P16_C06	NA	black	0	0	5.0272
MGH54_P16_C07	NA	black	0	1.9003	0
MGH54_P16_C08	NA	black	0	0.1177	0
MGH54_P16_C09	-0.283776386442	red	1	0.10568	3.1803
MGH54_P16_C10	-1.60472742381	red	1	1.9996	1.1928
MGH54_P16_C11	0.482927538722	green3	2	0.14926	0.16092
MGH54_P16_C12	0.0199964790246	red	1	0.14796	2.1795
MGH54_P16_D01	NA	black	0	0	0
MGH54_P16_D02	NA	black	0	0	4.2915
MGH54_P16_D03	NA	black	0	0	3.7988
MGH54_P16_D04	-0.847598250935	red	1	0.11237	4.8806
MGH54_P16_D05	-0.710199186152	red	1	0.084064	4.3464
MGH54_P16_D06	0.0752155110208	red	1	0.24975	1.8258
MGH54_P16_D07	NA	black	0	0.07861	0
MGH54_P16_D09	NA	black	0	0	0
MGH54_P16_D10	0.430980044258	green3	2	0.14796	0.42223
MGH54_P16_D11	NA	black	0	0.05797	0
MGH54_P16_D12	NA	black	0	0	0.96569
MGH54_P16_E01	NA	black	0	0	0
MGH54_P16_E02	NA	black	0	0	3.8916
MGH54_P16_E03	NA	black	0	0	3.275
MGH54_P16_E04	NA	black	0	0	4.5714
MGH54_P16_E05	0.546951876635	red	1	0.10969	0.17249
MGH54_P16_E06	0.11998704814	red	1	1.7062	2.544
MGH54_P16_E07	NA	black	0	0	0.18523
MGH54_P16_E08	0.54860227378	red	1	0.10434	0.20289
MGH54_P16_E09	NA	black	0	0	2.8309
MGH54_P16_E10	0.544000030048	red	1	0.10568	0.21288
MGH54_P16_E11	NA	black	0	0.18396	0
MGH54_P16_E12	NA	black	0	0	4.4112
MGH54_P16_F01	NA	black	0	0	0
MGH54_P16_F03	NA	black	0	0	3.3164
MGH54_P16_F04	0.531486465615	green3	2	0.079975	0.42008
MGH54_P16_F05	NA	black	0	0	4.5283
MGH54_P16_F06	-0.810920138918	red	1	0.075875	4.5762
MGH54_P16_F07	NA	black	0	0	2.539
MGH54_P16_F08	NA	black	0	0	3.5165
MGH54_P16_F09	0.146657523188	red	1	0.31034	0.92448
MGH54_P16_F10	NA	black	0	0	6.0492
MGH54_P16_F11	-0.395747584068	red	1	0.014355	3.2789
MGH54_P16_G01	NA	black	0	0	0
MGH54_P16_G02	-0.367833240187	red	1	0.20914	3.8622
MGH54_P16_G03	NA	black	0	0	2.8667
MGH54_P16_G04	NA	black	0	0	1.5902
MGH54_P16_G05	NA	black	0	0	0
MGH54_P16_G06	-1.14300455271	red	1	0.056584	5.3053
MGH54_P16_G07	-2.23283423253	black	0	1.7407	0.34028
MGH54_P16_G08	NA	black	0	0.05797	0
MGH54_P16_G09	NA	black	0	0	3.792
MGH54_P16_G10	NA	black	0	0.26544	0
MGH54_P16_G11	NA	black	0	0	0.26183
MGH54_P16_G12	0.56655181577	red	1	0.067639	0.3584
MGH54_P16_H01	NA	black	0	0	0
MGH54_P16_H02	0.0805094189877	red	1	0.76553	2.6576
MGH54_P16_H03	NA	black	0	0	4.4916
MGH54_P16_H04	-2.88531844594	black	0	1.9542	0.13619
MGH54_P16_H05	NA	black	0	0	0.52707
MGH54_P16_H06	0.236863929477	red	1	0.16864	1.2228
MGH54_P16_H07	-0.292147366099	red	1	0.07861	3.1416
MGH54_P16_H08	0.583909584203	red	1	0.09356	0.13225
MGH54_P16_H09	NA	black	0	0	0
MGH54_P16_H10	NA	black	0	0	0.20539
MGH54_P16_H11	NA	black	0	0.1903	0
MGH54_P16_H12	-0.00172050380367	red	1	0.46676	1.9797
MGH54_P17_A01	NA	black	0	0.13225	0
MGH54_P17_A02	NA	black	0	0.14535	0
MGH54_P17_A03	-0.181959762884	red	1	0.32769	3.6702
MGH54_P17_A04	NA	black	0	0	3.6711
MGH54_P17_A05	NA	black	0	0	3.7847
MGH54_P17_A06	NA	black	0	0	0.18523
MGH54_P17_A07	-0.504219642354	red	1	0.10836	3.8656
MGH54_P17_A08	-0.903073895576	red	1	0.11237	5.0352
MGH54_P17_A09	NA	black	0	0.33228	0
MGH54_P17_A10	NA	black	0	0	0
MGH54_P17_A11	NA	black	0	0	0.18523
MGH54_P17_A12	NA	black	0	0.29396	0
MGH54_P17_B01	NA	black	0	0	0.4489
MGH54_P17_B02	NA	black	0	0	0
MGH54_P17_B03	NA	black	0	0	4.6773
MGH54_P17_B05	NA	black	0	0	0.52206
MGH54_P17_B06	NA	black	0	0	4.6114
MGH54_P17_B07	NA	black	0	0	4.2638
MGH54_P17_B08	NA	black	0	0.14012	0
MGH54_P17_B09	NA	black	0	0	0
MGH54_P17_B10	0.726612147647	red	1	1.0243	4.0225
MGH54_P17_B11	-0.705996062935	red	1	0.088142	4.3545
MGH54_P17_B12	-0.612549523613	red	1	0.16736	4.5053
MGH54_P17_C02	NA	black	0	0	0
MGH54_P17_C03	NA	black	0	0	3.5394
MGH54_P17_C04	0.35566038144	red	1	0.20163	0.39726
MGH54_P17_C05	0.103299640533	red	1	0.34142	1.0628
MGH54_P17_C06	NA	black	0	0.17249	0
MGH54_P17_C07	NA	black	0	0	4.2277
